Date,Open,High,Low,Close,Volume
1989-10-04,1.92,1.99,1.9,1.95,20636000
1989-10-05,1.96,2.05,1.95,2.01,6453600
1989-10-06,2.02,2.05,1.99,1.99,2755200
1989-10-09,1.99,1.99,1.95,1.99,1084000
1989-10-10,2.0,2.0,1.95,1.97,1493600
1989-10-11,1.95,1.96,1.92,1.96,1260000
1989-10-12,1.96,1.99,1.96,1.97,602400
1989-10-13,1.97,1.97,1.92,1.94,3970400
1989-10-16,1.85,1.92,1.85,1.92,3924800
1989-10-17,1.9,1.95,1.9,1.95,1843200
1989-10-18,1.95,2.0,1.94,1.99,1128000
1989-10-19,1.97,1.99,1.97,1.99,1040000
1989-10-20,1.97,1.97,1.96,1.97,237600
1989-10-23,1.99,2.0,1.99,1.99,87200
1989-10-24,1.99,2.0,1.97,2.0,689600
1989-10-25,1.99,2.01,1.96,1.99,608000
1989-10-26,1.99,2.0,1.99,1.99,228800
1989-10-27,1.99,1.99,1.95,1.96,456000
1989-10-30,1.96,1.96,1.95,1.95,250400
1989-10-31,1.95,1.96,1.95,1.95,424800
1989-11-01,1.96,2.0,1.96,2.0,715200
1989-11-02,2.02,2.06,2.02,2.06,130400
1989-11-03,2.05,2.14,2.05,2.13,1118400
1989-11-06,2.12,2.12,2.01,2.01,264800
1989-11-07,1.99,2.1,1.95,2.1,727200
1989-11-08,2.1,2.12,2.08,2.12,236800
1989-11-09,2.12,2.12,2.1,2.1,60800
1989-11-10,2.1,2.1,1.99,2.0,210400
1989-11-13,2.0,2.0,1.96,1.99,92800
1989-11-14,2.01,2.01,1.94,1.97,428000
1989-11-15,1.99,2.01,1.97,2.0,176000
1989-11-16,1.99,2.02,1.99,2.02,301600
1989-11-17,2.02,2.06,2.02,2.06,249600
1989-11-20,2.07,2.07,2.03,2.03,43200
1989-11-21,2.02,2.08,2.02,2.08,108800
1989-11-22,2.1,2.14,2.1,2.14,255200
1989-11-24,2.17,2.3,2.17,2.28,572000
1989-11-27,2.27,2.29,2.23,2.24,253600
1989-11-28,2.24,2.24,2.21,2.21,560000
1989-11-29,2.19,2.19,2.17,2.18,60800
1989-11-30,2.19,2.27,2.19,2.25,712800
1989-12-01,2.25,2.3,2.25,2.27,356800
1989-12-04,2.29,2.33,2.24,2.33,172000
1989-12-05,2.3,2.33,2.27,2.27,93600
1989-12-06,2.27,2.34,2.27,2.33,668800
1989-12-07,2.33,2.33,2.28,2.3,215200
1989-12-08,2.28,2.3,2.28,2.3,122400
1989-12-11,2.31,2.36,2.29,2.34,306400
1989-12-12,2.35,2.36,2.33,2.35,1119200
1989-12-13,2.34,2.46,2.33,2.46,400000
1989-12-14,2.44,2.45,2.42,2.44,391200
1989-12-15,2.45,2.45,2.41,2.42,155200
1989-12-18,2.4,2.44,2.36,2.36,224000
1989-12-19,2.36,2.39,2.36,2.39,215200
1989-12-20,2.39,2.42,2.38,2.4,166400
1989-12-21,2.42,2.44,2.39,2.42,174400
1989-12-22,2.44,2.44,2.42,2.44,173600
1989-12-26,2.42,2.42,2.4,2.4,97600
1989-12-27,2.39,2.39,2.36,2.36,144000
1989-12-28,2.38,2.38,2.36,2.36,11200
1989-12-29,2.36,2.46,2.35,2.46,219200
1990-01-02,2.44,2.44,2.36,2.38,194400
1990-01-03,2.39,2.39,2.36,2.36,361600
1990-01-04,2.36,2.39,2.3,2.3,166400
1990-01-05,2.29,2.29,2.23,2.27,100800
1990-01-08,2.24,2.25,2.22,2.23,880800
1990-01-09,2.21,2.22,2.19,2.19,282400
1990-01-10,2.16,2.16,2.1,2.11,784000
1990-01-11,2.12,2.16,2.11,2.15,347200
1990-01-12,2.12,2.14,2.1,2.12,159200
1990-01-15,2.14,2.14,2.12,2.12,25600
1990-01-16,2.1,2.11,2.05,2.11,172800
1990-01-17,2.12,2.2,2.12,2.12,216000
1990-01-18,2.1,2.12,2.1,2.11,157600
1990-01-19,2.14,2.15,2.14,2.15,8800
1990-01-22,2.14,2.15,2.12,2.14,56800
1990-01-23,2.16,2.16,2.14,2.15,101600
1990-01-24,2.14,2.14,2.1,2.1,26400
1990-01-25,2.1,2.12,2.09,2.12,249600
1990-01-26,2.11,2.12,2.09,2.09,45600
1990-01-29,2.1,2.1,2.05,2.06,444000
1990-01-30,2.05,2.08,2.01,2.08,548000
1990-01-31,2.1,2.23,2.1,2.23,757600
1990-02-01,2.25,2.25,2.22,2.23,149600
1990-02-02,2.25,2.27,2.25,2.25,720000
1990-02-05,2.27,2.27,2.25,2.25,163200
1990-02-06,2.25,2.27,2.22,2.26,99200
1990-02-07,2.27,2.3,2.27,2.3,32800
1990-02-08,2.32,2.44,2.32,2.38,346400
1990-02-09,2.41,2.44,2.32,2.34,179200
1990-02-12,2.34,2.34,2.27,2.27,28000
1990-02-13,2.3,2.31,2.3,2.31,26400
1990-02-14,2.31,2.32,2.3,2.3,32800
1990-02-15,2.31,2.32,2.31,2.31,152000
1990-02-16,2.32,2.32,2.32,2.32,32000
1990-02-20,2.33,2.33,2.31,2.31,23200
1990-02-21,2.31,2.31,2.27,2.27,553600
1990-02-22,2.27,2.27,2.22,2.22,148000
1990-02-23,2.17,2.17,2.1,2.12,575200
1990-02-26,2.14,2.15,2.14,2.15,477600
1990-02-27,2.16,2.22,2.16,2.22,357600
1990-02-28,2.2,2.21,2.19,2.19,145600
1990-03-01,2.19,2.19,2.15,2.15,225600
1990-03-02,2.15,2.17,2.1,2.11,931200
1990-03-05,2.09,2.11,2.08,2.09,146400
1990-03-06,2.09,2.14,2.05,2.14,258400
1990-03-07,2.14,2.15,2.11,2.15,174400
1990-03-08,2.15,2.19,2.14,2.17,146400
1990-03-09,2.15,2.17,2.14,2.14,194400
1990-03-12,2.11,2.12,2.05,2.1,1072800
1990-03-13,2.09,2.1,2.09,2.1,662400
1990-03-14,2.09,2.16,2.09,2.16,298400
1990-03-15,2.17,2.19,2.12,2.12,192000
1990-03-16,2.15,2.17,2.14,2.17,271200
1990-03-19,2.15,2.16,2.15,2.16,476000
1990-03-20,2.15,2.27,2.15,2.19,898400
1990-03-21,2.19,2.2,2.19,2.19,102400
1990-03-22,2.15,2.16,2.15,2.16,177600
1990-03-23,2.19,2.19,2.19,2.19,320000
1990-03-26,2.17,2.17,2.15,2.15,37600
1990-03-27,2.14,2.15,2.14,2.15,24000
1990-03-28,2.22,2.3,2.22,2.28,706400
1990-03-29,2.28,2.3,2.26,2.27,361600
1990-03-30,2.28,2.28,2.28,2.28,161600
1990-04-02,2.28,2.28,2.22,2.25,184800
1990-04-03,2.25,2.37,2.25,2.33,358400
1990-04-04,2.33,2.33,2.27,2.27,364800
1990-04-05,2.3,2.31,2.27,2.27,373600
1990-04-06,2.28,2.28,2.17,2.17,810400
1990-04-09,2.14,2.17,2.14,2.14,336800
1990-04-10,2.15,2.2,2.13,2.17,426400
1990-04-11,2.18,2.2,2.13,2.14,234400
1990-04-12,2.13,2.14,2.03,2.06,456000
1990-04-16,2.07,2.14,2.07,2.12,273600
1990-04-17,2.13,2.13,2.12,2.13,16800
1990-04-18,2.1,2.15,2.1,2.13,333600
1990-04-19,2.13,2.13,2.09,2.1,207200
1990-04-20,2.09,2.1,2.08,2.09,168800
1990-04-23,2.08,2.08,2.06,2.06,173600
1990-04-24,2.06,2.09,2.06,2.06,458400
1990-04-25,2.08,2.09,2.07,2.08,104000
1990-04-26,2.06,2.1,2.06,2.1,461600
1990-04-27,2.1,2.12,2.1,2.12,133600
1990-04-30,2.12,2.13,2.1,2.13,68800
1990-05-01,2.13,2.22,2.1,2.2,732800
1990-05-02,2.18,2.22,2.17,2.2,575200
1990-05-03,2.23,2.24,2.22,2.22,105600
1990-05-04,2.23,2.23,2.18,2.18,279200
1990-05-07,2.18,2.23,2.18,2.23,32800
1990-05-08,2.23,2.23,2.22,2.22,48800
1990-05-09,2.23,2.24,2.19,2.19,1232800
1990-05-10,2.2,2.23,2.19,2.19,428000
1990-05-11,2.22,2.25,2.22,2.25,172000
1990-05-14,2.26,2.26,2.15,2.15,2418400
1990-05-15,2.18,2.22,2.15,2.2,5804800
