Date,Open,High,Low,Close,Volume
1993-08-12,3.43,3.43,3.24,3.39,13086600
1993-08-13,3.37,3.37,3.28,3.28,1277800
1993-08-16,3.28,3.31,3.27,3.31,559000
1993-08-17,3.31,3.34,3.3,3.33,545600
1993-08-18,3.33,3.33,3.33,3.33,469200
1993-08-19,3.33,3.33,3.27,3.27,409400
1993-08-20,3.28,3.33,3.28,3.3,540800
1993-08-23,3.3,3.33,3.28,3.31,335600
1993-08-24,3.31,3.36,3.31,3.36,234400
1993-08-25,3.33,3.33,3.31,3.31,102600
1993-08-26,3.31,3.39,3.31,3.39,180400
1993-08-27,3.39,3.39,3.33,3.34,119600
1993-08-30,3.33,3.37,3.33,3.34,71400
1993-08-31,3.34,3.42,3.34,3.4,147000
1993-09-01,3.42,3.43,3.39,3.39,141600
1993-09-02,3.43,3.43,3.4,3.43,217600
1993-09-03,3.42,3.51,3.42,3.46,178800
1993-09-07,3.45,3.51,3.45,3.48,167600
1993-09-08,3.51,3.52,3.43,3.43,276200
1993-09-09,3.43,3.52,3.43,3.46,74400
1993-09-10,3.45,3.61,3.45,3.58,245000
1993-09-13,3.54,3.55,3.52,3.55,251200
1993-09-14,3.49,3.51,3.45,3.49,127000
1993-09-15,3.49,3.49,3.45,3.49,162400
1993-09-16,3.52,3.52,3.48,3.52,88800
1993-09-17,3.51,3.57,3.49,3.57,113000
1993-09-20,3.53,3.56,3.52,3.52,15400
1993-09-21,3.55,3.55,3.5,3.53,286000
1993-09-22,3.52,3.56,3.5,3.56,54800
1993-09-23,3.55,3.55,3.5,3.53,51000
1993-09-24,3.52,3.59,3.52,3.59,265000
1993-09-27,3.59,3.75,3.59,3.74,675400
1993-09-28,3.72,3.77,3.69,3.75,360800
1993-09-29,3.75,3.84,3.75,3.75,823200
1993-09-30,3.74,3.75,3.69,3.71,138000
1993-10-01,3.71,3.75,3.71,3.71,31600
1993-10-04,3.69,3.69,3.61,3.64,27600
1993-10-05,3.64,3.68,3.62,3.64,87600
1993-10-06,3.61,3.71,3.61,3.69,327600
1993-10-07,3.67,3.75,3.67,3.71,40400
1993-10-08,3.74,4.17,3.74,4.08,1242600
1993-10-11,4.05,4.11,4.05,4.05,885200
1993-10-12,4.05,4.35,4.05,4.29,708200
1993-10-13,4.32,4.32,4.23,4.23,55600
1993-10-14,4.23,4.23,4.23,4.23,55000
1993-10-15,4.23,4.38,4.23,4.32,200600
1993-10-18,4.31,4.37,4.23,4.31,47200
1993-10-19,4.28,4.28,4.17,4.17,173400
1993-10-20,4.17,4.19,4.07,4.16,141600
1993-10-21,4.13,4.13,4.1,4.11,32200
1993-10-22,4.1,4.23,4.1,4.17,161000
1993-10-25,4.16,4.2,4.08,4.14,48000
1993-10-26,4.08,4.08,4.04,4.04,27000
1993-10-27,3.99,4.01,3.98,3.99,122400
1993-10-28,3.99,4.05,3.93,4.05,75400
1993-10-29,4.08,4.13,4.05,4.13,224400
1993-11-01,4.11,4.14,4.1,4.14,24400
1993-11-02,4.11,4.14,4.1,4.13,68800
1993-11-03,4.13,4.17,4.11,4.17,233600
1993-11-04,4.16,4.16,4.02,4.02,267400
1993-11-05,4.02,4.17,4.02,4.14,333200
1993-11-08,4.17,4.28,4.14,4.28,164600
1993-11-09,4.32,4.35,4.28,4.28,192800
1993-11-10,4.25,4.25,4.2,4.2,6800
1993-11-11,4.17,4.17,4.1,4.14,95800
1993-11-12,4.17,4.17,4.14,4.16,70400
1993-11-15,4.13,4.13,3.99,4.11,138000
1993-11-16,4.1,4.1,4.02,4.04,12200
1993-11-17,4.01,4.02,3.89,3.92,190800
1993-11-18,3.87,3.89,3.71,3.75,310600
1993-11-19,3.75,3.77,3.71,3.75,180200
1993-11-22,3.74,3.74,3.72,3.74,52200
1993-11-23,3.74,3.75,3.69,3.71,163200
1993-11-24,3.68,3.74,3.67,3.71,289200
1993-11-26,3.71,3.71,3.69,3.69,19000
1993-11-29,3.72,3.75,3.68,3.69,96400
1993-11-30,3.68,3.87,3.68,3.87,162600
1993-12-01,3.84,3.84,3.72,3.77,117600
1993-12-02,3.78,3.78,3.74,3.78,28200
1993-12-03,3.75,3.75,3.71,3.75,34800
1993-12-06,3.71,3.8,3.71,3.8,191800
1993-12-07,3.8,3.81,3.75,3.81,22600
1993-12-08,3.81,3.81,3.75,3.75,27000
1993-12-09,3.75,3.8,3.75,3.77,52400
1993-12-10,3.8,3.8,3.75,3.78,146000
1993-12-13,3.8,3.8,3.75,3.78,257200
1993-12-14,3.78,3.78,3.6,3.6,168800
1993-12-15,3.57,3.75,3.52,3.75,409600
1993-12-16,3.75,3.9,3.75,3.81,119800
1993-12-17,3.84,3.84,3.78,3.78,59400
1993-12-20,3.78,3.81,3.77,3.78,54600
1993-12-21,3.81,3.81,3.69,3.72,239000
1993-12-22,3.75,3.77,3.75,3.75,16600
1993-12-23,3.77,3.81,3.75,3.75,51000
1993-12-27,3.75,3.75,3.75,3.75,50000
1993-12-28,3.78,3.86,3.78,3.86,239000
1993-12-29,3.84,3.86,3.81,3.83,394600
1993-12-30,3.81,3.81,3.75,3.81,160000
1993-12-31,3.83,3.86,3.77,3.86,56000
1994-01-03,3.83,3.83,3.69,3.69,82200
1994-01-04,3.72,3.75,3.72,3.74,269000
1994-01-05,3.74,3.74,3.61,3.63,48000
1994-01-06,3.63,3.63,3.6,3.61,56200
1994-01-07,3.6,3.6,3.46,3.49,235600
1994-01-10,3.49,3.52,3.49,3.51,136400
1994-01-11,3.51,3.58,3.49,3.54,89200
1994-01-12,3.57,3.63,3.57,3.6,130400
1994-01-13,3.61,3.63,3.61,3.63,67400
1994-01-14,3.64,3.64,3.6,3.6,45800
1994-01-17,3.63,3.63,3.51,3.51,7000
1994-01-18,3.46,3.51,3.43,3.48,228400
1994-01-19,3.45,3.51,3.45,3.51,124800
1994-01-20,3.54,3.57,3.52,3.55,430200
1994-01-21,3.54,3.55,3.52,3.52,765000
1994-01-24,3.52,3.54,3.51,3.52,376000
1994-01-25,3.52,3.52,3.43,3.48,353000
1994-01-26,3.45,3.51,3.45,3.48,183400
1994-01-27,3.49,3.52,3.46,3.52,264000
1994-01-28,3.52,3.52,3.48,3.48,213600
1994-01-31,3.51,3.52,3.49,3.52,270800
1994-02-01,3.51,3.54,3.49,3.52,279000
1994-02-02,3.52,3.54,3.52,3.54,184800
1994-02-03,3.52,3.54,3.51,3.52,114600
1994-02-04,3.55,3.55,3.46,3.46,136600
1994-02-07,3.45,3.51,3.45,3.51,32200
1994-02-08,3.51,3.51,3.46,3.51,114400
1994-02-09,3.51,3.54,3.48,3.52,283400
1994-02-10,3.52,3.57,3.52,3.54,297800
1994-02-11,3.54,3.61,3.54,3.61,90800
1994-02-14,3.58,3.72,3.58,3.71,305000
1994-02-15,3.71,3.71,3.67,3.67,173600
1994-02-16,3.67,3.71,3.67,3.71,63400
1994-02-17,3.74,3.86,3.74,3.86,309200
1994-02-18,3.87,3.96,3.87,3.92,282000
1994-02-22,3.95,4.05,3.95,4.02,115200
1994-02-23,3.99,4.02,3.96,4.02,192800
1994-02-24,3.99,3.99,3.87,3.87,170000
1994-02-25,3.9,3.9,3.87,3.89,144000
1994-02-28,3.87,3.98,3.87,3.98,125000
1994-03-01,3.96,3.96,3.89,3.95,227400
1994-03-02,3.92,3.93,3.87,3.87,175000
1994-03-03,3.83,3.87,3.81,3.87,63600
1994-03-04,3.87,3.87,3.84,3.87,6600
1994-03-07,3.87,3.9,3.86,3.9,72600
1994-03-08,3.9,3.95,3.87,3.87,38200
1994-03-09,3.86,3.86,3.75,3.8,33200
1994-03-10,3.81,3.9,3.81,3.84,13000
1994-03-11,3.87,3.87,3.8,3.86,55600
1994-03-14,3.86,3.93,3.78,3.93,65000
1994-03-15,3.9,3.9,3.83,3.87,117800
1994-03-16,3.89,3.89,3.84,3.86,19800
1994-03-17,3.86,3.96,3.86,3.95,202800
1994-03-18,3.96,3.99,3.9,3.96,117200
1994-03-21,3.96,4.02,3.93,4.02,250000
1994-03-22,4.02,4.02,3.99,3.99,151000
1994-03-23,4.02,4.1,4.02,4.1,66600
1994-03-24,4.1,4.1,4.04,4.1,75200
1994-03-25,4.07,4.1,4.07,4.1,9600
1994-03-28,4.08,4.08,3.99,4.02,73000
1994-03-29,4.02,4.02,3.81,3.84,295800
1994-03-30,3.82,3.82,3.65,3.74,358000
1994-03-31,3.76,3.78,3.68,3.7,189000
1994-04-04,3.67,3.68,3.5,3.65,491000
1994-04-05,3.68,3.68,3.62,3.68,110800
1994-04-06,3.7,3.9,3.7,3.9,53200
1994-04-07,3.93,4.08,3.93,4.08,97400
1994-04-08,4.08,4.08,3.94,3.94,23000
1994-04-11,3.98,4.08,3.96,4.08,121600
1994-04-12,4.07,4.11,4.02,4.02,207000
1994-04-13,3.99,3.99,3.87,3.87,58000
1994-04-14,3.9,3.93,3.84,3.84,49800
1994-04-15,3.84,3.91,3.84,3.9,293800
1994-04-18,3.87,3.93,3.87,3.93,9600
1994-04-19,3.93,3.96,3.88,3.93,33600
1994-04-20,3.9,3.9,3.87,3.9,91600
1994-04-21,3.9,3.91,3.9,3.9,61000
1994-04-22,3.9,3.91,3.88,3.91,19800
1994-04-25,3.88,4.01,3.88,4.01,33400
1994-04-26,4.02,4.02,3.98,3.98,6200
