Date,Open,High,Low,Close,Volume
1973-02-21,0.0,2.9,2.87,2.87,8100
1973-02-22,0.0,2.94,2.9,2.92,13700
1973-02-23,0.0,2.87,2.83,2.87,21800
1973-02-26,0.0,2.85,2.8,2.85,30900
1973-02-27,0.0,2.85,2.8,2.83,6200
1973-02-28,0.0,2.92,2.83,2.83,17100
1973-03-01,0.0,2.85,2.78,2.8,31100
1973-03-02,0.0,2.8,2.76,2.78,18600
1973-03-05,0.0,2.78,2.76,2.78,16200
1973-03-06,0.0,2.85,2.8,2.85,10700
1973-03-07,0.0,2.87,2.83,2.83,11500
1973-03-08,0.0,2.87,2.83,2.83,19500
1973-03-09,0.0,2.85,2.8,2.8,7600
1973-03-12,0.0,2.83,2.78,2.78,8600
1973-03-13,0.0,2.83,2.78,2.8,7200
1973-03-14,0.0,2.87,2.8,2.83,11400
1973-03-15,0.0,2.83,2.8,2.83,4700
1973-03-16,0.0,2.85,2.8,2.83,8100
1973-03-19,0.0,2.83,2.78,2.78,24000
1973-03-20,0.0,2.8,2.76,2.76,11200
1973-03-21,0.0,2.8,2.76,2.76,9500
1973-03-22,0.0,2.76,2.73,2.76,21800
1973-03-23,0.0,2.78,2.71,2.73,15600
1973-03-26,0.0,2.8,2.71,2.78,14100
1973-03-27,0.0,2.78,2.73,2.78,16600
1973-03-28,0.0,2.78,2.73,2.76,21000
1973-03-29,0.0,2.78,2.73,2.76,11800
1973-03-30,0.0,2.8,2.76,2.76,13600
1973-04-02,0.0,2.83,2.76,2.76,16200
1973-04-03,0.0,2.85,2.76,2.76,11700
1973-04-04,0.0,2.83,2.78,2.8,4500
1973-04-05,0.0,2.78,2.73,2.76,13900
1973-04-06,0.0,2.8,2.73,2.76,13600
1973-04-09,0.0,2.78,2.76,2.78,14800
1973-04-10,0.0,2.8,2.76,2.78,36700
1973-04-11,0.0,2.85,2.78,2.85,7800
1973-04-12,0.0,2.83,2.78,2.83,19000
1973-04-13,0.0,2.85,2.8,2.83,15200
1973-04-16,0.0,2.85,2.78,2.78,8600
1973-04-17,0.0,2.83,2.78,2.8,8100
1973-04-18,0.0,2.8,2.78,2.78,15800
1973-04-19,0.0,2.8,2.78,2.8,13200
1973-04-23,0.0,2.8,2.78,2.8,9400
1973-04-24,0.0,2.83,2.76,2.83,11200
1973-04-25,0.0,2.83,2.76,2.76,14800
1973-04-26,0.0,2.8,2.76,2.78,7900
1973-04-27,0.0,2.8,2.76,2.78,11100
1973-04-30,0.0,2.78,2.73,2.78,36400
1973-05-01,0.0,2.76,2.73,2.76,12200
1973-05-02,0.0,2.78,2.73,2.76,11400
1973-05-03,0.0,2.78,2.76,2.78,35600
1973-05-04,0.0,2.83,2.76,2.8,13800
1973-05-07,0.0,2.83,2.76,2.78,9900
1973-05-08,0.0,2.8,2.76,2.76,10200
1973-05-09,0.0,2.78,2.73,2.76,11900
1973-05-10,0.0,2.78,2.73,2.78,8800
1973-05-11,0.0,2.78,2.73,2.73,9400
1973-05-14,0.0,2.76,2.73,2.73,8900
1973-05-15,0.0,2.76,2.73,2.76,9100
1973-05-16,0.0,2.78,2.73,2.76,6900
1973-05-17,0.0,2.78,2.66,2.68,173400
1973-05-18,0.0,2.71,2.66,2.66,30300
1973-05-21,0.0,2.71,2.64,2.68,20800
1973-05-22,0.0,2.71,2.66,2.68,14100
1973-05-23,0.0,2.73,2.68,2.68,8000
1973-05-24,0.0,2.76,2.68,2.73,13300
1973-05-25,0.0,2.68,2.64,2.68,22300
1973-05-29,0.0,2.73,2.68,2.68,11200
1973-05-30,0.0,2.73,2.68,2.68,9300
1973-05-31,0.0,2.71,2.68,2.68,12100
1973-06-01,0.0,2.71,2.66,2.68,10100
1973-06-04,0.0,2.71,2.66,2.68,26200
1973-06-05,0.0,2.68,2.66,2.68,7400
1973-06-06,0.0,2.71,2.66,2.68,12700
1973-06-07,0.0,2.71,2.66,2.66,12300
1973-06-08,0.0,2.68,2.66,2.68,8400
1973-06-11,0.0,2.68,2.66,2.68,14200
1973-06-12,0.0,2.71,2.66,2.68,11000
1973-06-13,0.0,2.73,2.68,2.73,16800
1973-06-14,0.0,2.73,2.68,2.73,13300
1973-06-15,0.0,2.73,2.66,2.68,9900
1973-06-18,0.0,2.68,2.66,2.66,4800
1973-06-19,0.0,2.68,2.66,2.68,7400
1973-06-20,0.0,2.71,2.66,2.66,7700
1973-06-21,0.0,2.71,2.66,2.68,46000
1973-06-22,0.0,2.73,2.66,2.66,8900
1973-06-25,0.0,2.68,2.66,2.66,12200
1973-06-26,0.0,2.71,2.66,2.71,4400
1973-06-27,0.0,2.76,2.71,2.71,17800
1973-06-28,0.0,2.76,2.71,2.71,12000
1973-06-29,0.0,2.76,2.66,2.71,8000
1973-07-02,0.0,2.71,2.66,2.66,10300
1973-07-03,0.0,2.73,2.66,2.68,15500
1973-07-05,0.0,2.71,2.66,2.66,10300
1973-07-06,0.0,2.68,2.64,2.68,14200
1973-07-09,0.0,2.71,2.66,2.71,7500
1973-07-10,0.0,2.73,2.66,2.66,5300
1973-07-11,0.0,2.73,2.66,2.73,4300
1973-07-12,0.0,2.73,2.68,2.68,6400
1973-07-13,0.0,2.71,2.66,2.66,13400
1973-07-16,0.0,2.73,2.66,2.73,9300
1973-07-17,0.0,2.73,2.66,2.66,6200
1973-07-18,0.0,2.68,2.66,2.68,10600
1973-07-19,0.0,2.68,2.66,2.66,5500
1973-07-20,0.0,2.71,2.64,2.66,7600
1973-07-23,0.0,2.68,2.64,2.66,10900
1973-07-24,0.0,2.66,2.64,2.64,7100
1973-07-25,0.0,2.66,2.57,2.57,20800
1973-07-26,0.0,2.59,2.57,2.57,31500
1973-07-27,0.0,2.59,2.54,2.59,9200
1973-07-30,0.0,2.59,2.54,2.54,8900
1973-07-31,0.0,2.57,2.54,2.57,10100
1973-08-01,0.0,2.54,2.45,2.52,25100
1973-08-02,0.0,2.52,2.45,2.52,9900
1973-08-03,0.0,2.52,2.47,2.47,14100
1973-08-06,0.0,2.52,2.45,2.52,15000
1973-08-07,0.0,2.52,2.45,2.45,6800
1973-08-08,0.0,2.5,2.45,2.45,8100
1973-08-09,0.0,2.5,2.45,2.45,10200
1973-08-10,0.0,2.5,2.45,2.45,9800
1973-08-13,0.0,2.5,2.45,2.45,17800
1973-08-14,0.0,2.5,2.45,2.47,8300
1973-08-15,0.0,2.5,2.45,2.45,7800
1973-08-16,0.0,2.52,2.45,2.45,6500
1973-08-17,0.0,2.52,2.45,2.47,17800
1973-08-20,0.0,2.5,2.47,2.47,6200
1973-08-21,0.0,2.5,2.45,2.5,8200
1973-08-22,0.0,2.52,2.47,2.47,8600
1973-08-23,0.0,2.5,2.47,2.47,5300
1973-08-24,0.0,2.54,2.47,2.5,3800
1973-08-27,0.0,2.47,2.43,2.45,11200
1973-08-28,0.0,2.5,2.43,2.5,8300
1973-08-29,0.0,2.5,2.45,2.45,5600
1973-08-30,0.0,2.5,2.45,2.45,10000
1973-08-31,0.0,2.5,2.43,2.45,30800
1973-09-04,0.0,2.47,2.43,2.45,9100
1973-09-05,0.0,2.47,2.45,2.47,7100
1973-09-06,0.0,2.5,2.45,2.5,16800
1973-09-07,0.0,2.54,2.47,2.52,28700
1973-09-10,0.0,2.54,2.47,2.47,18200
1973-09-11,0.0,2.52,2.47,2.5,7500
1973-09-12,0.0,2.5,2.45,2.45,25900
1973-09-13,0.0,2.5,2.45,2.47,8700
1973-09-14,0.0,2.5,2.45,2.45,7100
1973-09-17,0.0,2.5,2.45,2.5,7500
1973-09-18,0.0,2.5,2.45,2.45,18900
1973-09-19,0.0,2.47,2.43,2.47,51000
1973-09-20,0.0,2.5,2.45,2.5,11800
1973-09-21,0.0,2.5,2.45,2.5,8900
1973-09-24,0.0,2.5,2.45,2.5,9800
1973-09-25,0.0,2.5,2.45,2.5,30400
1973-09-26,0.0,2.59,2.5,2.59,11300
1973-09-27,0.0,2.59,2.52,2.52,31500
1973-09-28,0.0,2.59,2.52,2.57,17100
1973-10-01,0.0,2.59,2.52,2.59,10700
1973-10-02,0.0,2.59,2.54,2.59,11500
1973-10-03,0.0,2.59,2.57,2.57,15700
1973-10-04,0.0,2.59,2.57,2.59,9700
1973-10-05,0.0,2.59,2.54,2.54,6300
1973-10-08,0.0,2.59,2.52,2.54,8900
1973-10-09,0.0,2.57,2.5,2.5,10400
1973-10-10,0.0,2.57,2.5,2.52,7200
1973-10-11,0.0,2.59,2.52,2.54,11700
1973-10-12,0.0,2.59,2.52,2.52,10500
1973-10-15,0.0,2.54,2.5,2.5,14000
1973-10-16,0.0,2.54,2.47,2.5,13500
1973-10-17,0.0,2.54,2.47,2.5,9600
1973-10-18,0.0,2.52,2.45,2.5,21700
1973-10-19,0.0,2.52,2.47,2.47,8500
1973-10-22,0.0,2.52,2.47,2.5,4000
1973-10-23,0.0,2.52,2.45,2.45,12800
1973-10-24,0.0,2.47,2.45,2.45,21300
1973-10-25,0.0,2.5,2.45,2.5,10000
1973-10-26,0.0,2.54,2.47,2.47,7700
1973-10-29,0.0,2.5,2.45,2.47,39300
1973-10-30,0.0,2.47,2.45,2.47,8600
1973-10-31,0.0,2.5,2.45,2.47,21100
1973-11-01,0.0,2.5,2.45,2.47,8800
1973-11-02,0.0,2.52,2.45,2.45,23600
1973-11-05,0.0,2.45,2.4,2.4,11900
1973-11-06,0.0,2.45,2.38,2.43,24000
1973-11-07,0.0,2.43,2.38,2.43,13500
1973-11-08,0.0,2.43,2.38,2.4,13000
1973-11-09,0.0,2.4,2.35,2.38,25200
1973-11-12,0.0,2.38,2.33,2.33,17500
1973-11-13,0.0,2.38,2.31,2.35,12800
1973-11-14,0.0,2.4,2.28,2.28,11500
1973-11-15,0.0,2.33,2.28,2.33,19800
1973-11-16,0.0,2.33,2.28,2.33,21000
1973-11-19,0.0,2.33,2.26,2.26,23700
1973-11-20,0.0,2.31,2.26,2.31,18000
1973-11-21,0.0,2.31,2.26,2.31,10800
1973-11-23,0.0,2.35,2.28,2.35,8500
1973-11-26,0.0,2.28,2.19,2.21,15200
1973-11-27,0.0,2.21,2.12,2.12,21000
1973-11-28,0.0,2.19,2.1,2.12,25100
1973-11-29,0.0,2.14,2.1,2.14,34300
1973-11-30,0.0,2.12,2.07,2.12,21100
1973-12-03,0.0,2.12,2.05,2.07,27600
1973-12-04,0.0,2.1,2.05,2.07,22000
1973-12-05,0.0,2.1,1.95,1.95,33400
1973-12-06,0.0,2.1,1.98,2.05,27700
1973-12-07,0.0,2.14,2.05,2.14,31100
1973-12-10,0.0,2.14,2.05,2.1,16600
1973-12-11,0.0,2.12,2.0,2.03,43500
1973-12-12,0.0,2.05,1.98,2.0,48100
1973-12-13,0.0,2.03,1.95,2.0,49600
1973-12-14,0.0,2.03,1.98,1.98,35300
1973-12-17,0.0,2.0,1.95,1.98,37000
1973-12-18,0.0,2.03,1.98,1.98,30400
1973-12-19,0.0,2.05,1.98,1.98,37200
1973-12-20,0.0,2.05,1.98,1.98,37700
1973-12-21,0.0,2.03,1.98,1.98,47000
1973-12-24,0.0,2.0,1.95,2.0,24200
1973-12-26,0.0,2.05,1.98,2.05,35400
1973-12-27,0.0,2.1,2.0,2.1,25600
1973-12-28,0.0,2.12,2.07,2.1,28800
1973-12-31,0.0,2.14,2.1,2.14,22000
1974-01-02,0.0,2.21,2.12,2.21,10900
1974-01-03,0.0,2.28,2.19,2.24,15900
1974-01-04,0.0,2.28,2.17,2.24,32400
1974-01-07,0.0,2.24,2.21,2.24,17800
1974-01-08,0.0,2.24,2.14,2.14,22200
1974-01-09,0.0,2.17,2.12,2.14,12800
1974-01-10,0.0,2.19,2.14,2.17,8300
1974-01-11,0.0,2.21,2.17,2.19,6500
1974-01-14,0.0,2.21,2.14,2.19,6700
1974-01-15,0.0,2.19,2.14,2.14,11700
1974-01-16,0.0,2.19,2.14,2.19,8800
1974-01-17,0.0,2.21,2.17,2.21,12400
1974-01-18,0.0,2.21,2.17,2.17,10700
1974-01-21,0.0,2.24,2.19,2.24,12000
1974-01-22,0.0,2.31,2.24,2.31,8500
1974-01-23,0.0,2.31,2.24,2.26,18600
1974-01-24,0.0,2.28,2.24,2.28,10000
1974-01-25,0.0,2.31,2.26,2.28,10200
1974-01-28,0.0,2.28,2.24,2.26,8200
1974-01-29,0.0,2.26,2.21,2.26,11500
1974-01-30,0.0,2.26,2.21,2.21,10700
1974-01-31,0.0,2.26,2.21,2.21,8900
1974-02-01,0.0,2.24,2.21,2.21,10300
1974-02-04,0.0,2.24,2.21,2.21,27200
1974-02-05,0.0,2.26,2.21,2.24,20600
1974-02-06,0.0,2.31,2.26,2.26,11300
1974-02-07,0.0,2.31,2.26,2.28,26500
1974-02-08,0.0,2.31,2.26,2.28,18900
1974-02-11,0.0,2.33,2.26,2.28,10500
1974-02-12,0.0,2.31,2.26,2.26,12000
1974-02-13,0.0,2.31,2.26,2.26,10900
1974-02-14,0.0,2.33,2.28,2.33,4900
1974-02-15,0.0,2.33,2.31,2.31,5700
1974-02-19,0.0,2.33,2.28,2.33,11300
1974-02-20,0.0,2.35,2.31,2.35,6400
1974-02-21,0.0,2.35,2.28,2.35,9600
1974-02-22,0.0,2.35,2.33,2.35,7900
1974-02-25,0.0,2.33,2.28,2.31,7900
1974-02-26,0.0,2.31,2.26,2.26,20500
1974-02-27,0.0,2.28,2.26,2.28,6700
1974-02-28,0.0,2.31,2.26,2.28,7900
1974-03-01,0.0,2.31,2.26,2.28,4900
1974-03-04,0.0,2.28,2.26,2.28,26400
1974-03-05,0.0,2.28,2.24,2.26,13600
1974-03-06,0.0,2.28,2.24,2.26,14900
1974-03-07,0.0,2.26,2.24,2.26,18100
1974-03-08,0.0,2.26,2.24,2.24,8700
1974-03-11,0.0,2.28,2.24,2.26,12200
1974-03-12,0.0,2.28,2.21,2.21,16800
