Date,Open,High,Low,Close,Volume
1994-06-07,5.91,6.06,5.91,5.99,1595400
1994-06-08,5.99,5.99,5.91,5.95,162400
1994-06-09,5.95,5.95,5.91,5.95,76200
1994-06-10,5.95,5.95,5.87,5.91,110500
1994-06-13,5.91,5.91,5.87,5.91,51200
1994-06-14,5.91,5.95,5.91,5.95,28100
1994-06-15,5.95,6.03,5.91,5.95,96700
1994-06-16,5.95,5.95,5.91,5.91,19800
1994-06-17,5.91,5.95,5.87,5.87,56000
1994-06-20,5.87,5.91,5.87,5.91,43500
1994-06-21,5.91,5.91,5.87,5.87,34700
1994-06-22,5.87,5.91,5.87,5.87,29500
1994-06-23,5.87,5.91,5.79,5.79,67900
1994-06-24,5.78,5.78,5.63,5.7,72500
1994-06-27,5.7,5.7,5.35,5.55,70100
1994-06-28,5.55,5.63,5.43,5.47,64700
1994-06-29,5.51,5.63,5.51,5.55,25100
1994-06-30,5.55,5.59,5.47,5.47,26100
1994-07-01,5.47,5.51,5.39,5.51,25500
1994-07-05,5.51,5.55,5.51,5.55,2900
1994-07-06,5.55,5.55,5.43,5.47,33600
1994-07-07,5.47,5.55,5.47,5.47,30500
1994-07-08,5.47,5.55,5.47,5.47,30200
1994-07-11,5.47,5.55,5.43,5.51,29300
1994-07-12,5.51,5.55,5.47,5.51,11700
1994-07-13,5.51,5.55,5.47,5.51,37800
1994-07-14,5.51,5.55,5.47,5.55,24600
1994-07-15,5.55,5.59,5.55,5.59,15000
1994-07-18,5.59,5.59,5.55,5.59,22900
1994-07-19,5.59,5.74,5.59,5.74,25700
1994-07-20,5.74,5.74,5.63,5.66,15900
1994-07-21,5.66,5.66,5.59,5.66,16000
1994-07-22,5.66,5.74,5.66,5.7,18800
1994-07-25,5.7,5.74,5.66,5.74,20100
1994-07-26,5.74,5.78,5.7,5.74,14200
1994-07-27,5.7,5.7,5.63,5.66,10100
1994-07-28,5.63,5.63,5.55,5.55,9200
1994-07-29,5.55,5.55,5.47,5.51,71400
1994-08-01,5.51,5.51,5.47,5.47,23500
1994-08-02,5.47,5.63,5.47,5.63,36700
1994-08-03,5.63,5.7,5.55,5.7,16300
1994-08-04,5.7,5.7,5.55,5.59,19800
1994-08-05,5.59,5.59,5.55,5.59,9100
1994-08-08,5.59,5.63,5.55,5.59,20100
1994-08-09,5.55,5.55,5.51,5.51,26700
1994-08-10,5.51,5.63,5.51,5.63,52600
1994-08-11,5.63,5.66,5.55,5.55,15800
1994-08-12,5.55,5.63,5.55,5.59,6100
1994-08-15,5.59,5.59,5.55,5.55,14400
1994-08-16,5.55,5.63,5.55,5.63,16800
1994-08-17,5.63,5.63,5.59,5.63,14500
1994-08-18,5.59,5.59,5.55,5.59,11500
1994-08-19,5.59,5.63,5.55,5.59,10300
1994-08-22,5.59,5.63,5.59,5.63,6500
1994-08-23,5.63,5.63,5.59,5.63,9600
1994-08-24,5.63,5.63,5.59,5.63,18300
1994-08-25,5.63,5.63,5.51,5.51,12800
1994-08-26,5.51,5.59,5.51,5.59,13400
1994-08-29,5.59,5.63,5.55,5.63,11900
1994-08-30,5.63,5.66,5.59,5.66,39400
1994-08-31,5.66,5.74,5.66,5.7,23900
1994-09-01,5.7,5.74,5.66,5.74,31400
1994-09-02,5.74,5.9,5.7,5.9,27800
1994-09-06,5.86,5.86,5.78,5.82,8800
1994-09-07,5.82,5.86,5.78,5.82,10800
1994-09-08,5.82,5.86,5.78,5.78,7100
1994-09-09,5.78,5.82,5.66,5.78,17800
1994-09-12,5.78,5.82,5.78,5.82,9300
1994-09-13,5.82,5.82,5.74,5.74,11400
1994-09-14,5.74,5.78,5.7,5.7,7800
1994-09-15,5.7,5.78,5.66,5.78,8700
1994-09-16,5.78,5.78,5.66,5.66,10700
1994-09-19,5.66,5.74,5.63,5.74,7200
1994-09-20,5.74,5.82,5.74,5.78,11700
1994-09-21,5.78,5.78,5.63,5.7,12800
1994-09-22,5.7,5.7,5.55,5.59,20400
1994-09-23,5.59,5.59,5.47,5.55,5500
1994-09-26,5.68,5.72,5.44,5.72,18000
1994-09-27,5.72,5.76,5.68,5.72,5300
1994-09-28,5.72,5.72,5.52,5.52,9200
1994-09-29,5.56,5.68,5.56,5.68,6300
1994-09-30,5.68,5.72,5.64,5.72,6400
1994-10-03,5.72,5.72,5.64,5.64,5900
1994-10-04,5.64,5.72,5.64,5.64,5500
1994-10-05,5.64,5.64,5.36,5.4,15300
1994-10-06,5.4,5.44,5.32,5.32,35900
1994-10-07,5.36,5.4,5.36,5.4,36500
1994-10-10,5.4,5.52,5.4,5.4,23700
1994-10-11,5.4,5.4,5.24,5.32,32900
1994-10-12,5.32,5.4,5.32,5.4,12700
1994-10-13,5.4,5.4,5.32,5.32,6400
1994-10-14,5.32,5.32,5.24,5.28,10200
1994-10-17,5.32,5.36,5.32,5.36,8100
1994-10-18,5.36,5.48,5.36,5.36,24700
1994-10-19,5.36,5.36,5.28,5.32,9200
1994-10-20,5.32,5.4,5.24,5.36,20700
1994-10-21,5.36,5.44,5.36,5.44,5000
1994-10-24,5.44,5.48,5.44,5.44,4900
1994-10-25,5.44,5.44,5.28,5.36,12000
1994-10-26,5.36,5.36,5.24,5.28,9600
1994-10-27,5.28,5.28,5.24,5.28,43100
1994-10-28,5.32,5.48,5.32,5.48,7600
1994-10-31,5.48,5.6,5.44,5.6,18400
1994-11-01,5.56,5.56,5.4,5.48,11200
1994-11-02,5.48,5.56,5.48,5.56,12900
1994-11-03,5.56,5.56,5.52,5.52,16800
1994-11-04,5.48,5.52,5.48,5.52,56300
1994-11-07,5.48,5.48,5.44,5.48,3300
1994-11-08,5.44,5.52,5.4,5.44,16900
1994-11-09,5.48,5.52,5.4,5.44,12200
1994-11-10,5.48,5.48,5.32,5.36,5600
1994-11-11,5.32,5.32,5.24,5.28,8900
1994-11-14,5.32,5.36,5.28,5.28,10800
1994-11-15,5.36,5.36,5.24,5.24,10800
1994-11-16,5.24,5.24,5.01,5.04,14500
1994-11-17,5.08,5.2,5.08,5.16,17400
1994-11-18,5.2,5.28,5.16,5.28,10900
1994-11-21,5.24,5.28,5.2,5.2,5800
1994-11-22,5.24,5.28,5.2,5.24,2300
1994-11-23,5.2,5.48,5.2,5.4,17100
1994-11-25,5.36,5.4,5.32,5.36,3600
1994-11-28,5.4,5.4,5.32,5.4,8300
1994-11-29,5.48,5.48,5.36,5.36,6900
1994-11-30,5.36,5.4,5.36,5.4,5600
1994-12-01,5.4,5.44,5.28,5.28,13800
1994-12-02,5.24,5.24,5.2,5.24,4200
1994-12-05,5.2,5.2,5.16,5.16,5800
1994-12-06,5.16,5.24,5.08,5.12,8100
1994-12-07,5.16,5.24,5.12,5.12,11900
1994-12-08,5.08,5.08,4.89,4.97,17300
1994-12-09,4.97,5.01,4.93,5.01,8400
1994-12-12,4.97,5.08,4.97,5.01,5800
1994-12-13,5.04,5.04,4.93,5.01,9600
1994-12-14,5.01,5.08,5.01,5.01,20700
1994-12-15,5.04,5.24,5.04,5.24,8900
1994-12-16,5.28,5.4,5.12,5.16,26300
1994-12-19,5.2,5.24,4.97,5.12,23000
1994-12-20,5.16,5.16,5.08,5.08,6200
1994-12-21,5.08,5.08,4.93,5.01,20600
1994-12-22,4.93,5.01,4.93,4.97,37100
1994-12-23,5.06,5.06,4.94,5.02,28000
1994-12-27,4.98,5.02,4.9,4.94,13900
1994-12-28,4.98,4.98,4.78,4.86,23400
1994-12-29,4.9,5.02,4.9,4.94,17100
1994-12-30,4.94,4.98,4.82,4.94,33000
1995-01-03,4.98,5.22,4.98,5.22,10700
1995-01-04,5.27,5.35,5.22,5.31,7000
1995-01-05,5.27,5.39,5.27,5.35,13200
1995-01-06,5.35,5.43,5.35,5.43,7200
1995-01-09,5.47,5.47,5.39,5.39,3300
1995-01-10,5.43,5.43,5.31,5.39,7300
1995-01-11,5.43,5.43,5.35,5.35,8300
1995-01-12,5.39,5.39,5.35,5.35,6100
1995-01-13,5.39,5.43,5.35,5.39,10800
1995-01-16,5.35,5.39,5.35,5.35,2200
1995-01-17,5.47,5.47,5.31,5.39,17000
1995-01-18,5.39,5.39,5.27,5.39,25100
1995-01-19,5.27,5.27,5.14,5.27,39100
1995-01-20,5.31,5.35,5.31,5.31,4000
1995-01-23,5.27,5.27,5.18,5.22,6000
1995-01-24,5.18,5.27,5.14,5.27,6900
1995-01-25,5.31,5.35,5.27,5.35,5200
1995-01-26,5.39,5.39,5.31,5.31,3000
1995-01-27,5.43,5.43,5.39,5.39,2700
1995-01-30,5.39,5.43,5.39,5.43,4500
1995-01-31,5.39,5.39,5.31,5.39,3800
1995-02-01,5.43,5.43,5.35,5.35,12900
1995-02-02,5.39,5.39,5.35,5.39,5100
1995-02-03,5.39,5.39,5.22,5.22,35300
1995-02-06,5.22,5.27,5.22,5.27,13200
1995-02-07,5.22,5.31,5.22,5.22,14700
1995-02-08,5.22,5.22,5.1,5.14,22400
1995-02-09,5.14,5.22,5.14,5.22,19900
1995-02-10,5.22,5.27,5.1,5.22,16600
1995-02-13,5.22,5.22,5.06,5.06,19000
1995-02-14,5.14,5.18,5.1,5.18,9300
1995-02-15,5.22,5.27,5.18,5.27,4000
1995-02-16,5.22,5.22,5.18,5.18,2900
1995-02-17,5.22,5.22,5.14,5.18,3400
1995-02-21,5.18,5.18,4.78,5.14,32100
1995-02-22,5.14,5.14,5.06,5.14,12000
1995-02-23,5.14,5.18,5.06,5.18,13100
1995-02-24,5.14,5.18,5.02,5.18,11100
1995-02-27,5.18,5.22,5.14,5.22,12600
1995-02-28,5.18,5.27,5.14,5.27,13400
1995-03-01,5.27,5.27,5.18,5.22,2800
1995-03-02,5.22,5.22,5.1,5.1,43600
1995-03-03,5.14,5.18,5.02,5.02,10000
1995-03-06,5.06,5.06,5.02,5.02,9900
1995-03-07,5.06,5.1,5.02,5.06,6400
1995-03-08,5.06,5.1,5.02,5.02,3200
1995-03-09,5.06,5.14,5.02,5.06,20500
1995-03-10,5.02,5.06,5.02,5.02,2100
1995-03-13,5.06,5.06,4.98,5.02,6600
1995-03-14,5.02,5.14,4.98,5.06,5600
1995-03-15,5.06,5.18,5.06,5.18,6800
1995-03-16,5.22,5.22,5.1,5.1,9600
1995-03-17,5.1,5.14,5.06,5.14,6400
1995-03-20,5.14,5.22,5.14,5.22,26200
1995-03-21,5.22,5.22,5.18,5.22,7600
1995-03-22,5.18,5.22,5.18,5.18,9200
1995-03-23,5.22,5.31,5.22,5.22,125800
1995-03-24,5.27,5.35,5.22,5.35,101400
1995-03-27,5.28,5.36,5.24,5.36,6700
1995-03-28,5.36,5.36,5.28,5.32,9600
1995-03-29,5.36,5.36,5.28,5.36,90500
1995-03-30,5.36,5.36,5.32,5.36,9600
1995-03-31,5.28,5.36,5.28,5.32,3000
1995-04-03,5.28,5.32,5.28,5.28,2100
1995-04-04,5.32,5.32,5.24,5.28,5000
1995-04-05,5.32,5.4,5.32,5.4,14400
1995-04-06,5.36,5.53,5.36,5.53,32100
1995-04-07,5.49,5.49,5.49,5.49,1500
1995-04-10,5.44,5.53,5.44,5.53,38700
1995-04-11,5.49,5.53,5.49,5.53,5700
1995-04-12,5.53,5.57,5.49,5.49,3000
1995-04-13,5.57,5.57,5.53,5.53,3600
1995-04-17,5.53,5.53,5.44,5.44,1900
1995-04-18,5.53,5.53,5.44,5.44,6800
1995-04-19,5.44,5.53,5.44,5.53,7100
1995-04-20,5.53,5.53,5.4,5.44,6000
1995-04-21,5.44,5.57,5.4,5.57,5100
1995-04-24,5.49,5.49,5.36,5.36,3400
1995-04-25,5.4,5.44,5.36,5.4,15600
1995-04-26,5.36,5.44,5.28,5.32,6100
1995-04-27,5.32,5.4,5.32,5.36,3600
1995-04-28,5.4,5.49,5.4,5.44,7000
1995-05-01,5.49,5.57,5.44,5.53,4500
1995-05-02,5.49,5.53,5.36,5.44,9200
1995-05-03,5.49,5.49,5.44,5.49,11600
1995-05-04,5.53,5.61,5.53,5.61,10100
1995-05-05,5.61,5.74,5.61,5.7,5200
1995-05-08,5.7,5.82,5.65,5.82,9200
1995-05-09,5.82,6.03,5.82,6.03,30500
1995-05-10,6.07,6.07,5.99,5.99,18500
1995-05-11,6.03,6.07,5.99,6.03,9000
1995-05-12,6.03,6.03,5.95,5.99,21800
1995-05-15,6.03,6.03,5.74,5.86,18300
1995-05-16,5.82,5.86,5.82,5.86,5800
1995-05-17,5.86,5.95,5.82,5.82,4700
1995-05-18,5.82,5.86,5.78,5.78,6800
1995-05-19,5.78,5.95,5.78,5.86,4100
1995-05-22,5.82,5.82,5.74,5.78,15800
1995-05-23,5.82,5.91,5.78,5.82,11200
1995-05-24,5.86,5.91,5.82,5.82,6500
1995-05-25,5.86,5.91,5.86,5.91,2900
