Date,Open,High,Low,Close,Volume
1996-08-16,25.63,27.27,23.45,24.54,2691800
1996-08-19,25.09,25.9,23.72,23.86,441500
1996-08-20,24.0,24.54,23.72,24.0,240000
1996-08-21,24.0,24.0,22.9,22.9,582800
1996-08-22,23.18,23.18,22.9,22.9,845600
1996-08-23,22.9,23.18,22.9,23.18,136600
1996-08-26,23.18,23.18,22.9,22.9,72100
1996-08-27,22.9,23.18,22.9,22.9,39800
1996-08-28,23.18,23.18,22.9,23.18,52600
1996-08-29,23.18,23.18,22.9,22.97,14200
1996-08-30,22.9,23.18,22.9,22.9,16000
1996-09-03,23.18,23.18,22.77,22.9,139300
1996-09-04,22.9,23.18,22.9,22.9,63000
1996-09-05,23.18,23.18,22.9,22.9,54000
1996-09-06,22.9,23.18,22.9,22.9,49300
1996-09-09,23.18,23.18,22.9,22.9,66700
1996-09-10,22.9,23.18,22.9,22.9,29700
1996-09-11,23.18,23.18,19.09,19.09,293800
1996-09-12,19.91,20.45,19.09,19.91,197000
1996-09-13,20.45,20.72,19.63,20.45,55100
1996-09-16,20.45,20.45,19.63,19.91,71500
1996-09-17,19.91,19.91,18.54,18.81,101800
1996-09-18,18.81,18.81,18.0,18.27,101900
1996-09-19,18.27,18.81,18.0,18.54,74400
1996-09-20,18.27,21.0,18.27,21.0,219000
1996-09-23,21.0,21.0,19.91,20.18,145000
1996-09-24,20.18,20.18,19.36,19.91,80000
1996-09-25,19.91,20.72,19.63,20.72,147200
1996-09-26,20.72,23.45,20.45,23.45,174600
1996-09-27,23.45,27.81,23.18,27.27,245900
1996-09-30,27.27,30.27,27.27,28.77,214500
1996-10-01,28.9,28.9,23.72,24.0,293400
1996-10-02,24.0,24.27,24.0,24.27,61600
1996-10-03,24.27,26.45,24.0,26.18,82600
1996-10-04,26.18,27.54,26.18,27.0,83700
1996-10-07,26.72,29.18,26.45,27.0,163300
1996-10-08,26.72,27.0,25.09,25.36,95300
1996-10-09,25.63,25.63,24.0,25.09,107300
1996-10-10,24.54,27.0,24.54,26.72,127400
1996-10-11,27.0,28.9,26.72,27.27,277900
1996-10-14,27.0,27.27,26.45,26.72,100000
1996-10-15,26.72,27.27,25.9,26.45,90300
1996-10-16,26.45,27.54,25.9,26.72,107400
1996-10-17,26.72,27.81,26.45,27.27,92000
1996-10-18,27.81,27.81,27.27,27.27,104800
1996-10-21,27.81,27.81,27.27,27.27,27400
1996-10-22,27.81,27.81,25.63,25.63,66600
1996-10-23,25.36,25.9,24.81,25.9,99300
1996-10-24,25.9,26.18,25.36,25.63,45200
1996-10-25,25.63,25.63,24.54,24.68,20500
1996-10-28,24.81,24.81,23.45,23.72,97300
1996-10-29,23.45,24.0,23.45,23.45,51000
1996-10-30,23.72,23.72,23.45,23.72,41400
1996-10-31,24.27,25.09,24.0,24.27,195000
1996-11-01,24.54,24.54,21.27,21.54,118800
1996-11-04,21.54,22.63,21.0,21.27,110400
1996-11-05,21.27,21.54,19.63,20.18,87400
1996-11-06,20.18,22.36,19.91,21.81,207400
1996-11-07,21.81,22.09,21.0,21.0,83000
1996-11-08,21.27,21.27,20.45,21.27,29700
1996-11-11,21.27,21.27,20.45,20.45,44700
1996-11-12,20.45,21.27,19.09,19.63,100500
1996-11-13,19.91,20.18,19.36,19.63,63800
1996-11-14,19.63,21.54,19.36,21.0,71700
1996-11-15,21.0,21.81,21.0,21.54,38300
1996-11-18,21.54,21.81,21.0,21.81,51100
1996-11-19,21.81,22.36,21.54,22.09,64400
1996-11-20,21.81,22.09,21.81,22.09,15200
1996-11-21,21.81,24.0,21.81,23.96,84200
1996-11-22,23.72,24.54,22.9,23.18,57400
1996-11-25,23.72,24.54,22.9,23.45,44600
1996-11-26,24.0,24.0,23.18,23.18,27700
1996-11-27,24.0,24.0,23.18,23.18,42400
1996-11-29,24.0,24.0,23.18,23.86,10900
1996-12-02,24.0,24.0,23.45,23.45,14100
1996-12-03,23.18,25.36,22.09,24.81,154600
1996-12-04,24.27,27.81,24.27,25.63,149700
1996-12-05,25.9,26.45,25.63,26.45,28600
1996-12-06,25.36,25.63,24.54,25.09,47400
1996-12-09,25.63,27.54,25.09,27.0,117900
1996-12-10,27.27,27.27,26.18,26.18,69000
1996-12-11,26.18,26.45,24.54,25.36,41700
1996-12-12,25.9,25.9,25.09,25.9,15800
1996-12-13,25.63,26.18,25.09,25.63,30800
1996-12-16,25.9,25.9,24.54,24.54,40400
1996-12-17,24.54,25.36,24.0,24.81,13600
1996-12-18,25.9,25.9,24.81,24.81,84800
1996-12-19,24.81,25.09,23.72,24.54,51200
1996-12-20,24.54,24.54,23.72,24.0,58000
1996-12-23,24.54,24.54,24.0,24.54,1200
1996-12-24,24.27,24.54,24.0,24.27,180000
1996-12-26,24.54,24.54,24.0,24.27,6600
1996-12-27,24.27,25.09,24.27,24.54,15000
1996-12-30,25.09,25.09,24.27,24.81,34000
1996-12-31,25.09,25.09,24.54,25.09,13800
1997-01-02,24.54,24.81,24.27,24.54,55000
1997-01-03,24.27,24.81,24.0,24.27,32000
1997-01-06,24.81,26.18,24.27,25.9,42200
1997-01-07,26.18,27.0,25.9,26.45,48400
1997-01-08,26.45,26.72,25.9,25.9,22600
1997-01-09,25.63,26.45,24.81,25.09,20800
1997-01-10,24.81,26.18,24.54,26.18,36300
1997-01-13,26.18,26.72,25.36,26.72,42100
1997-01-14,26.18,27.0,25.63,25.9,21100
1997-01-15,25.9,27.0,25.36,26.72,48600
1997-01-16,26.72,27.27,26.72,27.27,38000
1997-01-17,27.27,28.09,26.72,27.54,80400
1997-01-20,27.54,29.18,27.0,28.9,87000
1997-01-21,28.63,35.72,28.36,35.72,490700
1997-01-22,37.63,42.26,37.36,42.26,693700
1997-01-23,42.54,43.08,39.81,40.36,333700
1997-01-24,40.08,41.72,40.08,41.17,137500
1997-01-27,41.45,41.72,40.08,40.36,95200
1997-01-28,40.08,40.36,37.08,38.72,155300
1997-01-29,38.45,39.27,38.45,38.99,81700
