Date,Open,High,Low,Close,Volume
1972-06-01,0.28,0.28,0.28,0.28,1089200
1972-06-02,0.28,0.28,0.28,0.28,1173500
1972-06-05,0.28,0.28,0.28,0.28,5208100
1972-06-06,0.28,0.28,0.28,0.28,1421400
1972-06-07,0.28,0.28,0.28,0.28,671800
1972-06-08,0.28,0.28,0.27,0.27,1036600
1972-06-09,0.27,0.28,0.27,0.27,6589200
1972-06-12,0.27,0.28,0.27,0.27,1430100
1972-06-13,0.27,0.28,0.27,0.28,931400
1972-06-14,0.28,0.28,0.28,0.28,2939300
1972-06-15,0.28,0.28,0.28,0.28,1460700
1972-06-16,0.28,0.28,0.28,0.28,750400
1972-06-19,0.28,0.28,0.28,0.28,529300
1972-06-20,0.28,0.28,0.28,0.28,894100
1972-06-21,0.28,0.28,0.28,0.28,1608800
1972-06-22,0.28,0.28,0.27,0.27,1282200
1972-06-23,0.27,0.27,0.27,0.27,1273300
1972-06-26,0.27,0.27,0.27,0.27,621300
1972-06-27,0.27,0.28,0.27,0.28,877700
1972-06-28,0.28,0.28,0.27,0.27,904100
1972-06-29,0.27,0.28,0.27,0.27,448000
1972-06-30,0.27,0.27,0.27,0.27,825100
1972-07-03,0.27,0.27,0.27,0.27,438200
1972-07-05,0.27,0.27,0.27,0.27,1395000
1972-07-06,0.27,0.27,0.27,0.27,1173500
1972-07-07,0.27,0.27,0.27,0.27,1351100
1972-07-10,0.27,0.27,0.27,0.27,523700
1972-07-11,0.27,0.27,0.27,0.27,546600
1972-07-12,0.27,0.27,0.26,0.26,1801800
1972-07-13,0.26,0.26,0.26,0.26,680300
1972-07-14,0.26,0.27,0.26,0.26,941200
1972-07-17,0.26,0.27,0.26,0.26,583000
1972-07-18,0.26,0.27,0.26,0.27,1338000
1972-07-19,0.27,0.27,0.27,0.27,1707400
1972-07-20,0.27,0.27,0.26,0.26,492900
1972-07-21,0.26,0.27,0.26,0.27,602500
1972-07-24,0.27,0.28,0.27,0.28,1456400
1972-07-25,0.28,0.28,0.28,0.28,1552900
1972-07-26,0.28,0.28,0.28,0.28,430500
1972-07-27,0.28,0.28,0.27,0.27,1109000
1972-07-28,0.28,0.28,0.28,0.28,1814900
1972-07-31,0.28,0.28,0.28,0.28,1259200
1972-08-01,0.28,0.28,0.27,0.28,1424700
1972-08-02,0.28,0.28,0.28,0.28,2140400
1972-08-03,0.28,0.29,0.28,0.29,4331200
1972-08-04,0.29,0.29,0.29,0.29,1188000
1972-08-07,0.29,0.29,0.29,0.29,1929800
1972-08-08,0.29,0.29,0.29,0.29,948000
1972-08-09,0.29,0.29,0.28,0.28,2822000
1972-08-10,0.28,0.28,0.28,0.28,1203200
1972-08-11,0.28,0.29,0.28,0.29,1283300
1972-08-14,0.29,0.29,0.29,0.29,1888200
1972-08-15,0.29,0.29,0.28,0.28,1125400
1972-08-16,0.28,0.28,0.28,0.28,1138700
1972-08-17,0.28,0.28,0.28,0.28,2131700
1972-08-18,0.28,0.28,0.28,0.28,973000
1972-08-21,0.28,0.28,0.28,0.28,1006000
1972-08-22,0.29,0.29,0.29,0.29,1703000
1972-08-23,0.29,0.3,0.29,0.3,3170600
1972-08-24,0.3,0.3,0.29,0.29,2447200
1972-08-25,0.29,0.29,0.29,0.29,1584700
1972-08-28,0.29,0.29,0.29,0.29,583000
1972-08-29,0.29,0.29,0.28,0.29,1954100
1972-08-30,0.29,0.29,0.28,0.28,904100
1972-08-31,0.28,0.29,0.28,0.29,780200
1972-09-01,0.29,0.29,0.29,0.29,694700
1972-09-05,0.29,0.29,0.29,0.29,388900
1972-09-06,0.29,0.29,0.28,0.28,660600
1972-09-07,0.28,0.29,0.28,0.28,739600
1972-09-08,0.28,0.29,0.28,0.28,740700
1972-09-11,0.28,0.28,0.28,0.28,573000
1972-09-12,0.28,0.28,0.28,0.28,1232900
1972-09-13,0.28,0.28,0.28,0.28,775800
1972-09-14,0.28,0.28,0.28,0.28,484200
1972-09-15,0.28,0.28,0.28,0.28,494200
1972-09-18,0.28,0.28,0.28,0.28,296800
1972-09-19,0.28,0.28,0.28,0.28,852500
1972-09-20,0.28,0.28,0.28,0.28,1643800
1972-09-21,0.28,0.28,0.27,0.27,1592200
