Date,Open,High,Low,Close,Volume
1995-07-10,6.79,7.04,6.79,7.04,5438000
1995-07-11,7.22,7.22,7.11,7.19,4907000
1995-07-12,7.19,7.51,7.15,7.51,1055800
1995-07-13,7.47,7.55,7.44,7.51,1373600
1995-07-14,7.47,7.51,7.44,7.47,985600
1995-07-17,7.47,7.47,7.4,7.44,947600
1995-07-18,7.44,7.44,7.22,7.26,727400
1995-07-19,7.22,7.22,6.72,6.83,558200
1995-07-20,6.75,6.79,6.75,6.79,464600
1995-07-21,6.83,7.01,6.83,6.93,721200
1995-07-24,6.93,7.04,6.93,6.93,509000
1995-07-25,6.97,7.11,6.93,6.97,847000
1995-07-26,7.04,7.22,7.04,7.22,1584800
1995-07-27,7.19,7.4,7.19,7.4,2082600
1995-07-28,7.4,7.87,7.29,7.87,14640800
1995-07-31,7.83,7.83,7.62,7.76,2544600
1995-08-01,7.72,7.72,7.62,7.65,1956000
1995-08-02,7.65,7.65,7.26,7.29,2307600
1995-08-03,7.22,7.47,7.22,7.47,1762800
1995-08-04,7.4,7.44,7.19,7.29,903800
1995-08-07,7.26,7.26,7.15,7.22,837000
1995-08-08,7.19,7.22,7.15,7.15,729000
1995-08-09,7.15,7.15,7.01,7.04,586600
1995-08-10,7.04,7.22,7.04,7.11,1319400
1995-08-11,7.11,7.26,7.11,7.19,1152000
1995-08-14,7.19,7.19,6.97,7.04,379800
1995-08-15,7.04,7.11,7.04,7.08,349600
1995-08-16,7.15,7.19,7.08,7.11,440200
1995-08-17,7.11,7.22,7.08,7.22,410600
1995-08-18,7.22,7.22,7.01,7.04,598800
1995-08-21,7.08,7.15,6.97,6.97,440400
1995-08-22,7.01,7.04,6.83,6.9,444200
1995-08-23,6.93,6.93,6.65,6.79,193200
1995-08-24,6.79,6.79,6.65,6.68,1284000
1995-08-25,6.68,6.86,6.58,6.79,733400
1995-08-28,6.79,6.79,6.61,6.68,447600
1995-08-29,6.68,6.68,6.5,6.58,368600
1995-08-30,6.5,6.75,6.5,6.65,398000
1995-08-31,6.68,6.72,6.65,6.72,417400
1995-09-01,6.68,6.79,6.68,6.75,594600
1995-09-05,6.83,6.86,6.72,6.79,487600
1995-09-06,6.83,6.9,6.79,6.86,476400
1995-09-07,6.83,6.83,6.65,6.68,618000
1995-09-08,6.68,6.72,6.65,6.68,1015600
1995-09-11,6.68,6.9,6.65,6.83,279000
1995-09-12,6.83,6.9,6.72,6.9,290000
1995-09-13,7.01,7.15,7.01,7.01,325000
1995-09-14,7.01,7.04,6.93,7.04,491800
1995-09-15,7.11,7.15,7.04,7.11,1108600
1995-09-18,7.11,7.15,7.08,7.15,609400
1995-09-19,7.11,7.15,7.08,7.15,581600
1995-09-20,7.11,7.15,7.08,7.11,597600
