Date,Open,High,Low,Close,Volume
1997-11-10,9.43,9.43,9.21,9.23,947200
1997-11-11,9.23,9.32,9.21,9.27,514700
1997-11-12,9.25,9.48,9.21,9.39,344700
1997-11-13,9.37,9.5,9.37,9.48,1007700
1997-11-14,9.48,9.53,9.41,9.53,1394900
1997-11-17,9.5,9.62,9.48,9.57,706600
1997-11-18,9.53,9.66,9.5,9.55,625800
1997-11-19,9.53,9.62,9.53,9.62,342400
1997-11-20,9.59,9.75,9.59,9.71,558800
1997-11-21,9.8,9.85,9.71,9.85,640800
1997-11-24,9.75,9.89,9.71,9.85,330800
1997-11-25,9.82,9.98,9.8,9.94,1021000
1997-11-26,9.96,9.96,9.85,9.85,488700
1997-11-28,9.89,9.89,9.85,9.89,244200
1997-12-01,9.89,10.03,9.87,10.03,836200
1997-12-02,9.98,10.03,9.91,9.94,437800
1997-12-03,9.98,9.98,9.85,9.94,338400
1997-12-04,9.98,10.14,9.91,10.03,1405800
1997-12-05,9.94,10.21,9.94,10.01,362500
1997-12-08,10.03,10.05,9.94,10.01,312900
1997-12-09,9.96,10.01,9.87,9.96,365300
1997-12-10,10.05,10.08,9.96,10.01,354100
1997-12-11,9.98,10.01,9.87,9.94,199600
1997-12-12,9.98,10.01,9.89,9.96,680500
1997-12-15,9.96,10.1,9.96,10.08,489500
1997-12-16,10.08,10.1,10.03,10.05,310200
1997-12-17,10.1,10.1,10.01,10.05,386100
1997-12-18,10.05,10.19,10.03,10.19,1640900
1997-12-19,10.19,10.37,10.14,10.37,2164100
1997-12-22,10.37,10.56,10.35,10.49,851400
1997-12-23,10.42,10.53,10.37,10.44,493200
1997-12-24,10.46,10.51,10.42,10.49,92200
1997-12-26,10.46,10.49,10.28,10.35,215300
1997-12-29,10.35,10.53,10.3,10.46,280800
1997-12-30,10.49,10.56,10.44,10.56,268600
1997-12-31,10.49,10.62,10.46,10.62,482900
1998-01-02,10.53,10.6,10.44,10.58,317200
1998-01-05,10.51,10.59,10.33,10.4,734200
1998-01-06,10.35,10.49,10.35,10.46,1507800
1998-01-07,10.42,10.42,10.28,10.42,724000
1998-01-08,10.37,10.42,10.28,10.4,461600
1998-01-09,10.37,10.46,10.3,10.37,863900
1998-01-12,10.21,10.53,10.21,10.53,679200
1998-01-13,10.53,10.53,10.4,10.42,1065600
1998-01-14,10.42,10.42,10.3,10.42,348700
1998-01-15,10.37,10.4,10.35,10.35,638200
1998-01-16,10.44,10.44,10.35,10.4,488700
1998-01-20,10.4,10.44,10.26,10.44,344700
1998-01-21,10.44,10.53,10.35,10.44,464300
1998-01-22,10.42,10.44,10.35,10.44,421800
1998-01-23,10.42,10.44,10.33,10.37,320800
1998-01-26,10.35,10.49,10.35,10.49,1019500
1998-01-27,10.49,10.58,10.46,10.49,415700
1998-01-28,10.46,10.62,10.44,10.6,325800
1998-01-29,10.6,10.81,10.53,10.78,1813100
1998-01-30,10.76,10.81,10.62,10.62,283500
1998-02-02,10.81,10.85,10.58,10.62,1120100
1998-02-03,10.53,10.78,10.53,10.78,2424000
1998-02-04,10.72,10.85,10.72,10.78,544800
1998-02-05,10.78,10.92,10.74,10.85,854100
1998-02-06,10.85,11.09,10.85,10.97,415100
1998-02-09,10.95,10.97,10.88,10.9,553000
1998-02-10,10.85,10.92,10.81,10.85,329000
1998-02-11,10.83,10.88,10.81,10.85,407900
1998-02-12,10.83,10.92,10.76,10.9,436400
1998-02-13,10.9,11.02,10.83,10.99,241300
1998-02-17,10.99,11.06,10.78,10.85,336100
1998-02-18,10.85,10.92,10.83,10.83,320700
1998-02-19,10.83,10.85,10.76,10.85,510000
1998-02-20,10.88,10.88,10.72,10.78,392600
1998-02-23,10.81,10.81,10.67,10.76,553700
1998-02-24,10.74,10.76,10.58,10.67,367100
1998-02-25,10.76,10.81,10.65,10.76,268300
1998-02-26,10.72,10.76,10.62,10.69,396700
1998-02-27,10.65,10.74,10.62,10.74,452600
1998-03-02,10.74,10.81,10.69,10.72,345700
1998-03-03,10.72,10.78,10.65,10.78,368100
1998-03-04,10.74,10.88,10.69,10.88,281500
1998-03-05,10.83,10.85,10.74,10.78,389700
1998-03-06,10.78,11.02,10.78,11.02,380900
1998-03-09,10.95,11.09,10.9,11.06,419800
1998-03-10,11.06,11.25,11.04,11.23,308900
1998-03-11,11.23,11.25,11.09,11.11,279000
1998-03-12,11.11,11.2,11.09,11.16,284400
1998-03-13,11.16,11.16,11.04,11.11,669000
1998-03-16,11.11,11.25,11.02,11.25,275300
1998-03-17,11.25,11.39,11.2,11.36,386300
1998-03-18,11.34,11.34,11.23,11.3,247600
1998-03-19,11.25,11.32,11.16,11.32,455000
1998-03-20,11.32,11.5,11.25,11.43,528200
1998-03-23,11.39,11.48,11.36,11.41,261700
1998-03-24,11.46,11.46,11.3,11.36,671300
1998-03-25,11.46,11.53,11.32,11.5,326700
1998-03-26,11.53,11.57,11.39,11.46,785200
1998-03-27,11.48,11.48,11.32,11.32,364100
1998-03-30,11.27,11.36,11.23,11.25,359500
1998-03-31,11.27,11.74,11.27,11.43,722600
1998-04-01,11.48,11.53,11.36,11.48,214900
1998-04-02,11.48,11.6,11.46,11.6,180500
1998-04-03,11.55,11.67,11.5,11.57,1067300
1998-04-06,11.64,11.71,11.43,11.48,462900
1998-04-07,11.46,11.48,11.36,11.41,397400
1998-04-08,11.36,11.53,11.27,11.34,309800
1998-04-09,11.32,11.5,11.3,11.5,459800
1998-04-13,11.57,11.57,11.36,11.43,326800
1998-04-14,11.46,11.64,11.43,11.6,528400
1998-04-15,11.6,11.83,11.55,11.81,471500
