Date,Open,High,Low,Close,Volume
2001-06-20,10.16,10.38,10.12,10.12,11000
2001-06-21,10.38,10.8,10.38,10.8,39300
2001-06-22,10.8,10.86,10.8,10.84,33800
2001-06-25,10.97,11.22,10.97,11.22,9100
2001-06-26,11.22,11.22,11.08,11.2,109800
2001-06-27,11.2,11.27,11.2,11.27,185300
2001-06-28,11.35,11.65,11.35,11.65,66000
2001-06-29,11.67,11.9,11.67,11.86,71300
2001-07-02,11.86,12.03,11.86,11.86,69700
2001-07-03,11.86,11.93,11.86,11.88,56200
2001-07-05,11.88,11.88,11.83,11.84,61900
2001-07-06,11.84,12.71,11.39,12.71,3337400
2001-07-09,12.71,13.26,12.62,12.67,1674700
2001-07-10,12.67,12.71,12.09,12.09,1210400
2001-07-11,12.05,12.29,12.02,12.07,2426400
2001-07-12,12.07,12.79,12.07,12.47,1294600
2001-07-13,12.43,12.71,12.28,12.28,709500
2001-07-16,12.28,12.54,12.08,12.18,593900
2001-07-17,12.18,12.6,12.16,12.53,837100
2001-07-18,12.5,12.71,12.46,12.49,396600
2001-07-19,12.47,12.49,12.2,12.24,303600
2001-07-20,12.2,12.35,12.2,12.27,519000
2001-07-23,12.27,12.29,12.11,12.29,206100
2001-07-24,12.26,12.41,12.17,12.27,268600
2001-07-25,12.27,12.62,12.18,12.52,385200
2001-07-26,12.45,12.68,12.36,12.68,208500
2001-07-27,12.67,12.94,12.66,12.93,274600
2001-07-30,12.93,13.62,12.93,13.39,289200
2001-07-31,13.38,14.19,13.38,13.98,357300
2001-08-01,14.02,14.52,14.02,14.4,759800
2001-08-02,14.38,14.48,14.26,14.28,365500
2001-08-03,14.19,14.21,13.81,13.83,139800
2001-08-06,13.89,13.93,13.59,13.61,161700
2001-08-07,13.61,13.85,13.6,13.74,186400
2001-08-08,13.76,13.81,13.55,13.76,322400
2001-08-09,13.76,13.81,13.7,13.77,169400
2001-08-10,13.77,13.87,13.6,13.62,328500
2001-08-13,13.61,13.61,13.55,13.55,396200
2001-08-14,13.98,13.98,13.76,13.89,269000
2001-08-15,13.89,14.02,13.55,13.55,307000
2001-08-16,13.55,13.62,13.47,13.55,280600
2001-08-17,13.53,13.66,13.46,13.65,211200
2001-08-20,13.68,13.68,13.55,13.56,150900
2001-08-21,13.55,13.74,13.55,13.68,321800
2001-08-22,13.64,13.82,13.62,13.76,234300
2001-08-23,13.66,13.76,13.64,13.72,72300
2001-08-24,13.7,13.72,13.64,13.7,69600
2001-08-27,13.7,13.86,13.7,13.83,80900
2001-08-28,13.86,13.86,13.68,13.71,241000
2001-08-29,13.71,13.87,13.68,13.86,261600
2001-08-30,13.84,14.03,13.84,13.98,182300
2001-08-31,14.08,14.55,14.08,14.55,277600
2001-09-04,14.55,14.87,14.54,14.78,760800
2001-09-05,14.78,14.78,14.28,14.28,296900
2001-09-06,14.27,14.27,13.9,13.98,333900
2001-09-07,13.98,14.0,13.76,13.82,186200
2001-09-10,13.76,13.92,13.76,13.87,179400
2001-09-17,13.55,13.57,12.7,12.74,279800
2001-09-18,12.74,13.04,12.7,13.02,389000
2001-09-19,13.07,13.21,12.85,13.05,222200
2001-09-20,13.0,13.07,12.41,12.65,653700
2001-09-21,12.03,12.66,11.75,12.55,685900
2001-09-24,12.51,12.71,12.18,12.46,364400
2001-09-25,12.46,12.46,11.99,12.17,245300
2001-09-26,12.16,12.16,10.84,10.84,619500
2001-09-27,10.84,10.99,10.51,10.58,597300
2001-09-28,10.59,11.12,10.59,10.99,1213300
