Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.18,0.18,0.18,30300
1980-03-18,0.0,0.18,0.17,0.17,45400
1980-03-19,0.0,0.18,0.17,0.17,91300
1980-03-20,0.0,0.18,0.17,0.17,36600
1980-03-21,0.0,0.18,0.17,0.17,122800
1980-03-24,0.0,0.17,0.17,0.17,98500
1980-03-25,0.0,0.17,0.17,0.17,144000
1980-03-26,0.0,0.17,0.17,0.17,314100
1980-03-27,0.0,0.17,0.17,0.17,122800
1980-03-28,0.0,0.17,0.16,0.16,60900
1980-03-31,0.0,0.17,0.17,0.17,168300
1980-04-01,0.0,0.17,0.16,0.16,21100
1980-04-02,0.0,0.17,0.16,0.16,51900
1980-04-03,0.0,0.17,0.16,0.16,21100
1980-04-07,0.16,0.16,0.16,0.16,0
1980-04-08,0.0,0.16,0.16,0.16,260100
1980-04-09,0.0,0.16,0.16,0.16,21100
1980-04-10,0.0,0.16,0.16,0.16,14100
1980-04-11,0.0,0.16,0.16,0.16,14100
1980-04-14,0.0,0.16,0.16,0.16,21100
1980-04-15,0.0,0.16,0.16,0.16,51900
1980-04-16,0.0,0.16,0.16,0.16,14100
1980-04-17,0.0,0.16,0.16,0.16,6300
1980-04-18,0.0,0.16,0.16,0.16,191200
1980-04-21,0.0,0.16,0.16,0.16,6300
1980-04-22,0.0,0.16,0.16,0.16,60900
1980-04-23,0.16,0.16,0.16,0.16,0
1980-04-24,0.0,0.16,0.16,0.16,82300
1980-04-25,0.0,0.16,0.16,0.16,14100
1980-04-28,0.16,0.16,0.16,0.16,0
1980-04-29,0.0,0.16,0.16,0.16,98500
1980-04-30,0.0,0.16,0.16,0.16,45400
1980-05-01,0.16,0.16,0.16,0.16,0
1980-05-02,0.16,0.16,0.16,0.16,0
1980-05-05,0.0,0.16,0.16,0.16,14100
1980-05-06,0.0,0.16,0.16,0.16,6300
1980-05-07,0.16,0.16,0.16,0.16,0
1980-05-08,0.16,0.16,0.16,0.16,0
1980-05-09,0.0,0.16,0.16,0.16,6300
1980-05-12,0.0,0.16,0.15,0.15,122800
1980-05-13,0.15,0.15,0.15,0.15,0
