Date,Open,High,Low,Close,Volume
1993-06-22,1.45,1.45,1.25,1.28,22363200
1993-06-23,1.31,1.34,1.28,1.31,3168800
1993-06-24,1.31,1.34,1.31,1.31,703200
1993-06-25,1.31,1.37,1.31,1.34,1654400
1993-06-28,1.34,1.37,1.34,1.34,1398400
1993-06-29,1.37,1.37,1.31,1.37,756800
1993-06-30,1.31,1.31,1.25,1.25,1027200
1993-07-01,1.31,1.31,1.25,1.31,627200
1993-07-02,1.31,1.31,1.25,1.25,213600
1993-07-06,1.25,1.31,1.25,1.25,141600
1993-07-07,1.2,1.23,1.12,1.18,1111200
1993-07-08,1.14,1.23,1.14,1.17,648800
1993-07-09,1.14,1.2,1.14,1.2,255200
1993-07-12,1.14,1.2,1.14,1.17,828000
1993-07-13,1.14,1.23,1.14,1.21,182400
1993-07-14,1.2,1.34,1.2,1.31,583200
1993-07-15,1.31,1.34,1.28,1.34,230400
1993-07-16,1.34,1.34,1.28,1.28,128800
1993-07-19,1.34,1.34,1.28,1.31,692000
1993-07-20,1.28,1.34,1.28,1.31,68800
1993-07-21,1.28,1.34,1.28,1.28,35200
1993-07-22,1.31,1.34,1.31,1.31,448800
1993-07-23,1.31,1.34,1.2,1.24,332800
1993-07-26,1.2,1.2,1.14,1.2,286400
1993-07-27,1.14,1.2,1.14,1.14,411200
1993-07-28,1.17,1.2,1.14,1.14,70400
1993-07-29,1.2,1.23,1.14,1.23,144800
1993-07-30,1.17,1.23,1.16,1.2,984800
1993-08-02,1.17,1.2,1.17,1.17,64000
1993-08-03,1.17,1.2,1.17,1.17,64000
1993-08-04,1.2,1.2,1.17,1.17,65600
1993-08-05,1.17,1.2,1.17,1.17,39200
1993-08-06,1.17,1.2,1.17,1.17,23200
1993-08-09,1.17,1.2,1.17,1.17,51200
1993-08-10,1.14,1.17,1.09,1.12,568800
1993-08-11,1.09,1.09,0.95,1.06,1015200
1993-08-12,1.06,1.06,1.0,1.02,1605600
1993-08-13,1.0,1.06,1.0,1.0,319200
1993-08-16,1.0,1.12,1.0,1.06,200000
1993-08-17,1.06,1.12,1.06,1.06,459200
1993-08-18,1.06,1.12,1.06,1.09,50400
1993-08-19,1.06,1.09,1.0,1.07,548000
1993-08-20,1.0,1.09,1.0,1.06,8000
1993-08-23,1.09,1.09,1.05,1.05,49600
1993-08-24,1.03,1.09,1.03,1.03,9600
1993-08-25,1.06,1.09,1.03,1.03,48000
1993-08-26,1.03,1.09,1.02,1.03,176800
1993-08-27,1.03,1.09,1.03,1.03,64000
1993-08-30,1.09,1.09,1.03,1.03,89600
1993-08-31,1.03,1.09,1.03,1.09,23200
1993-09-01,1.02,1.06,1.02,1.03,138400
1993-09-02,1.09,1.09,1.03,1.06,479200
1993-09-03,1.06,1.09,1.03,1.09,395200
1993-09-07,1.09,1.09,1.0,1.06,280800
1993-09-08,1.0,1.06,0.95,0.95,715200
1993-09-09,1.0,1.03,0.95,1.03,97600
1993-09-10,1.03,1.03,0.98,1.03,194400
1993-09-13,1.0,1.03,0.98,1.03,52000
1993-09-14,1.03,1.09,0.98,1.09,582400
1993-09-15,1.06,1.2,1.06,1.2,358400
1993-09-16,1.14,1.2,1.12,1.17,76000
1993-09-17,1.12,1.2,1.12,1.12,145600
1993-09-20,1.12,1.12,1.12,1.12,38400
1993-09-21,1.12,1.12,1.0,1.02,268000
1993-09-22,1.03,1.09,1.03,1.06,80000
1993-09-23,1.09,1.12,1.06,1.06,360800
1993-09-24,1.1,1.12,1.06,1.12,92000
1993-09-27,1.12,1.2,1.09,1.2,378400
1993-09-28,1.16,1.25,1.14,1.23,1453600
1993-09-29,1.25,1.31,1.23,1.28,96000
1993-09-30,1.31,1.37,1.31,1.34,468000
1993-10-01,1.37,1.37,1.31,1.31,623200
1993-10-04,1.37,1.37,1.31,1.31,53600
1993-10-05,1.31,1.37,1.31,1.31,534400
1993-10-06,1.31,1.37,1.31,1.31,162400
1993-10-07,1.31,1.32,1.23,1.28,436000
1993-10-08,1.28,1.28,1.2,1.25,52000
1993-10-11,1.23,1.25,1.2,1.2,106400
1993-10-12,1.25,1.25,1.2,1.23,139200
1993-10-13,1.25,1.25,1.2,1.2,40800
1993-10-14,1.25,1.25,1.2,1.2,179200
1993-10-15,1.28,1.28,1.2,1.2,25600
1993-10-18,1.28,1.28,1.2,1.28,120000
1993-10-19,1.28,1.31,1.23,1.23,305600
1993-10-20,1.31,1.46,1.25,1.45,825600
1993-10-21,1.48,1.49,1.31,1.39,1156000
1993-10-22,1.39,1.45,1.37,1.42,234400
1993-10-25,1.37,1.42,1.37,1.38,237600
1993-10-26,1.37,1.38,1.28,1.34,505600
1993-10-27,1.34,1.34,1.23,1.24,288800
1993-10-28,1.28,1.28,1.23,1.25,564800
1993-10-29,1.31,1.31,1.17,1.23,344800
1993-11-01,1.23,1.25,1.17,1.25,216000
1993-11-02,1.25,1.25,1.17,1.23,727200
1993-11-03,1.25,1.25,1.2,1.25,169600
1993-11-04,1.25,1.25,1.17,1.17,283200
1993-11-05,1.2,1.23,1.14,1.17,76000
1993-11-08,1.12,1.14,1.12,1.14,32000
1993-11-09,1.12,1.2,1.12,1.2,32000
1993-11-10,1.2,1.25,1.12,1.25,302400
1993-11-11,1.2,1.28,1.2,1.28,84000
1993-11-12,1.28,1.28,1.2,1.23,41600
1993-11-15,1.2,1.25,1.2,1.25,23200
1993-11-16,1.28,1.28,1.2,1.2,93600
1993-11-17,1.2,1.28,1.2,1.28,12000
1993-11-18,1.28,1.28,1.2,1.2,7200
1993-11-19,1.2,1.28,1.2,1.2,25600
1993-11-22,1.2,1.2,1.2,1.2,12000
1993-11-23,1.24,1.28,1.2,1.28,389600
1993-11-24,1.23,1.23,1.2,1.23,31200
1993-11-26,1.23,1.28,1.23,1.28,3200
1993-11-29,1.28,1.28,1.2,1.28,4800
1993-11-30,1.28,1.28,1.2,1.2,4800
1993-12-01,1.2,1.24,1.2,1.23,42400
1993-12-02,1.2,1.25,1.2,1.23,258400
1993-12-03,1.25,1.28,1.2,1.25,431200
1993-12-06,1.28,1.28,1.17,1.17,443200
1993-12-07,1.23,1.23,1.12,1.12,152000
1993-12-08,1.12,1.2,1.12,1.2,30400
1993-12-09,1.14,1.2,1.07,1.14,386400
1993-12-10,1.12,1.14,1.09,1.09,89600
1993-12-13,1.09,1.14,1.09,1.14,4000
1993-12-14,1.12,1.14,1.09,1.12,424000
1993-12-15,1.09,1.12,1.09,1.12,419200
1993-12-16,1.12,1.14,1.09,1.09,83200
1993-12-17,1.12,1.14,1.09,1.12,267200
1993-12-20,1.12,1.12,1.03,1.09,900000
1993-12-21,1.03,1.12,1.03,1.07,115200
1993-12-22,1.12,1.12,1.03,1.05,425600
1993-12-23,1.09,1.09,1.03,1.09,84000
1993-12-27,1.06,1.09,1.06,1.07,53600
1993-12-28,1.09,1.09,1.06,1.09,119200
1993-12-29,1.06,1.1,1.06,1.09,1266400
1993-12-30,1.09,1.1,1.06,1.06,432800
1993-12-31,1.06,1.12,1.06,1.09,1416000
1994-01-03,1.09,1.14,1.06,1.12,138400
1994-01-04,1.06,1.12,1.06,1.12,737600
1994-01-05,1.12,1.12,1.07,1.12,579200
1994-01-06,1.06,1.12,1.06,1.12,79200
1994-01-07,1.12,1.14,1.09,1.14,406400
1994-01-10,1.14,1.14,1.12,1.12,214400
1994-01-11,1.17,1.31,1.14,1.28,1140000
1994-01-12,1.31,1.34,1.25,1.34,240800
1994-01-13,1.34,1.34,1.25,1.25,768000
1994-01-14,1.34,1.42,1.28,1.37,483200
1994-01-17,1.42,1.42,1.37,1.39,153600
1994-01-18,1.42,1.45,1.37,1.39,301600
1994-01-19,1.42,1.42,1.34,1.42,110400
1994-01-20,1.42,1.42,1.34,1.34,49600
1994-01-21,1.34,1.42,1.31,1.31,322400
1994-01-24,1.34,1.37,1.28,1.37,289600
1994-01-25,1.37,1.37,1.28,1.28,1208800
1994-01-26,1.34,1.34,1.28,1.34,58400
1994-01-27,1.34,1.37,1.31,1.37,50400
1994-01-28,1.37,1.37,1.28,1.37,196800
1994-01-31,1.28,1.37,1.28,1.37,35200
1994-02-01,1.37,1.37,1.28,1.28,52000
1994-02-02,1.28,1.37,1.28,1.34,47200
1994-02-03,1.31,1.37,1.28,1.34,92800
1994-02-04,1.34,1.34,1.23,1.28,289600
1994-02-07,1.28,1.28,1.2,1.28,225600
1994-02-08,1.23,1.25,1.2,1.2,181600
1994-02-09,1.2,1.25,1.2,1.25,168800
1994-02-10,1.28,1.34,1.23,1.31,484000
1994-02-11,1.34,1.34,1.3,1.3,717600
1994-02-14,1.25,1.34,1.25,1.31,152000
1994-02-15,1.34,1.34,1.25,1.3,60800
1994-02-16,1.3,1.34,1.28,1.28,560000
1994-02-17,1.34,1.34,1.28,1.34,361600
1994-02-18,1.34,1.34,1.28,1.32,177600
1994-02-22,1.34,1.34,1.28,1.34,144000
1994-02-23,1.28,1.34,1.28,1.28,440800
1994-02-24,1.34,1.34,1.28,1.32,36000
1994-02-25,1.32,1.34,1.28,1.3,108000
1994-02-28,1.34,1.37,1.28,1.35,618400
1994-03-01,1.37,1.37,1.31,1.37,36000
1994-03-02,1.37,1.45,1.31,1.42,647200
1994-03-03,1.45,1.56,1.39,1.52,2040800
1994-03-04,1.53,1.59,1.48,1.56,900800
1994-03-07,1.59,1.59,1.53,1.56,718400
1994-03-08,1.59,1.59,1.51,1.59,315200
1994-03-09,1.59,1.62,1.53,1.59,154400
1994-03-10,1.62,1.62,1.53,1.62,64800
1994-03-11,1.6,1.62,1.53,1.62,29600
1994-03-14,1.53,1.62,1.53,1.56,138400
1994-03-15,1.62,1.62,1.56,1.59,95200
1994-03-16,1.59,1.7,1.56,1.7,772000
1994-03-17,1.7,1.7,1.64,1.7,312000
1994-03-18,1.64,1.73,1.64,1.7,432800
1994-03-21,1.73,1.73,1.59,1.59,291200
1994-03-22,1.64,1.64,1.59,1.63,460800
1994-03-23,1.64,1.67,1.62,1.67,73600
1994-03-24,1.66,1.67,1.59,1.67,436800
1994-03-25,1.67,1.73,1.59,1.64,249600
1994-03-28,1.64,1.73,1.53,1.56,244000
1994-03-29,1.56,1.62,1.56,1.62,1088000
1994-03-30,1.53,1.55,1.45,1.45,345600
1994-03-31,1.51,1.53,1.45,1.53,88000
1994-04-04,1.53,1.53,1.45,1.53,129600
1994-04-05,1.53,1.56,1.45,1.56,204800
