Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.07,0.07,0.07,544200
1980-03-18,0.0,0.07,0.07,0.07,272100
1980-03-19,0.0,0.07,0.07,0.07,724000
1980-03-20,0.0,0.07,0.07,0.07,2421300
1980-03-21,0.0,0.07,0.07,0.07,122200
1980-03-24,0.0,0.07,0.07,0.07,696400
1980-03-25,0.0,0.07,0.06,0.06,1362800
1980-03-26,0.0,0.06,0.06,0.06,196000
1980-03-27,0.0,0.06,0.06,0.06,604100
1980-03-28,0.0,0.06,0.06,0.06,2617300
1980-03-31,0.0,0.06,0.06,0.06,408100
1980-04-01,0.0,0.06,0.06,0.06,447300
1980-04-02,0.0,0.06,0.06,0.06,189000
1980-04-03,0.0,0.07,0.06,0.06,1286700
1980-04-07,0.0,0.07,0.06,0.06,1076900
1980-04-08,0.0,0.07,0.06,0.06,927000
1980-04-09,0.0,0.07,0.06,0.07,159100
1980-04-10,0.0,0.07,0.07,0.07,265100
1980-04-11,0.0,0.07,0.07,0.07,255900
1980-04-14,0.0,0.07,0.07,0.07,1111400
1980-04-15,0.0,0.07,0.07,0.07,207500
1980-04-16,0.0,0.07,0.07,0.07,196000
1980-04-17,0.0,0.07,0.06,0.06,1664900
1980-04-18,0.0,0.06,0.06,0.06,1173700
1980-04-21,0.0,0.06,0.06,0.06,405800
1980-04-22,0.0,0.06,0.06,0.06,876200
1980-04-23,0.0,0.06,0.06,0.06,525700
1980-04-24,0.0,0.06,0.06,0.06,133700
1980-04-25,0.0,0.06,0.06,0.06,1189800
1980-04-28,0.0,0.06,0.06,0.06,802400
1980-04-29,0.0,0.06,0.06,0.06,675600
1980-04-30,0.0,0.06,0.06,0.06,1194500
1980-05-01,0.0,0.07,0.06,0.06,1215200
1980-05-02,0.0,0.06,0.06,0.06,348200
1980-05-05,0.0,0.07,0.06,0.07,687100
1980-05-06,0.0,0.07,0.07,0.07,239800
1980-05-07,0.0,0.07,0.07,0.07,320500
1980-05-08,0.0,0.07,0.07,0.07,855500
1980-05-09,0.0,0.07,0.07,0.07,375800
1980-05-12,0.0,0.07,0.07,0.07,198300
1980-05-13,0.0,0.07,0.07,0.07,94500
1980-05-14,0.0,0.07,0.07,0.07,154500
1980-05-15,0.0,0.07,0.07,0.07,166000
1980-05-16,0.0,0.07,0.07,0.07,1236000
1980-05-19,0.0,0.07,0.07,0.07,108300
1980-05-20,0.0,0.07,0.07,0.07,698700
1980-05-21,0.0,0.07,0.06,0.06,495700
1980-05-22,0.0,0.07,0.06,0.07,906200
1980-05-23,0.0,0.07,0.07,0.07,696400
1980-05-27,0.0,0.07,0.07,0.07,112900
1980-05-28,0.0,0.07,0.07,0.07,184400
1980-05-29,0.0,0.07,0.07,0.07,403500
1980-05-30,0.0,0.07,0.07,0.07,205200
1980-06-02,0.0,0.07,0.07,0.07,53000
1980-06-03,0.0,0.07,0.07,0.07,1238300
1980-06-04,0.0,0.07,0.07,0.07,518800
1980-06-05,0.0,0.07,0.07,0.07,1231400
1980-06-06,0.0,0.07,0.07,0.07,274400
1980-06-09,0.0,0.07,0.07,0.07,389700
1980-06-10,0.0,0.07,0.07,0.07,1644100
1980-06-11,0.0,0.07,0.07,0.07,1662600
1980-06-12,0.0,0.07,0.07,0.07,394300
1980-06-13,0.0,0.07,0.07,0.07,1738700
1980-06-16,0.0,0.07,0.07,0.07,1374300
1980-06-17,0.0,0.07,0.07,0.07,846300
1980-06-18,0.0,0.07,0.07,0.07,205200
1980-06-19,0.0,0.07,0.07,0.07,523400
1980-06-20,0.0,0.07,0.07,0.07,145200
1980-06-23,0.0,0.07,0.07,0.07,239800
1980-06-24,0.0,0.07,0.07,0.07,933900
1980-06-25,0.0,0.07,0.07,0.07,251300
1980-06-26,0.0,0.07,0.07,0.07,601800
1980-06-27,0.0,0.07,0.07,0.07,189000
1980-06-30,0.0,0.07,0.07,0.07,643300
1980-07-01,0.0,0.07,0.07,0.07,1957700
1980-07-02,0.0,0.07,0.07,0.07,1199100
1980-07-03,0.0,0.07,0.07,0.07,355100
1980-07-07,0.0,0.07,0.07,0.07,334300
1980-07-08,0.0,0.07,0.07,0.07,707900
1980-07-09,0.0,0.07,0.07,0.07,608700
1980-07-10,0.0,0.07,0.07,0.07,230600
1980-07-11,0.0,0.07,0.07,0.07,1012300
1980-07-14,0.0,0.07,0.07,0.07,1388200
1980-07-15,0.0,0.07,0.07,0.07,1072200
1980-07-16,0.0,0.07,0.07,0.07,837000
1980-07-17,0.0,0.07,0.07,0.07,232900
1980-07-18,0.0,0.08,0.07,0.07,1687900
1980-07-21,0.0,0.08,0.07,0.07,232900
1980-07-22,0.0,0.08,0.07,0.07,1116100
1980-07-23,0.0,0.08,0.07,0.07,647900
1980-07-24,0.0,0.07,0.07,0.07,281300
1980-07-25,0.0,0.07,0.07,0.07,110600
1980-07-28,0.0,0.07,0.07,0.07,594900
1980-07-29,0.0,0.07,0.07,0.07,262800
1980-07-30,0.0,0.07,0.07,0.07,1254400
1980-07-31,0.0,0.07,0.07,0.07,1242900
1980-08-01,0.0,0.07,0.07,0.07,387400
1980-08-04,0.0,0.07,0.07,0.07,684800
1980-08-05,0.0,0.07,0.07,0.07,703300
1980-08-06,0.0,0.07,0.07,0.07,793200
1980-08-07,0.0,0.07,0.07,0.07,952300
1980-08-08,0.0,0.07,0.07,0.07,2243700
1980-08-11,0.0,0.08,0.07,0.08,601800
1980-08-12,0.0,0.08,0.07,0.08,574100
1980-08-13,0.0,0.08,0.07,0.08,396600
1980-08-14,0.0,0.08,0.07,0.08,228200
1980-08-15,0.0,0.08,0.08,0.08,634100
1980-08-18,0.0,0.08,0.07,0.07,207500
1980-08-19,0.0,0.08,0.07,0.07,311300
1980-08-20,0.0,0.08,0.07,0.07,735600
1980-08-21,0.0,0.08,0.07,0.08,1374300
1980-08-22,0.0,0.08,0.08,0.08,627200
1980-08-25,0.0,0.08,0.08,0.08,228200
1980-08-26,0.0,0.08,0.07,0.08,1782500
1980-08-27,0.0,0.07,0.07,0.07,938500
1980-08-28,0.0,0.07,0.07,0.07,1081500
1980-08-29,0.0,0.07,0.07,0.07,302000
1980-09-02,0.0,0.07,0.07,0.07,260500
1980-09-03,0.0,0.07,0.07,0.07,348200
1980-09-04,0.0,0.07,0.07,0.07,1143700
1980-09-05,0.0,0.07,0.07,0.07,673300
1980-09-08,0.0,0.07,0.07,0.07,682500
1980-09-09,0.0,0.07,0.07,0.07,458800
1980-09-10,0.0,0.07,0.07,0.07,747100
1980-09-11,0.0,0.07,0.07,0.07,502700
1980-09-12,0.0,0.07,0.07,0.07,530300
1980-09-15,0.0,0.07,0.07,0.07,894700
1980-09-16,0.0,0.07,0.07,0.07,832400
1980-09-17,0.0,0.07,0.07,0.07,1102200
1980-09-18,0.0,0.08,0.07,0.08,913100
1980-09-19,0.0,0.08,0.08,0.08,1247500
1980-09-22,0.0,0.08,0.08,0.08,1584200
1980-09-23,0.0,0.08,0.08,0.08,1948500
1980-09-24,0.0,0.08,0.08,0.08,613300
1980-09-25,0.0,0.08,0.08,0.08,1634900
1980-09-26,0.0,0.08,0.08,0.08,1342000
1980-09-29,0.0,0.08,0.07,0.08,230600
1980-09-30,0.0,0.08,0.08,0.08,724000
1980-10-01,0.0,0.08,0.07,0.07,613300
1980-10-02,0.0,0.07,0.07,0.07,258200
1980-10-03,0.0,0.08,0.07,0.08,696400
1980-10-06,0.0,0.08,0.08,0.08,1120700
1980-10-07,0.0,0.08,0.08,0.08,984600
1980-10-08,0.0,0.08,0.08,0.08,514200
1980-10-09,0.0,0.08,0.08,0.08,495700
1980-10-10,0.0,0.08,0.08,0.08,682500
1980-10-13,0.0,0.08,0.08,0.08,315900
1980-10-14,0.0,0.08,0.08,0.08,963900
1980-10-15,0.0,0.08,0.08,0.08,516500
1980-10-16,0.0,0.08,0.08,0.08,721700
1980-10-17,0.0,0.08,0.08,0.08,332000
1980-10-20,0.0,0.08,0.08,0.08,375800
1980-10-21,0.0,0.08,0.08,0.08,304300
1980-10-22,0.0,0.08,0.07,0.07,313600
1980-10-23,0.0,0.08,0.07,0.07,488800
1980-10-24,0.0,0.07,0.07,0.07,620300
1980-10-27,0.0,0.07,0.07,0.07,728600
1980-10-28,0.0,0.07,0.07,0.07,209800
1980-10-29,0.0,0.07,0.07,0.07,421900
1980-10-30,0.0,0.07,0.07,0.07,168300
1980-10-31,0.0,0.07,0.07,0.07,765500
1980-11-03,0.0,0.07,0.07,0.07,410400
1980-11-05,0.0,0.08,0.08,0.08,3438200
1980-11-06,0.0,0.08,0.08,0.08,576500
1980-11-07,0.0,0.08,0.08,0.08,272100
1980-11-10,0.0,0.08,0.08,0.08,539600
1980-11-11,0.0,0.08,0.08,0.08,797800
1980-11-12,0.0,0.08,0.08,0.08,1053800
1980-11-13,0.0,0.08,0.08,0.08,3380500
1980-11-14,0.0,0.08,0.08,0.08,1097600
1980-11-17,0.0,0.08,0.08,0.08,1448100
1980-11-18,0.0,0.09,0.08,0.09,3576600
1980-11-19,0.0,0.09,0.09,0.09,1854000
1980-11-20,0.0,0.09,0.09,0.09,1240600
1980-11-21,0.0,0.09,0.09,0.09,754000
1980-11-24,0.0,0.09,0.09,0.09,2935500
1980-11-25,0.0,0.09,0.08,0.08,528000
1980-11-26,0.0,0.08,0.08,0.08,477300
1980-11-28,0.0,0.08,0.08,0.08,897000
1980-12-01,0.0,0.08,0.08,0.08,880800
1980-12-02,0.0,0.08,0.08,0.08,853200
1980-12-03,0.0,0.08,0.08,0.08,1651000
1980-12-04,0.0,0.08,0.08,0.08,7974100
1980-12-05,0.0,0.08,0.08,0.08,1540400
1980-12-08,0.0,0.08,0.08,0.08,359700
1980-12-09,0.0,0.08,0.08,0.08,567200
1980-12-10,0.0,0.08,0.08,0.08,1042300
1980-12-11,0.0,0.08,0.08,0.08,853200
1980-12-12,0.0,0.08,0.08,0.08,1729500
1980-12-15,0.0,0.08,0.08,0.08,1035300
1980-12-16,0.0,0.08,0.08,0.08,475000
1980-12-17,0.0,0.08,0.08,0.08,451900
1980-12-18,0.0,0.08,0.07,0.08,1065300
1980-12-19,0.0,0.08,0.08,0.08,410400
1980-12-22,0.0,0.08,0.08,0.08,1069900
1980-12-23,0.0,0.08,0.08,0.08,629500
1980-12-24,0.0,0.08,0.08,0.08,590300
1980-12-26,0.0,0.08,0.08,0.08,207500
1980-12-29,0.0,0.09,0.08,0.09,807100
1980-12-30,0.0,0.09,0.08,0.09,451900
1980-12-31,0.0,0.09,0.08,0.09,475000
1981-01-02,0.0,0.09,0.09,0.09,255900
1981-01-05,0.0,0.09,0.09,0.09,3348300
1981-01-06,0.0,0.1,0.09,0.09,2531900
1981-01-07,0.0,0.09,0.09,0.09,2211400
1981-01-08,0.0,0.09,0.09,0.09,1418100
1981-01-09,0.0,0.09,0.09,0.09,1598000
