Date,Open,High,Low,Close,Volume
1973-05-03,0.5,0.52,0.49,0.49,300
1973-05-04,0.5,0.52,0.5,0.5,600
1973-05-07,0.5,0.52,0.5,0.5,1500
1973-05-08,0.51,0.53,0.51,0.51,300
1973-05-09,0.51,0.53,0.51,0.51,9300
1973-05-10,0.51,0.53,0.51,0.51,600
1973-05-11,0.51,0.52,0.5,0.5,300
1973-05-14,0.5,0.51,0.49,0.49,600
1973-05-15,0.49,0.51,0.49,0.49,300
1973-05-16,0.49,0.52,0.49,0.49,300
1973-05-17,0.5,0.52,0.5,0.5,600
1973-05-18,0.5,0.52,0.5,0.5,1500
1973-05-21,0.5,0.52,0.5,0.5,300
1973-05-22,0.5,0.52,0.5,0.5,3300
1973-05-23,0.5,0.52,0.5,0.5,7500
1973-05-24,0.5,0.52,0.5,0.5,300
1973-05-25,0.5,0.52,0.5,0.5,2400
1973-05-29,0.5,0.52,0.5,0.5,300
1973-05-30,0.51,0.53,0.51,0.51,300
1973-05-31,0.51,0.53,0.51,0.51,300
1973-06-01,0.51,0.53,0.51,0.51,3000
1973-06-04,0.51,0.52,0.5,0.5,300
1973-06-05,0.5,0.52,0.5,0.5,300
1973-06-06,0.5,0.52,0.5,0.5,1500
1973-06-07,0.5,0.52,0.5,0.5,300
1973-06-08,0.51,0.53,0.51,0.51,300
1973-06-11,0.51,0.53,0.51,0.51,300
1973-06-12,0.51,0.53,0.51,0.51,300
1973-06-13,0.51,0.53,0.51,0.51,900
1973-06-14,0.51,0.53,0.51,0.51,1500
1973-06-15,0.51,0.54,0.51,0.51,3300
1973-06-18,0.51,0.53,0.51,0.51,600
1973-06-19,0.51,0.52,0.5,0.5,300
1973-06-20,0.5,0.52,0.49,0.49,3600
1973-06-21,0.49,0.52,0.49,0.49,300
1973-06-22,0.49,0.51,0.49,0.49,3300
1973-06-25,0.49,0.52,0.49,0.49,4800
1973-06-26,0.5,0.52,0.5,0.5,300
1973-06-27,0.5,0.52,0.5,0.5,600
1973-06-28,0.51,0.53,0.51,0.51,300
1973-06-29,0.51,0.53,0.51,0.51,2100
1973-07-02,0.51,0.53,0.51,0.51,900
1973-07-03,0.51,0.53,0.51,0.51,300
1973-07-05,0.51,0.53,0.51,0.51,300
1973-07-06,0.51,0.54,0.51,0.51,3900
1973-07-09,0.51,0.54,0.51,0.51,300
1973-07-10,0.51,0.52,0.49,0.49,6300
1973-07-11,0.51,0.53,0.51,0.51,2100
1973-07-12,0.51,0.52,0.5,0.5,3000
1973-07-13,0.5,0.52,0.5,0.5,300
1973-07-16,0.5,0.52,0.5,0.5,300
1973-07-17,0.5,0.52,0.49,0.49,300
1973-07-18,0.49,0.52,0.49,0.49,300
1973-07-19,0.5,0.52,0.5,0.5,1200
1973-07-20,0.5,0.52,0.5,0.5,300
1973-07-23,0.5,0.52,0.49,0.49,1800
1973-07-24,0.49,0.52,0.49,0.49,300
1973-07-25,0.49,0.52,0.49,0.49,2100
1973-07-26,0.49,0.52,0.49,0.49,300
1973-07-27,0.49,0.51,0.49,0.49,1500
1973-07-30,0.49,0.51,0.49,0.49,300
1973-07-31,0.49,0.51,0.49,0.49,300
1973-08-01,0.49,0.51,0.49,0.49,300
1973-08-02,0.49,0.51,0.48,0.48,2700
1973-08-03,0.48,0.51,0.48,0.48,2100
1973-08-06,0.48,0.51,0.48,0.48,300
1973-08-07,0.48,0.5,0.46,0.46,1500
1973-08-08,0.46,0.49,0.45,0.45,3000
1973-08-09,0.45,0.49,0.45,0.45,300
1973-08-10,0.45,0.49,0.45,0.45,300
1973-08-13,0.45,0.48,0.45,0.45,300
1973-08-14,0.45,0.49,0.45,0.45,300
1973-08-15,0.45,0.49,0.45,0.45,900
1973-08-16,0.45,0.49,0.45,0.45,1200
1973-08-17,0.45,0.49,0.45,0.45,600
1973-08-20,0.45,0.49,0.45,0.45,300
1973-08-21,0.45,0.49,0.45,0.45,300
1973-08-22,0.45,0.49,0.45,0.45,300
1973-08-23,0.46,0.49,0.46,0.46,300
1973-08-24,0.46,0.49,0.45,0.45,1800
1973-08-27,0.45,0.49,0.45,0.45,300
1973-08-28,0.45,0.49,0.45,0.45,300
1973-08-29,0.46,0.5,0.46,0.46,300
1973-08-30,0.46,0.5,0.46,0.46,300
1973-08-31,0.46,0.5,0.46,0.46,300
1973-09-04,0.48,0.51,0.48,0.48,600
1973-09-05,0.49,0.52,0.49,0.49,300
1973-09-06,0.49,0.51,0.48,0.48,3000
1973-09-07,0.48,0.5,0.46,0.46,600
1973-09-10,0.46,0.5,0.46,0.46,900
1973-09-11,0.46,0.5,0.46,0.46,900
1973-09-12,0.46,0.49,0.45,0.45,1800
1973-09-13,0.49,0.52,0.49,0.49,5100
1973-09-14,0.49,0.52,0.49,0.49,3000
1973-09-17,0.5,0.54,0.5,0.5,300
1973-09-18,0.5,0.54,0.5,0.5,300
1973-09-19,0.5,0.52,0.49,0.49,1500
1973-09-20,0.49,0.52,0.49,0.49,300
1973-09-21,0.5,0.54,0.5,0.5,1500
1973-09-24,0.5,0.54,0.5,0.5,300
1973-09-25,0.5,0.54,0.5,0.5,1800
1973-09-26,0.5,0.54,0.5,0.5,300
1973-09-27,0.51,0.55,0.51,0.51,300
1973-09-28,0.51,0.55,0.51,0.51,300
1973-10-01,0.51,0.55,0.51,0.51,600
1973-10-02,0.51,0.55,0.51,0.51,300
1973-10-03,0.51,0.55,0.51,0.51,300
1973-10-04,0.51,0.55,0.51,0.51,300
1973-10-05,0.51,0.55,0.51,0.51,300
