Date,Open,High,Low,Close,Volume
1962-01-02,0.13,0.13,0.12,0.13,2156500
1962-01-03,0.13,0.13,0.12,0.12,1477600
1962-01-04,0.12,0.13,0.12,0.12,1837000
1962-01-05,0.12,0.12,0.12,0.12,2725600
1962-01-08,0.12,0.12,0.12,0.12,3095000
1962-01-09,0.12,0.12,0.12,0.12,2326200
1962-01-10,0.12,0.12,0.12,0.12,1956800
1962-01-11,0.12,0.12,0.12,0.12,1627300
1962-01-12,0.12,0.12,0.12,0.12,1687200
1962-01-15,0.12,0.12,0.12,0.12,2116600
1962-01-16,0.12,0.12,0.12,0.12,1387700
1962-01-17,0.12,0.12,0.12,0.12,2136500
1962-01-18,0.12,0.12,0.12,0.12,1477600
1962-01-19,0.12,0.12,0.12,0.12,1327800
1962-01-22,0.12,0.12,0.12,0.12,1417700
1962-01-23,0.12,0.12,0.12,0.12,2276300
1962-01-24,0.12,0.12,0.12,0.12,1597400
1962-01-25,0.12,0.12,0.12,0.12,1587400
1962-01-26,0.12,0.12,0.12,0.12,1008300
1962-01-29,0.12,0.12,0.12,0.12,1018300
1962-01-30,0.12,0.12,0.12,0.12,1777100
1962-01-31,0.12,0.13,0.12,0.13,1876900
1962-02-01,0.13,0.13,0.12,0.13,2565800
1962-02-02,0.13,0.13,0.12,0.13,1477600
1962-02-05,0.13,0.13,0.12,0.12,1407700
1962-02-06,0.12,0.13,0.12,0.12,1038300
1962-02-07,0.12,0.13,0.12,0.13,1687200
1962-02-08,0.13,0.13,0.13,0.13,1757100
1962-02-09,0.13,0.13,0.12,0.13,1507500
1962-02-12,0.13,0.13,0.13,0.13,818600
1962-02-13,0.13,0.13,0.13,0.13,1208000
1962-02-14,0.13,0.13,0.13,0.13,1617400
1962-02-15,0.13,0.13,0.13,0.13,1867000
1962-02-16,0.13,0.13,0.13,0.13,2336200
1962-02-19,0.13,0.13,0.13,0.13,1557500
1962-02-20,0.13,0.13,0.13,0.13,1068200
1962-02-21,0.13,0.13,0.13,0.13,1078200
1962-02-23,0.13,0.13,0.13,0.13,1627300
1962-02-26,0.13,0.13,0.12,0.13,1257900
1962-02-27,0.13,0.13,0.13,0.13,928500
1962-02-28,0.13,0.13,0.13,0.13,1657300
1962-03-01,0.13,0.13,0.13,0.13,908500
1962-03-02,0.13,0.13,0.13,0.13,1257900
1962-03-05,0.13,0.13,0.13,0.13,1387700
1962-03-06,0.13,0.13,0.13,0.13,938400
1962-03-07,0.13,0.13,0.13,0.13,1008300
1962-03-08,0.13,0.13,0.13,0.13,1767100
1962-03-09,0.13,0.13,0.13,0.13,1976800
1962-03-12,0.13,0.13,0.13,0.13,2106600
1962-03-13,0.13,0.13,0.13,0.13,1287900
1962-03-14,0.13,0.13,0.13,0.13,1088200
1962-03-15,0.13,0.13,0.13,0.13,1886900
1962-03-16,0.13,0.13,0.13,0.13,1038300
1962-03-19,0.13,0.13,0.13,0.13,1108200
1962-03-20,0.13,0.13,0.13,0.13,848600
1962-03-21,0.13,0.13,0.13,0.13,1607400
1962-03-22,0.13,0.13,0.13,0.13,1018300
1962-03-23,0.13,0.13,0.13,0.13,1277900
1962-03-26,0.13,0.13,0.13,0.13,1158100
1962-03-27,0.13,0.13,0.13,0.13,1248000
1962-03-28,0.13,0.13,0.13,0.13,1327800
1962-03-29,0.13,0.13,0.13,0.13,1168100
1962-03-30,0.13,0.13,0.13,0.13,1467600
1962-04-02,0.13,0.13,0.13,0.13,1138100
1962-04-03,0.13,0.13,0.13,0.13,1697200
1962-04-04,0.13,0.13,0.13,0.13,1367800
1962-04-05,0.13,0.13,0.13,0.13,1767100
1962-04-06,0.13,0.13,0.13,0.13,1407700
1962-04-09,0.13,0.13,0.13,0.13,1188000
1962-04-10,0.13,0.13,0.13,0.13,1427700
1962-04-11,0.13,0.13,0.12,0.12,1257900
1962-04-12,0.12,0.12,0.12,0.12,1437600
1962-04-13,0.12,0.13,0.12,0.13,1707200
1962-04-16,0.13,0.13,0.12,0.13,1517500
1962-04-17,0.13,0.13,0.13,0.13,1437600
1962-04-18,0.13,0.13,0.12,0.13,3524300
1962-04-19,0.13,0.13,0.12,0.13,1018300
1962-04-23,0.13,0.13,0.12,0.12,1727200
1962-04-24,0.12,0.12,0.12,0.12,2226400
1962-04-25,0.12,0.12,0.12,0.12,2206400
1962-04-26,0.12,0.12,0.12,0.12,1437600
1962-04-27,0.12,0.12,0.12,0.12,2136500
1962-04-30,0.12,0.12,0.11,0.12,2765500
1962-05-01,0.12,0.12,0.11,0.12,3184800
1962-05-02,0.12,0.12,0.12,0.12,2905300
1962-05-03,0.12,0.12,0.12,0.12,3115000
1962-05-04,0.12,0.12,0.12,0.12,1976800
1962-05-07,0.12,0.12,0.12,0.12,2086600
1962-05-08,0.12,0.12,0.12,0.12,1547500
1962-05-09,0.12,0.12,0.12,0.12,2186400
1962-05-10,0.12,0.12,0.12,0.12,2645700
1962-05-11,0.12,0.12,0.12,0.12,3873700
1962-05-14,0.12,0.12,0.12,0.12,3025100
1962-05-15,0.12,0.12,0.12,0.12,2625700
1962-05-16,0.12,0.12,0.12,0.12,1737200
1962-05-17,0.12,0.12,0.12,0.12,808700
1962-05-18,0.12,0.12,0.12,0.12,1876900
1962-05-21,0.12,0.12,0.12,0.12,1387700
1962-05-22,0.12,0.12,0.12,0.12,1687200
1962-05-23,0.12,0.12,0.11,0.12,2206400
1962-05-24,0.12,0.12,0.11,0.11,2845400
1962-05-25,0.11,0.11,0.11,0.11,2545900
1962-05-28,0.11,0.11,0.11,0.11,4233200
1962-05-29,0.11,0.11,0.1,0.11,7797500
1962-05-31,0.11,0.11,0.11,0.11,4343000
1962-06-01,0.11,0.11,0.11,0.11,2735600
1962-06-04,0.11,0.11,0.11,0.11,2016700
1962-06-05,0.11,0.11,0.11,0.11,3174900
1962-06-06,0.11,0.11,0.11,0.11,2196400
