Date,Open,High,Low,Close,Volume
1980-10-01,0.0,1.27,1.26,1.26,566100
1980-10-02,0.0,1.25,1.25,1.25,106600
1980-10-03,0.0,1.25,1.24,1.24,34200
1980-10-06,0.0,1.23,1.22,1.22,194400
1980-10-07,0.0,1.21,1.2,1.2,423900
1980-10-08,0.0,1.22,1.21,1.21,249700
1980-10-09,0.0,1.22,1.21,1.21,93100
1980-10-10,0.0,1.23,1.21,1.21,186700
1980-10-13,0.0,1.23,1.22,1.22,121500
1980-10-14,0.0,1.23,1.21,1.21,198900
1980-10-15,0.0,1.22,1.21,1.21,264600
1980-10-16,0.0,1.21,1.21,1.21,157900
1980-10-17,0.0,1.21,1.21,1.21,74700
1980-10-20,0.0,1.21,1.19,1.19,86400
1980-10-21,0.0,1.19,1.18,1.18,403600
1980-10-22,0.0,1.19,1.18,1.18,135000
1980-10-23,0.0,1.17,1.16,1.16,599400
1980-10-24,0.0,1.17,1.16,1.16,98500
1980-10-27,0.0,1.16,1.16,1.16,96300
1980-10-28,0.0,1.16,1.16,1.16,64800
1980-10-29,0.0,1.16,1.15,1.15,56700
1980-10-30,0.0,1.16,1.15,1.15,182700
1980-10-31,0.0,1.16,1.15,1.15,263200
1980-11-03,0.0,1.15,1.14,1.14,73300
1980-11-05,0.0,1.15,1.14,1.14,107100
1980-11-06,0.0,1.14,1.13,1.13,150300
1980-11-07,0.0,1.13,1.12,1.12,309100
1980-11-10,0.0,1.14,1.12,1.12,105700
1980-11-11,0.0,1.19,1.17,1.17,271300
1980-11-12,0.0,1.2,1.19,1.19,447300
1980-11-13,0.0,1.21,1.2,1.2,83700
1980-11-14,0.0,1.21,1.21,1.21,174600
1980-11-17,0.0,1.21,1.2,1.2,75600
1980-11-18,0.0,1.19,1.18,1.18,217800
1980-11-19,0.0,1.19,1.17,1.17,220000
1980-11-20,0.0,1.19,1.18,1.18,531900
1980-11-21,0.0,1.18,1.17,1.17,130900
1980-11-24,0.0,1.2,1.18,1.18,1187100
1980-11-25,0.0,1.21,1.2,1.2,1826500
1980-11-26,0.0,1.24,1.23,1.23,1891300
1980-11-28,0.0,1.26,1.25,1.25,279900
1980-12-01,0.0,1.28,1.26,1.26,539100
1980-12-02,0.0,1.34,1.33,1.33,526900
1980-12-03,0.0,1.35,1.35,1.35,375300
1980-12-04,0.0,1.36,1.35,1.35,248800
1980-12-05,0.0,1.27,1.26,1.26,307800
1980-12-08,0.0,1.25,1.24,1.24,122800
