Date,Open,High,Low,Close,Volume
2010-11-18,27.39,28.17,26.52,26.76,457044300
2010-11-19,26.73,27.0,25.91,26.81,107842000
2010-11-22,26.77,26.99,26.46,26.67,36650600
2010-11-23,26.57,26.6,25.98,26.02,31170200
2010-11-24,26.4,26.45,26.0,26.2,26138000
2010-11-26,26.15,26.46,25.99,26.45,12301200
2010-11-29,26.45,26.46,25.88,26.45,27776900
2010-11-30,26.24,26.81,26.11,26.77,57476900
2010-12-01,27.12,27.35,26.94,27.22,34633200
2010-12-02,27.33,27.38,27.01,27.14,23196100
2010-12-03,27.04,27.08,26.59,27.04,19395200
2010-12-06,26.99,27.22,26.93,26.99,11676500
2010-12-07,27.2,27.31,26.97,27.14,20823000
2010-12-08,27.09,27.18,26.87,26.96,12603900
2010-12-09,26.89,26.95,26.31,26.41,18402200
2010-12-10,26.49,26.6,26.24,26.46,11741700
2010-12-13,26.58,26.65,26.38,26.45,11029300
2010-12-14,26.4,26.55,26.18,26.52,15165600
2010-12-15,26.46,26.62,26.3,26.3,10182700
2010-12-16,26.27,26.5,26.27,26.3,9885700
2010-12-17,26.24,26.61,25.98,26.61,35681600
2010-12-20,26.54,26.65,26.41,26.42,12476400
2010-12-21,26.5,26.56,26.39,26.49,9012400
2010-12-22,26.39,27.35,26.24,27.33,20935100
2010-12-23,27.13,27.8,27.1,27.24,20529200
2010-12-27,26.93,27.31,26.76,27.08,7368300
2010-12-28,27.69,27.92,27.45,27.64,23489000
2010-12-29,27.76,28.41,27.59,28.19,20960800
2010-12-30,28.25,28.94,28.19,28.82,16980800
2010-12-31,28.83,28.93,28.62,28.85,6163900
2011-01-03,29.21,29.74,28.98,29.0,24874900
2011-01-04,29.04,29.73,28.71,29.66,32363400
2011-01-05,29.33,29.98,29.33,29.8,22503900
2011-01-06,29.93,30.9,29.8,30.44,38556900
2011-01-07,30.4,30.78,30.14,30.51,19901100
2011-01-10,30.79,30.8,30.08,30.18,18341600
2011-01-11,30.26,30.86,30.14,30.33,14856500
2011-01-12,30.48,30.81,30.03,30.23,16773900
2011-01-13,30.26,30.3,29.83,29.95,11358300
2011-01-14,29.88,30.11,29.77,29.9,5894200
2011-01-18,29.78,30.0,29.21,29.76,8918200
2011-01-19,29.57,29.69,29.16,29.27,12667700
2011-01-20,29.04,29.18,28.39,29.1,15844900
2011-01-21,29.22,29.62,28.82,29.15,9548500
2011-01-24,29.51,29.63,28.98,29.46,12202800
2011-01-25,29.62,30.12,29.51,30.05,12318700
2011-01-26,30.33,30.45,29.63,29.65,11534600
2011-01-27,29.9,30.48,29.76,30.26,13950000
2011-01-28,29.74,29.76,28.18,28.64,37134600
2011-01-31,28.87,29.0,28.09,28.56,13954800
2011-02-01,28.9,29.14,28.28,28.53,28091600
2011-02-02,28.54,28.61,27.85,27.92,17434700
2011-02-03,28.15,28.22,27.49,28.22,19350000
2011-02-04,28.37,28.75,28.09,28.64,11115000
2011-02-07,28.92,29.03,28.65,28.72,7328800
2011-02-08,28.93,29.0,28.49,28.87,6243000
2011-02-09,28.82,28.89,28.39,28.5,6399300
2011-02-10,28.31,28.68,27.8,28.08,11542400
2011-02-11,27.99,28.62,27.82,28.53,13508300
2011-02-14,28.61,28.61,27.76,28.4,7121200
2011-02-15,28.32,28.5,28.02,28.26,10336500
2011-02-16,28.26,28.83,28.19,28.76,8680900
2011-02-17,28.61,28.72,28.41,28.46,7463000
2011-02-18,28.5,28.77,28.47,28.57,6815800
2011-02-22,28.07,28.29,27.74,28.0,13937400
2011-02-23,28.06,28.13,26.45,27.07,28192500
2011-02-24,27.31,27.39,25.08,25.84,63562800
2011-02-25,26.35,26.77,25.87,26.02,29017800
2011-02-28,26.21,26.41,25.72,26.24,15886400
2011-03-01,26.37,26.41,25.38,25.79,27321600
2011-03-02,25.75,25.96,25.51,25.73,14306700
2011-03-03,25.85,25.96,25.55,25.85,17614800
2011-03-04,25.88,25.89,25.05,25.35,24240900
2011-03-07,25.32,25.44,24.67,24.81,15077100
2011-03-08,24.84,25.69,24.8,25.61,14509400
2011-03-09,25.62,25.64,25.12,25.24,11225600
2011-03-10,24.63,24.87,24.22,24.59,38333600
2011-03-11,24.46,25.09,24.45,24.99,14024000
2011-03-14,25.15,25.28,24.6,24.72,9976500
2011-03-15,24.25,25.43,23.99,25.32,21471300
2011-03-16,25.37,25.46,24.58,24.87,14148900
2011-03-17,25.19,25.35,24.52,24.61,11025600
2011-03-18,24.84,25.01,24.59,24.93,9861200
2011-03-21,25.23,25.28,24.44,24.48,13196500
2011-03-22,24.48,24.54,23.88,24.06,16982100
2011-03-23,23.95,24.48,23.64,24.39,23016000
2011-03-24,24.51,24.73,24.45,24.57,15743100
2011-03-25,24.65,24.81,24.33,24.63,15242300
2011-03-28,24.72,24.72,24.14,24.14,10302600
2011-03-29,24.21,24.4,24.01,24.34,9756700
2011-03-30,24.39,24.76,24.29,24.69,7657000
2011-03-31,24.58,24.69,24.26,24.29,8976600
2011-04-01,24.57,25.54,24.14,25.37,29883100
2011-04-04,25.44,25.61,25.2,25.35,12331400
2011-04-05,25.3,25.73,25.12,25.73,10106900
2011-04-06,25.83,26.05,25.45,25.73,8160100
2011-04-07,25.7,25.7,25.1,25.29,11242400
2011-04-08,25.36,25.63,24.52,24.67,16057700
2011-04-11,24.53,24.61,23.91,24.08,15179100
2011-04-12,23.79,24.53,23.56,24.38,19648600
2011-04-13,24.44,24.51,23.94,24.15,13781100
2011-04-14,23.99,24.15,23.75,23.93,9044800
2011-04-15,23.94,24.04,23.62,23.67,9882800
2011-04-18,23.53,23.75,23.4,23.46,12745600
2011-04-19,23.33,23.41,22.83,23.16,19914800
2011-04-20,23.29,23.78,23.03,23.42,22038100
2011-04-21,23.52,24.26,23.49,24.22,18920800
2011-04-25,24.26,24.41,23.73,24.37,15442500
2011-04-26,24.57,24.66,24.23,24.47,15700000
2011-04-27,24.63,24.88,24.48,24.87,14945600
2011-04-28,24.86,25.12,24.64,24.97,15810100
2011-04-29,25.04,25.5,24.97,25.12,13774600
2011-05-02,25.37,25.44,24.98,25.19,11014500
2011-05-03,25.34,25.98,25.33,25.82,29894800
2011-05-04,25.95,26.2,25.6,25.86,20492000
2011-05-05,25.09,25.58,24.65,25.06,26623400
