Date,Open,High,Low,Close,Volume
2000-12-08,4.57,6.61,4.37,5.78,17149800
2000-12-11,6.56,6.58,5.75,6.13,2919200
2000-12-12,6.14,6.14,5.6,5.75,1077400
2000-12-13,6.0,6.04,5.71,5.75,422400
2000-12-14,5.78,5.86,5.75,5.82,265400
2000-12-15,5.86,5.86,5.21,5.82,950200
2000-12-18,5.93,5.93,5.62,5.8,483600
2000-12-19,5.8,5.8,5.57,5.67,457400
2000-12-20,5.6,5.67,5.21,5.28,1228800
2000-12-21,5.22,5.35,5.13,5.26,1017400
2000-12-22,5.39,5.6,5.35,5.57,416000
2000-12-26,5.58,5.6,5.46,5.49,754000
2000-12-27,5.47,5.53,5.28,5.37,361400
2000-12-28,5.39,5.6,5.3,5.39,1048600
2000-12-29,5.49,5.82,5.42,5.71,232800
2001-01-02,5.83,5.86,5.4,5.57,330400
2001-01-03,5.43,5.6,5.06,5.1,545400
2001-01-04,5.19,5.49,5.1,5.22,287600
2001-01-05,5.24,5.35,5.13,5.24,962000
2001-01-08,5.21,5.26,5.06,5.06,631000
2001-01-09,5.18,5.21,4.92,4.99,821800
2001-01-10,4.97,4.99,4.84,4.92,976800
2001-01-11,4.92,5.35,4.92,5.26,1357000
2001-01-12,5.38,5.57,5.35,5.53,566200
2001-01-16,5.67,5.93,5.46,5.49,663200
2001-01-17,5.53,5.75,5.46,5.6,486000
2001-01-18,5.63,5.64,5.35,5.49,292800
2001-01-19,5.51,5.57,5.28,5.31,254200
2001-01-22,5.39,5.39,5.1,5.17,764600
2001-01-23,5.28,5.31,5.17,5.17,442600
2001-01-24,5.17,5.21,4.9,4.92,1197200
2001-01-25,4.99,5.21,4.7,5.17,985800
2001-01-26,5.06,5.6,5.02,5.39,249000
2001-01-29,5.49,5.78,5.39,5.77,206600
2001-01-30,5.77,5.8,5.48,5.8,188800
2001-01-31,5.72,5.8,5.6,5.62,84200
2001-02-01,5.6,5.8,5.6,5.75,100600
2001-02-02,5.8,6.29,5.78,6.25,477200
2001-02-05,6.38,7.05,6.29,6.9,562400
2001-02-06,7.01,7.43,6.9,7.16,585600
2001-02-07,6.98,7.23,6.9,7.05,189400
2001-02-08,7.02,7.34,7.01,7.27,451400
2001-02-09,7.25,7.28,6.94,6.94,730200
2001-02-12,7.01,7.05,6.8,6.8,2362200
2001-02-13,6.89,7.12,6.76,7.05,228600
2001-02-14,7.08,7.12,6.18,6.43,1363600
2001-02-15,6.58,6.65,6.0,6.14,359400
2001-02-16,6.13,6.47,5.82,6.18,264200
2001-02-20,6.36,6.36,5.53,5.67,391400
2001-02-21,5.57,5.82,5.46,5.67,196800
2001-02-22,5.67,5.67,5.37,5.37,197400
2001-02-23,5.35,5.95,5.31,5.93,122800
2001-02-26,5.93,6.22,5.91,6.14,118600
2001-02-27,6.22,6.36,6.18,6.36,271800
2001-02-28,6.4,6.4,6.31,6.33,142600
2001-03-01,6.29,6.33,5.46,5.78,232000
2001-03-02,5.84,5.86,5.57,5.82,167000
2001-03-05,5.93,6.11,5.84,6.04,110000
2001-03-06,6.07,6.18,5.78,5.78,257000
2001-03-07,5.99,6.04,5.8,5.96,175800
2001-03-08,6.0,6.0,5.64,5.75,137000
2001-03-09,5.77,5.93,5.64,5.67,140000
2001-03-12,5.57,5.67,5.24,5.24,255000
2001-03-13,5.31,5.49,5.26,5.46,229200
2001-03-14,5.35,5.86,5.28,5.73,184000
2001-03-15,5.77,5.93,5.75,5.86,57200
2001-03-16,5.89,5.89,5.69,5.69,75800
2001-03-19,5.69,5.71,5.46,5.6,120800
2001-03-20,5.64,5.93,5.53,5.53,309800
2001-03-21,5.53,5.82,5.53,5.77,75200
2001-03-22,5.81,5.82,5.57,5.67,126800
2001-03-23,5.78,5.96,5.67,5.78,339800
2001-03-26,5.78,5.96,5.75,5.86,491400
2001-03-27,5.75,5.86,5.71,5.71,230800
2001-03-28,5.67,5.75,5.21,5.42,172400
2001-03-29,5.42,5.53,5.24,5.51,129600
2001-03-30,5.49,5.78,5.49,5.75,97200
2001-04-02,5.6,5.78,5.6,5.71,125000
2001-04-03,5.78,5.82,5.35,5.35,224600
2001-04-04,5.46,5.86,5.31,5.8,190000
2001-04-05,5.86,5.89,5.77,5.86,109600
2001-04-06,5.82,5.82,5.49,5.53,138800
