Date,Open,High,Low,Close,Volume
2006-09-06,3.95,4.26,3.9,4.22,30584000
2006-09-07,4.22,4.56,4.1,4.41,21539200
2006-09-08,4.37,4.54,4.31,4.4,15618000
2006-09-11,4.29,4.39,4.29,4.34,20751600
2006-09-12,4.33,4.4,4.28,4.38,9154000
2006-09-13,4.39,4.63,4.39,4.5,12278800
2006-09-14,4.44,4.49,4.33,4.35,5515200
2006-09-15,4.33,4.36,4.23,4.25,8064000
2006-09-18,4.29,4.34,4.25,4.32,3601600
2006-09-19,4.3,4.49,4.24,4.27,3788800
2006-09-20,4.27,4.44,4.26,4.43,2536800
2006-09-21,4.33,4.39,4.33,4.34,2767600
2006-09-22,4.35,4.44,4.32,4.42,1448800
2006-09-25,4.38,4.49,4.36,4.45,3204000
2006-09-26,4.47,4.49,4.45,4.47,1690000
2006-09-27,4.36,4.53,4.35,4.51,4552400
2006-09-28,4.46,4.58,4.45,4.48,2999600
2006-09-29,4.5,4.52,4.43,4.49,3173200
2006-10-02,4.47,4.51,4.45,4.49,2194000
2006-10-03,4.51,4.54,4.46,4.49,2680400
2006-10-04,4.47,4.61,4.44,4.53,2998800
2006-10-05,4.51,4.65,4.51,4.62,4523200
2006-10-06,4.6,4.62,4.54,4.58,1599200
2006-10-09,4.55,4.62,4.52,4.59,993600
2006-10-10,4.5,4.56,4.47,4.53,3932000
2006-10-11,4.53,4.54,4.46,4.52,3731200
2006-10-12,4.66,4.69,4.57,4.59,6095200
2006-10-13,4.61,4.68,4.61,4.66,4036400
2006-10-16,4.66,4.66,4.59,4.59,1898400
2006-10-17,4.59,4.6,4.55,4.55,2042800
2006-10-18,4.57,4.6,4.54,4.59,2838800
2006-10-19,4.59,4.61,4.54,4.59,1372800
2006-10-20,4.59,4.67,4.59,4.64,722400
2006-10-23,4.64,4.73,4.64,4.7,2190800
2006-10-24,4.65,4.75,4.61,4.75,1939200
2006-10-25,4.73,4.82,4.72,4.75,2170400
2006-10-26,4.75,4.89,4.74,4.85,2729600
2006-10-27,4.84,4.89,4.83,4.88,2366000
2006-10-30,4.84,4.91,4.79,4.84,2126800
2006-10-31,4.69,4.77,4.6,4.71,5304000
2006-11-01,4.67,4.68,4.57,4.6,2341200
2006-11-02,4.59,4.72,4.49,4.7,2562000
2006-11-03,4.65,4.69,4.56,4.59,2596800
2006-11-06,4.55,4.59,4.53,4.55,3257200
2006-11-07,4.53,4.58,4.43,4.46,2862000
2006-11-08,4.39,4.46,4.33,4.42,3322800
2006-11-09,4.41,4.44,4.39,4.42,2870800
2006-11-10,4.46,4.5,4.39,4.5,2338400
2006-11-13,4.5,4.56,4.47,4.5,1491600
2006-11-14,4.49,4.71,4.49,4.69,2555200
2006-11-15,4.79,4.8,4.68,4.75,2912000
2006-11-16,4.76,4.82,4.73,4.8,2921600
2006-11-17,4.8,4.8,4.75,4.79,2610800
2006-11-20,4.79,4.87,4.76,4.85,2311600
2006-11-21,4.82,4.86,4.79,4.82,1254400
2006-11-22,4.84,4.92,4.82,4.89,2896400
2006-11-24,4.86,4.88,4.81,4.88,581200
2006-11-27,4.86,4.86,4.75,4.8,1120800
2006-11-28,4.79,4.82,4.73,4.8,2980800
2006-11-29,4.77,4.82,4.76,4.79,1025200
2006-11-30,4.83,4.9,4.79,4.87,5052000
2006-12-01,4.88,4.95,4.82,4.93,2306000
2006-12-04,4.79,4.81,4.71,4.77,4436000
2006-12-05,4.78,4.84,4.77,4.81,955200
2006-12-06,4.83,4.83,4.74,4.78,1823200
2006-12-07,4.78,4.84,4.74,4.76,1774400
2006-12-08,4.75,4.81,4.69,4.73,1918400
2006-12-11,4.72,4.79,4.64,4.79,2202000
2006-12-12,4.41,4.79,4.41,4.75,1162000
2006-12-13,4.74,4.81,4.73,4.8,991200
2006-12-14,4.83,4.84,4.75,4.77,3572800
2006-12-15,4.79,4.82,4.73,4.73,3381600
2006-12-18,4.74,4.76,4.66,4.7,1520400
2006-12-19,4.68,4.69,4.57,4.62,2048800
2006-12-20,4.62,4.68,4.62,4.68,1110000
2006-12-21,4.68,4.7,4.54,4.58,1804000
2006-12-22,4.58,4.71,4.57,4.66,889200
2006-12-26,4.65,4.73,4.64,4.71,787600
2006-12-27,4.72,4.79,4.72,4.76,782400
2006-12-28,4.76,4.8,4.71,4.79,1501600
2006-12-29,4.8,4.8,4.7,4.72,947200
2007-01-03,4.73,4.83,4.73,4.8,3182400
2007-01-04,4.78,4.84,4.75,4.81,1463600
2007-01-05,4.8,4.87,4.76,4.84,1504800
2007-01-08,4.83,4.95,4.82,4.95,1513600
2007-01-09,4.94,4.97,4.88,4.93,916800
2007-01-10,4.9,4.94,4.86,4.93,1479200
2007-01-11,4.94,4.98,4.92,4.98,1178400
2007-01-12,4.98,5.06,4.98,5.04,1158000
2007-01-16,5.04,5.14,5.03,5.13,2068400
2007-01-17,5.11,5.12,5.09,5.11,1318400
2007-01-18,5.1,5.15,5.05,5.12,1574800
2007-01-19,5.1,5.11,5.04,5.09,1012800
2007-01-22,5.04,5.1,4.98,5.09,1385600
2007-01-23,5.06,5.12,5.04,5.1,1312400
2007-01-24,5.09,5.19,5.06,5.18,2431200
2007-01-25,5.19,5.2,5.15,5.16,894000
2007-01-26,5.16,5.19,5.11,5.17,1055600
2007-01-29,5.16,5.19,5.08,5.15,1300000
2007-01-30,5.16,5.17,5.12,5.14,992000
2007-01-31,5.14,5.14,5.08,5.11,1929600
2007-02-01,5.03,5.07,4.9,5.02,4252400
2007-02-02,4.97,5.11,4.97,5.06,1593200
2007-02-05,5.04,5.1,4.98,5.01,4002000
2007-02-06,5.01,5.05,4.99,4.99,1961200
2007-02-07,5.0,5.08,4.98,5.01,1640000
2007-02-08,5.0,5.04,4.97,5.01,1783200
2007-02-09,5.0,5.07,5.0,5.03,1010800
2007-02-12,5.04,5.18,5.03,5.18,1383600
2007-02-13,5.19,5.29,5.17,5.26,1582000
2007-02-14,5.27,5.32,5.27,5.32,1328400
2007-02-15,5.33,5.36,5.29,5.34,1344400
2007-02-16,5.33,5.38,5.32,5.35,1002800
2007-02-20,5.33,5.39,5.31,5.33,1356000
2007-02-21,5.31,5.43,5.3,5.42,1059600
2007-02-22,5.42,5.44,5.38,5.4,1265600
2007-02-23,5.39,5.43,5.38,5.41,2868800
2007-02-26,5.39,5.48,5.39,5.48,2458000
2007-02-27,5.42,5.49,5.39,5.49,2372000
2007-02-28,5.48,5.74,5.46,5.71,3478800
2007-03-01,5.66,5.71,5.55,5.66,3306000
2007-03-02,5.61,5.71,5.58,5.59,2272400
2007-03-05,5.54,5.55,5.42,5.42,6603200
2007-03-06,5.43,5.56,5.43,5.54,2562800
2007-03-07,5.56,5.59,5.51,5.54,3404000
2007-03-08,5.57,5.63,5.55,5.61,2199200
2007-03-09,5.64,5.67,5.61,5.66,1268400
2007-03-12,5.64,5.73,5.64,5.68,1151200
2007-03-13,5.67,5.73,5.65,5.71,3396800
2007-03-14,5.7,5.74,5.53,5.55,3284000
2007-03-15,5.54,5.59,5.41,5.41,2937600
2007-03-16,5.4,5.43,5.35,5.39,1773600
2007-03-19,5.37,5.55,5.37,5.5,1265600
2007-03-20,5.49,5.64,5.49,5.59,2666800
2007-03-21,5.61,5.67,5.58,5.67,1007600
2007-03-22,5.5,5.75,5.5,5.73,1940400
2007-03-23,5.74,5.87,5.74,5.82,2222000
2007-03-26,5.81,5.85,5.76,5.79,953200
2007-03-27,5.78,5.83,5.76,5.8,764800
2007-03-28,5.84,5.88,5.79,5.84,1957200
2007-03-29,5.87,5.92,5.83,5.88,2252000
2007-03-30,5.9,5.92,5.79,5.87,1714800
2007-04-02,5.88,5.9,5.87,5.88,1334400
2007-04-03,5.9,5.92,5.87,5.88,1538800
2007-04-04,5.87,5.89,5.78,5.79,1446000
2007-04-05,5.77,5.8,5.76,5.78,946800
2007-04-09,5.77,5.79,5.67,5.69,1244400
2007-04-10,5.68,5.72,5.65,5.68,1319200
2007-04-11,5.67,5.7,5.59,5.65,1975600
2007-04-12,5.64,5.73,5.62,5.69,1748000
2007-04-13,5.7,5.73,5.65,5.69,1362400
2007-04-16,5.69,5.69,5.63,5.66,1319200
2007-04-17,5.65,5.67,5.64,5.65,2079600
2007-04-18,5.64,5.68,5.59,5.65,1275600
2007-04-19,5.61,5.63,5.57,5.57,1829600
2007-04-20,5.61,5.7,5.59,5.68,2652000
2007-04-23,5.66,5.69,5.63,5.67,1832400
2007-04-24,5.67,5.67,5.59,5.64,1468800
2007-04-25,5.64,5.72,5.61,5.66,2220000
2007-04-26,5.63,5.63,5.12,5.39,6213600
2007-04-27,5.39,5.51,5.39,5.48,2390000
2007-04-30,5.49,5.49,5.31,5.31,3446400
2007-05-01,5.3,5.31,5.17,5.27,2836000
2007-05-02,5.27,5.39,5.22,5.37,3037600
2007-05-03,5.36,5.39,5.33,5.34,3293200
2007-05-04,5.34,5.37,5.32,5.35,2529200
2007-05-07,5.36,5.39,5.3,5.33,1822400
2007-05-08,5.3,5.32,5.24,5.24,1575200
2007-05-09,5.22,5.24,5.04,5.17,3839200
2007-05-10,5.14,5.18,5.08,5.08,2324800
2007-05-11,5.1,5.25,5.07,5.24,2192000
2007-05-14,5.24,5.29,5.22,5.26,1512400
2007-05-15,5.25,5.31,5.22,5.27,1762400
2007-05-16,5.28,5.33,5.2,5.27,2294800
2007-05-17,5.27,5.41,5.27,5.36,2346800
2007-05-18,5.37,5.37,5.28,5.32,2667200
2007-05-21,5.32,5.36,5.29,5.3,1760400
2007-05-22,5.32,5.34,5.26,5.32,2324800
2007-05-23,5.32,5.34,5.24,5.24,2634400
2007-05-24,5.23,5.28,5.16,5.17,2290000
2007-05-25,5.17,5.18,5.12,5.13,2343600
2007-05-29,5.13,5.13,5.07,5.12,2526400
2007-05-30,5.09,5.12,5.05,5.11,3184800
2007-05-31,5.11,5.22,5.09,5.21,4288400
2007-06-01,5.24,5.32,5.23,5.26,2920800
2007-06-04,5.26,5.41,5.25,5.41,1852800
2007-06-05,5.38,5.39,5.34,5.37,1283200
2007-06-06,5.34,5.41,5.29,5.4,1571600
2007-06-07,5.37,5.45,5.31,5.34,2876800
2007-06-08,5.32,5.42,5.31,5.37,1887200
2007-06-11,5.36,5.37,5.27,5.27,2481200
2007-06-12,5.24,5.33,5.23,5.26,3444400
2007-06-13,5.26,5.35,5.26,5.32,2866000
2007-06-14,5.32,5.46,5.32,5.38,2408000
2007-06-15,5.42,5.45,5.36,5.44,1666000
2007-06-18,5.45,5.55,5.45,5.48,2243200
2007-06-19,5.45,5.49,5.42,5.45,1560000
2007-06-20,5.45,5.52,5.42,5.44,2412800
2007-06-21,5.41,5.45,5.33,5.36,1836800
2007-06-22,5.34,5.35,5.28,5.31,2921200
2007-06-25,5.31,5.36,5.24,5.26,2304800
2007-06-26,5.28,5.32,5.25,5.29,2038400
2007-06-27,5.27,5.44,5.25,5.44,2017600
2007-06-28,5.44,5.58,5.39,5.49,1694800
2007-06-29,5.5,5.53,5.35,5.4,1793200
2007-07-02,5.41,5.47,5.33,5.46,1469600
2007-07-03,5.47,5.57,5.47,5.55,870400
2007-07-05,5.56,5.57,5.44,5.49,1035600
