Date,Open,High,Low,Close,Volume
2011-03-10,24.48,24.71,24.08,24.34,64599900
2011-03-11,23.93,24.55,23.93,24.41,9531600
2011-03-14,24.29,24.36,23.98,24.25,8663800
2011-03-15,23.84,24.71,23.82,24.59,7121200
2011-03-16,24.52,25.06,24.41,24.52,6157900
2011-03-17,24.74,25.05,24.63,25.03,3332400
2011-03-18,25.19,25.95,25.03,25.94,5463200
2011-03-21,26.19,26.19,25.1,25.3,3823500
2011-03-22,25.39,25.41,24.63,25.0,3943900
2011-03-23,24.87,25.64,24.71,25.64,4216300
2011-03-24,25.52,25.85,25.5,25.65,2125600
2011-03-25,25.66,25.97,25.56,25.85,3026600
2011-03-28,25.79,25.97,25.69,25.92,2098300
2011-03-29,26.23,26.68,25.93,26.59,5137300
2011-03-30,27.12,27.12,26.62,26.86,3049500
2011-03-31,26.67,26.76,26.41,26.57,1960600
2011-04-01,26.59,26.75,26.41,26.47,1822100
2011-04-04,26.57,26.57,26.13,26.41,2648000
2011-04-05,26.44,26.71,26.08,26.69,3607100
2011-04-06,26.48,26.83,26.08,26.12,2718500
2011-04-07,26.11,26.56,25.77,26.41,1946900
2011-04-08,26.3,26.67,25.88,26.02,2339800
2011-04-11,26.16,26.16,24.15,25.2,15028000
2011-04-12,25.19,25.57,24.58,24.74,3848800
2011-04-13,25.1,25.46,24.87,25.15,3969800
2011-04-14,25.02,25.5,24.94,25.21,1565900
2011-04-15,25.34,25.4,25.02,25.09,3072800
2011-04-18,24.96,25.53,24.12,25.17,2911100
2011-04-19,25.95,25.97,24.84,24.9,3838100
2011-04-20,25.1,25.25,24.44,24.83,3866100
2011-04-21,24.95,25.09,24.53,24.63,1462000
2011-04-25,24.76,24.79,24.4,24.63,732700
2011-04-26,24.59,25.16,24.44,25.1,1800000
2011-04-27,25.31,25.89,25.3,25.61,3354500
2011-04-28,25.5,25.88,25.3,25.55,1600000
2011-04-29,25.5,25.78,25.13,25.73,1233900
2011-05-02,25.73,26.51,25.73,26.23,2786200
2011-05-03,26.35,26.58,25.06,25.58,3429400
2011-05-04,25.97,26.64,25.72,26.32,4518300
2011-05-05,26.24,27.25,26.01,26.94,2613000
2011-05-06,26.72,27.07,26.59,26.87,1601300
2011-05-09,26.95,27.26,26.78,27.06,1996100
2011-05-10,26.7,27.35,26.67,27.14,1475100
2011-05-11,26.83,27.29,26.72,27.1,1431700
2011-05-12,26.91,27.14,26.77,27.07,814000
2011-05-13,27.01,27.28,26.85,27.14,1694000
2011-05-16,26.91,27.14,26.71,26.87,1719900
2011-05-17,26.84,27.42,26.67,27.1,3131000
2011-05-18,26.99,27.65,26.79,27.51,2070300
2011-05-19,27.47,27.64,27.07,27.5,1183900
2011-05-20,27.38,27.49,26.79,27.17,2012400
2011-05-23,26.99,27.1,26.67,26.99,2200000
2011-05-24,27.09,27.18,26.73,27.06,3000000
2011-05-25,27.12,27.46,26.86,27.21,2539100
2011-05-26,27.38,27.39,26.71,27.32,1796500
2011-05-27,27.39,27.54,26.99,27.25,1474700
2011-05-31,27.45,27.7,27.11,27.37,8113400
2011-06-01,27.46,27.67,27.0,27.28,3049800
2011-06-02,27.33,27.5,26.87,26.96,2160100
2011-06-03,26.67,26.79,26.45,26.78,2519100
2011-06-06,26.66,26.89,25.94,26.47,2361000
2011-06-07,26.51,27.38,26.46,27.08,1896300
2011-06-08,27.12,27.45,26.87,27.27,1458400
2011-06-09,27.48,27.75,27.13,27.65,1634100
2011-06-10,27.46,27.46,26.56,26.59,2222700
2011-06-13,26.79,26.79,26.08,26.4,1671700
2011-06-14,26.52,26.73,26.09,26.31,1846300
2011-06-15,26.08,26.3,25.59,26.01,2544700
2011-06-16,26.71,27.3,26.28,26.57,5779300
2011-06-17,26.67,27.45,26.63,27.14,3872600
2011-06-20,27.24,27.24,26.71,26.85,1461700
2011-06-21,26.83,26.96,26.28,26.59,2728100
2011-06-22,26.59,26.67,26.17,26.22,2487500
2011-06-23,26.12,26.23,25.32,26.05,3222100
2011-06-24,26.13,26.13,25.23,25.3,11475100
2011-06-27,25.42,25.66,24.7,25.48,3136700
2011-06-28,25.57,25.95,25.56,25.69,2536500
2011-06-29,25.87,26.12,25.57,25.7,1405800
2011-06-30,25.72,26.19,25.6,25.89,1479200
2011-07-01,26.0,26.28,25.53,25.94,1663200
2011-07-05,25.94,26.26,25.87,26.02,957900
2011-07-06,26.09,26.81,25.98,26.67,2467500
2011-07-07,26.87,27.25,26.67,26.9,1928600
2011-07-08,26.64,26.68,26.12,26.54,874800
2011-07-11,26.31,26.41,25.88,25.94,777900
2011-07-12,25.93,26.46,25.61,25.73,1075800
2011-07-13,25.87,26.41,25.74,26.08,1120100
2011-07-14,26.12,26.31,25.87,26.06,1107800
2011-07-15,26.1,26.11,25.68,26.06,1116700
2011-07-18,25.92,25.94,25.45,25.57,1609500
2011-07-19,25.92,26.62,25.79,25.91,2768200
2011-07-20,26.05,26.29,25.65,26.08,721700
2011-07-21,26.23,27.11,26.23,27.01,1554300
2011-07-22,26.92,27.39,26.69,27.15,2101300
2011-07-25,23.57,24.16,21.58,21.94,25100300
2011-07-26,21.71,22.26,21.15,22.0,7726300
2011-07-27,21.93,22.26,21.44,21.47,7519300
2011-07-28,21.59,21.89,21.1,21.35,3745300
2011-07-29,21.2,21.3,20.79,20.93,4122700
2011-08-01,21.15,21.33,18.46,19.57,11984800
2011-08-02,20.36,20.47,19.09,19.33,4763100
2011-08-03,19.28,19.53,17.82,19.42,8645800
2011-08-04,19.32,19.34,17.71,17.97,6587900
2011-08-05,18.11,18.24,17.02,17.25,5344500
2011-08-08,16.93,17.0,13.53,14.27,10496600
2011-08-09,14.52,15.11,13.36,14.4,8246200
2011-08-10,13.96,14.87,13.87,14.58,12044400
2011-08-11,14.74,15.59,14.71,15.27,7056800
2011-08-12,15.31,16.8,14.58,16.65,6145000
2011-08-15,16.8,18.47,16.8,17.71,7085300
2011-08-16,17.52,17.58,16.88,17.08,2753200
2011-08-17,17.22,17.31,16.33,16.47,3437400
2011-08-18,16.07,16.24,15.43,15.66,3699900
2011-08-19,15.43,15.73,14.95,15.12,1865200
2011-08-22,15.35,15.62,14.75,14.95,1310900
2011-08-23,15.02,15.38,14.55,15.36,3408800
2011-08-24,15.34,15.88,14.98,15.72,2030400
2011-08-25,15.88,15.88,14.8,14.95,1532500
2011-08-26,14.92,15.38,14.49,15.3,1456000
2011-08-29,15.48,16.04,15.41,15.67,2126400
2011-08-30,15.64,15.69,15.38,15.58,1880200
2011-08-31,15.6,16.01,15.49,15.71,2863200
2011-09-01,15.82,16.18,14.97,15.05,1599200
2011-09-02,14.76,14.91,14.36,14.63,1920900
2011-09-06,14.18,14.83,14.02,14.72,2363000
2011-09-07,14.98,15.78,14.83,15.56,2327200
2011-09-08,15.46,15.81,15.23,15.29,1371000
2011-09-09,15.16,15.37,14.34,14.36,2378000
2011-09-12,14.19,14.78,13.81,14.43,3584300
2011-09-13,14.18,14.18,13.49,13.85,4192500
2011-09-14,13.89,14.99,13.81,14.6,7234800
2011-09-15,15.66,16.47,15.64,16.35,7338600
2011-09-16,16.68,16.9,16.28,16.65,3972600
2011-09-19,16.26,16.27,15.49,15.54,3967900
2011-09-20,15.69,15.84,15.29,15.61,2470400
2011-09-21,15.6,16.1,15.49,15.55,4255800
2011-09-22,14.93,15.95,14.93,15.63,3843300
2011-09-23,15.32,15.56,15.09,15.27,2915600
2011-09-26,15.51,15.69,15.2,15.57,2518400
2011-09-27,15.93,15.98,15.49,15.56,1372800
2011-09-28,15.6,15.6,15.06,15.06,1467000
2011-09-29,15.3,15.64,15.09,15.53,1730100
2011-09-30,15.31,15.93,15.27,15.82,4126700
2011-10-03,15.76,16.07,14.69,14.76,4123900
2011-10-04,14.52,14.65,13.67,14.6,4096800
2011-10-05,14.03,14.78,13.89,14.18,4669800
2011-10-06,14.21,14.75,14.11,14.33,2032500
2011-10-07,14.58,14.92,14.24,14.59,2169300
2011-10-10,14.9,15.13,14.76,15.05,1054600
2011-10-11,15.05,15.11,14.8,14.98,875700
2011-10-12,15.13,16.32,14.99,15.94,4898800
2011-10-13,15.78,16.64,15.63,16.58,3378300
2011-10-14,16.84,17.38,16.74,17.3,3463600
2011-10-17,17.22,17.42,16.84,17.1,1974300
2011-10-18,17.2,17.95,17.07,17.81,2975500
2011-10-19,17.85,17.93,17.07,17.21,2507400
2011-10-20,17.2,17.36,16.56,17.0,3167400
2011-10-21,17.34,18.34,17.34,18.29,3662500
2011-10-24,18.26,18.47,17.68,17.89,1943500
2011-10-25,17.72,17.72,17.34,17.38,1446000
2011-10-26,17.67,17.81,16.83,17.53,2247300
2011-10-27,18.0,18.0,16.73,17.68,3777400
2011-10-28,17.64,18.11,17.46,17.87,2215300
2011-10-31,17.79,18.62,17.67,18.4,4239400
2011-11-01,18.0,20.11,17.65,18.44,5719200
2011-11-02,18.87,19.38,18.29,18.32,4120600
2011-11-03,18.04,18.37,17.67,18.11,3674800
2011-11-04,18.22,18.53,17.93,18.44,1343600
2011-11-07,18.32,19.31,18.32,19.24,2936000
2011-11-08,19.13,20.08,18.75,19.78,6044300
2011-11-09,19.08,19.93,19.08,19.63,3704700
2011-11-10,19.62,20.38,19.62,20.29,4279400
2011-11-11,20.49,21.07,20.36,20.81,4686700
2011-11-14,20.71,20.97,20.44,20.81,2891000
2011-11-15,20.73,20.99,20.35,20.88,2435400
2011-11-16,20.8,20.99,19.97,20.02,2462500
2011-11-17,19.93,20.22,19.39,19.65,3054300
2011-11-18,19.68,20.15,19.32,19.77,3779500
2011-11-21,19.36,20.0,19.36,19.64,2041700
2011-11-22,19.56,19.64,18.66,18.79,2668800
2011-11-23,18.62,18.84,18.22,18.5,2631100
2011-11-25,18.51,18.82,18.37,18.4,258800
2011-11-28,18.72,19.11,18.52,18.65,1705000
2011-11-29,18.75,19.02,18.37,18.87,1698500
2011-11-30,19.36,19.4,18.76,19.13,3441400
2011-12-01,19.06,19.28,18.87,18.98,1495700
2011-12-02,18.84,19.2,16.91,17.61,8681400
2011-12-05,18.62,18.83,18.33,18.55,4116500
2011-12-06,18.55,18.85,18.04,18.23,3034400
2011-12-07,18.09,18.19,17.6,17.78,2697300
2011-12-08,17.67,17.69,16.58,16.83,2941500
2011-12-09,16.87,17.05,16.61,16.62,1562200
2011-12-12,16.54,16.69,15.96,16.21,2690300
2011-12-13,16.22,16.66,15.79,15.86,2385400
2011-12-14,15.82,16.29,15.58,16.16,4290500
2011-12-15,16.18,16.69,16.11,16.58,3124300
2011-12-16,16.8,17.18,16.63,16.92,6188100
2011-12-19,17.0,17.18,16.58,16.65,1709700
2011-12-20,16.89,17.1,16.43,16.52,2592300
2011-12-21,16.53,17.24,16.53,17.18,1678800
2011-12-22,17.19,17.43,17.02,17.16,1272600
2011-12-23,17.1,17.19,16.8,16.84,1161600
2011-12-27,16.8,17.02,16.51,16.77,981700
2011-12-28,16.79,16.82,16.33,16.4,1201800
2011-12-29,16.42,16.78,16.36,16.69,781300
2011-12-30,16.65,17.53,16.65,17.28,1972500
2012-01-03,17.26,17.36,16.69,16.98,1943500
2012-01-04,16.87,16.87,16.24,16.32,2927100
2012-01-05,16.2,16.92,16.2,16.7,1959300
2012-01-06,16.71,17.76,16.71,17.53,3020200
2012-01-09,17.37,17.79,16.94,16.98,1920600
2012-01-10,17.24,17.65,15.95,17.62,5678500
2012-01-11,17.49,18.79,17.41,18.67,5801400
2012-01-12,18.79,18.91,17.96,18.29,4220200
2012-01-13,18.29,18.91,18.18,18.75,2466300
2012-01-17,18.77,18.97,18.48,18.84,1641000
2012-01-18,18.87,19.25,18.7,19.03,2147200
2012-01-19,19.02,19.46,18.95,19.23,2033200
2012-01-20,19.22,19.29,18.95,19.22,1470800
2012-01-23,19.17,19.46,19.17,19.33,1551300
2012-01-24,19.3,20.52,19.2,20.44,6702100
2012-01-25,20.49,21.2,20.31,21.18,5779500
2012-01-26,20.83,21.08,20.54,20.68,1779400
2012-01-27,20.58,20.6,20.17,20.18,2851700
2012-01-30,20.12,20.26,19.39,19.49,2472400
2012-01-31,19.71,19.97,19.05,19.17,3674000
2012-02-01,19.48,19.81,19.14,19.59,3174500
2012-02-02,19.64,19.86,19.44,19.82,2187600
2012-02-03,19.82,20.79,19.82,20.76,4524000
2012-02-06,22.74,22.74,21.52,22.28,11567800
2012-02-07,22.34,22.99,22.34,22.61,6231600
2012-02-08,22.67,22.99,22.32,22.73,4131400
2012-02-09,22.75,22.75,21.5,21.81,6654600
2012-02-10,21.81,22.12,21.6,21.83,5350400
2012-02-13,22.07,22.12,20.73,21.42,5518700
2012-02-14,21.34,21.55,21.15,21.24,2462000
2012-02-15,21.36,21.47,20.87,21.03,2673800
2012-02-16,21.16,21.99,21.01,21.96,3320500
2012-02-17,21.86,22.01,21.09,21.23,2058000
2012-02-21,21.31,21.56,21.16,21.31,978500
2012-02-22,21.3,21.8,21.26,21.67,2004200
2012-02-23,22.08,22.26,21.86,22.07,1886500
2012-02-24,22.1,22.71,21.96,22.64,2369100
2012-02-27,22.47,23.02,22.43,22.84,2401500
2012-02-28,22.58,22.94,22.51,22.8,1866600
2012-02-29,22.82,23.17,22.31,22.58,2453400
2012-03-01,22.64,22.73,21.92,22.22,1971200
2012-03-02,22.09,22.17,21.9,21.93,1678400
2012-03-05,21.9,22.11,21.64,21.91,1457100
2012-03-06,21.62,21.81,21.15,21.3,2591600
2012-03-07,21.38,21.83,21.31,21.49,1375500
2012-03-08,21.64,21.77,21.36,21.4,1070700
2012-03-09,21.53,21.76,21.39,21.69,2146600
2012-03-12,21.61,21.61,20.87,21.18,2413300
2012-03-13,21.31,21.37,20.95,21.37,2247100
2012-03-14,21.34,21.97,21.29,21.81,1794000
2012-03-15,21.86,21.92,21.31,21.52,2605300
2012-03-16,21.57,21.65,21.26,21.53,2206900
2012-03-19,21.43,21.55,21.2,21.3,1051100
2012-03-20,21.16,21.27,20.43,20.88,2277600
2012-03-21,20.93,21.34,20.8,21.18,1389000
2012-03-22,21.01,21.21,20.87,20.98,873100
2012-03-23,21.12,21.37,20.93,21.2,5130400
2012-03-26,21.37,21.86,21.3,21.42,2652600
2012-03-27,21.42,21.5,20.44,20.55,6268400
2012-03-28,20.65,20.91,20.02,20.28,5628000
2012-03-29,20.11,20.7,19.43,20.22,6243100
2012-03-30,20.25,21.16,20.21,20.94,3719300
2012-04-02,20.91,22.09,20.83,21.99,4602900
2012-04-03,22.03,23.14,21.97,22.79,6027000
2012-04-04,22.58,22.75,22.35,22.74,3967100
