Date,Open,High,Low,Close,Volume
1981-09-22,0.02,0.02,0.02,0.02,7435800
1981-09-23,0.02,0.02,0.02,0.02,7380000
1981-09-24,0.02,0.02,0.02,0.02,5065500
1981-09-25,0.02,0.02,0.02,0.02,7306500
1981-09-28,0.02,0.02,0.02,0.02,5794500
1981-09-29,0.02,0.02,0.02,0.02,3953100
1981-09-30,0.02,0.02,0.02,0.02,5248800
1981-10-01,0.02,0.02,0.02,0.02,4374000
1981-10-02,0.02,0.03,0.02,0.02,3479700
1981-10-05,0.02,0.03,0.02,0.02,1766100
1981-10-06,0.02,0.03,0.02,0.02,2514600
1981-10-07,0.02,0.03,0.02,0.02,4190700
1981-10-08,0.02,0.03,0.02,0.02,126300
1981-10-09,0.02,0.03,0.02,0.02,5612700
1981-10-12,0.02,0.03,0.02,0.02,363900
1981-10-13,0.02,0.03,0.02,0.02,1146900
1981-10-14,0.02,0.03,0.02,0.02,363900
1981-10-15,0.02,0.03,0.02,0.02,3097800
1981-10-16,0.02,0.03,0.02,0.02,291600
1981-10-19,0.02,0.03,0.02,0.02,1220400
1981-10-20,0.03,0.03,0.03,0.03,1494000
1981-10-21,0.03,0.03,0.03,0.03,7106700
1981-10-22,0.03,0.03,0.03,0.03,6377700
1981-10-23,0.03,0.03,0.03,0.03,3917100
1981-10-26,0.03,0.03,0.03,0.03,4300500
1981-10-27,0.03,0.03,0.03,0.03,1238700
1981-10-28,0.03,0.03,0.03,0.03,3425700
1981-10-29,0.03,0.03,0.03,0.03,599700
1981-10-30,0.03,0.03,0.03,0.03,417900
1981-11-02,0.03,0.03,0.03,0.03,837300
1981-11-03,0.03,0.03,0.03,0.03,1092900
1981-11-04,0.03,0.03,0.03,0.03,1110600
1981-11-05,0.03,0.03,0.03,0.03,4244700
1981-11-06,0.03,0.03,0.03,0.03,126300
1981-11-09,0.03,0.03,0.03,0.03,4428000
1981-11-10,0.03,0.03,0.03,0.03,2786700
1981-11-11,0.03,0.03,0.03,0.03,363900
1981-11-12,0.03,0.03,0.03,0.03,673200
1981-11-13,0.03,0.03,0.03,0.03,291600
1981-11-16,0.03,0.03,0.03,0.03,2860200
1981-11-17,0.03,0.03,0.03,0.03,145800
1981-11-18,0.03,0.03,0.03,0.03,363900
1981-11-19,0.03,0.03,0.03,0.03,145800
1981-11-20,0.03,0.03,0.03,0.03,2660400
1981-11-23,0.03,0.03,0.03,0.03,910800
