Date,Open,High,Low,Close,Volume
1995-12-15,13.63,14.12,13.63,14.12,1283000
1995-12-18,14.12,14.23,13.77,13.87,2710200
1995-12-19,13.87,13.87,13.48,13.59,1096600
1995-12-20,13.59,14.02,13.59,13.95,3904000
1995-12-21,13.91,14.02,13.66,13.77,3891400
1995-12-22,13.84,13.95,13.77,13.84,2170200
1995-12-26,13.84,13.84,13.73,13.8,935600
1995-12-27,13.77,13.8,13.66,13.66,1391400
1995-12-28,13.59,13.77,13.56,13.66,1983000
1995-12-29,13.59,13.73,13.45,13.73,1028000
1996-01-02,13.66,13.84,13.56,13.77,1641200
1996-01-03,13.73,13.84,13.7,13.73,2544000
1996-01-04,13.63,13.91,13.63,13.87,2348200
1996-01-05,13.87,13.91,13.73,13.84,3229000
1996-01-08,13.98,14.16,13.91,14.16,1086400
1996-01-09,14.16,14.16,13.98,14.09,4461400
1996-01-10,13.95,14.02,13.59,13.7,1805000
1996-01-11,13.84,13.87,13.7,13.84,2521600
1996-01-12,14.12,14.12,13.8,14.09,1359200
1996-01-15,14.16,14.34,14.12,14.34,945600
1996-01-16,14.58,14.58,14.37,14.41,1892000
1996-01-17,14.27,14.37,14.23,14.23,1104800
1996-01-18,14.16,14.34,14.02,14.27,1987200
1996-01-19,14.16,14.27,14.12,14.19,1019200
1996-01-22,14.12,14.19,14.05,14.19,1224000
1996-01-23,14.34,14.48,14.3,14.44,2034400
1996-01-24,14.41,14.44,14.3,14.34,2159600
1996-01-25,14.27,14.44,14.05,14.12,2170000
1996-01-26,14.05,14.3,13.95,14.3,1425600
1996-01-29,14.19,14.27,14.09,14.19,412800
1996-01-30,14.12,14.19,14.02,14.09,635200
1996-01-31,14.05,14.23,13.98,14.23,1502800
1996-02-01,14.37,14.37,14.27,14.3,1231400
1996-02-02,14.23,14.23,14.02,14.19,917200
1996-02-05,14.05,14.23,14.05,14.19,702000
1996-02-06,14.19,14.3,14.16,14.27,726800
1996-02-07,14.27,14.34,14.16,14.3,1627800
1996-02-08,14.3,14.55,14.27,14.55,1513200
1996-02-09,14.55,14.66,14.37,14.41,1344800
1996-02-12,14.41,14.66,14.41,14.62,904400
1996-02-13,14.44,14.83,14.44,14.73,1055600
1996-02-14,14.66,14.87,14.66,14.76,717000
1996-02-15,14.66,14.83,14.66,14.69,691800
1996-02-16,14.62,14.66,14.37,14.44,1504200
1996-02-20,14.19,14.55,14.16,14.44,1628200
1996-02-21,14.34,14.8,14.34,14.58,997800
1996-02-22,14.48,14.9,14.48,14.87,1141000
1996-02-23,14.9,15.08,14.87,14.98,1193800
1996-02-26,14.98,15.05,14.83,15.05,748200
1996-02-27,15.01,15.01,14.87,14.94,782200
1996-02-28,15.06,15.24,14.92,14.92,732000
1996-02-29,14.85,15.13,14.81,14.85,1416000
1996-03-01,14.85,15.21,14.77,15.1,714600
1996-03-04,15.31,15.49,15.13,15.21,1050600
1996-03-05,15.21,15.24,14.99,15.13,1455600
1996-03-06,15.13,15.17,14.99,15.13,613400
1996-03-07,15.1,15.13,14.99,15.03,1108000
1996-03-08,14.49,14.7,14.13,14.49,1946400
1996-03-11,14.38,14.52,14.09,14.27,850600
1996-03-12,14.05,14.13,13.8,13.98,1167800
1996-03-13,13.95,14.09,13.95,13.98,925400
1996-03-14,13.95,14.13,13.95,13.98,1018600
1996-03-15,13.98,14.02,13.51,13.58,1836000
1996-03-18,13.73,14.05,13.73,14.02,1970200
1996-03-19,14.09,14.49,14.09,14.41,1821600
1996-03-20,14.41,14.56,14.34,14.49,976800
1996-03-21,14.49,14.56,14.38,14.52,842000
1996-03-22,14.59,14.63,14.41,14.41,622800
