Date,Open,High,Low,Close,Volume
2011-03-22,32.84,34.57,31.26,34.47,491400
2011-03-23,34.08,34.75,33.97,34.25,601200
2011-03-24,34.48,34.48,34.16,34.25,230400
2011-03-25,34.48,36.09,34.25,36.09,497400
2011-03-28,35.86,35.86,34.71,34.71,53100
2011-03-29,34.72,34.89,34.45,34.48,269300
2011-03-30,34.89,35.39,33.63,35.12,8573500
2011-03-31,35.35,39.3,34.94,38.16,2653000
2011-04-01,37.69,39.02,36.63,36.81,2222900
2011-04-04,36.65,37.71,35.99,36.91,1122700
2011-04-05,36.34,37.08,35.61,37.01,1373400
2011-04-06,36.65,37.06,35.97,36.48,2080100
2011-04-07,35.17,36.09,34.49,35.67,2134600
2011-04-08,35.24,35.75,35.12,35.4,1307200
2011-04-11,35.4,35.47,35.19,35.23,1563100
2011-04-12,34.85,35.32,34.62,34.98,1637500
2011-04-13,34.67,35.28,34.28,34.94,1649100
2011-04-14,34.85,36.19,34.8,35.65,1232400
2011-04-15,35.76,37.47,35.68,36.9,1502100
2011-04-18,36.27,36.98,35.48,36.82,793700
2011-04-19,36.85,36.89,36.31,36.57,802400
2011-04-20,36.9,37.11,36.32,36.83,358200
2011-04-21,36.8,36.95,36.02,36.14,799400
2011-04-25,35.98,36.23,35.5,35.92,298000
2011-04-26,35.83,36.51,35.58,36.17,696700
2011-04-27,35.83,36.96,35.03,36.79,772000
2011-04-28,36.78,37.0,36.39,36.77,692000
2011-04-29,36.78,36.93,36.72,36.78,556000
2011-05-02,36.23,37.87,35.9,37.68,542100
2011-05-03,37.59,37.78,37.13,37.24,539000
2011-05-04,37.14,37.39,36.4,36.73,591800
2011-05-05,36.6,37.88,36.32,36.63,635800
2011-05-06,36.79,36.91,36.17,36.32,413800
2011-05-09,36.16,36.64,35.73,36.41,368900
2011-05-10,36.58,37.09,36.56,36.93,709100
2011-05-11,36.3,36.32,35.4,35.65,1297900
2011-05-12,35.67,35.76,35.19,35.3,382000
2011-05-13,35.22,35.5,34.91,35.36,435000
2011-05-16,35.12,35.76,35.12,35.57,303700
2011-05-17,35.31,35.75,35.31,35.65,369700
2011-05-18,35.53,35.53,35.02,35.4,559900
2011-05-19,35.35,35.56,34.94,35.29,519700
2011-05-20,35.24,35.28,34.8,34.99,349000
2011-05-23,34.69,35.08,34.3,34.75,283600
2011-05-24,34.67,34.81,34.03,34.17,368900
2011-05-25,34.04,34.11,33.66,33.71,327400
2011-05-26,33.49,33.69,33.36,33.48,481700
2011-05-27,33.72,33.93,33.51,33.63,241300
2011-05-31,33.8,34.37,33.5,33.62,835400
2011-06-01,33.62,33.62,33.06,33.19,669000
2011-06-02,33.12,33.32,32.97,33.14,317500
2011-06-03,32.79,33.14,32.4,32.91,421500
2011-06-06,32.81,33.22,32.65,33.08,355200
2011-06-07,33.1,33.59,33.0,33.5,252100
2011-06-08,33.36,34.12,33.36,33.99,254000
2011-06-09,33.96,34.39,33.84,34.01,986800
2011-06-10,33.89,33.89,33.24,33.4,462200
2011-06-13,33.4,33.78,33.4,33.57,385600
2011-06-14,33.74,33.79,33.43,33.63,231300
2011-06-15,33.33,33.42,32.99,33.25,289200
2011-06-16,33.2,33.5,33.07,33.1,290100
2011-06-17,33.26,33.49,32.97,33.05,494300
2011-06-20,32.94,33.48,32.92,33.09,1960200
2011-06-21,33.16,33.51,33.13,33.42,198100
2011-06-22,33.26,33.73,33.1,33.24,129800
2011-06-23,33.1,33.21,32.84,33.01,169000
2011-06-24,33.08,33.08,32.41,32.72,538600
2011-06-27,32.64,33.05,32.34,32.36,162300
2011-06-28,32.45,32.84,32.22,32.42,160300
2011-06-29,32.42,32.5,31.92,32.01,328600
2011-06-30,32.05,32.22,31.47,31.72,600700
2011-07-01,31.73,32.25,31.67,31.82,284600
2011-07-05,31.77,32.12,31.74,31.85,333900
2011-07-06,31.77,33.1,31.43,32.41,690300
2011-07-07,32.55,32.66,31.63,31.71,313400
2011-07-08,31.43,32.44,31.43,32.18,811200
2011-07-11,32.0,32.2,31.65,32.03,518500
2011-07-12,31.87,31.87,31.4,31.63,799500
2011-07-13,31.62,31.75,30.53,31.3,1422700
2011-07-14,31.34,31.34,30.36,30.85,482700
2011-07-15,30.78,30.95,30.35,30.82,607400
2011-07-18,30.71,30.86,30.37,30.52,619000
2011-07-19,30.63,30.64,30.26,30.63,389800
2011-07-20,30.56,30.99,30.47,30.55,314100
2011-07-21,30.63,30.94,30.49,30.73,233500
2011-07-22,30.66,31.3,30.31,31.18,328500
2011-07-25,30.85,31.74,30.67,31.52,386900
2011-07-26,32.9,32.9,32.31,32.33,686500
2011-07-27,32.12,32.38,31.3,31.44,426900
2011-07-28,31.35,31.79,31.23,31.26,314400
2011-07-29,30.98,31.35,30.65,30.78,341700
2011-08-01,30.9,30.95,30.15,30.19,539400
2011-08-02,30.06,30.65,29.83,29.83,370800
2011-08-03,29.9,30.05,29.09,29.5,515200
2011-08-04,29.23,29.57,29.02,29.05,504800
2011-08-05,29.26,29.26,27.72,28.62,559100
2011-08-08,27.93,28.19,27.26,27.48,903800
2011-08-09,27.81,27.81,25.43,27.32,1206000
2011-08-10,26.98,26.98,25.56,25.75,1012200
2011-08-11,25.65,26.09,24.35,25.59,649000
2011-08-12,25.72,26.72,25.59,25.76,794000
2011-08-15,25.86,26.4,25.85,26.29,494600
2011-08-16,26.06,27.24,26.06,27.1,802500
2011-08-17,27.2,27.34,26.74,27.11,204800
2011-08-18,26.75,27.0,25.95,26.33,493900
2011-08-19,26.22,27.04,26.22,26.32,495900
2011-08-22,26.64,27.09,26.0,26.11,325100
2011-08-23,26.18,27.07,25.84,26.89,486500
2011-08-24,26.9,28.38,26.9,28.13,302300
2011-08-25,28.35,28.35,27.21,27.28,243600
2011-08-26,27.06,27.98,26.52,27.81,220200
2011-08-29,27.95,28.49,27.4,28.32,205300
2011-08-30,27.94,28.41,27.76,28.15,250100
2011-08-31,28.29,28.72,27.32,27.53,375600
