Date,Open,High,Low,Close,Volume
2013-12-12,42.37,43.6,42.27,42.77,12935400
2013-12-13,43.74,44.52,42.87,43.96,1224800
2013-12-16,45.91,51.22,42.81,42.81,4717600
2013-12-17,42.99,43.74,42.93,43.39,2313800
2013-12-18,43.43,44.12,43.09,43.43,2857800
2013-12-19,43.27,44.58,42.87,44.32,1469100
2013-12-20,44.76,44.86,43.49,43.62,994800
2013-12-23,43.78,44.14,42.89,42.89,1220700
2013-12-24,42.97,43.11,42.07,42.79,1234000
2013-12-26,42.89,43.68,42.87,43.17,1309200
2013-12-27,42.97,43.45,42.87,42.97,1090300
2013-12-30,43.21,43.7,42.97,43.55,871800
2013-12-31,43.76,44.7,43.66,44.26,1134300
2014-01-02,44.26,44.46,43.31,43.49,1763700
2014-01-03,43.37,43.94,43.27,43.78,461200
2014-01-06,43.74,44.0,43.29,43.76,1172300
2014-01-07,43.76,43.96,43.56,43.76,1992500
2014-01-08,43.82,43.82,43.37,43.82,1154200
2014-01-09,43.76,43.8,43.19,43.51,459600
2014-01-10,43.29,43.49,42.91,43.15,812300
2014-01-13,42.89,43.43,42.89,43.21,728200
2014-01-14,43.19,43.98,43.05,43.96,1251600
2014-01-15,43.86,44.1,43.43,43.58,915200
2014-01-16,43.56,43.82,43.15,43.68,1130000
2014-01-17,43.68,44.88,43.37,44.26,2702200
2014-01-21,44.78,44.94,43.45,43.6,1280200
2014-01-22,43.74,44.74,43.56,44.68,1428600
2014-01-23,44.62,45.08,43.96,45.08,936000
2014-01-24,44.46,44.72,43.94,44.66,891000
2014-01-27,44.66,44.66,43.55,43.74,1099600
2014-01-28,43.45,43.76,43.27,43.56,686200
2014-01-29,43.39,43.53,42.89,43.09,437800
2014-01-30,43.29,43.41,42.97,43.09,520200
2014-01-31,42.79,43.15,42.45,43.07,428600
2014-02-03,43.07,43.17,41.46,41.68,1115000
2014-02-04,41.77,41.93,41.46,41.83,835700
2014-02-05,41.48,41.7,40.88,41.38,694700
2014-02-06,41.46,42.17,41.42,42.17,294100
2014-02-07,42.29,43.51,42.21,43.07,513000
2014-02-10,43.11,43.15,42.37,42.59,562400
2014-02-11,43.23,43.31,42.69,43.15,642400
2014-02-12,43.25,43.66,43.01,43.55,436600
2014-02-13,43.33,43.8,43.07,43.66,551600
2014-02-14,43.76,43.86,43.49,43.76,647800
2014-02-18,43.76,43.76,43.23,43.29,616100
2014-02-19,43.29,43.66,42.77,42.83,441000
2014-02-20,42.77,43.11,42.39,42.75,602000
2014-02-21,42.77,44.14,42.71,44.06,1166000
2014-02-24,44.18,44.76,43.84,44.28,743100
2014-02-25,44.26,44.92,44.18,44.5,823100
2014-02-26,44.58,45.12,44.36,44.84,1072000
2014-02-27,44.58,45.47,43.37,44.74,2187800
2014-02-28,44.76,44.92,43.92,44.48,970500
2014-03-03,44.2,44.76,43.98,44.74,676700
2014-03-04,45.57,45.95,44.68,44.88,2307000
2014-03-05,44.7,45.53,44.66,45.3,668700
2014-03-06,45.3,45.47,44.56,44.72,682400
2014-03-07,44.66,45.41,44.56,45.18,642300
2014-03-10,45.28,45.45,44.22,44.52,922000
2014-03-11,44.54,44.68,43.76,43.98,835400
2014-03-12,43.84,44.56,43.31,44.46,788600
2014-03-13,44.22,44.62,43.68,43.86,992600
2014-03-14,43.68,44.28,43.51,43.82,609000
2014-03-17,43.98,44.54,43.94,44.0,369200
2014-03-18,43.96,44.94,43.88,44.9,677700
2014-03-19,44.8,44.82,44.08,44.28,733300
2014-03-20,44.26,44.6,43.98,44.1,652700
2014-03-21,44.3,45.73,44.06,45.73,3026700
2014-03-24,45.63,45.93,44.68,45.28,966000
2014-03-25,45.32,45.55,44.72,44.72,781700
2014-03-26,44.76,44.9,44.34,44.44,781900
2014-03-27,44.38,44.8,44.1,44.22,670500
2014-03-28,44.1,44.52,43.66,44.26,2073000
2014-03-31,44.44,44.62,43.76,44.24,4896900
2014-04-01,44.2,45.16,44.18,44.86,1052500
2014-04-02,44.76,45.14,44.66,44.7,1061500
2014-04-03,44.76,44.92,43.8,43.8,959300
2014-04-04,43.82,43.86,42.89,42.95,2767300
2014-04-07,42.97,43.03,42.29,42.51,694200
2014-04-08,42.47,42.57,42.05,42.49,686100
2014-04-09,42.63,43.07,42.53,42.79,864800
2014-04-10,42.71,42.91,41.85,42.13,527900
2014-04-11,41.97,42.53,41.7,42.27,760100
2014-04-14,42.35,42.99,41.99,42.47,515300
2014-04-15,42.79,42.79,41.77,42.53,484900
2014-04-16,42.31,43.01,42.23,42.97,523900
2014-04-17,42.85,43.49,42.37,43.31,805100
2014-04-21,43.21,43.21,42.51,42.69,498100
2014-04-22,42.67,43.21,42.63,42.79,511700
2014-04-23,42.73,43.07,42.49,42.75,469800
2014-04-24,42.89,43.11,42.69,42.77,302300
2014-04-25,42.77,42.81,42.25,42.43,204900
2014-04-28,42.45,42.63,41.87,42.51,625600
2014-04-29,43.01,43.13,41.71,41.95,1292800
2014-04-30,42.19,43.47,42.07,43.43,920900
2014-05-01,43.35,44.02,42.67,43.92,700500
2014-05-02,43.92,45.1,43.84,43.86,991000
2014-05-05,43.64,44.14,43.41,44.08,410800
2014-05-06,43.96,44.32,43.56,44.08,683100
2014-05-07,45.36,45.71,43.98,45.08,1038000
2014-05-08,45.28,45.47,44.88,45.04,1212800
2014-05-09,47.21,47.34,45.32,45.89,3461100
2014-05-12,46.65,46.85,45.1,45.71,1586700
2014-05-13,45.95,46.19,45.53,45.75,1098500
2014-05-14,45.75,45.87,44.34,44.86,1191700
2014-05-15,44.96,44.96,43.09,43.56,1821300
2014-05-16,43.76,43.88,42.65,43.51,1228800
2014-05-19,43.56,43.78,43.21,43.58,970400
2014-05-20,43.62,43.74,42.51,42.59,1359200
2014-05-21,42.77,43.76,42.67,43.47,1872800
2014-05-22,43.45,43.86,43.45,43.74,1002300
2014-05-23,44.3,44.44,43.78,43.86,527700
2014-05-27,44.12,44.42,43.66,44.24,1164800
2014-05-28,44.4,44.82,43.76,43.78,1054100
2014-05-29,43.88,44.16,43.53,44.12,732900
2014-05-30,44.02,45.06,44.02,45.0,1272500
2014-06-02,45.0,45.43,44.56,45.32,1202400
2014-06-03,45.12,45.57,44.64,45.18,1484600
2014-06-04,45.02,45.65,44.94,45.3,665600
2014-06-05,45.3,45.85,44.96,45.79,878900
2014-06-06,45.79,46.47,45.2,46.31,1235300
2014-06-09,46.31,46.65,45.63,46.33,1235200
2014-06-10,46.07,47.09,46.07,46.61,1351800
2014-06-11,45.73,45.89,45.06,45.38,3671100
2014-06-12,44.94,45.41,44.6,44.72,1815800
2014-06-13,44.66,44.86,44.1,44.34,2073700
2014-06-16,44.36,45.26,43.78,44.18,2613700
2014-06-17,44.16,44.84,44.16,44.44,1243700
2014-06-18,44.36,44.68,44.22,44.46,1400300
2014-06-19,44.52,44.92,44.36,44.42,1299200
2014-06-20,44.68,44.68,44.28,44.28,1644700
2014-06-23,44.5,44.76,44.18,44.44,1575300
2014-06-24,44.44,45.55,44.38,44.76,5474100
