Date,Open,High,Low,Close,Volume
1970-01-02,0.24,0.25,0.24,0.24,56400
1970-01-05,0.25,0.25,0.25,0.25,116100
1970-01-06,0.25,0.26,0.25,0.25,92900
1970-01-07,0.25,0.26,0.25,0.25,67900
1970-01-08,0.25,0.26,0.25,0.26,59100
1970-01-09,0.26,0.26,0.25,0.26,79200
1970-01-12,0.26,0.26,0.25,0.25,59500
1970-01-13,0.25,0.25,0.25,0.25,109800
1970-01-14,0.25,0.25,0.25,0.25,46800
1970-01-15,0.25,0.25,0.24,0.25,69100
1970-01-16,0.25,0.25,0.24,0.25,46400
1970-01-19,0.25,0.25,0.24,0.25,45200
1970-01-20,0.25,0.25,0.24,0.25,51400
1970-01-21,0.25,0.27,0.25,0.27,147100
1970-01-22,0.27,0.27,0.26,0.26,161500
1970-01-23,0.26,0.26,0.25,0.25,64000
1970-01-26,0.25,0.25,0.24,0.24,98000
1970-01-27,0.24,0.24,0.24,0.24,56400
1970-01-28,0.24,0.24,0.23,0.23,111000
1970-01-29,0.23,0.23,0.22,0.23,230600
1970-01-30,0.23,0.23,0.22,0.23,170100
1970-02-02,0.23,0.23,0.23,0.23,138300
1970-02-03,0.23,0.23,0.23,0.23,145900
1970-02-04,0.24,0.24,0.23,0.23,154600
1970-02-05,0.23,0.23,0.23,0.23,79600
1970-02-06,0.23,0.23,0.22,0.23,114800
1970-02-09,0.23,0.23,0.22,0.23,124900
1970-02-10,0.23,0.23,0.22,0.23,65300
1970-02-11,0.23,0.23,0.23,0.23,78300
1970-02-12,0.23,0.23,0.23,0.23,70300
1970-02-13,0.23,0.23,0.23,0.23,50200
1970-02-16,0.23,0.23,0.22,0.23,71600
1970-02-17,0.23,0.23,0.22,0.22,86700
1970-02-18,0.22,0.23,0.22,0.22,84200
1970-02-19,0.22,0.23,0.22,0.22,107300
1970-02-20,0.22,0.23,0.22,0.23,188600
1970-02-24,0.23,0.23,0.23,0.23,167200
1970-02-25,0.23,0.23,0.22,0.23,201700
1970-02-26,0.23,0.23,0.22,0.23,192400
1970-02-27,0.23,0.24,0.22,0.23,222700
1970-03-02,0.23,0.24,0.23,0.24,211300
1970-03-03,0.24,0.24,0.23,0.24,124500
1970-03-04,0.24,0.25,0.24,0.24,164800
1970-03-05,0.24,0.25,0.24,0.24,108100
1970-03-06,0.24,0.24,0.24,0.24,80900
1970-03-09,0.24,0.24,0.24,0.24,67000
1970-03-10,0.24,0.24,0.24,0.24,39400
1970-03-11,0.24,0.24,0.24,0.24,58200
1970-03-12,0.24,0.24,0.23,0.24,55200
1970-03-13,0.24,0.24,0.23,0.24,59100
1970-03-16,0.24,0.24,0.23,0.24,51400
1970-03-17,0.24,0.24,0.23,0.24,58200
1970-03-18,0.24,0.24,0.23,0.23,201300
1970-03-19,0.23,0.23,0.23,0.23,58200
1970-03-20,0.23,0.23,0.23,0.23,183600
1970-03-23,0.23,0.23,0.23,0.23,50200
1970-03-24,0.23,0.24,0.23,0.24,49400
1970-03-25,0.24,0.24,0.23,0.24,173900
1970-03-26,0.24,0.24,0.24,0.24,90900
1970-03-30,0.24,0.24,0.24,0.24,85900
1970-03-31,0.24,0.24,0.23,0.23,69100
1970-04-01,0.24,0.24,0.24,0.24,75300
1970-04-02,0.24,0.24,0.24,0.24,112200
1970-04-03,0.24,0.24,0.23,0.24,192400
1970-04-06,0.24,0.24,0.23,0.23,123700
1970-04-07,0.23,0.24,0.23,0.24,77900
1970-04-08,0.24,0.24,0.24,0.24,41800
1970-04-09,0.24,0.24,0.23,0.23,42700
1970-04-10,0.23,0.23,0.23,0.23,124500
1970-04-13,0.23,0.23,0.23,0.23,148400
1970-04-14,0.23,0.23,0.22,0.23,133700
1970-04-15,0.23,0.23,0.23,0.23,40200
1970-04-16,0.23,0.23,0.21,0.21,160100
1970-04-17,0.21,0.21,0.2,0.21,260400
1970-04-20,0.21,0.21,0.2,0.2,114800
1970-04-21,0.2,0.21,0.2,0.2,82900
1970-04-22,0.2,0.21,0.2,0.2,82900
1970-04-23,0.2,0.2,0.2,0.2,99700
