Date,Open,High,Low,Close,Volume
1980-10-15,4.02,4.11,4.02,4.11,77600
1980-10-16,4.11,4.33,4.03,4.07,158400
1980-10-17,4.03,4.03,3.95,3.96,33600
1980-10-20,3.96,3.96,3.92,3.96,30400
1980-10-21,3.96,4.03,3.96,4.0,36000
1980-10-22,4.0,4.02,3.95,3.95,28000
1980-10-23,3.92,3.92,3.85,3.88,63600
1980-10-24,3.88,3.96,3.77,3.96,124800
1980-10-27,3.91,3.91,3.76,3.8,63600
1980-10-28,3.8,3.85,3.8,3.85,14800
1980-10-29,3.85,3.91,3.84,3.85,38800
1980-10-30,3.85,3.88,3.76,3.77,11600
1980-10-31,3.77,3.77,3.72,3.77,50000
1980-11-03,3.77,4.0,3.77,4.0,20000
1980-11-05,4.14,4.32,4.14,4.14,183200
1980-11-06,4.14,4.14,4.1,4.11,18800
1980-11-07,4.07,4.07,4.0,4.03,35600
1980-11-10,4.06,4.08,4.06,4.06,26400
1980-11-11,4.06,4.06,4.0,4.06,41600
1980-11-12,4.1,4.15,4.1,4.14,173600
1980-11-13,4.18,4.19,4.18,4.19,230800
1980-11-14,4.19,4.23,4.14,4.23,96400
1980-11-17,4.22,4.22,4.11,4.22,72400
1980-11-18,4.22,4.3,4.19,4.25,49200
1980-11-19,4.29,4.37,4.29,4.32,119600
1980-11-20,4.32,4.56,4.32,4.49,114000
1980-11-21,4.61,4.72,4.61,4.71,89200
1980-11-24,4.63,4.63,4.48,4.6,66800
1980-11-25,4.66,4.83,4.66,4.81,191600
1980-11-26,4.81,4.83,4.71,4.76,78000
1980-11-28,4.76,4.78,4.72,4.78,58800
1980-12-01,4.78,4.79,4.68,4.68,54400
1980-12-02,4.6,4.6,4.18,4.3,103200
1980-12-03,4.41,4.55,4.41,4.55,253600
1980-12-04,4.55,4.56,4.48,4.49,52000
1980-12-05,4.41,4.41,4.26,4.4,70800
1980-12-08,4.38,4.38,4.07,4.08,112400
1980-12-09,4.08,4.15,4.07,4.15,130000
1980-12-10,4.14,4.14,3.96,4.07,43600
1980-12-11,4.07,4.19,3.99,4.19,302400
1980-12-12,4.19,4.33,4.18,4.33,84000
1980-12-15,4.37,4.41,4.37,4.41,135600
1980-12-16,4.41,4.41,4.37,4.38,36800
1980-12-17,4.41,4.66,4.41,4.6,98000
1980-12-18,4.64,4.86,4.64,4.68,82800
1980-12-19,4.68,4.71,4.64,4.71,22800
1980-12-22,4.71,4.76,4.64,4.68,37200
1980-12-23,4.68,4.68,4.6,4.6,39600
