Date,Open,High,Low,Close,Volume
2015-10-19,9.83,9.83,8.76,8.79,2721200
2015-10-20,8.63,9.0,8.63,8.96,1220800
2015-10-21,9.17,9.22,8.71,8.76,135200
2015-10-22,8.88,9.06,8.63,9.01,189200
2015-10-23,9.17,9.17,8.95,9.03,102900
2015-10-26,9.09,9.09,8.67,8.72,885600
2015-10-27,8.8,8.9,8.29,8.36,1094200
2015-10-28,8.45,8.69,8.42,8.65,509700
2015-10-29,8.51,8.65,8.26,8.48,499600
2015-10-30,8.45,8.55,7.82,7.82,4214100
2015-11-02,7.97,8.06,7.36,7.7,70312600
2015-11-03,7.48,7.82,7.27,7.63,69176300
2015-11-04,7.65,7.71,7.23,7.26,54241800
2015-11-05,7.25,7.38,6.97,7.06,38179900
2015-11-06,7.0,7.69,6.99,7.65,51702600
2015-11-09,7.58,7.69,7.51,7.55,30158000
2015-11-10,7.51,7.67,7.44,7.66,25426000
2015-11-11,7.55,7.6,7.49,7.5,18942200
2015-11-12,7.34,7.34,7.22,7.28,35050600
2015-11-13,7.23,7.31,6.99,7.11,25678400
2015-11-16,7.1,7.23,6.98,7.11,23712100
2015-11-17,7.11,7.17,6.97,7.02,21370500
2015-11-18,7.16,7.3,7.01,7.25,22402400
2015-11-19,7.19,7.38,7.18,7.32,22662200
2015-11-20,7.32,7.77,7.27,7.55,31932300
2015-11-23,7.53,7.55,7.21,7.36,26354200
2015-11-24,7.22,7.45,7.17,7.27,41484100
2015-11-25,7.39,7.9,7.35,7.5,39017100
2015-11-27,7.5,7.78,7.47,7.63,10395000
2015-11-30,7.56,7.97,7.53,7.9,50075500
2015-12-01,7.91,8.44,7.89,8.29,43197200
2015-12-02,8.17,8.26,7.9,7.94,21818500
2015-12-03,7.97,8.15,7.75,7.77,32527300
2015-12-04,7.65,8.13,7.57,8.09,20648400
2015-12-07,8.0,8.26,7.96,8.24,16424400
2015-12-08,8.05,8.15,7.8,8.09,19988600
2015-12-09,7.99,8.21,7.83,7.92,24538300
2015-12-10,7.89,7.9,7.75,7.85,19528600
2015-12-11,7.99,8.21,7.54,7.56,18265700
2015-12-14,7.63,7.73,7.42,7.7,19834700
2015-12-15,7.74,7.99,7.72,7.76,22175600
2015-12-16,7.8,7.9,7.76,7.84,13490800
2015-12-17,7.79,7.85,7.58,7.63,13118600
2015-12-18,7.61,7.67,7.47,7.55,33271400
2015-12-21,7.53,7.68,7.4,7.48,16970300
2015-12-22,7.49,7.54,7.42,7.5,12547100
2015-12-23,7.57,7.98,7.49,7.95,19359600
2015-12-24,7.9,8.09,7.89,8.01,3748100
2015-12-28,7.94,8.15,7.9,8.12,10203800
2015-12-29,8.15,8.23,8.1,8.11,10797800
2015-12-30,8.15,8.26,8.08,8.15,10796700
2015-12-31,8.12,8.16,8.05,8.11,11644800
2016-01-04,7.98,8.08,7.86,8.07,25940400
2016-01-05,8.07,8.13,7.97,8.02,17770100
2016-01-06,7.8,8.0,7.74,7.89,19468100
2016-01-07,7.73,7.76,7.28,7.31,34143900
2016-01-08,7.34,7.48,7.1,7.22,28272000
2016-01-11,7.16,7.31,6.97,7.07,25998800
2016-01-12,7.12,7.16,6.98,7.07,21435500
2016-01-13,7.12,7.12,6.68,6.8,30489600
2016-01-14,6.8,7.02,6.75,6.93,22973700
2016-01-15,6.72,6.83,6.66,6.69,33945600
2016-01-19,6.76,6.82,6.51,6.57,22239600
2016-01-20,6.4,6.51,6.2,6.43,28630200
2016-01-21,6.4,6.69,6.3,6.62,28784100
2016-01-22,6.77,7.16,6.75,7.12,26272600
2016-01-25,7.09,7.23,7.0,7.11,19241600
2016-01-26,7.12,7.32,7.12,7.25,18454700
2016-01-27,7.22,7.26,6.91,7.14,31803600
2016-01-28,7.17,7.31,6.97,7.03,16989400
2016-01-29,7.15,7.4,7.12,7.34,19548700
2016-02-01,7.29,7.4,7.22,7.35,16430600
2016-02-02,7.31,7.45,7.12,7.17,16650600
2016-02-03,7.28,7.34,6.99,7.13,12995300
2016-02-04,7.1,7.41,7.1,7.39,11181900
2016-02-05,7.3,7.33,6.95,7.04,22758900
2016-02-08,6.93,6.96,6.6,6.67,25491500
2016-02-09,6.6,6.86,6.56,6.78,11504400
2016-02-10,6.81,6.97,6.78,6.86,10292600
2016-02-11,6.7,6.76,6.41,6.61,16920400
2016-02-12,6.67,6.82,6.5,6.55,18150700
2016-02-16,6.62,6.66,6.54,6.58,20606800
2016-02-17,6.61,7.01,6.6,6.94,14910600
2016-02-18,6.96,7.31,6.94,7.22,20189000
2016-02-19,7.2,7.33,7.07,7.29,16197900
2016-02-22,7.33,7.4,7.24,7.36,18505500
2016-02-23,7.32,7.37,6.85,6.98,25200900
2016-02-24,6.93,7.24,6.84,7.22,22757500
2016-02-25,7.17,7.31,7.06,7.3,20784000
2016-02-26,7.35,7.36,7.01,7.17,18624500
2016-02-29,7.1,7.19,7.04,7.08,21932300
2016-03-01,7.16,7.18,6.98,7.08,14373700
2016-03-02,7.14,7.49,7.12,7.41,17234100
2016-03-03,7.42,7.44,7.08,7.25,17256400
2016-03-04,7.95,8.45,7.9,8.23,57415700
2016-03-07,8.1,8.56,8.06,8.55,31792700
2016-03-08,8.43,8.45,8.14,8.15,21215200
2016-03-09,8.21,8.47,8.19,8.29,19045400
2016-03-10,8.32,8.68,8.31,8.51,24578200
2016-03-11,8.56,8.8,8.56,8.74,26984400
2016-03-14,8.67,8.87,8.58,8.78,16641800
2016-03-15,8.76,9.03,8.7,8.98,23974400
2016-03-16,8.94,9.22,8.88,9.2,21530900
2016-03-17,9.17,9.27,9.08,9.18,18699200
2016-03-18,9.19,9.41,9.14,9.27,53273300
2016-03-21,9.27,9.6,9.26,9.48,18463100
2016-03-22,9.32,9.68,9.28,9.37,19474000
2016-03-23,9.38,9.4,9.15,9.34,19674300
2016-03-24,9.32,9.44,9.16,9.4,15261200
2016-03-28,9.36,9.45,9.22,9.37,9518600
2016-03-29,9.3,9.46,9.22,9.45,10197000
2016-03-30,9.48,9.59,9.44,9.57,18156300
2016-03-31,9.55,9.61,9.37,9.49,17876200
2016-04-01,9.42,9.93,9.4,9.85,25550000
2016-04-04,9.87,9.87,9.6,9.65,13191400
2016-04-05,9.56,9.59,9.4,9.42,14280500
2016-04-06,9.45,9.62,9.34,9.61,17879800
2016-04-07,9.52,9.65,9.43,9.49,16196800
2016-04-08,9.55,9.79,9.53,9.57,12525200
2016-04-11,9.61,9.67,9.45,9.49,10114200
2016-04-12,9.48,9.51,9.19,9.23,15119900
2016-04-13,9.25,9.37,9.18,9.37,14182800
2016-04-14,9.29,9.31,9.13,9.24,11503900
2016-04-15,9.32,9.36,9.02,9.31,20409100
2016-04-18,9.21,9.36,9.17,9.33,9740800
2016-04-19,9.34,9.36,9.18,9.23,11079800
2016-04-20,9.14,9.37,9.14,9.31,9359900
2016-04-21,9.28,9.49,9.27,9.34,10272200
2016-04-22,9.33,9.47,9.27,9.36,13692100
2016-04-25,9.29,9.32,9.0,9.21,10051600
2016-04-26,9.23,9.35,9.22,9.29,10813800
2016-04-27,9.26,9.38,9.23,9.26,10948800
2016-04-28,9.19,9.3,9.06,9.11,8237200
2016-04-29,9.04,9.05,8.84,8.92,12195300
2016-05-02,8.92,8.96,8.71,8.78,14557900
2016-05-03,8.69,8.7,8.45,8.53,19039000
2016-05-04,8.46,8.56,8.39,8.53,11420700
2016-05-05,8.54,8.55,8.37,8.41,6054900
2016-05-06,8.37,8.49,8.33,8.45,8574500
2016-05-09,8.41,8.54,8.39,8.49,8505200
2016-05-10,8.5,8.51,8.35,8.5,8192700
2016-05-11,8.5,8.75,8.5,8.57,11132300
2016-05-12,8.61,8.64,8.48,8.51,9321700
2016-05-13,8.51,8.62,8.4,8.44,11680700
2016-05-16,8.43,8.61,8.41,8.54,15174200
2016-05-17,8.5,8.67,8.4,8.47,25107300
2016-05-18,8.45,8.53,8.3,8.39,11315200
2016-05-19,8.3,8.45,8.23,8.45,11501700
2016-05-20,8.43,8.56,8.38,8.49,15455400
2016-05-23,8.5,8.71,8.49,8.6,14882500
2016-05-24,8.62,8.75,8.56,8.7,21613600
2016-05-25,9.81,9.9,9.16,9.29,75418400
2016-05-26,9.1,9.47,9.01,9.31,37392900
2016-05-27,9.34,9.82,9.34,9.77,39501400
2016-05-31,9.63,9.89,9.51,9.89,42932800
2016-06-01,9.8,9.84,9.71,9.79,21150900
2016-06-02,9.71,9.92,9.69,9.9,23508300
2016-06-03,9.85,9.9,9.78,9.82,15976100
2016-06-06,9.81,10.18,9.81,10.15,22094100
2016-06-07,10.11,10.33,10.08,10.29,24580100
2016-06-08,10.34,10.53,10.31,10.39,27220300
2016-06-09,10.41,10.55,10.38,10.49,16130800
2016-06-10,10.37,10.38,10.15,10.26,16914200
2016-06-13,10.2,10.28,9.97,9.98,17458700
2016-06-14,9.91,10.01,9.78,9.83,24700400
2016-06-15,9.89,10.23,9.88,10.09,20590800
2016-06-16,10.03,10.11,9.97,10.02,21213200
