Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.22,0.22,0.22,110600
1980-03-18,0.0,0.23,0.22,0.23,260700
1980-03-19,0.0,0.24,0.23,0.23,106000
1980-03-20,0.0,0.24,0.23,0.23,237800
1980-03-21,0.0,0.23,0.23,0.23,95100
1980-03-24,0.0,0.23,0.22,0.23,329500
1980-03-25,0.0,0.22,0.22,0.22,84100
1980-03-26,0.0,0.22,0.22,0.22,97300
1980-03-27,0.0,0.22,0.21,0.21,1218000
1980-03-28,0.0,0.23,0.22,0.23,134100
1980-03-31,0.0,0.23,0.22,0.23,486000
1980-04-01,0.0,0.22,0.22,0.22,38300
1980-04-02,0.0,0.23,0.22,0.23,122000
1980-04-03,0.0,0.23,0.22,0.22,60100
1980-04-07,0.0,0.22,0.22,0.22,228700
1980-04-08,0.0,0.22,0.22,0.22,312300
1980-04-09,0.0,0.22,0.22,0.22,264700
1980-04-10,0.0,0.22,0.22,0.22,318000
1980-04-11,0.0,0.22,0.22,0.22,53200
1980-04-14,0.0,0.22,0.22,0.22,85900
1980-04-15,0.0,0.22,0.22,0.22,41200
1980-04-16,0.0,0.22,0.22,0.22,255500
1980-04-17,0.0,0.21,0.21,0.21,171300
1980-04-18,0.0,0.21,0.21,0.21,54900
1980-04-21,0.0,0.21,0.2,0.2,224600
1980-04-22,0.0,0.22,0.21,0.22,239500
1980-04-23,0.0,0.22,0.21,0.22,495800
1980-04-24,0.0,0.22,0.21,0.22,178700
1980-04-25,0.0,0.21,0.21,0.21,48100
1980-04-28,0.0,0.21,0.21,0.21,89300
1980-04-29,0.0,0.21,0.21,0.21,14300
1980-04-30,0.0,0.21,0.21,0.21,19400
1980-05-01,0.0,0.21,0.21,0.21,91600
1980-05-02,0.0,0.21,0.21,0.21,79000
1980-05-05,0.0,0.22,0.21,0.22,158700
1980-05-06,0.0,0.22,0.22,0.22,177100
1980-05-07,0.0,0.23,0.22,0.22,731300
1980-05-08,0.0,0.23,0.22,0.22,42900
1980-05-09,0.0,0.22,0.22,0.22,154700
1980-05-12,0.0,0.22,0.22,0.22,16000
1980-05-13,0.0,0.22,0.22,0.22,21100
