Date,Open,High,Low,Close,Volume
2005-11-16,6.15,6.97,6.08,6.19,97759000
2005-11-17,6.36,6.59,5.36,5.56,34308500
2005-11-18,5.71,5.83,5.45,5.52,12810000
2005-11-21,5.56,5.67,5.49,5.66,6404000
2005-11-22,5.59,5.59,5.41,5.51,6533000
2005-11-23,5.47,5.51,4.98,5.36,12421000
2005-11-25,5.32,5.43,5.31,5.39,1316000
2005-11-28,5.35,5.35,5.13,5.25,3155000
2005-11-29,5.25,5.28,4.93,5.04,4477500
2005-11-30,5.06,5.11,4.99,5.1,3894500
2005-12-01,5.1,5.55,5.07,5.52,5688500
2005-12-02,5.52,5.73,5.51,5.69,5120000
2005-12-05,5.71,5.91,5.71,5.81,4592500
2005-12-06,5.81,5.93,5.75,5.77,3202500
2005-12-07,5.78,5.78,5.44,5.59,2473000
2005-12-08,5.63,5.72,5.61,5.68,1823500
2005-12-09,5.68,5.75,5.64,5.71,808000
2005-12-12,5.75,5.76,5.69,5.75,953500
2005-12-13,5.75,5.75,5.6,5.61,1843000
2005-12-14,5.6,5.63,5.49,5.52,1422000
2005-12-15,5.51,5.51,5.31,5.36,3273000
2005-12-16,5.34,5.44,5.28,5.39,8170500
2005-12-19,5.36,5.43,5.34,5.42,2242000
2005-12-20,5.46,5.59,5.43,5.51,2423500
2005-12-21,5.51,5.52,5.45,5.49,916500
2005-12-22,5.49,5.49,5.41,5.47,1171000
2005-12-23,5.43,5.47,5.37,5.4,985000
2005-12-27,5.44,5.59,5.44,5.56,1214000
2005-12-28,5.56,5.59,5.53,5.53,581000
2005-12-29,5.51,5.71,5.51,5.7,1076500
2005-12-30,5.72,5.73,5.59,5.73,923500
2006-01-03,5.76,6.03,5.68,5.97,2993000
2006-01-04,5.98,5.98,5.74,5.82,1196500
2006-01-05,6.03,6.27,6.03,6.2,3478500
2006-01-06,6.19,6.37,6.17,6.36,2306500
2006-01-09,6.47,6.99,6.45,6.88,8702000
2006-01-10,6.84,7.38,6.84,7.26,8667500
2006-01-11,7.33,7.6,7.15,7.4,7560000
2006-01-12,7.47,7.55,6.82,6.93,4841500
2006-01-13,6.9,7.04,6.78,7.03,2010500
2006-01-17,7.18,7.41,7.1,7.32,2609500
2006-01-18,7.31,7.31,7.1,7.22,1397500
2006-01-19,7.21,7.54,6.94,7.49,3307000
2006-01-20,7.57,7.64,7.29,7.3,2309500
2006-01-23,7.3,7.54,7.28,7.54,1744500
2006-01-24,7.53,8.42,7.4,8.33,5615000
2006-01-25,8.44,8.7,7.91,8.36,7019000
2006-01-26,8.4,8.54,8.24,8.27,2424000
2006-01-27,7.9,8.29,7.66,8.05,6929000
2006-01-30,7.93,8.08,7.62,7.75,2970000
2006-01-31,7.75,8.05,7.27,8.02,6552500
2006-02-01,8.28,9.0,8.19,8.78,7184500
2006-02-02,8.74,9.15,8.37,8.71,10589500
2006-02-03,8.87,9.21,8.73,8.76,5790500
2006-02-06,9.04,9.04,8.63,8.79,3958000
2006-02-07,8.76,8.86,8.11,8.43,3575000
2006-02-08,8.6,8.64,8.3,8.44,1954000
2006-02-09,8.48,8.57,8.33,8.36,2131500
2006-02-10,8.4,8.4,7.72,8.16,3580500
2006-02-13,8.05,8.46,8.05,8.32,1660500
2006-02-14,8.32,8.36,8.16,8.2,1478000
2006-02-15,8.2,8.25,8.14,8.2,882000
2006-02-16,8.24,8.26,8.06,8.14,848000
2006-02-17,8.16,8.19,7.91,8.1,1626500
2006-02-21,8.1,8.11,7.69,7.83,2389500
2006-02-22,7.75,7.86,7.6,7.77,3314500
2006-02-23,7.92,8.19,7.73,7.87,7781500
2006-02-24,8.17,8.79,8.17,8.6,11018000
2006-02-27,8.68,9.02,8.57,8.97,4822000
2006-02-28,8.93,9.13,8.53,8.64,4038000
2006-03-01,8.68,8.97,8.68,8.95,3081000
2006-03-02,8.93,9.37,8.8,9.36,4253000
2006-03-03,9.54,9.93,9.47,9.56,6878500
2006-03-06,9.7,9.94,9.48,9.67,4600500
2006-03-07,9.67,9.67,9.33,9.47,3193000
2006-03-08,9.62,9.63,9.27,9.34,5132500
2006-03-09,9.38,10.18,9.38,10.09,5446500
2006-03-10,10.09,10.63,9.89,10.59,7088000
2006-03-13,10.77,11.28,10.64,11.24,9415500
2006-03-14,11.28,11.39,10.73,10.83,9242500
2006-03-15,10.85,11.21,10.65,10.93,5496000
2006-03-16,10.93,11.07,10.27,10.54,7085500
2006-03-17,10.54,10.79,10.16,10.74,5977000
2006-03-20,10.89,11.23,10.89,11.23,5575500
2006-03-21,11.31,11.61,10.98,11.08,6876500
2006-03-22,10.81,10.89,10.36,10.73,6843500
2006-03-23,10.69,10.93,10.46,10.58,2925500
2006-03-24,10.41,10.77,10.38,10.6,2114000
2006-03-27,10.7,11.15,10.61,11.02,5238500
2006-03-28,11.02,11.16,10.68,10.82,3080000
2006-03-29,10.82,11.0,10.65,10.69,1981000
2006-03-30,10.96,11.33,10.93,11.25,5514000
2006-03-31,11.32,11.54,10.62,10.89,9687000
2006-04-03,11.03,11.06,9.81,9.95,10266000
2006-04-04,10.1,10.45,9.56,10.25,9966500
2006-04-05,10.37,10.39,9.77,9.91,9132500
2006-04-06,9.91,10.17,9.26,9.43,12852000
2006-04-07,9.15,9.15,8.26,8.36,24447000
2006-04-10,8.4,8.66,8.3,8.61,7960000
2006-04-11,8.65,8.95,8.62,8.93,9023500
2006-04-12,8.97,9.13,8.61,9.09,7027000
2006-04-13,9.09,9.34,8.93,9.27,4786000
2006-04-17,9.35,9.46,9.07,9.13,4060000
2006-04-18,9.31,10.47,9.29,10.44,13185500
2006-04-19,10.45,10.97,10.16,10.93,11672500
2006-04-20,10.97,11.11,10.61,11.04,8156500
2006-04-21,11.04,11.12,10.79,10.88,4925500
2006-04-24,10.74,10.79,10.53,10.61,6188500
2006-04-25,10.49,11.01,10.47,11.01,5205000
2006-04-26,11.0,11.12,10.83,11.09,4119000
2006-04-27,11.01,11.48,10.77,11.3,4162500
2006-04-28,11.2,11.41,11.14,11.25,4768000
2006-05-01,11.25,11.25,10.38,10.56,7722000
2006-05-02,10.96,10.96,10.34,10.68,7205500
2006-05-03,10.65,11.15,10.62,11.06,3033500
2006-05-04,11.02,11.07,10.88,10.89,3575000
2006-05-05,10.89,11.83,10.81,11.71,8049000
2006-05-08,11.75,12.55,11.52,12.44,9139000
2006-05-09,12.31,12.71,12.15,12.18,6700500
2006-05-10,12.15,12.55,11.95,12.27,3869500
2006-05-11,12.46,13.0,12.16,12.49,6002500
2006-05-12,12.52,12.52,11.85,11.92,4223000
2006-05-15,11.82,12.27,11.69,12.05,5013000
2006-05-16,12.06,12.18,11.73,11.95,2744000
2006-05-17,11.83,11.84,10.92,11.04,8265500
2006-05-18,11.08,11.38,10.53,10.72,7894500
2006-05-19,10.88,11.18,10.56,11.05,6728500
2006-05-22,10.72,10.72,9.03,9.41,24043000
2006-05-23,9.56,9.76,9.3,9.3,11621500
2006-05-24,9.32,9.37,8.39,8.57,12526000
