Date,Open,High,Low,Close,Volume
1989-06-02,0.0,1.95,1.92,1.93,1589800
1989-06-05,0.0,1.93,1.92,1.92,438300
1989-06-06,0.0,1.93,1.92,1.92,546900
1989-06-07,0.0,1.93,1.92,1.93,177000
1989-06-08,0.0,1.95,1.93,1.93,743400
1989-06-09,0.0,1.97,1.93,1.95,414000
1989-06-12,0.0,1.97,1.93,1.93,939600
1989-06-13,0.0,1.93,1.9,1.9,492000
1989-06-14,0.0,1.9,1.88,1.88,135900
1989-06-15,0.0,1.9,1.87,1.87,118300
1989-06-16,0.0,1.88,1.87,1.88,99400
1989-06-19,0.0,1.93,1.88,1.92,309100
1989-06-20,0.0,1.93,1.9,1.92,205300
1989-06-21,0.0,1.93,1.92,1.93,198400
1989-06-22,0.0,1.93,1.9,1.93,218700
1989-06-23,0.0,1.93,1.92,1.92,118300
1989-06-26,0.0,1.93,1.92,1.92,212800
1989-06-27,0.0,1.93,1.92,1.93,322800
1989-06-28,0.0,1.93,1.9,1.9,146700
1989-06-29,0.0,1.9,1.9,1.9,139000
1989-06-30,1.88,1.9,1.83,1.88,214800
1989-07-03,1.9,1.9,1.9,1.9,17100
1989-07-05,1.92,1.92,1.88,1.92,157900
1989-07-06,1.92,1.92,1.87,1.87,17500
1989-07-07,1.87,1.9,1.85,1.9,31600
1989-07-10,1.92,1.95,1.9,1.95,401800
1989-07-11,1.97,1.97,1.93,1.93,125500
1989-07-12,1.95,1.95,1.93,1.93,59500
1989-07-13,1.95,1.95,1.93,1.93,60000
1989-07-14,1.93,1.93,1.92,1.93,132400
1989-07-17,1.93,1.95,1.93,1.95,127800
1989-07-18,1.93,1.95,1.93,1.95,63000
1989-07-19,1.98,1.98,1.95,1.98,117400
1989-07-20,1.98,1.98,1.97,1.98,126900
1989-07-21,2.0,2.02,1.98,1.98,54600
1989-07-24,2.02,2.08,2.02,2.08,165300
1989-07-25,2.07,2.07,2.03,2.05,97200
1989-07-26,2.05,2.1,2.05,2.08,62700
1989-07-27,2.1,2.12,2.1,2.1,207400
1989-07-28,2.12,2.12,2.08,2.1,130900
1989-07-31,2.15,2.18,2.13,2.13,432100
1989-08-01,2.15,2.15,2.13,2.15,321900
1989-08-02,2.15,2.15,2.12,2.15,156100
1989-08-03,2.13,2.15,2.12,2.15,107500
1989-08-04,2.13,2.15,2.12,2.12,70200
1989-08-07,2.12,2.15,2.12,2.15,248400
1989-08-08,2.16,2.16,2.12,2.13,147700
1989-08-09,2.15,2.15,2.12,2.12,44700
1989-08-10,2.12,2.13,2.12,2.12,37300
1989-08-11,2.13,2.13,2.08,2.1,41800
1989-08-14,2.12,2.12,2.08,2.08,56800
1989-08-15,2.08,2.12,2.08,2.1,100000
1989-08-16,2.08,2.12,2.08,2.12,34600
1989-08-17,2.08,2.12,2.08,2.12,75100
1989-08-18,2.1,2.12,2.08,2.08,64800
1989-08-21,2.1,2.1,2.07,2.07,87000
1989-08-22,2.07,2.08,2.07,2.07,35200
1989-08-23,2.08,2.08,2.07,2.08,82900
1989-08-24,2.07,2.1,2.07,2.08,134500
1989-08-25,2.08,2.1,2.08,2.08,23100
1989-08-28,2.1,2.1,2.07,2.07,127500
1989-08-29,2.05,2.05,2.03,2.03,66700
1989-08-30,2.03,2.07,2.03,2.03,103500
1989-08-31,2.05,2.05,2.03,2.03,24300
1989-09-01,2.03,2.05,2.02,2.05,92400
1989-09-05,2.07,2.07,2.07,2.07,46800
1989-09-06,2.07,2.08,2.05,2.07,46500
1989-09-07,2.08,2.1,2.08,2.1,287500
1989-09-08,2.1,2.1,2.1,2.1,125500
1989-09-11,2.1,2.12,2.1,2.12,5400
1989-09-12,2.12,2.12,2.1,2.12,15400
1989-09-13,2.13,2.13,2.1,2.1,54900
1989-09-14,2.12,2.12,2.1,2.1,73000
1989-09-15,2.12,2.12,2.1,2.12,247200
1989-09-18,2.12,2.12,2.1,2.12,40500
1989-09-19,2.12,2.12,2.1,2.1,314700
1989-09-20,2.12,2.13,2.1,2.1,153900
1989-09-21,2.12,2.12,2.1,2.1,52600
1989-09-22,2.1,2.1,2.08,2.1,103500
1989-09-25,2.1,2.1,2.07,2.07,110700
1989-09-26,2.08,2.08,2.05,2.05,28500
1989-09-27,2.05,2.1,2.05,2.1,26200
1989-09-28,2.08,2.12,2.07,2.07,170200
1989-09-29,2.1,2.1,2.07,2.07,37800
1989-10-02,2.08,2.08,2.07,2.08,10900
1989-10-03,2.08,2.12,2.08,2.1,123700
1989-10-04,2.12,2.15,2.1,2.15,581400
1989-10-05,2.12,2.13,2.1,2.1,87300
1989-10-06,2.12,2.13,2.1,2.12,161200
1989-10-09,2.13,2.16,2.13,2.16,130900
1989-10-10,2.16,2.18,2.13,2.16,117400
1989-10-11,2.16,2.18,2.15,2.18,94000
1989-10-12,2.16,2.16,2.15,2.15,39700
1989-10-13,2.15,2.16,2.05,2.05,110200
1989-10-16,2.0,2.02,1.97,2.0,76200
1989-10-17,1.98,2.0,1.97,1.98,98500
1989-10-18,1.98,1.98,1.97,1.98,33300
1989-10-19,1.97,1.98,1.97,1.98,131800
1989-10-20,2.02,2.05,2.0,2.05,64000
1989-10-23,2.05,2.05,2.02,2.03,15400
1989-10-24,2.02,2.02,1.98,2.0,31200
1989-10-25,1.98,2.02,1.98,2.02,20200
1989-10-26,2.03,2.03,1.98,1.98,5400
1989-10-27,1.98,2.0,1.98,1.98,33300
1989-10-30,1.98,1.98,1.97,1.97,19500
1989-10-31,1.97,1.97,1.97,1.97,18100
1989-11-01,1.98,2.02,1.98,2.02,74200
1989-11-02,2.0,2.0,1.97,1.97,45400
1989-11-03,1.98,1.98,1.97,1.97,30600
1989-11-06,1.98,1.98,1.95,1.95,4900
1989-11-07,1.95,1.95,1.95,1.95,1300
1989-11-08,1.95,1.98,1.95,1.98,40500
1989-11-09,1.98,2.0,1.98,1.98,31600
1989-11-10,1.98,2.0,1.98,2.0,1300
1989-11-13,2.02,2.02,1.98,1.98,28500
1989-11-14,1.98,1.98,1.97,1.98,36600
1989-11-15,1.98,2.02,1.97,2.02,17500
1989-11-16,1.98,1.98,1.98,1.98,8100
1989-11-17,1.98,1.98,1.98,1.98,4200
1989-11-20,2.0,2.0,2.0,2.0,100
1989-11-21,2.0,2.0,1.98,1.98,1900
1989-11-22,2.02,2.05,1.98,2.05,30600
1989-11-24,2.05,2.07,2.05,2.05,19000
1989-11-27,2.05,2.08,2.05,2.05,13500
1989-11-28,2.08,2.1,2.08,2.1,10900
1989-11-29,2.12,2.12,2.1,2.1,12100
1989-11-30,2.08,2.1,2.08,2.08,19000
1989-12-01,2.08,2.1,2.03,2.03,26500
1989-12-04,2.05,2.08,2.05,2.07,19000
1989-12-05,2.1,2.1,2.03,2.03,32400
1989-12-06,2.03,2.03,2.0,2.0,21600
1989-12-07,2.02,2.02,2.0,2.0,12300
1989-12-08,2.03,2.05,2.03,2.05,4200
1989-12-11,2.02,2.03,2.0,2.0,17500
1989-12-12,2.03,2.03,2.0,2.02,8100
1989-12-13,2.02,2.03,1.95,1.95,117400
1989-12-14,1.98,2.02,1.98,2.0,45400
1989-12-15,2.03,2.03,2.02,2.03,6900
1989-12-18,2.05,2.05,2.02,2.05,40500
1989-12-19,2.05,2.05,2.02,2.05,20200
1989-12-20,2.02,2.02,1.98,2.02,62700
1989-12-21,2.02,2.02,2.02,2.02,3300
1989-12-22,2.02,2.05,2.02,2.05,3300
1989-12-26,2.07,2.07,2.07,2.07,900
1989-12-27,2.08,2.08,2.07,2.08,47400
1989-12-28,2.08,2.08,2.07,2.07,5400
1989-12-29,2.12,2.23,2.08,2.23,142600
1990-01-02,2.23,2.31,2.21,2.25,44500
1990-01-03,2.26,2.26,2.21,2.25,40600
1990-01-04,2.23,2.23,2.18,2.18,36600
1990-01-05,2.16,2.16,2.16,2.16,900
1990-01-08,2.13,2.21,2.13,2.2,36600
1990-01-09,2.18,2.18,2.16,2.16,22500
1990-01-10,2.15,2.16,2.13,2.15,17500
1990-01-11,2.13,2.13,2.08,2.08,5400
1990-01-12,2.07,2.07,2.05,2.07,54900
1990-01-15,2.03,2.07,2.03,2.07,18400
1990-01-16,2.07,2.08,2.05,2.08,106600
1990-01-17,2.1,2.1,2.07,2.07,29200
1990-01-18,2.07,2.07,2.03,2.03,60900
1990-01-19,2.03,2.03,2.03,2.03,4900
1990-01-22,2.05,2.05,2.03,2.03,38700
1990-01-23,2.03,2.07,1.82,1.82,249900
1990-01-24,1.78,1.8,1.75,1.78,64900
1990-01-25,1.77,1.77,1.75,1.75,5400
1990-01-26,1.77,1.77,1.65,1.65,44500
1990-01-29,1.67,1.67,1.55,1.59,145900
1990-01-30,1.52,1.52,1.4,1.4,100000
1990-01-31,1.42,1.45,1.4,1.45,64800
1990-02-01,1.45,1.45,1.44,1.44,53500
1990-02-02,1.45,1.45,1.42,1.45,231700
1990-02-05,1.47,1.47,1.44,1.45,210700
1990-02-06,1.45,1.55,1.45,1.54,85900
1990-02-07,1.52,1.67,1.52,1.67,37300
1990-02-08,1.7,1.72,1.7,1.7,17500
1990-02-09,1.7,1.72,1.67,1.69,22200
1990-02-12,1.69,1.69,1.65,1.65,4200
1990-02-13,1.62,1.62,1.6,1.6,13000
1990-02-14,1.57,1.6,1.55,1.55,46800
1990-02-15,1.55,1.55,1.49,1.5,25200
1990-02-16,1.49,1.49,1.49,1.49,12300
1990-02-20,1.47,1.5,1.47,1.5,19500
1990-02-21,1.52,1.52,1.45,1.47,164800
1990-02-22,1.5,1.54,1.5,1.54,16300
1990-02-23,1.5,1.54,1.47,1.54,22500
1990-02-26,1.5,1.5,1.5,1.5,10000
1990-02-27,1.52,1.52,1.5,1.5,8200
1990-02-28,1.54,1.57,1.54,1.57,19500
1990-03-01,1.57,1.57,1.57,1.57,0
