Date,Open,High,Low,Close,Volume
1974-12-17,0.0,2.1,1.89,2.07,310800
1974-12-18,0.0,2.21,2.14,2.15,95400
1974-12-19,0.0,2.31,2.12,2.26,143100
1974-12-20,0.0,2.27,2.2,2.2,75300
1974-12-23,0.0,2.28,2.16,2.28,112800
1974-12-24,0.0,2.38,2.29,2.33,65700
1974-12-26,0.0,2.41,2.31,2.33,40800
1974-12-27,0.0,2.31,2.21,2.22,82500
1974-12-30,0.0,2.31,2.2,2.31,37800
1974-12-31,0.0,2.41,2.34,2.35,74100
1975-01-02,0.0,2.54,2.35,2.45,119100
1975-01-03,0.0,2.45,2.38,2.39,43800
1975-01-06,0.0,2.49,2.38,2.38,137100
1975-01-07,0.0,2.37,2.33,2.35,25500
1975-01-08,0.0,2.41,2.29,2.31,95100
1975-01-09,0.0,2.35,2.25,2.33,128700
1975-01-10,0.0,2.5,2.39,2.39,101100
1975-01-13,0.0,2.44,2.35,2.35,95700
1975-01-14,0.0,2.44,2.35,2.44,145800
1975-01-15,0.0,2.5,2.4,2.5,161700
1975-01-16,0.0,2.56,2.47,2.47,80100
1975-01-17,0.0,2.47,2.35,2.38,61500
1975-01-20,0.0,2.43,2.35,2.41,51900
1975-01-21,0.0,2.5,2.45,2.45,62400
1975-01-22,0.0,2.41,2.35,2.39,57600
1975-01-23,0.0,2.47,2.4,2.46,41700
1975-01-24,0.0,2.47,2.38,2.45,89700
1975-01-27,0.0,2.63,2.54,2.59,99000
1975-01-28,0.0,2.66,2.54,2.62,134100
1975-01-29,0.0,2.63,2.57,2.59,111900
1975-01-30,0.0,2.62,2.47,2.5,71700
1975-01-31,0.0,2.62,2.49,2.59,113100
1975-02-03,0.0,2.78,2.6,2.73,78300
1975-02-04,0.0,2.78,2.62,2.63,74100
1975-02-05,0.0,2.73,2.64,2.71,126600
1975-02-06,0.0,2.89,2.72,2.72,205800
1975-02-07,0.0,2.66,2.62,2.64,85800
1975-02-10,0.0,2.68,2.64,2.68,141000
1975-02-11,0.0,2.66,2.62,2.62,66900
1975-02-12,0.0,2.66,2.59,2.65,316800
1975-02-13,0.0,2.73,2.65,2.65,231900
1975-02-14,0.0,2.7,2.64,2.65,122400
1975-02-18,0.0,2.64,2.54,2.58,67200
1975-02-19,0.0,2.6,2.49,2.6,99000
1975-02-20,0.0,2.65,2.5,2.65,120900
1975-02-21,0.0,2.64,2.54,2.58,151500
1975-02-24,0.0,2.65,2.58,2.59,138900
1975-02-25,0.0,2.62,2.51,2.54,100500
