Date,Open,High,Low,Close,Volume
1996-02-01,1.58,1.58,1.56,1.57,13718000
1996-02-02,1.57,1.58,1.56,1.58,3828600
1996-02-05,1.58,1.58,1.56,1.56,908000
1996-02-06,1.56,1.58,1.56,1.56,509200
1996-02-07,1.56,1.58,1.56,1.56,366100
1996-02-08,1.56,1.58,1.56,1.56,794600
1996-02-09,1.56,1.58,1.56,1.56,515700
1996-02-12,1.56,1.58,1.56,1.56,351500
1996-02-13,1.56,1.58,1.56,1.56,216800
1996-02-14,1.56,1.58,1.56,1.56,460000
1996-02-15,1.56,1.56,1.56,1.56,250600
1996-02-16,1.56,1.58,1.53,1.53,491700
1996-02-20,1.53,1.56,1.41,1.41,769300
1996-02-21,1.41,1.46,1.41,1.41,580800
1996-02-22,1.41,1.46,1.41,1.41,251800
1996-02-23,1.41,1.46,1.41,1.44,486300
1996-02-26,1.46,1.51,1.44,1.49,218200
1996-02-27,1.49,1.53,1.49,1.53,1286000
1996-02-28,1.51,1.53,1.49,1.51,219100
1996-02-29,1.53,1.56,1.51,1.55,289200
1996-03-01,1.53,1.56,1.53,1.56,528200
1996-03-04,1.53,1.56,1.53,1.53,477500
1996-03-05,1.53,1.56,1.53,1.53,175200
1996-03-06,1.53,1.53,1.46,1.46,1273100
1996-03-07,1.46,1.51,1.46,1.47,612600
1996-03-08,1.46,1.49,1.39,1.39,657300
1996-03-11,1.44,1.44,1.39,1.41,346100
1996-03-12,1.41,1.46,1.41,1.46,297100
1996-03-13,1.41,1.46,1.41,1.46,135700
1996-03-14,1.45,1.46,1.41,1.41,405500
1996-03-15,1.41,1.44,1.41,1.41,57800
1996-03-18,1.41,1.49,1.41,1.41,278100
1996-03-19,1.41,1.49,1.41,1.49,21800
1996-03-20,1.49,1.49,1.39,1.41,1378000
1996-03-21,1.39,1.44,1.39,1.44,24000
1996-03-22,1.39,1.43,1.39,1.39,72100
1996-03-25,1.44,1.44,1.34,1.34,203900
1996-03-26,1.34,1.39,1.34,1.34,1286000
1996-03-27,1.39,1.39,1.34,1.39,119700
1996-03-28,1.36,1.46,1.36,1.41,1144600
1996-03-29,1.46,1.49,1.41,1.49,52600
1996-04-01,1.49,1.56,1.49,1.51,124100
1996-04-02,1.51,1.53,1.51,1.51,59400
1996-04-03,1.51,1.53,1.51,1.51,78000
1996-04-04,1.51,1.53,1.51,1.51,45800
1996-04-08,1.49,1.51,1.49,1.49,61400
1996-04-09,1.51,1.51,1.41,1.45,72100
1996-04-10,1.41,1.46,1.41,1.41,33100
1996-04-11,1.43,1.46,1.41,1.46,182100
1996-04-12,1.46,1.46,1.41,1.44,69200
1996-04-15,1.41,1.44,1.41,1.43,343200
1996-04-16,1.41,1.46,1.41,1.46,85300
1996-04-17,1.46,1.46,1.41,1.41,110400
1996-04-18,1.41,1.45,1.41,1.41,408900
1996-04-19,1.41,1.46,1.41,1.45,162300
1996-04-22,1.41,1.46,1.41,1.46,122600
1996-04-23,1.46,1.46,1.41,1.41,28300
1996-04-24,1.41,1.46,1.41,1.46,80900
