Date,Open,High,Low,Close,Volume
1973-03-13,0.0,0.19,0.18,0.18,89600
1973-03-14,0.0,0.18,0.18,0.18,3200
1973-03-15,0.0,0.18,0.18,0.18,9600
1973-03-16,0.0,0.19,0.18,0.19,9600
1973-03-19,0.0,0.18,0.18,0.18,48000
1973-03-20,0.0,0.18,0.18,0.18,9600
1973-03-21,0.0,0.18,0.18,0.18,3200
1973-03-22,0.0,0.18,0.17,0.17,22400
1973-03-23,0.0,0.18,0.17,0.17,44800
1973-03-26,0.0,0.17,0.17,0.17,32000
1973-03-27,0.0,0.17,0.17,0.17,9600
1973-03-28,0.0,0.17,0.17,0.17,16000
1973-03-29,0.0,0.17,0.17,0.17,9600
1973-03-30,0.0,0.17,0.16,0.16,105600
1973-04-02,0.0,0.16,0.16,0.16,22400
1973-04-03,0.16,0.16,0.16,0.16,0
1973-04-04,0.0,0.16,0.16,0.16,19200
1973-04-05,0.0,0.16,0.16,0.16,19200
1973-04-06,0.0,0.16,0.15,0.15,54400
1973-04-09,0.0,0.15,0.15,0.15,51200
1973-04-10,0.0,0.16,0.15,0.16,144000
1973-04-11,0.0,0.16,0.16,0.16,38400
1973-04-12,0.0,0.16,0.16,0.16,12800
1973-04-13,0.0,0.16,0.16,0.16,9600
1973-04-16,0.0,0.17,0.16,0.17,86400
1973-04-17,0.0,0.17,0.16,0.17,48000
1973-04-18,0.0,0.16,0.16,0.16,89600
1973-04-19,0.0,0.16,0.16,0.16,3200
1973-04-23,0.0,0.16,0.16,0.16,35200
1973-04-24,0.0,0.16,0.16,0.16,6400
1973-04-25,0.0,0.16,0.15,0.15,54400
1973-04-26,0.0,0.15,0.15,0.15,12800
1973-04-27,0.0,0.16,0.15,0.15,44800
1973-04-30,0.0,0.16,0.15,0.16,86400
1973-05-01,0.0,0.16,0.16,0.16,22400
1973-05-02,0.0,0.16,0.16,0.16,48000
1973-05-03,0.0,0.16,0.16,0.16,6400
1973-05-04,0.0,0.16,0.16,0.16,6400
1973-05-07,0.0,0.16,0.16,0.16,16000
1973-05-08,0.0,0.16,0.16,0.16,51200
1973-05-09,0.0,0.16,0.16,0.16,35200
1973-05-10,0.0,0.16,0.16,0.16,12800
1973-05-11,0.0,0.15,0.15,0.15,3200
1973-05-14,0.0,0.15,0.15,0.15,41600
1973-05-15,0.0,0.15,0.15,0.15,140800
1973-05-16,0.0,0.15,0.15,0.15,51200
1973-05-17,0.0,0.15,0.15,0.15,9600
1973-05-18,0.0,0.15,0.15,0.15,44800
1973-05-21,0.0,0.14,0.13,0.13,99200
1973-05-22,0.0,0.14,0.13,0.13,86400
1973-05-23,0.0,0.13,0.13,0.13,19200
1973-05-24,0.0,0.13,0.13,0.13,32000
1973-05-25,0.0,0.13,0.13,0.13,86400
1973-05-29,0.0,0.13,0.13,0.13,86400
1973-05-30,0.0,0.13,0.13,0.13,19200
1973-05-31,0.0,0.13,0.13,0.13,48000
1973-06-01,0.0,0.13,0.13,0.13,105600
1973-06-04,0.0,0.13,0.12,0.12,64000
1973-06-05,0.0,0.12,0.12,0.12,377600
1973-06-06,0.0,0.12,0.12,0.12,1139200
1973-06-07,0.0,0.13,0.12,0.13,118400
1973-06-08,0.0,0.13,0.13,0.13,67200
1973-06-11,0.0,0.13,0.12,0.13,240000
1973-06-12,0.0,0.13,0.13,0.13,54400
1973-06-13,0.0,0.13,0.13,0.13,6400
1973-06-14,0.0,0.13,0.13,0.13,16000
1973-06-15,0.0,0.13,0.13,0.13,28800
1973-06-18,0.0,0.13,0.13,0.13,3200
1973-06-19,0.0,0.13,0.13,0.13,6400
1973-06-20,0.0,0.13,0.13,0.13,67200
1973-06-21,0.0,0.13,0.13,0.13,32000
1973-06-22,0.0,0.13,0.13,0.13,19200
1973-06-25,0.0,0.13,0.13,0.13,3200
1973-06-26,0.0,0.13,0.13,0.13,32000
1973-06-27,0.0,0.13,0.13,0.13,6400
1973-06-28,0.0,0.14,0.13,0.14,22400
1973-06-29,0.14,0.14,0.14,0.14,0
1973-07-02,0.0,0.14,0.13,0.14,76800
1973-07-03,0.0,0.14,0.13,0.14,35200
1973-07-05,0.0,0.14,0.14,0.14,9600
1973-07-06,0.0,0.14,0.14,0.14,16000
1973-07-09,0.0,0.14,0.14,0.14,12800
1973-07-10,0.0,0.14,0.14,0.14,54400
1973-07-11,0.0,0.15,0.15,0.15,51200
1973-07-12,0.0,0.15,0.15,0.15,3200
