Date,Open,High,Low,Close,Volume
1995-08-25,2.62,2.66,2.62,2.65,3541000
1995-08-28,2.75,2.75,2.7,2.72,1418500
1995-08-29,2.74,2.75,2.69,2.72,879000
1995-08-30,2.72,2.73,2.71,2.73,436500
1995-08-31,2.73,2.73,2.7,2.72,606500
1995-09-01,2.72,2.73,2.71,2.73,217000
1995-09-05,2.72,2.73,2.71,2.72,385500
1995-09-06,2.71,2.72,2.7,2.71,247000
1995-09-07,2.71,2.71,2.68,2.69,738000
1995-09-08,2.67,2.68,2.55,2.55,946000
1995-09-11,2.56,2.65,2.56,2.61,434000
1995-09-12,2.66,2.71,2.66,2.7,817500
1995-09-13,2.74,2.75,2.7,2.71,542500
1995-09-14,2.71,2.72,2.7,2.72,154500
1995-09-15,2.71,2.72,2.71,2.72,218500
1995-09-18,2.71,2.73,2.7,2.73,422500
1995-09-19,2.72,2.72,2.7,2.71,116500
1995-09-20,2.7,2.7,2.65,2.66,124500
1995-09-21,2.68,2.69,2.66,2.68,157000
1995-09-22,2.66,2.66,2.62,2.62,94500
1995-09-25,2.64,2.64,2.61,2.61,53000
1995-09-26,2.66,2.68,2.65,2.65,266500
1995-09-27,2.64,2.65,2.64,2.64,95000
1995-09-28,2.66,2.69,2.66,2.68,205000
1995-09-29,2.76,2.82,2.76,2.81,1303000
1995-10-02,2.85,2.9,2.85,2.86,570000
1995-10-03,2.87,2.88,2.85,2.87,165000
1995-10-04,2.86,2.86,2.84,2.84,108500
1995-10-05,2.85,2.86,2.84,2.86,70500
1995-10-06,2.86,2.86,2.83,2.84,277000
1995-10-09,2.83,2.85,2.82,2.82,77000
1995-10-10,2.82,2.82,2.76,2.78,80000
1995-10-11,2.78,2.81,2.78,2.78,80500
1995-10-12,2.8,2.87,2.8,2.86,170000
1995-10-13,2.91,2.96,2.91,2.95,201000
1995-10-16,2.97,3.02,2.97,3.0,130000
1995-10-17,2.99,2.99,2.96,2.96,154500
1995-10-18,2.96,3.04,2.96,3.0,169000
1995-10-19,3.02,3.06,3.02,3.06,130500
1995-10-20,3.08,3.13,3.08,3.11,212500
1995-10-23,3.12,3.12,3.11,3.12,66000
1995-10-24,3.1,3.1,3.07,3.07,71500
1995-10-25,3.07,3.07,3.06,3.06,284500
1995-10-26,3.06,3.07,3.02,3.03,96000
1995-10-27,3.02,3.03,3.01,3.03,25000
1995-10-30,3.02,3.04,3.02,3.02,18500
1995-10-31,3.07,3.11,3.07,3.11,208000
1995-11-01,3.1,3.1,3.04,3.05,107000
1995-11-02,3.06,3.11,3.06,3.09,291000
1995-11-03,3.21,3.22,3.21,3.22,252500
1995-11-06,3.22,3.25,3.19,3.25,235000
1995-11-07,3.25,3.25,3.22,3.22,192000
1995-11-08,3.22,3.23,3.21,3.23,14500
1995-11-09,3.22,3.27,3.22,3.26,41500
1995-11-10,3.25,3.25,3.23,3.23,11000
1995-11-13,3.22,3.22,3.2,3.22,29000
1995-11-14,3.21,3.21,3.17,3.17,35500
1995-11-15,3.17,3.2,3.17,3.2,11500
1995-11-16,3.2,3.25,3.2,3.25,31000
1995-11-17,3.25,3.25,3.25,3.25,14500
1995-11-20,3.25,3.29,3.25,3.28,25000
1995-11-21,3.28,3.3,3.28,3.3,6500
1995-11-22,3.29,3.34,3.29,3.34,21500
1995-11-24,3.34,3.34,3.31,3.31,12000
1995-11-27,3.31,3.31,3.27,3.27,21000
1995-11-28,3.27,3.31,3.27,3.3,12000
1995-11-29,3.29,3.29,3.28,3.28,6500
1995-11-30,3.29,3.32,3.29,3.31,16000
1995-12-01,3.31,3.31,3.3,3.3,8500
1995-12-04,3.29,3.3,3.29,3.3,6500
1995-12-05,3.29,3.3,3.29,3.3,3000
1995-12-06,3.29,3.29,3.27,3.27,18000
1995-12-07,3.29,3.33,3.29,3.32,102500
1995-12-08,3.3,3.3,3.29,3.29,5500
1995-12-11,3.28,3.28,3.28,3.28,2500
1995-12-12,3.27,3.27,3.27,3.27,2000
1995-12-13,3.29,3.29,3.26,3.26,8500
1995-12-14,3.25,3.25,3.24,3.24,17000
1995-12-15,3.23,3.23,3.23,3.23,8000
1995-12-18,3.21,3.21,3.21,3.21,4000
1995-12-19,3.19,3.19,3.15,3.15,15500
1995-12-20,3.15,3.15,3.12,3.12,6500
1995-12-21,3.12,3.14,3.11,3.11,7000
1995-12-22,3.11,3.11,3.11,3.11,3000
1995-12-26,3.1,3.1,3.1,3.1,1500
1995-12-27,3.1,3.12,3.1,3.1,19500
1995-12-28,3.13,3.15,3.13,3.15,28000
1995-12-29,3.14,3.15,3.14,3.15,10500
1996-01-02,3.17,3.19,3.17,3.18,38500
1996-01-03,3.2,3.24,3.2,3.23,25000
1996-01-04,3.23,3.23,3.17,3.17,19500
1996-01-05,3.17,3.18,3.17,3.17,15500
1996-01-08,3.15,3.15,3.13,3.13,8500
1996-01-09,3.13,3.13,3.09,3.09,17500
1996-01-10,3.09,3.09,3.03,3.03,14500
1996-01-11,3.03,3.05,3.03,3.03,204000
1996-01-12,3.02,3.02,2.99,3.0,19000
1996-01-15,2.99,3.0,2.99,3.0,8000
1996-01-16,2.99,2.99,2.98,2.98,7000
1996-01-17,2.99,3.02,2.99,3.01,10000
1996-01-18,3.03,3.05,3.03,3.05,59000
1996-01-19,3.01,3.01,3.01,3.01,285000
1996-01-22,3.02,3.02,3.01,3.01,2000
1996-01-23,2.99,2.99,2.93,2.93,18000
1996-01-24,2.95,2.97,2.95,2.95,19000
1996-01-25,2.97,2.97,2.91,2.91,44000
1996-01-26,2.89,2.89,2.88,2.89,23000
1996-01-29,2.91,2.95,2.89,2.95,45000
1996-01-30,2.95,2.95,2.93,2.93,18000
