Date,Open,High,Low,Close,Volume
1983-11-22,0.0,1.02,0.99,0.99,5736000.0
1983-11-23,0.0,1.03,1.01,1.01,2424000.0
1983-11-25,0.0,1.06,1.05,1.05,741600.0
1983-11-28,0.0,1.01,0.98,0.98,1251600.0
1983-11-29,0.0,1.02,1.01,1.01,1209600.0
1983-11-30,0.0,1.03,1.01,1.01,632400.0
1983-12-01,0.0,1.03,1.01,1.01,422400.0
1983-12-02,0.0,1.03,0.99,0.99,985200.0
1983-12-05,0.0,1.02,0.98,0.98,229200.0
1983-12-06,0.0,0.99,0.97,0.97,220800.0
1983-12-07,0.0,1.01,0.97,0.97,85200.0
1983-12-08,0.0,1.01,0.98,0.98,264000.0
1983-12-09,0.0,1.01,0.98,0.98,246000.0
1983-12-12,0.0,1.01,0.98,0.98,164400.0
1983-12-13,0.0,1.02,0.99,0.99,687600.0
1983-12-14,0.0,1.02,0.99,0.99,164400.0
1983-12-15,0.0,1.02,0.99,0.99,81600.0
1983-12-16,0.0,1.02,0.99,0.99,135600.0
1983-12-19,0.0,1.02,0.99,0.99,150000.0
1983-12-20,0.0,1.03,1.01,1.01,126000.0
1983-12-21,0.0,1.03,1.01,1.01,362400.0
1983-12-22,0.0,1.02,1.01,1.01,24000.0
1983-12-23,0.0,1.03,1.02,1.02,130800.0
1983-12-27,0.0,1.06,1.03,1.03,338400.0
1983-12-28,0.0,1.06,1.03,1.03,54000.0
1983-12-29,0.0,1.06,1.01,1.01,58800.0
1983-12-30,0.0,1.06,1.02,1.02,205200.0
1984-01-03,0.0,1.06,1.03,1.03,18000.0
1984-01-04,0.0,1.05,1.02,1.02,352800.0
1984-01-05,0.0,1.06,1.03,1.03,499200.0
1984-01-06,0.0,1.1,1.07,1.07,218400.0
1984-01-09,0.0,1.1,1.06,1.06,22800.0
1984-01-10,0.0,1.11,1.07,1.07,26400.0
1984-01-11,0.0,1.11,1.07,1.07,99600.0
1984-01-12,0.0,1.11,1.07,1.07,67200.0
1984-01-13,0.0,1.13,1.07,1.07,446400.0
1984-01-16,0.0,1.13,1.09,1.09,328800.0
1984-01-17,0.0,1.17,1.13,1.13,637200.0
1984-01-18,0.0,1.17,1.14,1.14,73200.0
1984-01-19,0.0,1.18,1.14,1.14,397200.0
1984-01-20,0.0,1.18,1.14,1.14,356400.0
1984-01-23,0.0,1.18,1.14,1.14,318000.0
1984-01-24,0.0,1.15,1.1,1.1,615600.0
1984-01-25,0.0,1.15,1.1,1.1,176400.0
1984-01-26,0.0,1.15,1.1,1.1,183600.0
1984-01-27,0.0,1.11,1.07,1.07,352800.0
1984-01-30,0.0,1.03,1.01,1.01,79200.0
1984-01-31,0.0,1.03,0.99,0.99,92400.0
1984-02-01,0.0,1.02,0.99,0.99,434400.0
1984-02-02,0.0,1.02,0.99,0.99,9600.0
1984-02-03,0.0,1.02,0.99,0.99,46800.0
1984-02-06,0.0,1.02,0.99,0.99,140400.0
1984-02-07,0.0,1.01,0.95,0.95,166800.0
1984-02-08,0.0,0.99,0.95,0.95,4800.0
1984-02-09,0.0,0.99,0.95,0.95,584400.0
1984-02-10,0.0,0.99,0.97,0.97,386400.0
1984-02-13,0.0,0.98,0.95,0.95,62400.0
1984-02-14,0.0,0.98,0.95,0.95,45600.0
1984-02-15,0.0,0.98,0.95,0.95,54000.0
1984-02-16,0.0,0.99,0.97,0.97,200400.0
1984-02-17,0.0,0.99,0.98,0.98,7200.0
1984-02-21,0.0,0.99,0.97,0.97,2400.0
1984-02-22,0.0,1.02,0.97,0.97,128400.0
1984-02-23,0.0,1.02,0.97,0.97,2400.0
1984-02-24,0.0,1.02,0.97,0.97,140400.0
1984-02-27,0.0,1.01,0.97,0.97,79200.0
1984-02-28,0.0,1.01,0.97,0.97,130800.0
1984-02-29,0.0,1.01,0.97,0.97,8400.0
1984-03-01,0.0,1.01,0.97,0.97,2400.0
1984-03-02,0.97,0.97,0.97,0.97,0.0
