Date,Open,High,Low,Close,Volume
1985-11-20,0.0,0.17,0.16,0.16,5371600
1985-11-21,0.0,0.16,0.15,0.15,6556800
1985-11-22,0.0,0.16,0.16,0.16,415200
1985-11-25,0.0,0.16,0.15,0.15,626400
1985-11-26,0.0,0.16,0.15,0.15,504400
1985-11-27,0.0,0.16,0.15,0.15,295200
1985-11-29,0.0,0.16,0.15,0.15,338400
1985-12-02,0.0,0.15,0.15,0.15,218800
1985-12-03,0.0,0.15,0.15,0.15,813600
1985-12-04,0.0,0.15,0.15,0.15,247600
1985-12-05,0.0,0.15,0.15,0.15,237600
1985-12-06,0.0,0.15,0.15,0.15,302800
1985-12-09,0.0,0.15,0.15,0.15,561600
1985-12-10,0.0,0.15,0.15,0.15,182800
1985-12-11,0.0,0.15,0.15,0.15,490000
1985-12-12,0.0,0.16,0.15,0.15,288400
1985-12-13,0.0,0.16,0.15,0.15,686800
1985-12-16,0.0,0.16,0.15,0.15,393600
1985-12-17,0.0,0.16,0.15,0.15,64800
1985-12-18,0.0,0.16,0.15,0.15,389200
1985-12-19,0.0,0.15,0.15,0.15,148800
1985-12-20,0.0,0.15,0.15,0.15,439600
1985-12-23,0.0,0.15,0.15,0.15,180400
1985-12-24,0.0,0.15,0.15,0.15,62400
1985-12-26,0.0,0.15,0.15,0.15,31600
1985-12-27,0.0,0.15,0.15,0.15,86400
1985-12-30,0.0,0.15,0.15,0.15,40800
1985-12-31,0.0,0.15,0.15,0.15,226000
1986-01-02,0.0,0.15,0.15,0.15,62400
1986-01-03,0.0,0.15,0.15,0.15,40800
1986-01-06,0.0,0.15,0.15,0.15,40800
1986-01-07,0.0,0.15,0.15,0.15,72000
1986-01-08,0.0,0.15,0.15,0.15,127200
1986-01-09,0.0,0.15,0.15,0.15,460800
1986-01-10,0.0,0.15,0.15,0.15,660000
1986-01-13,0.0,0.15,0.15,0.15,36400
1986-01-14,0.0,0.15,0.15,0.15,76800
1986-01-15,0.0,0.15,0.15,0.15,122800
1986-01-16,0.0,0.15,0.15,0.15,72000
1986-01-17,0.0,0.15,0.15,0.15,547600
1986-01-20,0.0,0.15,0.15,0.15,26400
1986-01-21,0.0,0.15,0.15,0.15,100800
1986-01-22,0.0,0.15,0.15,0.15,79600
1986-01-23,0.0,0.15,0.15,0.15,98400
1986-01-24,0.0,0.15,0.15,0.15,434800
1986-01-27,0.0,0.15,0.15,0.15,67600
1986-01-28,0.0,0.15,0.15,0.15,199200
1986-01-29,0.0,0.15,0.15,0.15,300000
1986-01-30,0.0,0.15,0.15,0.15,79600
1986-01-31,0.0,0.15,0.15,0.15,108000
1986-02-03,0.0,0.15,0.15,0.15,79600
1986-02-04,0.0,0.15,0.15,0.15,144000
1986-02-05,0.0,0.15,0.15,0.15,64800
1986-02-06,0.0,0.15,0.15,0.15,259600
1986-02-07,0.0,0.15,0.15,0.15,93600
1986-02-10,0.0,0.15,0.15,0.15,79200
1986-02-11,0.0,0.15,0.15,0.15,194800
1986-02-12,0.0,0.15,0.15,0.15,298000
1986-02-13,0.0,0.15,0.15,0.15,170400
1986-02-14,0.0,0.15,0.15,0.15,180000
1986-02-18,0.0,0.15,0.15,0.15,62400
1986-02-19,0.0,0.15,0.15,0.15,168400
1986-02-20,0.0,0.15,0.15,0.15,137200
1986-02-21,0.0,0.15,0.15,0.15,360000
1986-02-24,0.0,0.15,0.15,0.15,156000
1986-02-25,0.0,0.15,0.15,0.15,144400
1986-02-26,0.0,0.16,0.15,0.15,1512400
1986-02-27,0.0,0.16,0.15,0.15,1612800
1986-02-28,0.0,0.17,0.16,0.17,799200
1986-03-03,0.0,0.17,0.17,0.17,1250400
1986-03-04,0.0,0.17,0.17,0.17,677200
1986-03-05,0.0,0.17,0.17,0.17,338800
1986-03-06,0.0,0.17,0.17,0.17,141600
