Date,Open,High,Low,Close,Volume
1999-06-25,15.79,15.94,14.13,14.87,44833800
1999-06-28,14.72,14.96,13.55,14.9,9166200
1999-06-29,14.72,20.26,14.41,17.37,14730000
1999-06-30,18.31,23.92,17.89,22.4,16852800
1999-07-01,23.74,24.36,21.35,21.95,9501000
1999-07-02,22.16,22.69,20.3,21.46,3912600
1999-07-06,21.65,23.19,20.6,20.97,3632400
1999-07-07,20.84,21.5,19.25,20.31,4234800
1999-07-08,20.67,20.75,19.25,19.25,2370000
1999-07-09,19.85,20.0,18.34,19.96,2935200
1999-07-12,20.15,20.3,19.19,19.25,1416000
1999-07-13,18.91,19.99,18.34,18.79,1843800
1999-07-14,19.16,20.6,18.87,19.86,3486000
1999-07-15,19.96,22.55,19.85,22.48,5128200
1999-07-16,23.25,23.76,21.22,21.48,5008800
1999-07-19,22.29,22.4,20.26,20.3,2044800
1999-07-20,19.94,21.61,19.15,20.75,3841800
1999-07-21,21.73,23.66,21.35,21.61,12091200
1999-07-22,22.37,23.1,20.41,22.33,7816800
1999-07-23,22.85,23.0,21.5,21.93,3629400
1999-07-26,21.79,22.25,20.9,21.69,4404000
1999-07-27,22.33,22.52,21.8,21.97,2255400
1999-07-28,21.82,21.84,21.28,21.61,2297400
1999-07-29,20.75,22.18,20.6,21.8,1638000
1999-07-30,22.08,24.81,21.95,24.42,9073800
1999-08-02,24.06,25.94,23.46,24.24,6874200
1999-08-03,24.71,25.33,23.02,23.36,6499800
1999-08-04,23.12,23.46,22.25,23.44,4508400
1999-08-05,23.11,24.21,21.95,23.7,5100000
1999-08-06,23.53,24.62,23.06,24.06,3399000
1999-08-09,24.36,25.51,24.19,24.42,2832600
1999-08-10,24.47,25.73,24.21,25.7,3091800
1999-08-11,26.01,27.87,25.97,27.87,4552200
1999-08-12,27.85,29.92,27.82,29.62,4590600
1999-08-13,30.82,32.32,29.92,32.14,6362400
1999-08-16,31.93,32.03,30.07,30.67,4176000
1999-08-17,31.25,33.0,30.38,32.87,4975800
1999-08-18,32.48,33.66,31.09,31.09,3699600
1999-08-19,30.52,31.57,30.22,31.12,2773800
1999-08-20,31.49,31.5,30.22,30.77,1428000
1999-08-23,30.67,34.27,30.6,34.13,4897800
1999-08-24,33.54,35.24,32.61,33.28,7678800
1999-08-25,33.83,34.13,32.25,32.55,3115200
1999-08-26,32.62,33.86,32.26,32.37,3348000
1999-08-27,32.81,33.53,31.87,32.78,2197200
1999-08-30,32.78,32.78,31.36,31.58,2007600
1999-08-31,31.65,32.1,30.47,30.82,2745600
1999-09-01,31.03,31.35,26.93,27.1,12541200
1999-09-02,25.48,30.33,25.48,29.86,13288800
1999-09-03,30.75,30.84,28.43,29.06,7052400
1999-09-07,28.81,29.55,27.98,29.09,1929600
1999-09-08,28.92,30.67,28.35,29.09,3897600
1999-09-09,29.51,29.51,27.97,28.9,1240800
1999-09-10,29.24,30.07,28.59,28.79,1700400
1999-09-13,28.87,28.98,27.04,27.06,1663200
1999-09-14,27.29,28.55,27.04,27.53,2368800
1999-09-15,28.21,29.28,27.38,27.74,4597800
