Date,Open,High,Low,Close,Volume
1991-11-22,0.17,0.17,0.17,0.17,6522600
1991-11-25,0.17,0.17,0.17,0.17,868800
1991-11-26,0.17,0.17,0.17,0.17,165000
1991-11-27,0.17,0.17,0.17,0.17,93600
1991-11-29,0.17,0.17,0.17,0.17,151400
1991-12-02,0.17,0.17,0.17,0.17,420200
1991-12-03,0.17,0.17,0.17,0.17,154800
1991-12-04,0.17,0.17,0.17,0.17,189200
1991-12-05,0.17,0.17,0.17,0.17,173600
1991-12-06,0.17,0.17,0.17,0.17,270200
1991-12-09,0.17,0.17,0.17,0.17,54200
1991-12-10,0.17,0.17,0.17,0.17,177600
1991-12-11,0.17,0.17,0.16,0.17,302600
1991-12-12,0.17,0.17,0.17,0.17,72800
1991-12-13,0.17,0.17,0.17,0.17,157800
1991-12-16,0.17,0.17,0.17,0.17,49400
1991-12-17,0.17,0.17,0.17,0.17,63200
1991-12-18,0.17,0.17,0.17,0.17,24200
1991-12-19,0.17,0.17,0.17,0.17,62000
1991-12-20,0.17,0.17,0.17,0.17,137600
1991-12-23,0.17,0.17,0.17,0.17,158600
1991-12-24,0.17,0.17,0.17,0.17,62400
1991-12-26,0.17,0.18,0.17,0.18,83600
1991-12-27,0.18,0.18,0.17,0.18,183000
1991-12-30,0.18,0.18,0.18,0.18,101600
1991-12-31,0.18,0.18,0.18,0.18,126000
1992-01-02,0.18,0.18,0.18,0.18,173000
1992-01-03,0.18,0.19,0.18,0.18,215000
1992-01-06,0.18,0.19,0.18,0.19,198000
1992-01-07,0.19,0.19,0.19,0.19,434000
1992-01-08,0.19,0.19,0.19,0.19,131600
1992-01-09,0.19,0.19,0.19,0.19,149400
1992-01-10,0.19,0.19,0.19,0.19,184400
1992-01-13,0.19,0.19,0.19,0.19,92600
1992-01-14,0.19,0.19,0.19,0.19,153000
1992-01-15,0.19,0.2,0.19,0.2,106200
1992-01-16,0.2,0.2,0.2,0.2,73200
1992-01-17,0.2,0.2,0.2,0.2,116000
1992-01-20,0.2,0.2,0.2,0.2,60200
1992-01-21,0.2,0.2,0.2,0.2,37800
1992-01-22,0.2,0.2,0.2,0.2,36000
1992-01-23,0.2,0.2,0.2,0.2,50600
1992-01-24,0.2,0.2,0.2,0.2,44000
1992-01-27,0.2,0.2,0.2,0.2,35400
1992-01-28,0.2,0.2,0.2,0.2,31400
1992-01-29,0.21,0.21,0.21,0.21,222600
1992-01-30,0.21,0.21,0.21,0.21,224400
1992-01-31,0.21,0.21,0.21,0.21,32600
1992-02-03,0.21,0.21,0.21,0.21,148400
1992-02-04,0.21,0.21,0.21,0.21,55800
1992-02-05,0.21,0.21,0.21,0.21,30600
1992-02-06,0.21,0.22,0.21,0.21,129000
1992-02-07,0.21,0.22,0.21,0.21,152400
1992-02-10,0.21,0.22,0.21,0.21,49400
1992-02-11,0.22,0.22,0.21,0.21,37800
1992-02-12,0.21,0.21,0.21,0.21,321200
1992-02-13,0.21,0.21,0.21,0.21,263600
1992-02-14,0.21,0.21,0.21,0.21,41400
1992-02-18,0.21,0.21,0.21,0.21,26000
1992-02-19,0.21,0.21,0.21,0.21,36200
1992-02-20,0.21,0.21,0.21,0.21,138600
1992-02-21,0.21,0.21,0.21,0.21,4800
1992-02-24,0.21,0.21,0.21,0.21,117000
1992-02-25,0.21,0.21,0.21,0.21,65600
1992-02-26,0.21,0.21,0.21,0.21,101000
1992-02-27,0.21,0.21,0.21,0.21,96600
1992-02-28,0.21,0.21,0.21,0.21,5600
1992-03-02,0.21,0.22,0.21,0.22,162200
1992-03-03,0.22,0.22,0.22,0.22,96200
1992-03-04,0.22,0.22,0.22,0.22,43400
1992-03-05,0.22,0.22,0.21,0.21,31800
1992-03-06,0.22,0.22,0.21,0.21,174000
1992-03-09,0.21,0.22,0.21,0.21,29600
1992-03-10,0.22,0.22,0.21,0.21,503400
1992-03-11,0.21,0.21,0.21,0.21,13400
1992-03-12,0.21,0.21,0.21,0.21,23400
1992-03-13,0.21,0.21,0.21,0.21,311400
1992-03-16,0.21,0.21,0.21,0.21,36000
1992-03-17,0.21,0.21,0.21,0.21,46800
1992-03-18,0.21,0.21,0.21,0.21,79200
1992-03-19,0.21,0.21,0.21,0.21,16200
1992-03-20,0.21,0.21,0.21,0.21,28200
1992-03-23,0.21,0.21,0.21,0.21,16200
1992-03-24,0.21,0.21,0.21,0.21,204600
1992-03-25,0.21,0.21,0.21,0.21,63800
1992-03-26,0.21,0.21,0.21,0.21,7200
1992-03-27,0.21,0.21,0.21,0.21,40400
1992-03-30,0.21,0.21,0.2,0.21,9200
1992-03-31,0.2,0.21,0.2,0.21,56600
1992-04-01,0.21,0.21,0.21,0.21,147600
1992-04-02,0.21,0.21,0.2,0.2,120600
1992-04-03,0.21,0.21,0.2,0.2,2000
1992-04-06,0.21,0.21,0.2,0.2,46800
1992-04-07,0.2,0.2,0.2,0.2,55800
1992-04-08,0.2,0.2,0.19,0.2,65600
1992-04-09,0.2,0.2,0.2,0.2,108800
1992-04-10,0.2,0.2,0.19,0.2,174000
1992-04-13,0.2,0.2,0.2,0.2,219600
1992-04-14,0.2,0.2,0.2,0.2,115400
1992-04-15,0.2,0.2,0.2,0.2,99800
1992-04-16,0.2,0.2,0.2,0.2,4400
1992-04-20,0.2,0.21,0.2,0.21,11600
1992-04-21,0.21,0.21,0.21,0.21,12600
1992-04-22,0.21,0.21,0.21,0.21,17400
1992-04-23,0.21,0.21,0.2,0.2,390600
1992-04-24,0.22,0.22,0.22,0.22,9000
1992-04-27,0.23,0.23,0.23,0.23,21800
1992-04-28,0.23,0.23,0.23,0.23,44000
1992-04-29,0.23,0.23,0.23,0.23,8400
1992-04-30,0.23,0.23,0.23,0.23,21600
1992-05-01,0.23,0.23,0.23,0.23,144000
1992-05-04,0.23,0.23,0.23,0.23,6200
1992-05-05,0.23,0.24,0.23,0.24,100800
1992-05-06,0.24,0.24,0.24,0.24,36200
1992-05-07,0.24,0.24,0.24,0.24,15600
1992-05-08,0.24,0.24,0.24,0.24,16200
1992-05-11,0.24,0.24,0.24,0.24,10800
