Date,Open,High,Low,Close,Volume
1980-10-08,0.0,0.67,0.66,0.66,2889600
1980-10-09,0.0,0.67,0.66,0.66,1176000
1980-10-10,0.0,0.74,0.72,0.72,1824000
1980-10-13,0.0,0.79,0.78,0.78,679200
1980-10-14,0.0,0.74,0.73,0.73,640800
1980-10-15,0.0,0.77,0.75,0.75,408000
1980-10-16,0.0,0.75,0.73,0.73,554400
1980-10-17,0.0,0.75,0.74,0.74,456000
1980-10-20,0.0,0.78,0.76,0.76,213600
1980-10-21,0.0,0.74,0.73,0.73,405600
1980-10-22,0.0,0.75,0.74,0.74,141600
1980-10-23,0.0,0.75,0.73,0.73,180000
1980-10-24,0.0,0.76,0.75,0.75,115200
1980-10-27,0.0,0.75,0.73,0.73,136800
1980-10-28,0.0,0.73,0.72,0.72,168000
1980-10-29,0.0,0.74,0.73,0.73,144000
1980-10-30,0.0,0.71,0.7,0.7,163200
1980-10-31,0.0,0.72,0.7,0.7,124800
1980-11-03,0.0,0.73,0.71,0.71,74400
1980-11-05,0.0,0.73,0.72,0.72,105600
1980-11-06,0.0,0.7,0.69,0.69,72000
1980-11-07,0.0,0.69,0.67,0.67,139200
1980-11-10,0.0,0.72,0.7,0.7,105600
1980-11-11,0.0,0.76,0.76,0.76,134400
1980-11-12,0.0,0.81,0.79,0.79,84000
1980-11-13,0.0,0.81,0.79,0.79,88800
1980-11-14,0.0,0.83,0.82,0.82,172800
1980-11-17,0.0,0.88,0.86,0.86,112800
1980-11-18,0.0,0.91,0.89,0.89,206400
1980-11-19,0.0,0.91,0.89,0.89,55200
1980-11-20,0.0,0.87,0.85,0.85,132000
1980-11-21,0.0,0.87,0.85,0.85,64800
1980-11-24,0.0,0.87,0.85,0.85,57600
1980-11-25,0.0,0.93,0.91,0.91,50400
1980-11-26,0.0,0.92,0.91,0.91,50400
1980-11-28,0.0,0.92,0.91,0.91,64800
1980-12-01,0.0,0.9,0.89,0.89,88800
1980-12-02,0.0,0.9,0.88,0.88,67200
1980-12-03,0.0,0.9,0.88,0.88,93600
1980-12-04,0.0,0.9,0.88,0.88,72000
1980-12-05,0.0,0.89,0.87,0.87,81600
1980-12-08,0.0,0.82,0.77,0.77,105600
1980-12-09,0.0,0.82,0.77,0.77,50400
1980-12-10,0.0,0.83,0.78,0.78,256800
1980-12-11,0.0,0.82,0.77,0.77,120000
1980-12-12,0.0,0.82,0.77,0.77,55200
1980-12-15,0.0,0.8,0.76,0.76,86400
1980-12-16,0.0,0.81,0.76,0.76,36000
1980-12-17,0.0,0.8,0.76,0.76,9600
1980-12-18,0.0,0.8,0.76,0.76,91200
1980-12-19,0.0,0.8,0.76,0.76,26400
1980-12-22,0.0,0.8,0.76,0.76,12000
1980-12-23,0.0,0.8,0.76,0.76,1063200
1980-12-24,0.0,0.8,0.76,0.76,57600
1980-12-26,0.0,0.8,0.76,0.76,28800
1980-12-29,0.0,0.8,0.76,0.76,40800
1980-12-30,0.0,0.8,0.76,0.76,40800
1980-12-31,0.0,0.79,0.76,0.76,76800
1981-01-02,0.0,0.79,0.76,0.76,16800
1981-01-05,0.0,0.79,0.75,0.75,86400
1981-01-06,0.0,0.8,0.76,0.76,144000
1981-01-07,0.0,0.75,0.7,0.7,196800
1981-01-08,0.0,0.73,0.69,0.69,55200
1981-01-09,0.0,0.73,0.69,0.69,14400
1981-01-12,0.0,0.76,0.72,0.72,93600
1981-01-13,0.0,0.75,0.71,0.71,40800
1981-01-14,0.0,0.75,0.7,0.7,24000
1981-01-15,0.0,0.75,0.7,0.7,28800
1981-01-16,0.0,0.66,0.64,0.64,86400
1981-01-19,0.0,0.72,0.7,0.7,122400
1981-01-20,0.0,0.71,0.67,0.67,153600
1981-01-21,0.0,0.73,0.7,0.7,67200
1981-01-22,0.0,0.7,0.66,0.66,52800
1981-01-23,0.0,0.71,0.67,0.67,45600
1981-01-26,0.0,0.7,0.66,0.66,38400
1981-01-27,0.0,0.7,0.66,0.66,7200
1981-01-28,0.0,0.7,0.66,0.66,21600
1981-01-29,0.0,0.7,0.66,0.66,278400
1981-01-30,0.0,0.7,0.66,0.66,652800
1981-02-02,0.0,0.67,0.64,0.64,14400
1981-02-03,0.0,0.65,0.63,0.63,16800
1981-02-04,0.0,0.66,0.63,0.63,168000
1981-02-05,0.0,0.67,0.64,0.64,43200
1981-02-06,0.0,0.67,0.64,0.64,9600
1981-02-09,0.0,0.67,0.64,0.64,7200
1981-02-10,0.0,0.67,0.64,0.64,21600
1981-02-11,0.0,0.66,0.64,0.64,86400
1981-02-12,0.0,0.66,0.62,0.62,19200
1981-02-13,0.0,0.58,0.54,0.54,741600
1981-02-17,0.0,0.6,0.57,0.57,112800
1981-02-18,0.0,0.62,0.58,0.58,103200
1981-02-19,0.0,0.67,0.63,0.63,62400
1981-02-20,0.0,0.72,0.67,0.67,163200
1981-02-23,0.0,0.63,0.59,0.59,144000
1981-02-24,0.0,0.64,0.6,0.6,117600
1981-02-25,0.0,0.6,0.59,0.59,36000
1981-02-26,0.0,0.66,0.64,0.64,52800
1981-02-27,0.0,0.67,0.65,0.65,33600
1981-03-02,0.0,0.67,0.64,0.64,52800
1981-03-03,0.0,0.66,0.62,0.62,40800
1981-03-04,0.0,0.65,0.62,0.62,21600
1981-03-05,0.0,0.65,0.62,0.62,38400
1981-03-06,0.0,0.63,0.6,0.6,9600
1981-03-09,0.0,0.62,0.58,0.58,40800
1981-03-10,0.0,0.62,0.58,0.58,28800
1981-03-11,0.0,0.63,0.59,0.59,76800
1981-03-12,0.0,0.63,0.59,0.59,74400
1981-03-13,0.0,0.7,0.66,0.66,427200
1981-03-16,0.0,0.72,0.7,0.7,182400
1981-03-17,0.0,0.75,0.72,0.72,249600
1981-03-18,0.0,0.78,0.75,0.75,146400
