Date,Open,High,Low,Close,Volume
2011-02-11,22.1,22.41,21.44,21.65,50610600.0
2011-02-14,21.65,21.82,21.4,21.4,6275900.0
2011-02-15,21.54,21.72,21.42,21.57,4337800.0
2011-02-16,21.65,21.92,21.38,21.42,4627100.0
2011-02-17,21.39,21.68,21.27,21.3,3290700.0
2011-02-18,21.39,21.88,21.19,21.87,2583800.0
2011-02-22,21.71,21.91,21.41,21.42,2454300.0
2011-02-23,21.45,21.54,21.09,21.21,2671200.0
2011-02-24,21.3,21.37,21.12,21.24,1698000.0
2011-02-25,21.28,21.44,21.12,21.26,2225900.0
2011-02-28,21.31,21.47,21.21,21.26,2380400.0
2011-03-01,21.37,21.46,21.08,21.23,1908000.0
2011-03-02,21.31,21.4,21.1,21.31,2197000.0
2011-03-03,21.39,21.45,21.28,21.45,1901800.0
2011-03-04,21.47,21.57,21.38,21.51,892300.0
2011-03-07,21.57,21.64,21.4,21.54,1049600.0
2011-03-08,21.47,21.64,21.47,21.59,827400.0
2011-03-09,21.54,21.6,21.43,21.44,294100.0
2011-03-10,21.41,21.41,20.74,20.98,2715200.0
2011-03-11,20.98,21.25,20.89,20.98,1896900.0
2011-03-14,20.92,21.07,20.78,20.91,1967700.0
2011-03-15,20.78,21.05,20.64,20.83,1968400.0
2011-03-16,20.84,21.03,20.75,20.95,2062200.0
2011-03-17,21.05,21.2,20.96,21.02,1511400.0
2011-03-18,21.06,21.26,20.97,21.26,1906600.0
2011-03-21,21.28,21.61,21.19,21.49,1253000.0
2011-03-22,21.54,21.6,21.31,21.4,1014700.0
2011-03-23,21.28,21.38,20.88,20.93,2570500.0
2011-03-24,20.98,21.09,20.85,20.95,1411600.0
2011-03-25,20.92,20.98,20.57,20.58,2687100.0
2011-03-28,20.73,20.87,20.61,20.65,1552900.0
2011-03-29,20.74,20.84,20.59,20.77,1313800.0
2011-03-30,20.82,20.84,20.62,20.7,769700.0
2011-03-31,20.78,20.82,20.57,20.66,884400.0
2011-04-01,20.77,20.81,20.56,20.57,1869200.0
2011-04-04,20.52,20.71,20.39,20.52,1177900.0
2011-04-05,20.56,20.66,20.22,20.52,1021200.0
2011-04-06,20.54,20.56,20.36,20.54,725100.0
2011-04-07,20.58,20.61,20.31,20.37,1226100.0
2011-04-08,20.37,20.51,20.3,20.45,934800.0
2011-04-11,20.43,20.5,20.27,20.39,1160900.0
2011-04-12,20.29,20.39,19.71,20.03,1278100.0
2011-04-13,20.04,20.23,19.98,20.1,2766900.0
2011-04-14,20.07,20.33,19.92,20.3,785800.0
2011-04-15,20.29,20.32,20.0,20.13,863900.0
2011-04-18,20.07,20.11,19.68,19.88,882400.0
2011-04-19,19.93,20.12,19.89,20.06,1121200.0
2011-04-20,20.2,20.64,20.07,20.53,2054000.0
2011-04-21,20.44,20.87,20.27,20.66,1516900.0
2011-04-25,20.78,20.78,20.27,20.47,604100.0
2011-04-26,20.59,20.63,20.25,20.3,1100000.0
2011-04-27,20.43,20.56,20.04,20.12,1479600.0
2011-04-28,20.2,20.28,20.1,20.2,1041000.0
2011-04-29,20.34,20.52,19.86,20.02,1843400.0
2011-05-02,20.13,20.31,19.88,20.19,1036600.0
2011-05-03,20.2,20.24,19.65,19.75,1158700.0
2011-05-04,19.76,19.87,19.13,19.59,2537800.0
2011-05-05,19.63,19.8,19.2,19.6,1618300.0
2011-05-06,19.67,19.9,19.51,19.62,653600.0
2011-05-09,19.69,19.93,19.62,19.82,752100.0
2011-05-10,19.81,20.1,19.67,19.98,777800.0
2011-05-11,19.99,20.06,19.62,19.83,1400100.0
