Date,Open,High,Low,Close,Volume
1977-01-03,0.06,0.06,0.06,0.06,156800
1977-01-04,0.06,0.06,0.06,0.06,220800
1977-01-05,0.06,0.06,0.06,0.06,134400
1977-01-06,0.06,0.06,0.06,0.06,268800
1977-01-07,0.06,0.06,0.06,0.06,169600
1977-01-10,0.06,0.06,0.06,0.06,297600
1977-01-11,0.06,0.06,0.06,0.06,160000
1977-01-12,0.06,0.06,0.06,0.06,89600
1977-01-13,0.06,0.06,0.06,0.06,176000
1977-01-14,0.06,0.06,0.06,0.06,956800
1977-01-17,0.06,0.06,0.06,0.06,163200
1977-01-18,0.06,0.06,0.06,0.06,179200
1977-01-19,0.06,0.06,0.06,0.06,137600
1977-01-20,0.06,0.06,0.06,0.06,288000
1977-01-21,0.06,0.06,0.06,0.06,560000
1977-01-24,0.06,0.06,0.06,0.06,694400
1977-01-25,0.06,0.06,0.06,0.06,736000
1977-01-26,0.06,0.06,0.06,0.06,294400
1977-01-27,0.06,0.06,0.06,0.06,512000
1977-01-28,0.06,0.06,0.06,0.06,124800
1977-01-31,0.06,0.06,0.06,0.06,390400
1977-02-01,0.06,0.06,0.06,0.06,176000
1977-02-02,0.06,0.06,0.06,0.06,131200
1977-02-03,0.06,0.06,0.06,0.06,665600
1977-02-04,0.06,0.06,0.06,0.06,1564800
1977-02-07,0.06,0.06,0.06,0.06,134400
1977-02-08,0.06,0.06,0.06,0.06,124800
1977-02-09,0.06,0.06,0.06,0.06,163200
1977-02-10,0.06,0.06,0.06,0.06,428800
1977-02-11,0.06,0.06,0.06,0.06,1244800
1977-02-14,0.06,0.06,0.06,0.06,540800
1977-02-15,0.06,0.07,0.06,0.06,438400
1977-02-16,0.06,0.07,0.06,0.06,1881600
1977-02-17,0.06,0.06,0.06,0.06,150400
1977-02-18,0.06,0.07,0.06,0.07,396800
1977-02-22,0.07,0.07,0.06,0.06,553600
1977-02-23,0.06,0.07,0.06,0.07,1315200
1977-02-24,0.07,0.07,0.07,0.07,4403200
1977-02-25,0.07,0.07,0.07,0.07,435200
1977-02-28,0.07,0.07,0.07,0.07,528000
1977-03-01,0.07,0.07,0.07,0.07,998400
1977-03-02,0.07,0.07,0.07,0.07,240000
1977-03-03,0.07,0.07,0.07,0.07,281600
1977-03-04,0.07,0.07,0.07,0.07,377600
1977-03-07,0.07,0.07,0.07,0.07,185600
1977-03-08,0.07,0.07,0.07,0.07,188800
1977-03-09,0.07,0.07,0.07,0.07,1148800
1977-03-10,0.07,0.07,0.07,0.07,211200
1977-03-11,0.07,0.07,0.07,0.07,275200
1977-03-14,0.07,0.07,0.07,0.07,291200
1977-03-15,0.07,0.07,0.07,0.07,147200
1977-03-16,0.07,0.07,0.06,0.06,480000
1977-03-17,0.06,0.07,0.06,0.07,339200
1977-03-18,0.07,0.07,0.07,0.07,275200
1977-03-21,0.07,0.07,0.07,0.07,457600
1977-03-22,0.07,0.07,0.07,0.07,217600
1977-03-23,0.07,0.07,0.07,0.07,1177600
1977-03-24,0.07,0.07,0.06,0.06,172800
1977-03-25,0.06,0.06,0.06,0.06,172800
1977-03-28,0.06,0.06,0.06,0.06,188800
1977-03-29,0.06,0.06,0.06,0.06,358400
1977-03-30,0.06,0.06,0.06,0.06,131200
1977-03-31,0.06,0.06,0.06,0.06,115200
1977-04-01,0.06,0.06,0.06,0.06,96000
1977-04-04,0.06,0.06,0.06,0.06,112000
1977-04-05,0.06,0.06,0.06,0.06,134400
1977-04-06,0.06,0.06,0.06,0.06,361600
1977-04-07,0.06,0.06,0.06,0.06,115200
1977-04-11,0.06,0.06,0.06,0.06,60800
1977-04-12,0.06,0.07,0.06,0.07,275200
1977-04-13,0.07,0.07,0.06,0.07,304000
1977-04-14,0.07,0.07,0.07,0.07,211200
1977-04-15,0.07,0.07,0.07,0.07,611200
1977-04-18,0.07,0.07,0.07,0.07,256000
1977-04-19,0.07,0.07,0.07,0.07,508800
1977-04-20,0.07,0.07,0.06,0.06,76800
1977-04-21,0.06,0.07,0.06,0.06,102400
1977-04-22,0.06,0.06,0.06,0.06,291200
1977-04-25,0.06,0.06,0.06,0.06,163200
1977-04-26,0.06,0.06,0.06,0.06,252800
1977-04-27,0.06,0.06,0.06,0.06,188800
1977-04-28,0.06,0.06,0.06,0.06,204800
1977-04-29,0.06,0.06,0.06,0.06,137600
