Date,Open,High,Low,Close,Volume
2006-10-17,25.52,25.54,24.94,25.38,1741300
2006-10-18,25.76,25.76,24.84,24.96,1484400
2006-10-19,24.96,25.13,24.31,24.39,1481700
2006-10-20,24.58,25.28,24.36,25.21,1440300
2006-10-23,25.56,25.56,24.93,25.13,1152300
2006-10-24,25.14,25.54,25.03,25.28,880300
2006-10-25,25.39,25.55,24.87,25.52,1214900
2006-10-26,25.75,28.15,25.52,27.27,4729700
2006-10-27,27.68,28.39,27.37,28.35,3889400
2006-10-30,28.63,29.8,28.42,28.71,1939000
2006-10-31,29.43,29.63,27.94,28.25,1322000
2006-11-01,28.53,28.86,27.89,27.89,854100
2006-11-02,27.89,28.81,27.54,27.56,821700
2006-11-03,27.74,28.21,27.68,28.04,787000
2006-11-06,28.11,28.63,27.92,28.23,842300
2006-11-07,28.25,28.46,27.91,28.19,706900
2006-11-08,27.56,27.71,26.55,27.09,1550900
2006-11-09,27.23,28.53,26.98,28.53,992300
2006-11-10,28.25,28.4,27.56,28.23,765600
2006-11-13,28.19,28.19,27.85,28.08,332800
2006-11-14,28.13,28.33,27.82,28.16,520000
2006-11-15,28.16,28.42,28.04,28.28,591700
2006-11-16,28.19,28.36,28.04,28.36,374000
2006-11-17,28.25,28.25,27.74,27.92,485900
2006-11-20,28.04,28.09,27.3,27.54,427000
2006-11-21,27.4,27.47,26.84,27.2,1593300
2006-11-22,26.75,27.51,26.55,27.3,1469400
2006-11-24,26.86,27.12,26.81,27.08,141100
2006-11-27,26.84,26.98,26.06,26.69,826500
2006-11-28,26.27,26.75,25.54,26.69,782200
2006-11-29,27.05,27.1,26.69,26.89,458600
2006-11-30,26.84,26.93,26.5,26.79,246600
2006-12-01,26.74,26.76,26.43,26.58,371500
2006-12-04,26.3,26.55,26.23,26.5,306900
2006-12-05,26.54,26.93,26.38,26.81,370000
2006-12-06,26.81,26.99,26.45,26.98,580200
2006-12-07,27.12,27.19,26.69,27.13,364800
2006-12-08,26.92,27.47,26.91,27.33,545200
2006-12-11,27.33,27.54,26.71,26.78,499600
2006-12-12,26.84,27.99,26.48,27.85,946200
2006-12-13,26.98,26.98,25.59,25.76,2291600
2006-12-14,25.45,25.9,24.93,25.37,1634700
2006-12-15,25.75,26.62,25.42,26.41,3829300
2006-12-18,26.28,26.34,25.61,25.68,769000
2006-12-19,25.47,25.62,25.08,25.28,914900
2006-12-20,25.28,25.66,25.14,25.35,428200
2006-12-21,25.28,25.47,25.07,25.21,466400
2006-12-22,25.28,25.34,25.11,25.21,537800
2006-12-26,25.21,25.34,24.93,24.96,322300
2006-12-27,24.96,25.03,24.59,24.73,464400
2006-12-28,25.28,25.28,24.73,25.07,520500
