Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.17,0.16,0.16,235500
1980-03-18,0.0,0.17,0.16,0.17,165900
1980-03-19,0.0,0.17,0.17,0.17,42700
1980-03-20,0.0,0.17,0.17,0.17,24400
1980-03-21,0.0,0.18,0.17,0.17,97600
1980-03-24,0.0,0.17,0.16,0.16,153700
1980-03-25,0.0,0.17,0.16,0.17,117100
1980-03-26,0.0,0.19,0.17,0.18,147600
1980-03-27,0.0,0.17,0.16,0.16,202500
1980-03-28,0.0,0.18,0.17,0.18,162300
1980-03-31,0.0,0.18,0.18,0.18,90300
1980-04-01,0.0,0.18,0.18,0.18,73200
1980-04-02,0.0,0.18,0.18,0.18,95100
1980-04-03,0.0,0.18,0.18,0.18,19500
1980-04-07,0.0,0.18,0.18,0.18,103700
1980-04-08,0.0,0.18,0.18,0.18,91500
1980-04-09,0.0,0.2,0.19,0.19,84200
1980-04-10,0.0,0.2,0.2,0.2,157400
1980-04-11,0.0,0.2,0.19,0.19,26800
1980-04-14,0.0,0.19,0.19,0.19,73200
1980-04-15,0.0,0.19,0.19,0.19,150100
1980-04-16,0.0,0.19,0.18,0.18,118300
1980-04-17,0.0,0.19,0.18,0.19,89000
1980-04-18,0.0,0.2,0.19,0.19,54900
1980-04-21,0.0,0.19,0.18,0.18,40200
1980-04-22,0.0,0.2,0.19,0.2,130500
1980-04-23,0.0,0.22,0.21,0.21,165900
1980-04-24,0.0,0.21,0.21,0.21,62200
1980-04-25,0.0,0.21,0.21,0.21,62200
1980-04-28,0.0,0.22,0.21,0.21,118300
1980-04-29,0.0,0.22,0.21,0.21,108600
1980-04-30,0.0,0.21,0.21,0.21,78100
1980-05-01,0.0,0.21,0.21,0.21,70700
1980-05-02,0.0,0.21,0.21,0.21,75600
1980-05-05,0.0,0.21,0.2,0.21,135400
1980-05-06,0.0,0.21,0.2,0.21,102500
1980-05-07,0.0,0.23,0.21,0.22,429500
1980-05-08,0.0,0.24,0.23,0.23,473500
1980-05-09,0.0,0.23,0.23,0.23,169600
1980-05-12,0.0,0.23,0.22,0.23,147600
1980-05-13,0.0,0.24,0.23,0.23,272100
1980-05-14,0.0,0.24,0.24,0.24,235500
1980-05-15,0.0,0.25,0.24,0.25,401500
1980-05-16,0.0,0.25,0.24,0.25,307500
1980-05-19,0.0,0.25,0.24,0.24,115900
1980-05-20,0.0,0.24,0.23,0.23,142700
1980-05-21,0.0,0.23,0.23,0.23,114700
1980-05-22,0.0,0.25,0.23,0.24,401500
1980-05-23,0.0,0.25,0.24,0.24,167100
1980-05-27,0.0,0.26,0.24,0.26,341700
1980-05-28,0.0,0.27,0.26,0.27,408800
1980-05-29,0.0,0.27,0.26,0.26,466100
1980-05-30,0.0,0.27,0.25,0.27,317300
1980-06-02,0.0,0.27,0.26,0.27,218400
1980-06-03,0.0,0.27,0.27,0.27,194000
1980-06-04,0.0,0.27,0.26,0.26,214700
1980-06-05,0.0,0.27,0.26,0.26,212300
1980-06-06,0.0,0.26,0.25,0.25,136600
1980-06-09,0.0,0.26,0.25,0.25,92700
1980-06-10,0.0,0.25,0.24,0.24,154900
1980-06-11,0.0,0.26,0.24,0.25,256200
1980-06-12,0.0,0.26,0.25,0.25,113400
1980-06-13,0.0,0.27,0.25,0.27,279400
1980-06-16,0.0,0.28,0.27,0.28,512500
1980-06-17,0.0,0.28,0.27,0.27,150100
1980-06-18,0.0,0.27,0.26,0.27,278200
1980-06-19,0.0,0.28,0.27,0.27,218400
1980-06-20,0.0,0.28,0.27,0.28,87800
1980-06-23,0.0,0.28,0.27,0.28,323400
1980-06-24,0.0,0.28,0.28,0.28,198900
1980-06-25,0.0,0.3,0.28,0.29,417300
1980-06-26,0.0,0.3,0.29,0.3,630900
1980-06-27,0.0,0.3,0.28,0.29,184200
1980-06-30,0.0,0.3,0.28,0.29,168400
1980-07-01,0.0,0.32,0.29,0.32,207400
1980-07-02,0.0,0.32,0.31,0.31,214700
1980-07-03,0.0,0.32,0.31,0.31,220800
1980-07-07,0.0,0.32,0.31,0.32,723600
1980-07-08,0.0,0.32,0.31,0.31,113400
1980-07-09,0.0,0.32,0.31,0.32,154900
1980-07-10,0.0,0.31,0.31,0.31,103700
1980-07-11,0.0,0.32,0.31,0.31,1034800
1980-07-14,0.0,0.32,0.31,0.32,163500
1980-07-15,0.0,0.32,0.32,0.32,298900
