Date,Open,High,Low,Close,Volume
1992-06-17,4.54,4.67,4.14,4.24,902000
1992-06-18,4.24,4.24,4.0,4.17,421400
1992-06-19,4.17,4.24,4.14,4.2,453400
1992-06-22,4.2,4.2,4.04,4.07,597200
1992-06-23,4.07,4.14,4.07,4.1,853800
1992-06-24,4.1,4.14,4.0,4.04,357600
1992-06-25,4.1,4.17,4.1,4.1,785000
1992-06-26,4.1,4.14,4.07,4.14,435000
1992-06-29,4.1,4.17,4.07,4.17,386600
1992-06-30,4.17,4.3,4.17,4.3,884400
1992-07-01,4.2,4.24,4.17,4.2,552600
1992-07-02,4.24,4.3,4.1,4.3,1788200
1992-07-06,4.24,4.24,4.1,4.14,580400
1992-07-07,4.17,4.17,3.84,3.9,1147000
1992-07-08,3.94,3.94,3.64,3.7,1192800
1992-07-09,3.7,3.9,3.7,3.9,2136600
1992-07-10,3.84,3.87,3.77,3.8,866200
1992-07-13,3.8,3.87,3.8,3.84,846600
1992-07-14,3.8,3.87,3.8,3.87,990000
1992-07-15,3.87,3.94,3.87,3.9,1080400
1992-07-16,3.87,3.9,3.8,3.84,2689000
1992-07-17,3.77,3.9,3.77,3.9,840400
1992-07-20,3.7,3.84,3.67,3.8,1228200
1992-07-21,3.74,3.87,3.74,3.8,1279600
1992-07-22,3.7,4.04,3.7,3.94,2743000
1992-07-23,3.9,4.0,3.9,3.9,2203800
1992-07-24,3.87,4.0,3.87,3.97,1404000
1992-07-27,3.97,4.04,3.9,4.0,1308000
1992-07-28,3.97,4.04,3.94,4.0,1134400
1992-07-29,4.0,4.04,3.87,3.94,1697600
1992-07-30,3.97,4.0,3.87,4.0,912800
1992-07-31,3.97,4.04,3.97,4.04,1303000
1992-08-03,4.0,4.1,3.97,4.1,1616800
1992-08-04,4.1,4.17,4.1,4.14,1457000
1992-08-05,4.14,4.17,4.14,4.14,492000
1992-08-06,4.1,4.14,4.0,4.07,1277800
1992-08-07,3.97,4.04,3.97,4.0,306200
1992-08-10,3.9,4.0,3.87,3.97,593000
1992-08-11,3.97,3.97,3.87,3.87,1804800
1992-08-12,3.97,4.0,3.8,3.87,1591600
1992-08-13,3.9,4.04,3.9,4.0,1100600
1992-08-14,4.0,4.24,4.0,4.2,1476600
1992-08-17,4.14,4.27,4.14,4.24,1461000
1992-08-18,4.27,4.37,4.24,4.27,1660200
