Date,Open,High,Low,Close,Volume
1972-06-01,0.0,0.25,0.25,0.25,456000
1972-06-02,0.25,0.26,0.25,0.26,640000
1972-06-05,0.26,0.26,0.25,0.25,464000
1972-06-06,0.25,0.25,0.25,0.25,796800
1972-06-07,0.25,0.25,0.25,0.25,584000
1972-06-08,0.25,0.25,0.25,0.25,726400
1972-06-09,0.25,0.25,0.25,0.25,296000
1972-06-12,0.25,0.25,0.25,0.25,473600
1972-06-13,0.25,0.26,0.25,0.25,478400
1972-06-14,0.26,0.26,0.26,0.26,795200
1972-06-15,0.26,0.26,0.26,0.26,836800
1972-06-16,0.26,0.26,0.26,0.26,267200
1972-06-19,0.26,0.26,0.25,0.26,1001600
1972-06-20,0.26,0.26,0.26,0.26,345600
1972-06-21,0.26,0.26,0.26,0.26,556800
1972-06-22,0.26,0.26,0.26,0.26,321600
1972-06-23,0.26,0.26,0.26,0.26,212800
1972-06-26,0.26,0.26,0.26,0.26,278400
1972-06-27,0.26,0.27,0.26,0.26,268800
1972-06-28,0.26,0.26,0.26,0.26,433600
1972-06-29,0.26,0.26,0.26,0.26,313600
1972-06-30,0.26,0.26,0.26,0.26,404800
1972-07-03,0.26,0.26,0.26,0.26,240000
1972-07-05,0.26,0.27,0.26,0.27,734400
1972-07-06,0.27,0.27,0.27,0.27,809600
1972-07-07,0.27,0.28,0.27,0.28,595200
1972-07-10,0.28,0.28,0.27,0.27,316800
1972-07-11,0.27,0.28,0.27,0.27,232000
1972-07-12,0.28,0.28,0.28,0.28,1132800
1972-07-13,0.28,0.28,0.27,0.28,790400
1972-07-14,0.28,0.28,0.28,0.28,950400
1972-07-17,0.28,0.28,0.28,0.28,187200
1972-07-18,0.28,0.28,0.27,0.28,385600
1972-07-19,0.28,0.28,0.28,0.28,636800
1972-07-20,0.28,0.28,0.28,0.28,326400
1972-07-21,0.28,0.29,0.28,0.29,340800
1972-07-24,0.29,0.29,0.29,0.29,811200
1972-07-25,0.29,0.29,0.29,0.29,312000
1972-07-26,0.29,0.3,0.29,0.3,816000
1972-07-27,0.3,0.3,0.29,0.3,422400
1972-07-28,0.3,0.3,0.29,0.29,208000
1972-07-31,0.29,0.29,0.29,0.29,174400
1972-08-01,0.29,0.29,0.29,0.29,368000
1972-08-02,0.29,0.3,0.29,0.29,384000
1972-08-03,0.29,0.29,0.29,0.29,355200
1972-08-04,0.29,0.29,0.29,0.29,193600
1972-08-07,0.29,0.3,0.29,0.29,204800
1972-08-08,0.29,0.3,0.29,0.29,243200
1972-08-09,0.29,0.29,0.29,0.29,126400
1972-08-10,0.29,0.3,0.29,0.3,184000
1972-08-11,0.3,0.3,0.29,0.3,180800
1972-08-14,0.3,0.3,0.3,0.3,308800
1972-08-15,0.3,0.3,0.29,0.3,420800
1972-08-16,0.3,0.3,0.29,0.29,268800
1972-08-17,0.29,0.29,0.29,0.29,348800
1972-08-18,0.29,0.3,0.29,0.3,185600
1972-08-21,0.3,0.3,0.3,0.3,316800
1972-08-22,0.3,0.31,0.3,0.3,580800
1972-08-23,0.3,0.3,0.3,0.3,353600
1972-08-24,0.3,0.3,0.3,0.3,179200
1972-08-25,0.3,0.3,0.29,0.29,371200
1972-08-28,0.29,0.3,0.29,0.29,177600
1972-08-29,0.29,0.29,0.29,0.29,238400
1972-08-30,0.29,0.29,0.29,0.29,177600
1972-08-31,0.29,0.29,0.29,0.29,137600
1972-09-01,0.29,0.29,0.29,0.29,163200
1972-09-05,0.29,0.29,0.29,0.29,124800
1972-09-06,0.29,0.29,0.29,0.29,228800
1972-09-07,0.29,0.29,0.29,0.29,356800
1972-09-08,0.29,0.29,0.29,0.29,160000
1972-09-11,0.29,0.29,0.28,0.28,104000
1972-09-12,0.28,0.28,0.28,0.28,291200
1972-09-13,0.28,0.28,0.28,0.28,499200
1972-09-14,0.28,0.28,0.28,0.28,331200
1972-09-15,0.28,0.28,0.28,0.28,102400
1972-09-18,0.28,0.28,0.28,0.28,273600
1972-09-19,0.28,0.29,0.28,0.29,288000
1972-09-20,0.29,0.29,0.28,0.29,260800
1972-09-21,0.29,0.29,0.28,0.28,132800
1972-09-22,0.28,0.28,0.28,0.28,51200
1972-09-25,0.28,0.28,0.28,0.28,198400
1972-09-26,0.28,0.28,0.28,0.28,369600
1972-09-27,0.28,0.28,0.28,0.28,129600
1972-09-28,0.28,0.28,0.28,0.28,299200
1972-09-29,0.28,0.29,0.28,0.28,516800
1972-10-02,0.28,0.28,0.28,0.28,120000
1972-10-03,0.28,0.28,0.28,0.28,172800
1972-10-04,0.28,0.28,0.28,0.28,428800
1972-10-05,0.28,0.28,0.27,0.27,356800
1972-10-06,0.27,0.28,0.27,0.27,560000
1972-10-09,0.28,0.28,0.28,0.28,35200
1972-10-10,0.28,0.28,0.28,0.28,140800
1972-10-11,0.28,0.28,0.27,0.28,172800
1972-10-12,0.28,0.28,0.27,0.28,408000
1972-10-13,0.28,0.28,0.27,0.27,337600
1972-10-16,0.27,0.27,0.27,0.27,185600
1972-10-17,0.27,0.28,0.27,0.28,174400
1972-10-18,0.28,0.28,0.28,0.28,492800
1972-10-19,0.28,0.29,0.28,0.29,193600
1972-10-20,0.29,0.29,0.29,0.29,195200
1972-10-23,0.29,0.3,0.29,0.29,252800
1972-10-24,0.29,0.3,0.29,0.3,414400
1972-10-25,0.3,0.3,0.3,0.3,540800
1972-10-26,0.3,0.31,0.3,0.31,608000
1972-10-27,0.31,0.31,0.3,0.3,204800
1972-10-30,0.3,0.3,0.3,0.3,123200
1972-10-31,0.3,0.31,0.3,0.31,449600
1972-11-01,0.31,0.31,0.31,0.31,897600
1972-11-02,0.31,0.31,0.31,0.31,232000
1972-11-03,0.31,0.31,0.31,0.31,220800
1972-11-06,0.31,0.31,0.31,0.31,369600
1972-11-08,0.31,0.31,0.3,0.31,358400
1972-11-09,0.31,0.31,0.3,0.3,134400
1972-11-10,0.3,0.3,0.3,0.3,222400
