Date,Open,High,Low,Close,Volume
1977-01-03,0.33,0.34,0.33,0.34,165200.0
1977-01-04,0.34,0.34,0.32,0.34,179800.0
1977-01-05,0.34,0.35,0.34,0.35,189600.0
1977-01-06,0.35,0.36,0.35,0.36,384200.0
1977-01-07,0.36,0.37,0.36,0.37,345200.0
1977-01-10,0.37,0.37,0.36,0.37,311000.0
1977-01-11,0.37,0.37,0.36,0.36,155400.0
1977-01-12,0.35,0.35,0.35,0.35,198400.0
1977-01-13,0.35,0.35,0.34,0.35,155400.0
1977-01-14,0.35,0.35,0.35,0.35,116200.0
1977-01-17,0.35,0.36,0.35,0.35,222000.0
1977-01-18,0.36,0.36,0.36,0.36,112400.0
1977-01-19,0.36,0.37,0.36,0.36,149600.0
1977-01-20,0.36,0.36,0.35,0.35,179800.0
1977-01-21,0.35,0.36,0.35,0.35,185800.0
1977-01-24,0.36,0.38,0.36,0.38,850800.0
1977-01-25,0.38,0.4,0.38,0.38,502600.0
1977-01-26,0.38,0.38,0.37,0.38,263000.0
1977-01-27,0.38,0.38,0.37,0.38,258000.0
1977-01-28,0.38,0.38,0.37,0.38,122200.0
1977-01-31,0.37,0.37,0.36,0.37,114400.0
1977-02-01,0.37,0.37,0.36,0.37,81000.0
1977-02-02,0.36,0.36,0.35,0.35,112400.0
1977-02-03,0.35,0.36,0.35,0.36,153400.0
1977-02-04,0.36,0.36,0.36,0.36,121200.0
1977-02-07,0.36,0.37,0.36,0.36,82000.0
1977-02-08,0.36,0.36,0.36,0.36,115400.0
1977-02-09,0.36,0.37,0.36,0.36,283600.0
1977-02-10,0.36,0.36,0.35,0.35,74200.0
1977-02-11,0.35,0.35,0.34,0.34,152400.0
1977-02-14,0.34,0.34,0.33,0.33,143600.0
1977-02-15,0.34,0.35,0.34,0.35,175000.0
1977-02-16,0.35,0.35,0.34,0.35,225800.0
1977-02-17,0.35,0.36,0.35,0.36,1001400.0
1977-02-18,0.36,0.37,0.36,0.36,472200.0
1977-02-22,0.37,0.37,0.37,0.37,275600.0
1977-02-23,0.37,0.37,0.36,0.36,81000.0
1977-02-24,0.36,0.36,0.36,0.36,228800.0
1977-02-25,0.36,0.36,0.35,0.35,355000.0
1977-02-28,0.35,0.36,0.35,0.36,86000.0
1977-03-01,0.36,0.37,0.36,0.37,293400.0
1977-03-02,0.37,0.37,0.36,0.36,243400.0
1977-03-03,0.36,0.36,0.35,0.35,52800.0
1977-03-04,0.35,0.36,0.35,0.36,45800.0
1977-03-07,0.35,0.35,0.35,0.35,65400.0
1977-03-08,0.35,0.35,0.35,0.35,59600.0
1977-03-09,0.35,0.35,0.35,0.35,68400.0
1977-03-10,0.35,0.36,0.35,0.35,203400.0
1977-03-11,0.35,0.36,0.35,0.35,158400.0
1977-03-14,0.36,0.37,0.36,0.37,328600.0
1977-03-15,0.37,0.37,0.36,0.36,112400.0
1977-03-16,0.36,0.36,0.36,0.36,149600.0
1977-03-17,0.36,0.36,0.36,0.36,59600.0
1977-03-18,0.36,0.36,0.36,0.36,59600.0
1977-03-21,0.36,0.36,0.35,0.35,139800.0
1977-03-22,0.35,0.35,0.35,0.35,105600.0
1977-03-23,0.35,0.35,0.34,0.34,85000.0
1977-03-24,0.34,0.35,0.33,0.33,177800.0
1977-03-25,0.33,0.34,0.33,0.33,71200.0
1977-03-28,0.33,0.34,0.33,0.33,103600.0
1977-03-29,0.33,0.34,0.33,0.34,164200.0
1977-03-30,0.34,0.34,0.34,0.34,133800.0
1977-03-31,0.34,0.34,0.33,0.33,84000.0
1977-04-01,0.33,0.35,0.33,0.35,256200.0
1977-04-04,0.35,0.35,0.35,0.35,248400.0
1977-04-05,0.35,0.35,0.35,0.35,151400.0
1977-04-06,0.35,0.35,0.35,0.35,427200.0
1977-04-07,0.35,0.35,0.35,0.35,354000.0
1977-04-11,0.34,0.34,0.34,0.34,139800.0
1977-04-12,0.34,0.35,0.34,0.34,39000.0
1977-04-13,0.34,0.35,0.33,0.34,169000.0
1977-04-14,0.34,0.35,0.33,0.34,87000.0
1977-04-15,0.34,0.35,0.34,0.35,323600.0
1977-04-18,0.35,0.36,0.34,0.35,449800.0
1977-04-19,0.34,0.34,0.33,0.34,253200.0
1977-04-20,0.34,0.34,0.33,0.34,60600.0
1977-04-21,0.34,0.34,0.34,0.34,604400.0
1977-04-22,0.34,0.34,0.33,0.33,163200.0
1977-04-25,0.33,0.33,0.32,0.32,103600.0
1977-04-26,0.32,0.33,0.32,0.33,147600.0
1977-04-27,0.33,0.33,0.33,0.33,105600.0
1977-04-28,0.33,0.33,0.32,0.32,114400.0
1977-04-29,0.32,0.33,0.32,0.33,93800.0
1977-05-02,0.33,0.33,0.32,0.33,129000.0
1977-05-03,0.33,0.33,0.32,0.32,161200.0
1977-05-04,0.32,0.35,0.32,0.35,265000.0
1977-05-05,0.35,0.37,0.35,0.37,2446800.0
1977-05-06,0.37,0.4,0.37,0.4,2669800.0
1977-05-09,0.4,0.41,0.39,0.41,869400.0
1977-05-10,0.41,0.43,0.4,0.41,1774000.0
1977-05-11,0.42,0.45,0.42,0.43,2350000.0
1977-05-12,0.44,0.45,0.44,0.44,1352400.0
1977-05-13,0.44,0.44,0.4,0.44,699200.0
1977-05-16,0.44,0.44,0.43,0.43,563200.0
1977-05-17,0.42,0.42,0.41,0.42,403800.0
1977-05-18,0.42,0.43,0.42,0.42,309000.0
1977-05-19,0.42,0.43,0.42,0.43,317800.0
1977-05-20,0.43,0.43,0.42,0.42,207200.0
1977-05-23,0.42,0.42,0.41,0.41,173000.0
1977-05-24,0.41,0.41,0.4,0.41,314800.0
1977-05-25,0.41,0.42,0.4,0.4,396000.0
1977-05-26,0.4,0.41,0.4,0.4,364600.0
1977-05-27,0.4,0.4,0.4,0.4,404800.0
1977-05-31,0.4,0.41,0.4,0.41,180800.0
1977-06-01,0.41,0.42,0.41,0.41,273800.0
1977-06-02,0.41,0.42,0.41,0.41,142600.0
1977-06-03,0.41,0.44,0.41,0.43,807800.0
1977-06-06,0.43,0.44,0.42,0.43,347000.0
1977-06-07,0.43,0.49,0.43,0.49,2653200.0
1977-06-08,0.49,0.5,0.47,0.48,1858200.0
1977-06-09,0.48,0.48,0.47,0.47,601400.0
1977-06-10,0.47,0.49,0.47,0.49,545600.0
1977-06-13,0.48,0.48,0.47,0.48,468400.0
1977-06-14,0.48,0.48,0.47,0.48,559400.0
1977-06-15,0.48,0.52,0.47,0.51,2104600.0
1977-06-16,0.51,0.53,0.5,0.52,1022800.0
1977-06-17,0.52,0.55,0.52,0.55,1813200.0
1977-06-20,0.55,0.56,0.53,0.56,1679200.0
1977-06-21,0.56,0.56,0.54,0.55,1622400.0
1977-06-22,0.55,0.57,0.54,0.57,1875800.0
1977-06-23,0.57,0.57,0.56,0.57,533000.0
1977-06-24,0.57,0.57,0.56,0.57,469400.0
1977-06-27,0.57,0.57,0.56,0.57,433200.0
1977-06-28,0.57,0.57,0.53,0.54,2005800.0
1977-06-29,0.54,0.55,0.52,0.55,818400.0
1977-06-30,0.55,0.56,0.55,0.56,812600.0
1977-07-01,0.55,0.55,0.54,0.54,303000.0
1977-07-05,0.54,0.54,0.53,0.54,272800.0
1977-07-06,0.53,0.53,0.51,0.52,1330000.0
1977-07-07,0.52,0.53,0.52,0.53,682600.0
1977-07-08,0.53,0.53,0.53,0.53,374400.0
1977-07-11,0.53,0.54,0.53,0.54,330400.0
1977-07-12,0.54,0.58,0.54,0.58,1313400.0
1977-07-13,0.59,0.63,0.59,0.61,3144200.0
1977-07-15,0.62,0.67,0.62,0.66,2271800.0
1977-07-18,0.66,0.69,0.64,0.67,1420000.0
1977-07-19,0.67,0.67,0.63,0.63,902600.0
1977-07-20,0.63,0.63,0.6,0.62,978000.0
1977-07-21,0.62,0.62,0.6,0.61,407800.0
1977-07-22,0.62,0.64,0.62,0.64,552400.0
1977-07-25,0.64,0.65,0.6,0.6,532000.0
1977-07-26,0.6,0.62,0.6,0.62,432200.0
1977-07-27,0.62,0.62,0.6,0.61,1061000.0
1977-07-28,0.61,0.61,0.6,0.61,689400.0
1977-07-29,0.61,0.62,0.6,0.61,457600.0
1977-08-01,0.61,0.62,0.61,0.61,222000.0
1977-08-02,0.61,0.61,0.61,0.61,244400.0
1977-08-03,0.61,0.61,0.6,0.61,215000.0
1977-08-04,0.61,0.65,0.61,0.65,1066800.0
1977-08-05,0.65,0.66,0.64,0.65,341200.0
1977-08-08,0.65,0.65,0.64,0.64,248400.0
1977-08-09,0.64,0.65,0.63,0.63,495800.0
