Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.31,0.3,0.3,217600
1980-03-18,0.0,0.3,0.29,0.29,272000
1980-03-19,0.0,0.29,0.29,0.29,777600
1980-03-20,0.0,0.3,0.29,0.29,2105600
1980-03-21,0.0,0.29,0.29,0.29,348800
1980-03-24,0.0,0.28,0.27,0.27,252800
1980-03-25,0.0,0.28,0.27,0.28,252800
1980-03-26,0.0,0.28,0.27,0.28,396800
1980-03-27,0.0,0.28,0.27,0.27,112000
1980-03-28,0.0,0.28,0.27,0.27,1651200
1980-03-31,0.0,0.28,0.27,0.28,134400
1980-04-01,0.0,0.29,0.28,0.29,134400
1980-04-02,0.0,0.3,0.29,0.3,102400
1980-04-03,0.0,0.3,0.3,0.3,608000
1980-04-07,0.0,0.31,0.3,0.31,89600
1980-04-08,0.0,0.3,0.3,0.3,156800
1980-04-09,0.0,0.31,0.3,0.3,755200
1980-04-10,0.0,0.32,0.31,0.32,195200
1980-04-11,0.0,0.32,0.32,0.32,464000
1980-04-14,0.0,0.32,0.32,0.32,124800
1980-04-15,0.0,0.32,0.31,0.31,73600
1980-04-16,0.0,0.31,0.31,0.31,233600
1980-04-17,0.0,0.3,0.3,0.3,131200
1980-04-18,0.0,0.3,0.3,0.3,134400
1980-04-21,0.0,0.29,0.28,0.28,204800
1980-04-22,0.0,0.29,0.28,0.28,67200
1980-04-23,0.0,0.29,0.28,0.29,80000
1980-04-24,0.0,0.29,0.28,0.29,153600
1980-04-25,0.0,0.29,0.29,0.29,310400
1980-04-28,0.0,0.3,0.3,0.3,137600
1980-04-29,0.0,0.3,0.3,0.3,640000
1980-04-30,0.0,0.3,0.3,0.3,422400
1980-05-01,0.0,0.31,0.3,0.31,163200
1980-05-02,0.0,0.33,0.31,0.33,531200
1980-05-05,0.0,0.33,0.32,0.33,169600
1980-05-06,0.0,0.32,0.32,0.32,182400
1980-05-07,0.0,0.33,0.32,0.33,499200
1980-05-08,0.0,0.33,0.32,0.32,80000
1980-05-09,0.0,0.33,0.33,0.33,710400
1980-05-12,0.0,0.33,0.32,0.32,473600
1980-05-13,0.0,0.33,0.32,0.33,67200
1980-05-14,0.0,0.33,0.33,0.33,92800
1980-05-15,0.0,0.34,0.33,0.33,160000
1980-05-16,0.0,0.33,0.33,0.33,329600
1980-05-19,0.0,0.33,0.33,0.33,67200
1980-05-20,0.0,0.33,0.33,0.33,35200
1980-05-21,0.0,0.34,0.33,0.34,115200
1980-05-22,0.0,0.34,0.33,0.33,131200
1980-05-23,0.0,0.34,0.33,0.34,480000
1980-05-27,0.0,0.35,0.34,0.35,1168000
1980-05-28,0.0,0.35,0.34,0.34,1209600
1980-05-29,0.0,0.34,0.34,0.34,592000
1980-05-30,0.0,0.34,0.34,0.34,89600
1980-06-02,0.0,0.34,0.33,0.34,400000
1980-06-03,0.0,0.34,0.33,0.33,569600
1980-06-04,0.0,0.34,0.33,0.33,313600
1980-06-05,0.0,0.34,0.33,0.34,2284800
1980-06-06,0.0,0.34,0.34,0.34,297600
1980-06-09,0.0,0.34,0.34,0.34,179200
1980-06-10,0.0,0.34,0.34,0.34,163200
1980-06-11,0.0,0.34,0.34,0.34,54400
1980-06-12,0.0,0.34,0.33,0.33,137600
1980-06-13,0.0,0.34,0.33,0.34,57600
1980-06-16,0.0,0.34,0.34,0.34,76800
1980-06-17,0.0,0.34,0.33,0.34,44800
1980-06-18,0.0,0.35,0.33,0.35,1094400
1980-06-19,0.0,0.35,0.34,0.34,192000
1980-06-20,0.0,0.34,0.34,0.34,60800
