Date,Open,High,Low,Close,Volume
1984-05-04,0.0,2.06,2.04,2.04,2578800
1984-05-07,0.0,2.06,2.01,2.01,102600
1984-05-08,0.0,2.04,2.01,2.01,137100
1984-05-09,0.0,2.04,2.01,2.01,741600
1984-05-10,0.0,2.01,1.96,1.96,303600
1984-05-11,0.0,1.99,1.93,1.93,228000
1984-05-14,0.0,2.01,1.93,1.93,49800
1984-05-15,0.0,2.04,1.99,1.99,43500
1984-05-16,0.0,2.04,1.99,1.99,35100
1984-05-17,0.0,2.01,1.99,1.99,65100
1984-05-18,0.0,1.78,1.73,1.73,384600
1984-05-21,0.0,1.78,1.73,1.73,225300
1984-05-22,0.0,1.78,1.73,1.73,12000
1984-05-23,0.0,1.78,1.76,1.76,14700
1984-05-24,0.0,1.78,1.76,1.76,23400
1984-05-25,0.0,1.78,1.76,1.76,158400
1984-05-29,0.0,1.81,1.76,1.76,19200
1984-05-30,0.0,1.78,1.76,1.76,33300
1984-05-31,0.0,1.78,1.76,1.76,300
1984-06-01,0.0,1.86,1.81,1.81,102900
1984-06-04,0.0,1.88,1.83,1.83,7200
1984-06-05,0.0,1.88,1.86,1.86,103500
1984-06-06,0.0,1.88,1.86,1.86,148800
1984-06-07,0.0,1.96,1.91,1.91,41400
1984-06-08,0.0,1.96,1.91,1.91,117300
1984-06-11,0.0,1.99,1.91,1.91,120000
1984-06-12,0.0,1.99,1.93,1.93,126300
1984-06-13,0.0,2.01,1.93,1.93,72900
1984-06-14,0.0,2.04,1.93,1.93,10200
1984-06-15,0.0,2.04,1.93,1.93,1200
1984-06-18,0.0,2.04,1.93,1.93,4500
1984-06-19,0.0,2.04,1.96,1.96,5700
1984-06-20,0.0,2.01,1.96,1.96,20700
1984-06-21,0.0,2.01,1.96,1.96,10800
1984-06-22,0.0,2.01,1.96,1.96,14700
1984-06-25,0.0,1.99,1.93,1.93,10800
1984-06-26,0.0,1.99,1.88,1.88,15300
1984-06-27,0.0,1.96,1.88,1.88,2700
1984-06-28,0.0,1.88,1.83,1.83,60300
1984-06-29,0.0,1.88,1.83,1.83,3600
1984-07-02,0.0,1.86,1.83,1.83,3600
1984-07-03,0.0,1.78,1.73,1.73,9000
1984-07-05,0.0,1.78,1.73,1.73,3900
1984-07-06,0.0,1.78,1.73,1.73,4500
1984-07-09,0.0,1.76,1.68,1.68,6600
1984-07-10,0.0,1.76,1.68,1.68,900
1984-07-11,0.0,1.78,1.71,1.71,48000
1984-07-12,0.0,1.76,1.71,1.71,382800
1984-07-13,0.0,1.78,1.71,1.71,45000
1984-07-16,0.0,1.78,1.71,1.71,44400
1984-07-17,0.0,1.78,1.71,1.71,1200
1984-07-18,0.0,1.78,1.73,1.73,2700
1984-07-19,0.0,1.83,1.76,1.76,74700
1984-07-20,0.0,1.83,1.76,1.76,13500
1984-07-23,0.0,1.81,1.76,1.76,11700
1984-07-24,0.0,1.81,1.76,1.76,4800
1984-07-25,0.0,1.81,1.76,1.76,9000
1984-07-26,0.0,1.81,1.76,1.76,1200
1984-07-27,0.0,1.81,1.76,1.76,12900
1984-07-30,0.0,1.81,1.73,1.73,26100
1984-07-31,0.0,1.81,1.73,1.73,2100
1984-08-01,0.0,1.81,1.73,1.73,13500
1984-08-02,0.0,1.81,1.76,1.76,112800
1984-08-03,0.0,1.91,1.86,1.86,177600
1984-08-06,0.0,2.01,1.96,1.96,56100
1984-08-07,0.0,2.01,1.93,1.93,38700
