Date,Open,High,Low,Close,Volume
2010-04-28,13.56,13.56,13.23,13.41,5244400
2010-04-29,13.41,14.17,13.35,14.02,8773600
2010-04-30,13.99,14.02,13.56,13.59,1644400
2010-05-03,13.87,13.99,13.8,13.9,3302700
2010-05-04,13.9,13.9,13.1,13.1,2276500
2010-05-05,13.41,13.41,12.19,12.55,6999200
2010-05-06,12.49,12.52,11.25,11.85,8029400
2010-05-07,11.89,11.92,10.91,11.34,3881500
2010-05-10,12.04,12.1,11.4,11.59,3861100
2010-05-11,11.43,11.75,11.43,11.52,2626900
2010-05-12,11.7,12.21,11.7,12.07,5714300
2010-05-13,12.1,12.25,11.95,11.98,2475900
2010-05-14,11.76,11.82,11.43,11.43,3133400
2010-05-17,11.58,11.7,11.4,11.49,10117000
2010-05-18,11.61,11.78,11.12,11.45,6219800
2010-05-19,11.52,11.54,10.7,10.79,6227700
2010-05-20,10.45,10.45,9.87,10.3,10248400
2010-05-21,9.97,10.43,9.9,10.09,4560800
2010-05-24,10.18,10.45,10.17,10.3,1761300
2010-05-25,10.23,10.23,9.87,10.1,4649600
2010-05-26,10.36,10.61,10.24,10.45,2079300
2010-05-27,10.76,10.97,10.76,10.91,3156100
2010-05-28,10.91,10.91,9.9,10.83,222200
2010-06-01,10.76,10.85,10.48,10.67,900800
2010-06-02,10.73,10.76,10.5,10.56,829900
2010-06-03,10.64,10.67,10.45,10.56,2173600
2010-06-04,10.39,10.42,10.21,10.39,3147200
2010-06-07,10.45,10.48,10.2,10.29,2826800
2010-06-08,10.38,10.38,10.06,10.21,2037700
2010-06-09,10.23,10.42,10.18,10.23,1410200
2010-06-10,10.34,10.4,10.27,10.34,1401000
2010-06-11,10.32,10.48,10.32,10.45,452500
2010-06-14,10.48,10.71,10.48,10.66,1008500
2010-06-15,10.65,10.97,10.57,10.95,1974300
2010-06-16,10.93,10.95,10.75,10.75,1041500
2010-06-17,10.78,10.82,10.45,10.54,1090600
2010-06-18,10.56,10.57,10.45,10.49,1373700
2010-06-21,10.64,10.68,10.42,10.42,514100
2010-06-22,10.42,10.42,10.24,10.26,1502900
2010-06-23,10.3,10.33,10.12,10.15,1125700
2010-06-24,10.17,10.31,9.97,10.24,2151600
2010-06-25,10.3,10.31,10.18,10.25,612000
2010-06-28,10.28,10.28,10.18,10.28,355800
2010-06-29,10.2,10.2,9.9,9.9,2561000
2010-06-30,9.92,10.06,9.84,9.84,1534100
2010-07-01,9.9,9.93,9.39,9.48,4006100
2010-07-02,9.5,9.56,9.39,9.43,231700
2010-07-06,9.45,9.5,9.08,9.18,833700
2010-07-07,9.17,9.23,9.06,9.14,2137200
2010-07-08,9.11,9.23,9.11,9.17,2422200
2010-07-09,9.2,9.76,9.14,9.63,1478700
2010-07-12,9.64,9.76,9.63,9.64,786100
2010-07-13,9.65,10.06,9.65,10.0,1647300
2010-07-14,10.0,10.03,9.9,10.0,1537200
2010-07-15,10.01,10.01,9.75,9.98,905900
2010-07-16,9.93,9.93,9.75,9.87,624700
2010-07-19,9.86,10.18,9.82,10.03,497300
2010-07-20,10.02,10.02,9.84,9.87,1244700
2010-07-21,9.87,9.93,9.87,9.9,1801200
2010-07-22,9.91,10.11,9.91,10.09,1126300
2010-07-23,10.09,10.23,10.07,10.23,1415100
2010-07-26,10.36,10.79,10.36,10.76,3400400
2010-07-27,10.92,11.18,10.51,11.11,5778800
2010-07-28,11.1,11.1,10.86,10.93,2440000
2010-07-29,11.03,11.06,10.87,10.93,1598500
2010-07-30,10.92,11.01,10.78,10.97,2023100
2010-08-02,11.06,11.13,11.0,11.01,1543000
2010-08-03,11.03,11.04,10.79,10.91,1558700
2010-08-04,10.91,11.25,10.91,11.15,4194300
2010-08-05,11.15,11.15,11.09,11.12,252300
2010-08-06,11.1,11.12,10.92,10.97,500600
2010-08-09,10.97,11.06,10.96,11.0,1252900
2010-08-10,11.0,11.0,10.91,10.96,1056300
2010-08-11,10.85,10.85,10.73,10.73,2021000
2010-08-12,10.75,10.75,10.61,10.67,3260500
2010-08-13,10.67,10.99,10.67,10.98,2973700
2010-08-16,11.49,11.76,11.37,11.4,10729700
2010-08-17,11.55,11.7,11.55,11.62,4572800
2010-08-18,11.64,12.22,11.64,12.07,3564800
2010-08-19,12.12,12.24,11.58,12.07,5313000
2010-08-20,12.07,12.2,12.04,12.12,3292700
2010-08-23,12.13,12.34,12.13,12.23,2222900
2010-08-24,12.07,12.22,12.01,12.18,5178500
2010-08-25,12.15,12.22,12.11,12.15,3994300
2010-08-26,12.16,12.49,12.16,12.19,2807100
2010-08-27,12.28,12.46,12.18,12.46,1984200
2010-08-30,12.43,12.68,12.32,12.32,1728000
2010-08-31,12.32,12.5,12.32,12.49,2316300
2010-09-01,12.49,12.98,12.49,12.81,5464700
2010-09-02,12.83,12.83,12.65,12.77,1548700
2010-09-03,12.79,12.98,12.79,12.88,1072600
2010-09-07,12.87,12.87,12.68,12.77,1540000
2010-09-08,12.77,12.88,12.77,12.79,2135400
2010-09-09,12.8,12.89,12.6,12.62,2958400
2010-09-10,12.62,12.69,12.61,12.67,806500
2010-09-13,12.67,13.05,12.67,13.03,3431400
2010-09-14,13.04,13.15,12.99,13.11,2403900
2010-09-15,13.11,13.19,13.07,13.14,1302100
2010-09-16,13.26,13.58,13.26,13.32,4179800
2010-09-17,13.52,13.56,13.41,13.56,2845700
2010-09-20,13.56,13.57,13.52,13.53,1651400
2010-09-21,13.54,13.57,13.51,13.54,3081900
2010-09-22,13.56,13.58,13.32,13.37,1636900
2010-09-23,13.32,13.38,13.16,13.32,1356500
2010-09-24,13.41,13.7,13.41,13.69,2632000
2010-09-27,13.83,14.09,13.83,14.08,4341200
2010-09-28,14.08,14.41,14.04,14.29,2932200
2010-09-29,14.25,14.6,14.24,14.4,3805000
2010-09-30,14.41,14.6,14.18,14.57,4344600
2010-10-01,14.58,14.66,14.45,14.55,6646000
2010-10-04,14.65,14.87,14.59,14.68,3833700
2010-10-05,14.65,15.24,14.65,15.11,7091600
2010-10-06,15.15,15.16,14.6,14.76,1901200
2010-10-07,14.79,14.96,14.74,14.9,2172800
2010-10-08,15.05,15.41,15.05,15.39,6419900
2010-10-11,15.35,16.21,15.32,15.94,8024800
2010-10-12,15.91,16.06,15.51,16.03,7003500
2010-10-13,16.09,16.53,16.02,16.44,12316200
2010-10-14,16.44,16.85,14.9,16.47,9197400
2010-10-15,16.52,16.52,16.15,16.15,3207600
2010-10-18,16.21,16.48,16.1,16.3,4034900
2010-10-19,16.45,16.45,16.11,16.16,7782900
2010-10-20,16.27,16.58,16.24,16.54,6081700
2010-10-21,16.57,17.07,16.52,16.8,6521800
2010-10-22,16.82,16.87,16.64,16.79,2442100
2010-10-25,16.97,17.23,16.9,17.04,3935100
2010-10-26,17.11,17.14,16.15,16.9,5532600
2010-10-27,16.96,16.96,16.36,16.58,3619200
2010-10-28,16.69,16.94,16.45,16.77,3821600
2010-10-29,16.97,17.22,16.21,16.37,7190600
2010-11-01,16.31,16.55,15.66,15.85,4165000
2010-11-02,16.03,16.33,15.96,16.23,3387900
2010-11-03,16.4,16.74,16.06,16.43,3338400
2010-11-04,16.61,16.8,16.45,16.71,5118300
2010-11-05,16.73,17.39,16.31,17.28,7669000
2010-11-08,17.37,17.58,17.21,17.58,4110700
2010-11-09,17.69,17.74,17.17,17.33,2267300
2010-11-10,17.31,17.37,16.91,17.27,2717000
2010-11-11,17.14,17.55,17.08,17.24,2478300
2010-11-12,17.26,17.29,16.66,16.7,4365200
2010-11-15,16.61,17.06,16.58,16.86,4142500
2010-11-16,16.8,16.85,16.0,16.27,2919300
2010-11-17,16.3,16.65,16.05,16.6,3193800
2010-11-18,17.1,17.21,16.79,16.88,3376600
2010-11-19,16.93,17.6,16.76,17.52,17483400
2010-11-22,17.45,18.17,17.4,18.09,6153800
2010-11-23,17.83,17.83,17.56,17.64,4384400
2010-11-24,17.74,18.0,17.59,17.98,3341100
2010-11-26,17.8,18.01,17.77,17.91,740600
2010-11-29,18.22,18.27,17.59,18.13,3414900
2010-11-30,17.82,17.98,17.71,17.8,2831300
2010-12-01,18.1,18.31,18.06,18.21,7132500
2010-12-02,18.41,18.59,17.93,18.58,7641100
2010-12-03,18.31,18.72,18.0,18.6,5584300
2010-12-06,18.66,18.97,18.59,18.94,4628200
2010-12-07,19.2,19.35,18.85,19.26,6296400
2010-12-08,19.26,19.41,18.73,18.81,3558100
2010-12-09,19.03,19.1,18.04,18.66,4306200
2010-12-10,18.63,19.0,18.57,18.96,3383400
2010-12-13,18.94,19.49,18.91,19.42,38066400
2010-12-14,19.27,19.78,18.94,19.5,3875100
2010-12-15,19.5,19.62,19.21,19.35,1458700
2010-12-16,19.51,19.55,18.84,19.02,2498500
2010-12-17,18.98,19.5,18.72,19.42,3980000
2010-12-20,19.45,19.58,19.27,19.56,2500900
2010-12-21,19.5,19.85,19.5,19.84,3301200
2010-12-22,19.71,20.1,19.71,20.08,3212600
2010-12-23,20.08,20.11,19.99,20.07,724400
2010-12-27,19.91,20.13,19.9,20.09,679600
2010-12-28,20.08,20.3,20.01,20.28,1111600
2010-12-29,20.24,20.39,20.22,20.36,1290400
2010-12-30,20.38,20.61,20.27,20.58,1605600
2010-12-31,20.63,21.05,20.62,20.97,1877900
2011-01-03,21.18,21.33,20.98,21.06,3403400
2011-01-04,21.21,21.3,21.05,21.25,5475700
2011-01-05,21.14,21.33,21.11,21.24,2780800
2011-01-06,21.29,21.4,21.16,21.31,3249400
2011-01-07,21.44,21.47,21.0,21.1,1889700
2011-01-10,21.28,21.51,21.09,21.48,4051600
2011-01-11,21.7,22.3,21.64,22.23,4729500
2011-01-12,22.34,22.55,22.25,22.39,2867900
2011-01-13,22.45,22.45,21.85,22.19,4404500
2011-01-14,22.11,22.55,21.97,22.31,3841100
2011-01-18,22.52,22.55,22.22,22.25,2166600
2011-01-19,22.35,22.37,21.66,21.73,3682500
2011-01-20,21.49,21.8,20.46,21.59,7837700
2011-01-21,21.87,22.08,20.97,21.36,3647600
2011-01-24,21.7,21.78,21.18,21.73,2489700
2011-01-25,21.76,22.03,21.66,21.76,6351500
2011-01-26,21.81,22.09,21.66,21.94,2325700
2011-01-27,21.98,22.25,21.84,22.06,2718800
2011-01-28,22.12,22.23,21.1,21.25,1961300
2011-01-31,21.19,21.97,21.19,21.91,2250400
2011-02-01,22.06,22.55,21.92,22.45,2823400
2011-02-02,22.25,22.48,22.05,22.28,1646500
2011-02-03,22.45,22.82,21.94,22.01,3667200
2011-02-04,22.21,22.4,21.54,22.05,4087000
2011-02-07,22.24,22.41,21.51,21.65,4454900
2011-02-08,21.8,21.85,20.94,21.62,5053800
2011-02-09,21.48,21.91,21.08,21.84,5237600
2011-02-10,21.53,22.45,21.53,22.4,2841300
2011-02-11,22.05,23.7,21.8,22.59,4639500
2011-02-14,22.81,22.82,22.44,22.79,2764300
2011-02-15,22.79,22.96,22.28,22.84,2470500
2011-02-16,22.84,23.04,22.61,22.88,2955500
2011-02-17,22.91,23.53,22.71,23.52,6305700
2011-02-18,22.49,23.23,21.54,23.13,15389100
2011-02-22,22.26,23.62,21.78,21.84,6342400
2011-02-23,21.67,22.55,21.26,22.33,6188600
2011-02-24,22.34,22.79,22.1,22.37,4456100
2011-02-25,22.87,23.49,22.86,23.26,4899300
2011-02-28,23.7,24.38,22.98,23.21,12466200
2011-03-01,23.39,23.68,22.4,22.59,3520100
2011-03-02,22.67,23.51,22.45,23.2,3930500
2011-03-03,23.56,24.29,23.56,24.11,5558300
2011-03-04,24.5,24.56,23.98,24.16,4308600
2011-03-07,24.5,24.56,24.05,24.28,4343300
2011-03-08,24.21,25.04,23.99,24.82,3269300
2011-03-09,24.94,25.06,24.57,24.93,2698300
2011-03-10,24.61,24.99,23.48,24.19,7360400
2011-03-11,23.8,24.17,23.28,23.87,3965500
2011-03-14,23.82,24.63,23.62,23.89,1751000
2011-03-15,22.83,23.55,22.75,23.33,3694900
2011-03-16,23.23,24.02,23.15,23.22,3071500
2011-03-17,23.67,23.96,23.63,23.76,1526200
2011-03-18,24.09,24.12,23.29,23.4,2805700
2011-03-21,23.98,24.38,23.65,24.18,2810700
2011-03-22,24.15,24.19,23.58,23.8,1433600
2011-03-23,23.67,24.36,23.47,24.3,1289300
2011-03-24,24.38,24.75,24.23,24.62,1852300
2011-03-25,24.62,24.91,24.33,24.6,1493600
2011-03-28,24.68,24.88,24.03,24.51,3532800
2011-03-29,24.34,24.83,24.32,24.46,2103700
2011-03-30,24.62,24.62,24.07,24.18,2951200
2011-03-31,24.17,24.46,23.94,24.11,3555600
2011-04-01,24.37,24.55,24.11,24.54,4105400
2011-04-04,24.68,24.99,24.6,24.78,1992700
2011-04-05,24.67,25.3,24.56,25.2,2558000
2011-04-06,25.23,25.63,25.15,25.36,2955900
2011-04-07,25.37,25.45,24.82,25.29,3235600
2011-04-08,25.34,26.38,25.29,25.95,4861400
2011-04-11,25.96,26.33,25.48,25.9,2362700
2011-04-12,25.62,25.77,24.6,24.7,4195500
2011-04-13,24.83,24.92,24.43,24.76,2475100
2011-04-14,24.62,24.76,24.15,24.64,1606500
2011-04-15,24.64,25.1,24.37,25.0,2073400
2011-04-18,24.79,25.06,24.26,24.42,2265900
2011-04-19,24.41,25.03,24.29,24.85,3088000
2011-04-20,25.27,25.6,25.21,25.6,2382100
2011-04-21,25.63,26.09,25.56,26.04,2375100
2011-04-25,26.09,26.66,25.85,26.37,2144700
2011-04-26,26.53,26.82,26.2,26.69,2800000
2011-04-27,26.81,27.07,26.45,26.63,3105000
2011-04-28,26.68,27.15,26.59,27.09,3637300
2011-04-29,27.22,27.65,26.98,27.12,3716100
2011-05-02,29.31,29.33,27.2,27.8,6359900
2011-05-03,27.91,28.27,27.16,27.22,4248600
2011-05-04,27.13,27.2,25.65,26.16,4965300
2011-05-05,26.11,26.5,25.22,25.44,5150500
2011-05-06,25.5,26.14,24.97,25.09,7247600
2011-05-09,25.09,25.83,25.06,25.35,4505400
2011-05-10,25.67,25.96,25.5,25.8,4993700
2011-05-11,25.96,26.45,25.32,25.79,6643600
2011-05-12,25.65,25.86,25.15,25.25,4061300
2011-05-13,25.43,25.5,24.04,24.24,4637200
2011-05-16,23.41,23.97,23.05,23.27,10085100
2011-05-17,23.27,23.96,23.25,23.79,8988700
2011-05-18,23.89,25.08,23.79,25.04,7016500
2011-05-19,25.2,25.39,24.73,25.04,3130900
2011-05-20,24.86,24.94,24.23,24.43,4038400
2011-05-23,23.77,24.04,23.31,23.76,4454000
2011-05-24,24.08,24.43,23.97,24.28,4469600
2011-05-25,24.13,25.7,24.12,25.4,4805000
2011-05-26,25.43,25.78,24.91,25.51,4563200
2011-05-27,25.73,26.11,25.54,26.11,2684500
2011-05-31,26.55,26.77,26.17,26.76,8699000
2011-06-01,26.67,27.0,25.72,25.83,4180100
2011-06-02,26.06,26.25,25.08,25.47,3664300
2011-06-03,24.74,24.87,23.95,24.37,6642400
2011-06-06,24.46,24.48,23.28,23.36,5518300
2011-06-07,24.08,24.12,23.47,23.75,4363600
2011-06-08,23.52,24.13,23.36,23.96,4387500
2011-06-09,24.16,24.54,23.96,24.43,3302800
2011-06-10,24.16,24.4,23.69,24.01,3219200
2011-06-13,24.07,24.29,23.28,23.39,3357500
2011-06-14,23.91,24.59,23.86,24.36,4451000
2011-06-15,23.99,24.18,23.26,23.43,4910700
2011-06-16,23.49,23.59,22.09,22.61,8190900
2011-06-17,22.94,23.03,22.15,22.53,6585000
2011-06-20,22.28,22.52,21.92,22.33,5519200
2011-06-21,22.66,23.68,22.58,23.58,5852000
2011-06-22,23.6,24.13,23.39,23.64,4575300
2011-06-23,23.13,23.27,22.38,23.25,4695900
2011-06-24,23.36,23.72,22.92,22.95,19002500
2011-06-27,23.0,23.11,21.89,22.76,7024600
2011-06-28,23.03,23.03,22.28,22.89,5326300
2011-06-29,23.05,24.0,23.02,23.39,4354400
2011-06-30,23.39,23.85,23.13,23.53,3257400
2011-07-01,24.07,24.18,23.47,23.77,4650200
2011-07-05,23.83,24.5,23.67,24.37,3880100
2011-07-06,24.21,24.28,23.7,24.1,4517500
2011-07-07,24.4,25.26,24.4,25.18,5828900
2011-07-08,24.74,25.0,24.41,24.97,3542000
2011-07-11,24.43,24.43,23.15,23.5,4543700
2011-07-12,23.41,23.79,23.21,23.46,2300700
2011-07-13,23.74,23.88,23.3,23.5,2697100
2011-07-14,23.52,23.8,23.1,23.16,2439700
2011-07-15,23.33,23.4,23.01,23.27,2566200
2011-07-18,23.12,23.3,22.11,22.5,3953600
2011-07-19,22.77,23.03,22.52,22.65,3996300
2011-07-20,22.84,23.25,22.72,22.97,3548700
2011-07-21,23.17,24.08,23.01,23.88,4992500
2011-07-22,23.79,24.22,23.36,24.15,3996700
2011-07-25,23.71,24.0,23.35,23.4,3420900
2011-07-26,23.39,24.01,23.31,23.79,3110900
2011-07-27,23.55,23.88,22.98,23.21,3987800
2011-07-28,23.21,23.49,22.67,22.94,3514800
2011-07-29,23.21,24.42,22.53,24.1,8271700
2011-08-01,25.02,25.61,23.46,24.63,6165400
2011-08-02,24.43,24.48,22.81,22.84,5618900
2011-08-03,22.97,23.24,21.41,22.78,10588700
2011-08-04,22.36,22.36,19.72,20.47,12484200
2011-08-05,20.9,21.47,18.43,20.22,9313700
2011-08-08,19.23,19.89,16.2,17.39,14254800
2011-08-09,17.96,19.45,17.77,19.45,12420900
2011-08-10,18.85,19.84,18.51,19.02,6956500
2011-08-11,19.14,21.22,19.1,20.78,6043100
2011-08-12,20.83,21.1,20.16,20.71,5040200
2011-08-15,20.99,21.52,20.58,20.85,4467900
2011-08-16,20.58,20.61,19.71,20.04,3897100
2011-08-17,20.24,20.51,19.27,19.61,4899400
2011-08-18,18.8,19.02,17.71,17.85,7548500
2011-08-19,17.62,18.13,17.16,17.19,5068500
