Date,Open,High,Low,Close,Volume
1992-02-05,5.8,5.8,5.25,5.49,11325800
1992-02-06,5.49,5.49,5.33,5.37,5696400
1992-02-07,5.37,5.37,4.97,4.97,1698000
1992-02-10,5.01,5.01,4.77,4.81,1104400
1992-02-11,4.81,4.89,4.81,4.89,656200
1992-02-12,4.89,5.09,4.85,5.05,629600
1992-02-13,5.09,5.21,5.05,5.09,808200
1992-02-14,5.09,5.09,4.97,4.97,418000
1992-02-18,5.01,5.01,4.93,4.97,687200
1992-02-19,4.97,5.09,4.97,5.09,638000
1992-02-20,5.09,5.09,4.97,4.97,139000
1992-02-21,5.05,5.05,5.01,5.05,410600
1992-02-24,5.05,5.09,5.01,5.05,353800
1992-02-25,5.05,5.05,4.85,4.89,590400
1992-02-26,4.93,4.97,4.81,4.85,155200
1992-02-27,4.85,5.01,4.85,4.89,438000
1992-02-28,5.01,5.01,4.93,4.93,266600
1992-03-02,4.85,5.05,4.85,4.97,83800
1992-03-03,4.93,5.01,4.93,5.01,177400
1992-03-04,5.01,5.01,4.93,4.93,247800
1992-03-05,4.97,5.01,4.89,4.89,131200
1992-03-06,4.89,4.97,4.89,4.97,453400
1992-03-09,4.93,4.97,4.93,4.97,114000
1992-03-10,4.93,4.97,4.93,4.93,57800
1992-03-11,4.93,4.97,4.89,4.89,104200
1992-03-12,4.93,4.93,4.89,4.89,70800
1992-03-13,4.89,4.93,4.89,4.89,124800
1992-03-16,4.93,4.93,4.85,4.93,34600
1992-03-17,4.89,4.93,4.89,4.89,206200
1992-03-18,4.89,4.89,4.81,4.89,53000
1992-03-19,4.89,4.89,4.77,4.81,155600
1992-03-20,4.77,4.77,4.53,4.61,218800
1992-03-23,4.53,4.57,4.37,4.45,131600
1992-03-24,4.45,4.49,4.29,4.45,231200
1992-03-25,4.45,5.05,4.45,5.01,662000
1992-03-26,4.97,5.05,4.85,4.85,162600
1992-03-27,4.85,4.85,4.65,4.65,120600
1992-03-30,4.69,4.69,4.57,4.57,96200
1992-03-31,4.53,4.57,4.49,4.53,96400
1992-04-01,4.49,4.61,4.49,4.49,503600
1992-04-02,4.53,4.81,4.53,4.77,1363800
1992-04-03,4.73,4.77,4.65,4.65,308600
1992-04-06,4.73,4.73,4.45,4.53,440600
1992-04-07,4.57,4.65,4.37,4.41,134200
1992-04-08,4.33,4.37,4.09,4.29,136600
1992-04-09,4.45,4.45,4.13,4.13,181200
1992-04-10,4.17,4.29,4.13,4.29,166600
1992-04-13,4.33,4.45,4.21,4.41,146800
1992-04-14,4.49,4.49,4.37,4.45,161400
1992-04-15,4.45,4.65,4.41,4.53,160600
1992-04-16,4.49,4.53,4.37,4.41,113200
1992-04-20,4.41,4.41,4.25,4.25,79200
1992-04-21,4.21,4.25,4.09,4.13,123400
1992-04-22,4.13,4.13,4.01,4.13,142600
1992-04-23,4.13,4.13,3.74,3.82,322800
1992-04-24,3.78,3.82,3.58,3.7,321000
1992-04-27,3.66,3.82,3.66,3.74,247200
1992-04-28,3.74,3.74,3.66,3.7,581600
1992-04-29,3.66,3.98,3.62,3.98,517600
1992-04-30,4.05,4.29,4.05,4.25,710800
1992-05-01,4.41,4.41,4.25,4.25,199200
1992-05-04,4.29,4.33,4.25,4.33,170400
1992-05-05,4.33,4.33,4.21,4.25,70000
1992-05-06,4.25,4.41,4.25,4.33,285400
1992-05-07,4.37,4.37,4.29,4.33,125000
1992-05-08,4.29,4.29,4.09,4.13,66000
1992-05-11,4.09,4.37,4.09,4.37,251800
1992-05-12,4.37,4.37,4.21,4.21,500200
1992-05-13,4.25,4.41,4.09,4.09,646200
1992-05-14,4.09,4.09,4.01,4.05,223000
1992-05-15,3.98,4.05,3.86,3.94,643000
1992-05-18,3.98,3.98,3.86,3.94,320000
1992-05-19,3.98,4.01,3.9,3.94,576000
1992-05-20,3.86,3.9,3.7,3.82,2278800
1992-05-21,3.7,3.82,3.7,3.78,17965200
1992-05-22,3.86,4.01,3.86,4.01,8355600
1992-05-26,4.01,4.01,3.82,3.9,3493000
1992-05-27,3.94,4.01,3.9,3.98,3022800
1992-05-28,3.94,4.01,3.94,3.98,2718400
1992-05-29,4.01,4.09,3.98,4.09,2424200
1992-06-01,4.05,4.09,3.98,4.05,3283200
1992-06-02,4.01,4.05,3.98,4.05,2747600
1992-06-03,4.05,4.05,3.98,4.01,1503000
1992-06-04,3.98,4.05,3.98,3.98,1942800
1992-06-05,4.01,4.01,3.98,3.98,1634400
1992-06-08,3.98,4.01,3.98,4.01,973600
1992-06-09,4.01,4.05,3.94,3.98,3744800
1992-06-10,3.98,3.98,3.86,3.9,1095200
1992-06-11,3.9,3.9,3.82,3.82,912600
1992-06-12,3.86,3.9,3.82,3.9,694000
1992-06-15,3.86,3.9,3.82,3.86,1356200
1992-06-16,3.9,3.9,3.86,3.9,590800
1992-06-17,3.86,3.86,3.66,3.7,1421000
1992-06-18,3.66,3.7,3.62,3.7,1138000
1992-06-19,3.7,3.94,3.7,3.9,4241600
1992-06-22,3.86,3.9,3.78,3.9,1960200
1992-06-23,3.9,3.94,3.86,3.94,820000
1992-06-24,3.9,3.98,3.9,3.98,1748200
1992-06-25,3.98,3.98,3.94,3.98,1035000
1992-06-26,3.94,4.01,3.94,4.01,1474800
1992-06-29,3.94,4.09,3.94,4.09,544600
1992-06-30,4.01,4.05,3.98,4.05,473600
1992-07-01,4.13,4.21,4.09,4.17,2344600
1992-07-02,4.13,4.17,4.05,4.09,1280800
1992-07-06,4.01,4.05,3.98,4.01,1312000
1992-07-07,4.05,4.09,4.01,4.05,1479600
1992-07-08,4.05,4.05,3.9,3.94,864400
1992-07-09,3.9,4.01,3.86,3.98,2314400
1992-07-10,3.94,4.05,3.94,4.01,1478400
1992-07-13,4.05,4.09,4.01,4.09,3016000
1992-07-14,4.09,4.45,4.05,4.25,1119000
1992-07-15,4.25,4.25,4.17,4.25,476800
1992-07-16,4.25,4.29,4.17,4.25,379000
1992-07-17,4.29,4.29,4.21,4.21,327000
1992-07-20,4.17,4.21,4.09,4.21,432200
1992-07-21,4.25,4.25,4.17,4.21,805600
1992-07-22,4.17,4.37,4.13,4.33,886800
1992-07-23,4.25,4.33,4.25,4.33,729400
1992-07-24,4.25,4.29,4.25,4.29,403600
1992-07-27,4.25,4.29,4.25,4.25,125000
1992-07-28,4.25,4.33,4.21,4.25,510800
1992-07-29,4.21,4.29,4.21,4.29,606000
1992-07-30,4.29,4.41,4.21,4.37,927800
1992-07-31,4.37,4.49,4.33,4.41,1164400
1992-08-03,4.45,4.53,4.41,4.49,650200
1992-08-04,4.53,4.53,4.37,4.49,701400
1992-08-05,4.49,4.61,4.49,4.57,859400
1992-08-06,4.49,4.49,4.29,4.37,748600
1992-08-07,4.33,4.45,4.33,4.45,507400
1992-08-10,4.45,4.45,4.37,4.41,459400
1992-08-11,4.45,4.45,4.37,4.41,645600
1992-08-12,4.41,4.53,4.41,4.49,3113400
1992-08-13,4.53,4.61,4.53,4.61,3996400
1992-08-14,4.61,4.61,4.49,4.61,1303400
1992-08-17,4.61,4.61,4.45,4.45,1628400
1992-08-18,4.49,4.53,4.45,4.45,1269200
1992-08-19,4.53,4.57,4.49,4.53,844400
1992-08-20,4.49,4.53,4.41,4.45,873200
1992-08-21,4.49,4.49,4.33,4.37,403000
1992-08-24,4.29,4.33,4.25,4.25,327800
1992-08-25,4.25,4.29,3.98,4.29,681800
