Date,Open,High,Low,Close,Volume
1994-03-10,3.23,3.27,3.23,3.25,3188700
1994-03-11,3.25,3.29,3.25,3.29,318000
1994-03-14,3.29,3.29,3.25,3.29,373900
1994-03-15,3.29,3.29,3.25,3.27,295900
1994-03-16,3.27,3.29,3.25,3.27,235700
1994-03-17,3.27,3.29,3.25,3.27,185100
1994-03-18,3.27,3.33,3.27,3.31,202300
1994-03-21,3.31,3.33,3.29,3.33,146300
1994-03-22,3.31,3.33,3.31,3.33,105200
1994-03-23,3.33,3.38,3.31,3.38,229800
1994-03-24,3.38,3.42,3.38,3.4,273100
1994-03-25,3.38,3.42,3.38,3.4,136900
1994-03-28,3.38,3.42,3.38,3.42,175300
1994-03-29,3.4,3.42,3.27,3.27,121900
1994-03-30,3.25,3.27,3.21,3.25,240900
1994-03-31,3.23,3.25,3.17,3.25,249700
1994-04-04,3.08,3.17,3.02,3.17,93500
1994-04-05,3.19,3.25,3.19,3.25,106600
1994-04-06,3.25,3.27,3.23,3.27,131200
1994-04-07,3.29,3.29,3.23,3.23,44800
1994-04-08,3.25,3.25,3.23,3.23,10300
1994-04-11,3.23,3.25,3.21,3.25,37900
1994-04-12,3.25,3.27,3.23,3.25,76900
1994-04-13,3.27,3.31,3.23,3.25,84000
1994-04-14,3.25,3.27,3.21,3.27,29400
1994-04-15,3.27,3.27,3.19,3.21,77900
1994-04-18,3.23,3.23,3.19,3.19,52500
1994-04-19,3.19,3.21,3.19,3.19,21300
1994-04-20,3.19,3.19,3.15,3.19,27400
1994-04-21,3.21,3.21,3.17,3.19,70100
1994-04-22,3.21,3.25,3.21,3.25,32900
1994-04-25,3.23,3.25,3.23,3.25,14100
1994-04-26,3.25,3.27,3.25,3.27,14600
1994-04-28,3.25,3.25,3.23,3.23,20600
1994-04-29,3.21,3.27,3.21,3.27,38100
1994-05-02,3.25,3.27,3.25,3.25,58300
1994-05-03,3.25,3.29,3.25,3.29,33800
1994-05-04,3.25,3.29,3.25,3.25,17600
1994-05-05,3.25,3.25,3.23,3.25,47400
1994-05-06,3.22,3.24,3.22,3.24,33100
1994-05-09,3.22,3.24,3.2,3.2,41700
1994-05-10,3.2,3.22,3.18,3.18,60600
1994-05-11,3.18,3.2,3.16,3.2,17900
1994-05-12,3.22,3.22,3.2,3.22,26800
1994-05-13,3.2,3.22,3.2,3.22,33100
1994-05-16,3.22,3.24,3.2,3.2,17400
1994-05-17,3.24,3.24,3.22,3.22,23400
1994-05-18,3.22,3.24,3.2,3.22,45700
1994-05-19,3.2,3.2,3.16,3.18,58700
1994-05-20,3.18,3.24,3.18,3.22,50800
1994-05-23,3.2,3.22,3.18,3.22,10700
1994-05-24,3.18,3.2,3.16,3.18,23800
1994-05-25,3.18,3.18,3.16,3.18,9300
1994-05-26,3.18,3.18,3.14,3.14,61500
1994-05-27,3.14,3.16,3.14,3.14,15400
1994-05-31,3.14,3.18,3.14,3.18,20200
1994-06-01,3.24,3.24,3.22,3.24,134800
1994-06-02,3.24,3.26,3.24,3.26,24100
1994-06-03,3.26,3.28,3.26,3.26,16800
1994-06-06,3.28,3.39,3.26,3.37,174900
1994-06-07,3.37,3.37,3.33,3.33,33400
1994-06-08,3.35,3.35,3.31,3.31,23300
1994-06-09,3.31,3.33,3.24,3.26,14000
1994-06-10,3.26,3.37,3.26,3.35,128100
