Date,Open,High,Low,Close,Volume
1993-10-13,4.45,4.47,4.39,4.43,553600
1993-10-14,4.4,4.4,4.25,4.31,812000
1993-10-15,4.31,4.33,4.27,4.29,615300
1993-10-18,4.29,4.4,4.29,4.38,1029200
1993-10-19,4.31,4.54,4.31,4.5,849000
1993-10-20,4.5,4.5,4.44,4.46,678500
1993-10-21,4.46,4.48,4.44,4.46,567800
1993-10-22,4.46,4.46,4.31,4.31,806500
1993-10-25,4.27,4.29,4.25,4.25,1183500
1993-10-26,4.27,4.31,4.25,4.27,921900
1993-10-27,4.27,4.38,4.27,4.38,494500
1993-10-28,4.38,4.46,4.33,4.42,1411300
1993-10-29,4.42,4.42,4.33,4.36,1052700
1993-11-01,4.31,4.42,4.31,4.42,453200
1993-11-02,4.4,4.4,4.33,4.36,394800
1993-11-03,4.36,4.4,4.27,4.29,838400
1993-11-04,4.27,4.27,4.11,4.13,487400
1993-11-05,4.09,4.13,4.04,4.13,693300
1993-11-08,4.13,4.13,4.07,4.07,312900
1993-11-09,4.11,4.15,4.07,4.09,443300
1993-11-10,4.11,4.27,4.11,4.23,884300
1993-11-11,4.19,4.21,4.15,4.19,643200
1993-11-12,4.19,4.23,4.17,4.21,617600
1993-11-15,4.17,4.19,4.09,4.13,531500
1993-11-16,4.11,4.13,4.07,4.11,303600
1993-11-17,4.09,4.09,3.96,4.0,785600
1993-11-18,4.0,4.0,3.9,3.92,1038000
1993-11-19,3.92,3.92,3.86,3.9,652500
1993-11-22,3.86,3.88,3.77,3.82,546100
1993-11-23,3.82,4.02,3.8,3.94,1059200
1993-11-24,3.96,4.0,3.94,3.94,863700
1993-11-26,3.96,3.98,3.94,3.98,209900
1993-11-29,3.98,4.0,3.82,3.82,537800
1993-11-30,3.84,4.02,3.82,4.02,482300
1993-12-01,4.13,4.21,4.04,4.15,688300
1993-12-02,4.19,4.29,4.17,4.29,1442400
1993-12-03,4.29,4.29,4.23,4.27,1172900
1993-12-06,4.23,4.23,4.11,4.13,605500
1993-12-07,4.11,4.15,4.07,4.15,1014800
1993-12-08,4.33,4.48,4.33,4.46,2686800
1993-12-09,4.44,4.69,4.44,4.6,1005300
1993-12-10,4.56,4.6,4.48,4.6,1508600
1993-12-13,4.58,4.67,4.56,4.67,1091200
1993-12-14,4.67,4.75,4.65,4.75,983800
