Date,Open,High,Low,Close,Volume
1980-03-17,0.0,1.08,1.06,1.06,181100
1980-03-18,0.0,1.09,1.06,1.09,42700
1980-03-19,0.0,1.1,1.08,1.08,40900
1980-03-20,0.0,1.1,1.08,1.08,545300
1980-03-21,0.0,1.07,1.05,1.06,29100
1980-03-24,0.0,1.05,1.02,1.02,247600
1980-03-25,0.0,1.05,1.02,1.05,78200
1980-03-26,0.0,1.04,1.02,1.02,217500
1980-03-27,0.0,1.01,0.96,0.96,201100
1980-03-28,0.0,0.99,0.97,0.98,120100
1980-03-31,0.0,1.02,0.99,0.99,91900
1980-04-01,0.0,1.01,0.99,1.01,159300
1980-04-02,0.0,1.02,0.99,1.02,203900
1980-04-03,0.0,1.02,1.01,1.02,38200
1980-04-07,0.0,1.02,1.01,1.02,82800
1980-04-08,0.0,1.04,1.01,1.04,50000
1980-04-09,0.0,1.05,1.02,1.04,55500
1980-04-10,0.0,1.06,1.04,1.06,17200
1980-04-11,0.0,1.11,1.08,1.09,39100
1980-04-14,0.0,1.11,1.08,1.08,756500
1980-04-15,0.0,1.08,1.07,1.08,303100
1980-04-16,0.0,1.1,1.07,1.08,390500
1980-04-17,0.0,1.09,1.05,1.05,446000
1980-04-18,0.0,1.05,1.04,1.05,200200
1980-04-21,0.0,1.05,1.03,1.05,69100
1980-04-22,0.0,1.05,1.04,1.04,358600
1980-04-23,0.0,1.05,1.03,1.04,69100
1980-04-24,0.0,1.06,1.03,1.06,62800
1980-04-25,0.0,1.06,1.04,1.05,21800
1980-04-28,0.0,1.06,1.05,1.06,77300
1980-04-29,0.0,1.08,1.05,1.08,185700
1980-04-30,0.0,1.08,1.05,1.05,99200
1980-05-01,0.0,1.08,1.06,1.06,196600
1980-05-02,0.0,1.07,1.05,1.05,150200
1980-05-05,0.0,1.08,1.05,1.08,414200
1980-05-06,0.0,1.14,1.08,1.13,171100
1980-05-07,0.0,1.16,1.12,1.16,213000
1980-05-08,0.0,1.19,1.17,1.18,60900
1980-05-09,0.0,1.22,1.2,1.21,173800
1980-05-12,0.0,1.21,1.19,1.2,90100
1980-05-13,0.0,1.2,1.18,1.2,120100
1980-05-14,0.0,1.19,1.14,1.14,205700
1980-05-15,0.0,1.16,1.14,1.14,167500
1980-05-16,0.0,1.15,1.13,1.15,436900
1980-05-19,0.0,1.17,1.14,1.16,162000
1980-05-20,0.0,1.2,1.16,1.19,82800
1980-05-21,0.0,1.25,1.18,1.22,279400
1980-05-22,0.0,1.24,1.21,1.23,32700
1980-05-23,0.0,1.25,1.24,1.24,97400
1980-05-27,0.0,1.25,1.22,1.22,45500
1980-05-28,0.0,1.25,1.21,1.25,111000
1980-05-29,0.0,1.27,1.25,1.25,147400
1980-05-30,0.0,1.28,1.25,1.28,620800
1980-06-02,0.0,1.29,1.27,1.27,150200
1980-06-03,0.0,1.3,1.27,1.27,196600
1980-06-04,0.0,1.31,1.27,1.31,138300
1980-06-05,0.0,1.38,1.31,1.38,329500
1980-06-06,0.0,1.38,1.34,1.34,506100
1980-06-09,0.0,1.36,1.34,1.34,585300
1980-06-10,0.0,1.36,1.33,1.33,63700
1980-06-11,0.0,1.34,1.33,1.34,1214400
1980-06-12,0.0,1.34,1.32,1.34,583500
1980-06-13,0.0,1.32,1.31,1.32,991400
1980-06-16,0.0,1.32,1.3,1.3,243000
1980-06-17,0.0,1.3,1.28,1.28,71900
1980-06-18,0.0,1.28,1.24,1.28,127400
1980-06-19,0.0,1.3,1.28,1.28,457900
1980-06-20,0.0,1.28,1.26,1.26,140200
1980-06-23,0.0,1.28,1.25,1.27,116500
1980-06-24,0.0,1.3,1.27,1.3,35500
1980-06-25,0.0,1.32,1.28,1.3,173800
1980-06-26,0.0,1.31,1.3,1.31,252100
1980-06-27,0.0,1.31,1.3,1.31,41800
1980-06-30,0.0,1.31,1.28,1.31,40900
1980-07-01,0.0,1.35,1.3,1.35,142900
1980-07-02,0.0,1.35,1.33,1.35,788400
1980-07-03,0.0,1.35,1.33,1.34,322200
1980-07-07,0.0,1.35,1.33,1.35,29100
1980-07-08,0.0,1.35,1.34,1.35,67300
1980-07-09,0.0,1.36,1.33,1.36,485200
1980-07-10,0.0,1.36,1.34,1.36,181100
1980-07-11,0.0,1.36,1.34,1.35,115600
1980-07-14,0.0,1.37,1.35,1.37,278500
1980-07-15,0.0,1.39,1.38,1.38,205700
1980-07-16,0.0,1.39,1.38,1.39,74600
1980-07-17,0.0,1.41,1.39,1.41,72800
1980-07-18,0.0,1.44,1.41,1.43,335900
1980-07-21,0.0,1.44,1.41,1.43,144700
1980-07-22,0.0,1.54,1.45,1.49,353200
1980-07-23,0.0,1.5,1.48,1.48,243900
1980-07-24,0.0,1.48,1.45,1.47,182900
1980-07-25,0.0,1.47,1.45,1.45,90100
1980-07-28,0.0,1.47,1.45,1.46,127400
