Date,Open,High,Low,Close,Volume
1993-03-19,0.41,0.44,0.39,0.4,45022000
1993-03-22,0.39,0.39,0.38,0.38,6799900
1993-03-23,0.38,0.39,0.38,0.38,4150500
1993-03-24,0.39,0.39,0.38,0.39,1831500
1993-03-25,0.4,0.41,0.39,0.41,2125000
1993-03-26,0.41,0.43,0.41,0.42,4157200
1993-03-29,0.43,0.43,0.42,0.42,3681400
1993-03-30,0.42,0.43,0.42,0.43,1904400
1993-03-31,0.44,0.44,0.42,0.43,1660500
1993-04-01,0.43,0.44,0.42,0.43,710700
1993-04-02,0.44,0.44,0.42,0.44,951900
1993-04-05,0.44,0.44,0.42,0.43,220600
1993-04-06,0.43,0.43,0.42,0.42,437400
1993-04-07,0.43,0.43,0.42,0.43,683200
1993-04-08,0.43,0.44,0.42,0.44,473800
1993-04-12,0.44,0.44,0.43,0.43,93100
1993-04-13,0.44,0.46,0.43,0.44,1011300
1993-04-14,0.44,0.48,0.44,0.46,3093400
1993-04-15,0.46,0.46,0.44,0.44,1772100
1993-04-16,0.45,0.45,0.44,0.45,1031500
1993-04-19,0.45,0.45,0.43,0.44,835600
1993-04-20,0.44,0.44,0.42,0.44,1179900
1993-04-21,0.43,0.46,0.42,0.45,1582800
1993-04-22,0.46,0.49,0.45,0.48,1491700
1993-04-23,0.49,0.5,0.48,0.5,933700
1993-04-26,0.5,0.52,0.48,0.51,1760500
1993-04-27,0.51,0.53,0.5,0.53,1458000
1993-04-28,0.53,0.57,0.53,0.56,3950100
1993-04-29,0.56,0.57,0.51,0.54,4106800
1993-04-30,0.55,0.57,0.54,0.57,2608200
1993-05-03,0.56,0.58,0.56,0.58,897300
1993-05-04,0.57,0.58,0.55,0.55,806100
1993-05-05,0.55,0.57,0.55,0.56,512200
1993-05-06,0.57,0.57,0.56,0.57,77100
1993-05-07,0.57,0.6,0.57,0.6,947700
1993-05-10,0.6,0.63,0.6,0.63,2949700
1993-05-11,0.63,0.63,0.61,0.63,1423500
1993-05-12,0.63,0.63,0.62,0.63,926700
1993-05-13,0.63,0.63,0.6,0.6,1286700
1993-05-14,0.6,0.62,0.6,0.6,1163700
1993-05-17,0.6,0.63,0.6,0.62,297900
1993-05-18,0.63,0.65,0.63,0.65,965800
1993-05-19,0.65,0.65,0.64,0.64,1004400
1993-05-20,0.66,0.66,0.64,0.65,492000
1993-05-21,0.66,0.66,0.64,0.66,184200
1993-05-24,0.65,0.65,0.6,0.61,794700
1993-05-25,0.61,0.62,0.61,0.62,585100
1993-05-26,0.61,0.63,0.61,0.63,202500
1993-05-27,0.62,0.63,0.61,0.62,801900
1993-05-28,0.61,0.62,0.61,0.62,111300
1993-06-01,0.61,0.62,0.61,0.61,218700
1993-06-02,0.62,0.62,0.61,0.61,65700
1993-06-03,0.61,0.62,0.61,0.61,209400
1993-06-04,0.61,0.62,0.56,0.58,1357600
1993-06-07,0.58,0.59,0.57,0.59,1177300
1993-06-08,0.58,0.58,0.52,0.54,2519200
1993-06-09,0.56,0.58,0.54,0.56,1134100
1993-06-10,0.56,0.58,0.56,0.58,202500
1993-06-11,0.6,0.63,0.59,0.63,671500
1993-06-14,0.63,0.66,0.62,0.65,3587500
1993-06-15,0.66,0.67,0.65,0.66,1057000
1993-06-16,0.67,0.72,0.66,0.71,2473800
1993-06-17,0.71,0.71,0.7,0.71,2917900
1993-06-18,0.7,0.71,0.7,0.71,441600
1993-06-21,0.73,0.77,0.71,0.75,958600
1993-06-22,0.77,0.82,0.74,0.75,2223400
1993-06-23,0.78,0.78,0.76,0.78,2177700
1993-06-24,0.78,0.83,0.75,0.81,810900
1993-06-25,0.82,0.82,0.8,0.8,1394100
1993-06-28,0.8,0.81,0.8,0.8,382600
1993-06-29,0.81,0.81,0.78,0.78,348300
1993-06-30,0.77,0.79,0.77,0.79,104500
1993-07-01,0.77,0.78,0.77,0.77,124800
1993-07-02,0.79,0.79,0.76,0.78,760600
1993-07-06,0.76,0.78,0.76,0.76,163900
1993-07-07,0.78,0.78,0.75,0.75,373500
1993-07-08,0.75,0.77,0.75,0.77,446400
1993-07-09,0.77,0.77,0.75,0.77,432600
1993-07-12,0.78,0.78,0.75,0.77,692500
1993-07-13,0.77,0.77,0.75,0.75,817300
1993-07-14,0.8,0.83,0.78,0.81,11782300
1993-07-15,0.81,0.82,0.78,0.79,2544300
1993-07-16,0.78,0.79,0.73,0.74,2788300
1993-07-19,0.74,0.75,0.72,0.72,906400
1993-07-20,0.74,0.74,0.71,0.71,7733700
1993-07-21,0.71,0.74,0.71,0.74,314100
1993-07-22,0.74,0.75,0.72,0.75,2471400
1993-07-23,0.75,0.75,0.74,0.74,7686100
1993-07-26,0.74,0.77,0.74,0.77,1965600
1993-07-27,0.77,0.77,0.75,0.77,2434900
1993-07-28,0.77,0.77,0.75,0.75,18100
1993-07-29,0.75,0.77,0.75,0.75,4638100
1993-07-30,0.77,0.78,0.75,0.77,701500
1993-08-02,0.75,0.79,0.75,0.79,2270800
1993-08-03,0.76,0.79,0.76,0.76,163900
1993-08-04,0.79,0.79,0.76,0.79,60900
1993-08-05,0.79,0.79,0.77,0.79,437400
1993-08-06,0.77,0.83,0.77,0.83,710700
1993-08-09,0.83,0.83,0.8,0.81,548700
1993-08-10,0.81,0.83,0.81,0.82,1131900
1993-08-11,0.83,0.84,0.79,0.79,1685700
1993-08-12,0.81,0.92,0.81,0.9,8321500
1993-08-13,0.94,1.01,0.92,0.98,3649200
1993-08-16,0.98,1.0,0.96,0.99,1482400
1993-08-17,0.99,1.0,0.97,0.99,0
1993-08-18,1.0,1.03,0.99,1.03,6574500
1993-08-19,1.07,1.07,1.03,1.05,3294000
1993-08-20,1.03,1.06,1.02,1.04,3924600
1993-08-23,1.05,1.05,1.02,1.03,1239300
1993-08-24,1.02,1.14,1.02,1.12,3009100
1993-08-25,1.15,1.28,1.14,1.19,12196800
1993-08-26,1.21,1.26,1.18,1.25,3323200
1993-08-27,1.25,1.29,1.23,1.28,2831100
1993-08-30,1.28,1.29,1.23,1.29,2173000
1993-08-31,1.28,1.29,1.24,1.25,2097900
1993-09-01,1.23,1.24,1.12,1.22,5745100
1993-09-02,1.22,1.28,1.21,1.27,11365200
1993-09-03,1.29,1.36,1.28,1.33,6499000
1993-09-07,1.34,1.4,1.34,1.38,3781500
1993-09-08,1.33,1.35,1.29,1.32,3717900
1993-09-09,1.3,1.32,1.26,1.29,3567300
1993-09-10,1.28,1.3,1.28,1.29,3286800
1993-09-13,1.3,1.32,1.28,1.28,1628200
1993-09-14,1.32,1.32,1.21,1.29,2202400
1993-09-15,1.29,1.3,1.2,1.29,4436100
1993-09-16,1.3,1.33,1.26,1.26,1970200
1993-09-17,1.26,1.28,1.24,1.27,1856200
1993-09-20,1.29,1.33,1.26,1.29,2004900
1993-09-21,1.32,1.33,1.25,1.3,3564900
1993-09-22,1.33,1.33,1.29,1.31,2264100
1993-09-23,1.33,1.33,1.26,1.32,1988500
1993-09-24,1.29,1.33,1.29,1.3,1612800
1993-09-27,1.29,1.33,1.28,1.28,3817900
1993-09-28,1.28,1.3,1.24,1.26,1988500
1993-09-29,1.26,1.38,1.24,1.37,12080400
1993-09-30,1.44,1.44,1.34,1.4,5016700
1993-10-01,1.4,1.47,1.36,1.47,5592300
1993-10-04,1.47,1.49,1.4,1.4,1642200
1993-10-05,1.42,1.42,1.3,1.4,2595300
1993-10-06,1.4,1.42,1.38,1.4,3184600
1993-10-07,1.42,1.42,1.38,1.41,1836000
1993-10-08,1.38,1.51,1.38,1.49,4521700
1993-10-11,1.51,1.59,1.44,1.53,4417800
1993-10-12,1.56,1.67,1.53,1.66,6342300
1993-10-13,1.91,1.91,1.81,1.83,12015100
1993-10-14,1.84,1.85,1.73,1.83,5751900
1993-10-15,1.84,1.88,1.81,1.84,1992700
1993-10-18,1.84,1.84,1.75,1.75,5963800
1993-10-19,1.77,1.77,1.61,1.61,3458700
1993-10-20,1.61,1.65,1.6,1.6,3239200
1993-10-21,1.63,1.63,1.48,1.57,3553800
1993-10-22,1.57,1.65,1.53,1.64,3772500
1993-10-25,1.64,1.64,1.57,1.6,1291200
1993-10-26,1.56,1.64,1.56,1.63,1278600
1993-10-27,1.63,1.76,1.63,1.73,3280500
1993-10-28,1.76,1.77,1.72,1.72,1390000
1993-10-29,1.75,1.76,1.72,1.72,1026900
1993-11-01,1.75,1.76,1.69,1.73,750100
1993-11-02,1.77,1.81,1.76,1.77,3561300
1993-11-03,1.81,1.81,1.77,1.77,1150200
1993-11-04,1.77,1.81,1.77,1.79,2524000
1993-11-05,1.76,1.84,1.75,1.81,2219400
1993-11-08,1.84,1.84,1.8,1.81,1403500
1993-11-09,1.84,1.87,1.81,1.86,14005800
1993-11-10,1.87,1.98,1.85,1.96,6923700
1993-11-11,2.03,2.04,1.92,1.95,3235200
1993-11-12,1.94,1.95,1.85,1.9,1307400
1993-11-15,1.9,1.9,1.81,1.85,3189300
1993-11-16,1.85,1.87,1.8,1.83,2423800
1993-11-17,1.83,1.83,1.79,1.79,938400
1993-11-18,1.81,1.81,1.69,1.72,2527200
1993-11-19,1.69,1.73,1.6,1.63,3228700
1993-11-22,1.6,1.63,1.45,1.51,3021300
1993-11-23,1.52,1.6,1.51,1.52,4744800
1993-11-24,1.57,1.65,1.55,1.65,1529100
1993-11-26,1.65,1.76,1.64,1.73,827500
1993-11-29,1.79,1.79,1.71,1.71,929400
1993-11-30,1.73,1.75,1.67,1.72,3722800
1993-12-01,1.75,1.8,1.71,1.77,2264800
1993-12-02,1.8,1.8,1.76,1.77,633700
1993-12-03,1.81,2.06,1.8,2.0,4957200
1993-12-06,1.85,1.95,1.85,1.91,3493000
1993-12-07,1.95,1.98,1.91,1.94,1582800
1993-12-08,1.96,1.96,1.9,1.91,537400
1993-12-09,1.87,1.9,1.84,1.9,1145400
1993-12-10,1.91,1.96,1.87,1.94,1360800
1993-12-13,1.94,1.95,1.92,1.92,1376200
1993-12-14,1.92,1.95,1.87,1.87,2359900
1993-12-15,1.87,1.91,1.85,1.88,1687600
1993-12-16,1.88,1.92,1.87,1.9,411900
1993-12-17,1.92,2.02,1.91,1.99,3230100
1993-12-20,2.02,2.03,1.99,2.0,622500
1993-12-21,2.02,2.02,1.94,1.94,1344600
1993-12-22,1.96,1.96,1.91,1.95,1448700
1993-12-23,1.95,1.95,1.91,1.95,899200
1993-12-27,1.91,1.95,1.88,1.9,533400
1993-12-28,1.88,1.91,1.84,1.88,1788900
1993-12-29,1.87,2.0,1.87,2.0,1680900
1993-12-30,2.0,2.03,1.96,2.03,893200
1993-12-31,2.03,2.1,2.0,2.1,1485100
1994-01-03,2.07,2.07,1.92,1.99,2196000
1994-01-04,1.88,1.95,1.77,1.92,3956800
1994-01-05,1.91,1.92,1.88,1.91,2166900
1994-01-06,1.91,1.91,1.8,1.85,1430500
1994-01-07,1.81,1.91,1.76,1.88,1910800
1994-01-10,1.91,1.92,1.85,1.92,660300
1994-01-11,1.91,2.02,1.91,1.99,708900
1994-01-12,2.03,2.14,2.0,2.12,3265200
1994-01-13,2.1,2.11,2.04,2.07,1175400
1994-01-14,2.14,2.16,2.03,2.07,6369900
1994-01-17,2.07,2.16,2.07,2.14,1688800
1994-01-18,2.16,2.19,2.12,2.16,1941300
1994-01-19,2.11,2.12,2.07,2.07,1769800
1994-01-20,2.07,2.22,2.07,2.22,2673000
