Date,Open,High,Low,Close,Volume
1994-11-10,12.43,12.43,12.24,12.24,728000
1994-11-11,12.2,12.24,12.2,12.2,151800
1994-11-14,12.2,12.2,12.15,12.15,36800
1994-11-15,12.15,12.15,12.06,12.06,114800
1994-11-16,12.1,12.15,12.06,12.06,751200
1994-11-17,12.1,12.1,11.96,12.01,603600
1994-11-18,12.01,12.06,11.92,12.01,543600
1994-11-21,12.06,12.1,12.06,12.1,266800
1994-11-22,12.15,12.15,11.82,11.82,649800
1994-11-23,11.73,11.73,11.5,11.69,796400
1994-11-25,11.69,11.78,11.69,11.78,62800
1994-11-28,11.78,11.78,11.69,11.69,131400
1994-11-29,11.69,11.73,11.36,11.45,427200
1994-11-30,11.5,11.64,11.45,11.64,1915200
1994-12-01,11.59,11.96,11.59,11.87,752800
1994-12-02,11.87,12.01,11.82,12.01,437000
1994-12-05,12.06,12.06,11.78,11.78,636000
1994-12-06,11.78,11.78,11.69,11.73,390000
1994-12-07,11.73,11.73,11.59,11.64,260200
1994-12-08,11.59,11.69,11.31,11.36,546400
1994-12-09,11.41,11.55,11.36,11.55,279000
1994-12-12,11.55,11.55,11.36,11.5,331600
1994-12-13,11.55,11.78,11.55,11.74,962200
1994-12-14,11.83,12.07,11.83,11.97,651200
1994-12-15,11.97,11.97,11.78,11.88,324200
1994-12-16,11.93,12.07,11.83,12.02,538600
1994-12-19,12.07,12.07,11.93,11.97,344800
1994-12-20,11.97,12.02,11.93,11.97,513400
1994-12-21,12.02,12.21,12.02,12.11,460800
1994-12-22,12.26,12.3,12.11,12.16,555200
1994-12-23,12.3,12.3,12.21,12.26,86600
1994-12-27,12.26,12.3,12.21,12.3,119000
1994-12-28,12.26,12.3,12.21,12.26,280600
1994-12-29,12.26,12.4,12.26,12.35,215000
1994-12-30,12.35,12.44,12.3,12.3,300400
1995-01-03,12.35,12.54,12.35,12.44,436000
1995-01-04,12.49,12.54,12.3,12.4,378600
1995-01-05,12.4,12.49,12.35,12.44,180000
1995-01-06,12.44,12.54,12.35,12.44,427800
1995-01-09,12.44,12.44,12.3,12.4,263400
1995-01-10,12.35,12.35,12.26,12.26,376000
1995-01-11,12.3,12.3,12.02,12.07,289800
1995-01-12,12.16,12.21,12.07,12.21,258600
1995-01-13,12.21,12.4,12.21,12.4,200600
1995-01-16,12.26,12.49,12.26,12.4,399600
1995-01-17,12.4,12.44,12.35,12.35,107600
1995-01-18,12.49,12.82,12.44,12.82,1093000
1995-01-19,12.82,13.06,12.82,12.92,893600
1995-01-20,12.96,13.01,12.82,12.82,218600
1995-01-23,12.82,12.96,12.73,12.96,892000
1995-01-24,12.96,13.15,12.73,12.96,2862600
1995-01-25,12.87,13.29,12.82,13.2,1194400
1995-01-26,13.2,13.43,13.2,13.34,500200
1995-01-27,13.43,13.48,13.34,13.48,257600
1995-01-30,13.39,13.48,13.34,13.48,279200
1995-01-31,13.48,13.91,13.48,13.91,1417000
1995-02-01,13.95,14.0,13.76,13.86,939000
1995-02-02,13.76,13.95,13.76,13.91,2699800
1995-02-03,13.91,14.0,13.91,13.95,356200
1995-02-06,13.86,13.95,13.86,13.91,291800
1995-02-07,13.91,13.95,13.86,13.91,95200
1995-02-08,13.91,14.0,13.91,14.0,321800
1995-02-09,14.0,14.09,13.86,13.91,293800
1995-02-10,13.91,14.09,13.91,14.09,425000
1995-02-13,14.09,14.19,14.05,14.19,319000
1995-02-14,14.19,14.24,14.19,14.24,582800
1995-02-15,14.28,14.42,14.28,14.38,639000
1995-02-16,14.42,14.42,14.38,14.42,415400
1995-02-17,14.38,14.38,14.14,14.14,496200
1995-02-21,14.09,14.09,14.0,14.0,336400
1995-02-22,14.05,14.09,14.05,14.09,339200
1995-02-23,14.19,14.33,14.19,14.29,554800
1995-02-24,14.29,14.29,14.24,14.24,157800
1995-02-27,14.19,14.19,14.05,14.05,222400
1995-02-28,14.05,14.09,13.95,14.09,1304600
1995-03-01,14.09,14.48,14.09,14.43,3864400
1995-03-02,14.43,14.43,14.24,14.38,246000
1995-03-03,14.38,14.43,14.33,14.38,456000
1995-03-06,14.29,14.29,14.05,14.24,339400
1995-03-07,14.14,14.14,13.95,14.05,414000
1995-03-08,14.0,14.09,13.95,14.0,107200
1995-03-09,14.0,14.09,13.9,13.95,189600
1995-03-10,13.95,14.05,13.9,13.9,128200
1995-03-13,13.9,14.0,13.9,14.0,157800
1995-03-14,14.09,14.09,13.95,14.0,262000
1995-03-15,14.0,14.38,13.95,14.33,427600
1995-03-16,14.33,14.33,14.24,14.24,264200
1995-03-17,14.24,14.62,14.24,14.52,436600
1995-03-20,14.57,14.67,14.57,14.67,279400
1995-03-21,14.67,15.0,14.67,14.81,847000
1995-03-22,14.76,14.91,14.76,14.81,295400
1995-03-23,14.86,15.0,14.86,15.0,471200
1995-03-24,15.0,15.48,15.0,15.38,712400
1995-03-27,15.48,15.58,15.43,15.53,192200
1995-03-28,15.53,15.53,15.43,15.43,154000
1995-03-29,15.43,15.43,15.1,15.15,99400
1995-03-30,15.15,15.48,15.1,15.48,214800
1995-03-31,15.29,15.53,15.29,15.43,298200
1995-04-03,15.38,15.43,15.34,15.38,332800
1995-04-04,15.29,15.38,15.1,15.29,220200
1995-04-05,15.34,15.48,15.34,15.43,203800
1995-04-06,15.38,15.48,15.34,15.34,378000
1995-04-07,15.24,15.34,15.24,15.34,189400
1995-04-10,15.29,15.29,15.19,15.29,229600
