Date,Open,High,Low,Close,Volume
1994-10-31,2.61,2.65,2.61,2.65,1984200
1994-11-01,2.65,2.65,2.61,2.63,2176400
1994-11-02,2.63,2.63,2.61,2.61,2348200
1994-11-03,2.61,2.63,2.59,2.61,2060800
1994-11-04,2.61,2.63,2.59,2.59,2663800
1994-11-07,2.57,2.57,2.55,2.57,1049400
1994-11-08,2.57,2.57,2.51,2.51,5761000
1994-11-09,2.53,2.57,2.53,2.55,2480000
1994-11-10,2.55,2.57,2.55,2.57,1956000
1994-11-11,2.57,2.57,2.55,2.55,1300200
1994-11-14,2.75,2.75,2.73,2.75,1419200
1994-11-15,2.75,2.75,2.73,2.73,3118800
1994-11-16,2.73,2.75,2.73,2.73,813400
1994-11-17,2.73,2.73,2.69,2.71,1477600
1994-11-18,2.71,2.71,2.66,2.69,2452600
1994-11-21,2.69,2.69,2.62,2.62,3276000
1994-11-22,2.62,2.64,2.58,2.58,2725000
1994-11-23,2.58,2.6,2.53,2.6,2634200
1994-11-25,2.6,2.6,2.6,2.6,640800
1994-11-28,2.6,2.62,2.58,2.62,1583400
1994-11-29,2.62,2.62,2.58,2.6,1056400
1994-11-30,2.6,2.6,2.58,2.6,1086800
1994-12-01,2.6,2.6,2.58,2.58,979000
1994-12-02,2.58,2.6,2.56,2.6,1257200
1994-12-05,2.6,2.62,2.58,2.58,1071200
1994-12-06,2.58,2.58,2.56,2.58,1819200
1994-12-07,2.58,2.58,2.53,2.56,1223400
1994-12-08,2.56,2.58,2.56,2.56,1178400
1994-12-09,2.56,2.56,2.53,2.56,1682000
1994-12-12,2.56,2.58,2.53,2.56,1011400
1994-12-13,2.56,2.6,2.56,2.58,1555200
1994-12-14,2.58,2.6,2.58,2.6,1351600
1994-12-15,2.6,2.62,2.56,2.6,2600400
1994-12-16,2.6,2.62,2.58,2.6,3428800
1994-12-19,2.6,2.64,2.56,2.62,3590000
1994-12-20,2.62,2.64,2.62,2.64,1464200
1994-12-21,2.64,2.66,2.64,2.64,3717600
1994-12-22,2.64,2.69,2.64,2.69,1467200
1994-12-23,2.69,2.69,2.64,2.64,1012000
1994-12-27,2.64,2.69,2.64,2.69,3242800
1994-12-28,2.69,2.69,2.64,2.69,1814400
1994-12-29,2.69,2.71,2.69,2.71,1436200
1994-12-30,2.71,2.71,2.66,2.71,1365600
1995-01-03,2.71,2.71,2.66,2.69,1064200
1995-01-04,2.69,2.71,2.64,2.66,1751600
1995-01-05,2.66,2.69,2.64,2.69,1600200
1995-01-06,2.69,2.71,2.66,2.66,2230600
1995-01-09,2.66,2.69,2.64,2.66,2108800
1995-01-10,2.66,2.69,2.66,2.66,1580600
1995-01-11,2.66,2.66,2.62,2.64,3488600
1995-01-12,2.62,2.62,2.6,2.6,1875600
1995-01-13,2.62,2.62,2.62,2.62,2206600
1995-01-16,2.62,2.64,2.62,2.64,3502000
1995-01-17,2.64,2.66,2.64,2.64,1322800
1995-01-18,2.64,2.64,2.62,2.62,2150400
