Date,Open,High,Low,Close,Volume
2001-06-13,13.17,13.38,13.0,13.06,69567200.0
2001-06-14,12.96,12.96,12.33,12.6,31979800.0
2001-06-15,12.54,12.85,12.52,12.79,14369300.0
2001-06-18,12.56,12.79,12.56,12.67,4019800.0
2001-06-19,12.79,12.84,12.63,12.71,5690300.0
2001-06-20,12.71,12.79,12.61,12.67,3791600.0
2001-06-21,12.69,12.69,12.54,12.54,6027200.0
2001-06-22,12.54,12.55,12.44,12.54,4847700.0
2001-06-25,12.54,12.6,12.48,12.6,2420300.0
2001-06-26,12.54,12.57,12.46,12.56,3333300.0
2001-06-27,12.52,12.54,12.46,12.51,3182300.0
2001-06-28,12.53,12.72,12.53,12.71,2778100.0
2001-06-29,12.75,12.96,12.68,12.96,5777800.0
2001-07-02,12.83,12.83,12.72,12.74,3167600.0
2001-07-03,12.73,12.81,12.72,12.77,608700.0
2001-07-05,12.85,12.97,12.8,12.93,2085500.0
2001-07-06,12.95,12.95,12.75,12.81,945300.0
2001-07-09,12.79,12.85,12.64,12.7,2295300.0
2001-07-10,12.73,12.89,12.66,12.69,3301300.0
2001-07-11,12.69,12.69,12.54,12.67,2023000.0
2001-07-12,12.81,12.92,12.62,12.92,1912500.0
2001-07-13,12.92,12.95,12.73,12.84,995400.0
2001-07-16,12.84,12.96,12.81,12.84,1198100.0
2001-07-17,12.91,13.15,12.89,13.15,3792700.0
2001-07-18,13.15,13.17,12.87,13.16,5645100.0
2001-07-19,13.27,13.27,12.62,13.09,3326000.0
2001-07-20,13.06,13.1,12.96,13.04,1390900.0
2001-07-23,13.0,13.04,12.92,12.96,1756000.0
2001-07-24,13.03,13.04,12.92,12.99,1146500.0
2001-07-25,12.96,12.96,12.75,12.83,860600.0
2001-07-26,12.94,13.04,12.8,13.01,1901900.0
2001-07-27,13.04,13.04,12.88,12.92,1541800.0
2001-07-30,13.0,13.0,12.75,12.79,1233900.0
2001-07-31,12.75,13.02,12.75,12.94,2020200.0
2001-08-01,12.92,12.96,12.78,12.87,2302200.0
2001-08-02,12.83,13.03,12.81,12.94,2700000.0
2001-08-03,12.9,12.95,12.75,12.83,456800.0
2001-08-06,12.84,12.89,12.64,12.69,847600.0
2001-08-07,12.73,12.77,12.66,12.75,991400.0
2001-08-08,12.83,12.83,12.54,12.54,1517200.0
2001-08-09,12.56,12.69,12.54,12.69,752900.0
2001-08-10,12.64,13.01,12.6,12.87,1119700.0
2001-08-13,12.94,13.04,12.92,13.0,1749200.0
2001-08-14,13.04,13.06,12.96,13.0,1365300.0
2001-08-15,13.0,13.04,12.95,12.95,2106500.0
2001-08-16,12.95,13.07,12.94,13.02,1351200.0
2001-08-17,13.02,13.1,12.92,13.1,1164200.0
2001-08-20,13.12,13.28,13.07,13.26,2020900.0
2001-08-21,13.35,13.42,13.27,13.41,2699600.0
2001-08-22,13.71,13.8,13.55,13.75,3184700.0
2001-08-23,13.75,13.77,13.61,13.75,2358900.0
2001-08-24,13.75,13.75,13.52,13.52,1173700.0
2001-08-27,13.38,13.57,13.38,13.5,866500.0
2001-08-28,13.58,13.62,13.27,13.33,965300.0
2001-08-29,13.33,13.5,13.2,13.5,1504200.0
2001-08-30,13.41,13.65,13.4,13.65,1569700.0
2001-08-31,13.65,13.79,13.46,13.48,1536500.0
2001-09-04,13.67,13.91,13.46,13.81,1841800.0
