Date,Open,High,Low,Close,Volume
1973-05-02,0.0,0.18,0.18,0.18,947200
1973-05-03,0.0,0.18,0.18,0.18,1497600
1973-05-04,0.0,0.19,0.19,0.19,2316800
1973-05-07,0.0,0.19,0.19,0.19,793600
1973-05-08,0.0,0.19,0.19,0.19,1331200
1973-05-09,0.0,0.19,0.19,0.19,1049600
1973-05-10,0.0,0.19,0.19,0.19,1292800
1973-05-11,0.0,0.18,0.17,0.17,1100800
1973-05-14,0.0,0.17,0.16,0.16,2355200
1973-05-15,0.0,0.18,0.17,0.17,1395200
1973-05-16,0.0,0.18,0.18,0.18,1344000
1973-05-17,0.0,0.18,0.18,0.18,2726400
1973-05-18,0.0,0.17,0.17,0.17,1459200
1973-05-21,0.0,0.17,0.16,0.16,1766400
1973-05-22,0.0,0.17,0.17,0.17,1702400
1973-05-23,0.0,0.17,0.17,0.17,1472000
1973-05-24,0.0,0.18,0.18,0.18,1216000
1973-05-25,0.0,0.19,0.19,0.19,2009600
1973-05-29,0.0,0.19,0.19,0.19,844800
1973-05-30,0.0,0.18,0.18,0.18,1766400
1973-05-31,0.0,0.18,0.18,0.18,1331200
1973-06-01,0.0,0.18,0.18,0.18,1024000
1973-06-04,0.0,0.17,0.16,0.16,1676800
1973-06-05,0.0,0.18,0.18,0.18,2265600
1973-06-06,0.0,0.18,0.18,0.18,3340800
1973-06-07,0.0,0.19,0.18,0.18,1254400
1973-06-08,0.0,0.19,0.19,0.19,1497600
1973-06-11,0.0,0.19,0.18,0.18,729600
1973-06-12,0.0,0.19,0.19,0.19,793600
1973-06-13,0.0,0.19,0.19,0.19,755200
1973-06-14,0.0,0.2,0.19,0.19,1280000
1973-06-15,0.0,0.2,0.19,0.19,3020800
1973-06-18,0.0,0.19,0.19,0.19,896000
1973-06-19,0.0,0.19,0.18,0.18,2534400
1973-06-20,0.0,0.19,0.18,0.18,819200
1973-06-21,0.0,0.18,0.18,0.18,1536000
1973-06-22,0.0,0.19,0.18,0.18,1612800
1973-06-25,0.0,0.18,0.18,0.18,627200
1973-06-26,0.0,0.19,0.18,0.18,1702400
1973-06-27,0.0,0.19,0.18,0.18,294400
1973-06-28,0.0,0.19,0.19,0.19,204800
1973-06-29,0.0,0.19,0.18,0.18,832000
1973-07-02,0.0,0.17,0.17,0.17,1792000
1973-07-03,0.0,0.18,0.18,0.18,1408000
1973-07-05,0.0,0.19,0.18,0.18,1241600
1973-07-06,0.0,0.19,0.18,0.18,742400
1973-07-09,0.0,0.19,0.19,0.19,1523200
1973-07-10,0.0,0.19,0.19,0.19,2112000
1973-07-11,0.0,0.19,0.19,0.19,1395200
1973-07-12,0.0,0.2,0.19,0.19,320000
1973-07-13,0.0,0.19,0.19,0.19,716800
1973-07-16,0.0,0.19,0.19,0.19,652800
1973-07-17,0.0,0.19,0.19,0.19,844800
1973-07-18,0.0,0.2,0.19,0.19,1152000
1973-07-19,0.0,0.2,0.2,0.2,716800
1973-07-20,0.0,0.2,0.19,0.19,550400
1973-07-23,0.0,0.19,0.19,0.19,2508800
1973-07-24,0.0,0.2,0.19,0.19,1305600
1973-07-25,0.0,0.2,0.19,0.19,1395200
1973-07-26,0.0,0.2,0.2,0.2,409600
1973-07-27,0.0,0.21,0.21,0.21,972800
1973-07-30,0.0,0.22,0.22,0.22,1024000
1973-07-31,0.0,0.21,0.21,0.21,908800
1973-08-01,0.0,0.21,0.21,0.21,857600
1973-08-02,0.0,0.22,0.21,0.21,691200
1973-08-03,0.0,0.22,0.22,0.22,729600
1973-08-06,0.0,0.23,0.22,0.22,716800
1973-08-07,0.0,0.22,0.22,0.22,1945600
1973-08-08,0.0,0.21,0.21,0.21,1574400
1973-08-09,0.0,0.2,0.2,0.2,1548800
1973-08-10,0.0,0.19,0.19,0.19,3084800
1973-08-13,0.0,0.19,0.19,0.19,2457600
1973-08-14,0.0,0.19,0.19,0.19,1177600
1973-08-15,0.0,0.19,0.19,0.19,2022400
1973-08-16,0.0,0.19,0.19,0.19,1113600
1973-08-17,0.0,0.2,0.19,0.19,153600
1973-08-20,0.0,0.2,0.19,0.19,486400
1973-08-21,0.0,0.2,0.19,0.19,832000
1973-08-22,0.0,0.21,0.2,0.2,1971200
1973-08-23,0.0,0.21,0.21,0.21,1561600
1973-08-24,0.0,0.21,0.21,0.21,1152000
1973-08-27,0.0,0.21,0.21,0.21,332800
1973-08-28,0.0,0.22,0.22,0.22,1971200
1973-08-29,0.0,0.23,0.22,0.22,1190400
1973-08-30,0.0,0.23,0.22,0.22,1203200
1973-08-31,0.0,0.23,0.23,0.23,294400
1973-09-04,0.0,0.24,0.23,0.23,1753600
1973-09-05,0.0,0.24,0.24,0.24,1446400
1973-09-06,0.0,0.24,0.24,0.24,2227200
1973-09-07,0.0,0.24,0.23,0.23,985600
1973-09-10,0.0,0.23,0.22,0.22,3904000
1973-09-11,0.0,0.23,0.22,0.22,3276800
1973-09-12,0.0,0.22,0.22,0.22,1203200
1973-09-13,0.0,0.23,0.23,0.23,1420800
1973-09-14,0.0,0.24,0.23,0.23,1062400
1973-09-17,0.0,0.23,0.23,0.23,947200
1973-09-18,0.0,0.23,0.22,0.22,1292800
1973-09-19,0.0,0.24,0.23,0.23,1011200
1973-09-20,0.0,0.24,0.24,0.24,678400
1973-09-21,0.0,0.24,0.24,0.24,1113600
1973-09-24,0.0,0.24,0.23,0.23,844800
1973-09-25,0.0,0.23,0.23,0.23,640000
1973-09-26,0.0,0.23,0.23,0.23,755200
1973-09-27,0.0,0.23,0.23,0.23,640000
1973-09-28,0.0,0.24,0.24,0.24,742400
1973-10-01,0.0,0.24,0.24,0.24,947200
1973-10-02,0.0,0.25,0.25,0.25,716800
1973-10-03,0.0,0.25,0.25,0.25,1497600
1973-10-04,0.0,0.24,0.24,0.24,1600000
1973-10-05,0.0,0.24,0.24,0.24,2201600
1973-10-08,0.0,0.24,0.23,0.23,320000
1973-10-09,0.0,0.24,0.23,0.23,870400
1973-10-10,0.0,0.23,0.23,0.23,627200
1973-10-11,0.0,0.23,0.22,0.22,1753600
1973-10-12,0.0,0.23,0.22,0.22,1139200
1973-10-15,0.0,0.22,0.21,0.21,2444800
1973-10-16,0.0,0.22,0.22,0.22,1625600
1973-10-17,0.0,0.22,0.22,0.22,832000
1973-10-18,0.0,0.23,0.23,0.23,844800
1973-10-19,0.0,0.23,0.23,0.23,768000
1973-10-22,0.0,0.23,0.23,0.23,358400
1973-10-23,0.0,0.24,0.23,0.23,537600
1973-10-24,0.0,0.24,0.23,0.23,1164800
1973-10-25,0.0,0.24,0.24,0.24,1075200
1973-10-26,0.0,0.24,0.24,0.24,614400
1973-10-29,0.0,0.24,0.23,0.23,768000
1973-10-30,0.0,0.24,0.23,0.23,409600
1973-10-31,0.0,0.24,0.23,0.23,320000
1973-11-01,0.0,0.24,0.23,0.23,320000
1973-11-02,0.0,0.24,0.23,0.23,576000
1973-11-05,0.0,0.23,0.23,0.23,1984000
1973-11-06,0.0,0.23,0.23,0.23,371200
1973-11-07,0.0,0.24,0.24,0.24,1868800
1973-11-08,0.0,0.24,0.24,0.24,576000
1973-11-09,0.0,0.23,0.23,0.23,704000
1973-11-12,0.0,0.23,0.23,0.23,1472000
1973-11-13,0.0,0.23,0.23,0.23,2086400
1973-11-14,0.0,0.23,0.23,0.23,1228800
