Date,Open,High,Low,Close,Volume
2000-04-05,8.46,9.19,8.35,9.04,77084700
2000-04-06,8.97,9.26,8.9,9.08,17167700
2000-04-07,8.97,9.08,8.82,8.93,15131500
2000-04-10,9.0,9.04,8.9,9.0,6324900
2000-04-11,8.93,8.97,8.79,8.82,6087800
2000-04-12,8.9,9.77,8.82,9.44,12169800
2000-04-13,9.48,10.06,9.3,9.92,11922400
2000-04-14,9.88,9.92,9.22,9.26,10659300
2000-04-17,9.33,9.59,9.33,9.41,3951900
2000-04-18,9.44,9.52,9.04,9.41,6083900
2000-04-19,9.44,9.44,9.19,9.33,6001300
2000-04-20,9.19,9.3,8.97,9.0,7755200
2000-04-24,9.04,9.33,9.0,9.3,3494800
2000-04-25,9.3,9.44,9.26,9.33,8311100
2000-04-26,9.3,9.37,9.26,9.37,6666500
2000-04-27,9.3,9.33,9.04,9.3,2788000
2000-04-28,9.3,9.84,8.97,9.66,6977400
2000-05-01,9.99,10.5,9.84,10.5,6605300
2000-05-02,10.28,10.46,10.14,10.39,3514700
2000-05-03,10.35,10.39,10.06,10.21,2223500
2000-05-04,10.14,10.21,9.44,10.21,3848200
2000-05-05,10.06,10.39,9.95,10.24,2043700
2000-05-08,10.43,10.83,10.39,10.5,3250900
2000-05-09,10.61,10.72,9.77,9.99,4750800
2000-05-10,9.92,10.39,9.92,10.24,3684000
2000-05-11,10.28,10.68,10.14,10.5,3363000
2000-05-12,10.57,10.83,10.54,10.75,2162300
2000-05-15,11.08,11.23,10.86,11.05,3025800
2000-05-16,11.08,11.41,10.97,11.12,5590500
2000-05-17,11.12,11.48,10.72,11.12,1769600
2000-05-18,11.08,11.16,10.9,11.04,3207300
2000-05-19,10.79,10.79,10.43,10.61,4300100
2000-05-22,10.65,10.72,10.14,10.65,1921600
2000-05-23,10.65,11.08,10.65,11.01,2349300
2000-05-24,11.01,11.37,10.86,11.3,1765000
2000-05-25,11.27,11.3,10.94,11.19,1944000
2000-05-26,11.16,11.56,11.05,11.52,2967200
2000-05-30,11.63,11.74,11.37,11.59,3622900
2000-05-31,11.59,11.96,11.3,11.96,3982600
2000-06-01,11.92,11.96,11.63,11.67,3229500
2000-06-02,12.25,12.29,11.89,12.25,3866500
2000-06-05,11.96,12.18,11.89,11.99,2666200
2000-06-06,12.18,12.18,11.89,11.92,3314200
2000-06-07,11.96,12.07,11.85,12.07,1034900
2000-06-08,11.99,12.03,11.81,11.92,1083000
2000-06-09,11.96,12.25,11.96,12.25,1342800
2000-06-12,12.1,12.14,11.48,11.92,1203400
2000-06-13,12.07,12.14,11.78,12.14,1093800
2000-06-14,11.99,12.03,11.56,11.67,2592200
2000-06-15,11.67,11.81,11.59,11.67,2809900
2000-06-16,11.78,11.81,11.52,11.7,3592700
2000-06-19,11.67,11.74,11.52,11.67,1431100
2000-06-20,11.59,11.7,10.83,10.97,3278500
2000-06-21,10.97,11.16,10.57,10.79,2741600
2000-06-22,10.9,11.37,10.79,11.19,2202800
2000-06-23,11.08,11.37,10.94,11.27,2425300
2000-06-26,11.67,11.74,11.16,11.19,1898000
2000-06-27,11.34,11.96,11.19,11.59,2291400
2000-06-28,11.81,11.92,11.3,11.45,3952600
2000-06-29,11.59,12.58,11.45,12.43,5514200
2000-06-30,12.69,12.8,11.08,12.23,4954000
2000-07-03,12.1,12.54,12.07,12.47,922200
2000-07-05,12.4,12.4,11.96,12.32,2297800
2000-07-06,12.03,12.83,11.99,12.76,1764100
2000-07-07,12.69,12.87,12.65,12.76,1672300
2000-07-10,12.69,12.76,12.5,12.5,923000
2000-07-11,12.43,12.47,11.96,12.14,1630800
2000-07-12,12.1,12.18,11.7,11.92,2226300
2000-07-13,11.92,11.92,11.56,11.56,2124300
2000-07-14,11.56,12.32,11.56,12.18,1449000
2000-07-17,12.1,12.1,11.78,11.85,626400
2000-07-18,11.7,11.92,11.7,11.89,2688600
2000-07-19,11.92,12.14,11.74,11.92,1516800
2000-07-20,11.99,12.36,11.99,11.99,2468100
2000-07-21,12.1,12.25,11.99,12.1,890300
2000-07-24,11.85,11.96,11.67,11.96,860000
2000-07-25,11.89,12.36,11.81,12.25,1466700
2000-07-26,12.25,12.4,12.07,12.14,1390900
2000-07-27,12.14,12.4,11.81,11.92,1563100
2000-07-28,11.7,11.92,11.67,11.85,911900
2000-07-31,11.96,12.32,11.78,12.25,2730000
2000-08-01,12.21,12.4,12.1,12.32,2287500
2000-08-02,12.25,12.32,12.07,12.18,1530700
2000-08-03,12.18,12.21,11.56,11.74,3767700
2000-08-04,11.74,11.85,11.3,11.85,4718200
2000-08-07,12.07,13.05,12.03,13.05,4259500
2000-08-08,13.93,14.22,13.56,13.6,11405100
2000-08-09,13.56,13.85,13.2,13.27,3920700
2000-08-10,13.42,14.0,13.27,13.42,4870800
2000-08-11,14.0,14.15,13.67,14.0,2556300
2000-08-14,14.0,14.07,13.42,13.42,1473900
2000-08-15,13.96,14.04,13.74,13.89,1746600
2000-08-16,13.96,14.0,13.53,13.71,907100
2000-08-17,13.93,14.07,13.71,13.96,1054000
2000-08-18,13.74,14.04,13.71,13.96,1191200
2000-08-21,13.89,14.04,13.49,13.71,1030600
2000-08-22,13.93,14.11,13.63,14.0,2063400
2000-08-23,13.85,14.58,13.82,14.55,1526500
2000-08-24,14.51,14.66,14.07,14.15,1665000
2000-08-25,14.18,14.18,13.74,13.78,808500
2000-08-28,13.71,13.85,13.63,13.71,1019600
2000-08-29,13.78,14.15,13.71,14.0,1391500
2000-08-30,14.0,14.51,13.96,14.47,2070800
2000-08-31,14.47,14.55,14.11,14.18,1320300
2000-09-01,14.29,14.69,14.0,14.51,1860900
2000-09-05,14.22,14.55,13.85,14.15,2147100
2000-09-06,14.29,14.44,14.25,14.29,1396800
2000-09-07,14.44,14.55,14.22,14.36,1563900
2000-09-08,14.4,14.77,14.33,14.62,480200
2000-09-11,14.73,14.84,14.15,14.47,1712900
