Date,Open,High,Low,Close,Volume
1988-05-02,0.0,2.81,2.57,2.57,800
1988-05-03,0.0,2.92,2.57,2.57,400
1988-05-04,0.0,2.92,2.57,2.57,2800
1988-05-05,2.57,2.57,2.57,2.57,0
1988-05-06,0.0,2.92,2.57,2.57,800
1988-05-09,0.0,2.92,2.57,2.57,400
1988-05-10,0.0,2.92,2.57,2.57,0
1988-05-11,0.0,2.92,2.57,2.57,2000
1988-05-12,0.0,2.81,2.57,2.57,0
1988-05-13,2.57,2.57,2.57,2.57,0
1988-05-16,0.0,2.81,2.57,2.57,0
1988-05-17,2.57,2.57,2.57,2.57,0
1988-05-18,0.0,2.81,2.57,2.57,7200
1988-05-19,0.0,2.69,2.46,2.46,2400
1988-05-20,0.0,2.69,2.46,2.46,1600
1988-05-23,2.46,2.46,2.46,2.46,0
1988-05-24,2.46,2.46,2.46,2.46,0
1988-05-25,0.0,2.69,2.51,2.51,800
1988-05-26,2.51,2.51,2.51,2.51,0
1988-05-27,0.0,2.75,2.57,2.57,8000
1988-05-31,2.57,2.57,2.57,2.57,0
1988-06-01,0.0,2.75,2.57,2.57,400
1988-06-02,0.0,2.75,2.57,2.57,400
1988-06-03,0.0,3.04,2.69,2.69,1600
1988-06-06,0.0,3.04,2.69,2.69,4400
1988-06-07,2.69,2.69,2.69,2.69,0
1988-06-08,0.0,3.04,2.75,2.75,2800
1988-06-09,0.0,3.04,2.75,2.75,0
1988-06-10,0.0,3.04,2.75,2.75,2000
1988-06-13,2.75,2.75,2.75,2.75,0
1988-06-14,0.0,3.04,2.75,2.75,400
1988-06-15,2.75,2.75,2.75,2.75,0
1988-06-16,2.75,2.75,2.75,2.75,0
1988-06-17,0.0,3.04,2.75,2.75,400
1988-06-20,2.75,2.75,2.75,2.75,0
1988-06-21,2.75,2.75,2.75,2.75,0
1988-06-22,0.0,3.04,2.81,2.81,2000
1988-06-23,0.0,3.16,2.81,2.81,0
1988-06-24,0.0,3.16,2.81,2.81,0
1988-06-27,0.0,3.16,2.86,2.86,1600
1988-06-28,2.86,2.86,2.86,2.86,0
1988-06-29,2.86,2.86,2.86,2.86,0
1988-06-30,2.86,2.86,2.86,2.86,0
1988-07-01,0.0,3.21,2.92,2.92,400
1988-07-05,2.92,2.92,2.92,2.92,0
1988-07-06,0.0,3.21,2.92,2.92,400
1988-07-07,0.0,3.27,2.92,2.92,2000
1988-07-08,2.92,2.92,2.92,2.92,0
1988-07-11,2.92,2.92,2.92,2.92,0
1988-07-12,0.0,3.27,2.92,2.92,800
1988-07-13,0.0,3.27,3.04,3.04,3200
1988-07-14,3.04,3.04,3.04,3.04,0
1988-07-15,0.0,3.27,3.04,3.04,1600
1988-07-18,0.0,3.39,3.04,3.04,400
1988-07-19,3.04,3.04,3.04,3.04,0
1988-07-20,0.0,3.39,3.04,3.04,400
1988-07-21,3.04,3.04,3.04,3.04,0
1988-07-22,3.04,3.04,3.04,3.04,0
1988-07-25,3.04,3.04,3.04,3.04,0
1988-07-26,0.0,3.27,3.04,3.04,3200
1988-07-27,0.0,3.27,2.98,2.98,2000
1988-07-28,0.0,3.16,2.86,2.86,11200
1988-07-29,0.0,3.04,2.81,2.81,3200
1988-08-01,2.81,2.81,2.81,2.81,0
1988-08-02,2.81,2.81,2.81,2.81,0
1988-08-03,2.81,2.81,2.81,2.81,0
1988-08-04,2.81,2.81,2.81,2.81,0
1988-08-05,2.81,2.81,2.81,2.81,0
1988-08-08,2.81,2.81,2.81,2.81,0
1988-08-09,2.81,2.81,2.81,2.81,0
1988-08-10,0.0,3.04,2.81,2.81,2400
1988-08-11,2.81,2.81,2.81,2.81,0
1988-08-12,2.81,2.81,2.81,2.81,0
1988-08-15,0.0,3.04,2.69,2.69,2400
