Date,Open,High,Low,Close,Volume
1973-02-21,0.36,0.36,0.36,0.36,118400
1973-02-22,0.36,0.36,0.36,0.36,35200
1973-02-23,0.37,0.37,0.37,0.37,35200
1973-02-26,0.36,0.36,0.36,0.36,89600
1973-02-27,0.36,0.36,0.36,0.36,12800
1973-02-28,0.35,0.35,0.35,0.35,83200
1973-03-01,0.33,0.33,0.33,0.33,179200
1973-03-02,0.33,0.33,0.33,0.33,144000
1973-03-05,0.33,0.33,0.33,0.33,35200
1973-03-06,0.34,0.34,0.34,0.34,188800
1973-03-07,0.34,0.34,0.34,0.34,35200
1973-03-08,0.34,0.34,0.34,0.34,128000
1973-03-09,0.33,0.33,0.33,0.33,70400
1973-03-12,0.33,0.33,0.33,0.33,44800
1973-03-13,0.32,0.32,0.32,0.32,144000
1973-03-14,0.31,0.31,0.31,0.31,140800
1973-03-15,0.3,0.3,0.3,0.3,131200
1973-03-16,0.27,0.27,0.27,0.27,86400
1973-03-19,0.28,0.28,0.28,0.28,112000
1973-03-20,0.29,0.29,0.29,0.29,102400
1973-03-21,0.3,0.3,0.3,0.3,115200
1973-03-22,0.31,0.31,0.31,0.31,99200
1973-03-23,0.32,0.32,0.32,0.32,156800
1973-03-26,0.32,0.32,0.32,0.32,108800
1973-03-27,0.33,0.33,0.33,0.33,25600
1973-03-28,0.33,0.33,0.33,0.33,22400
1973-03-29,0.33,0.33,0.33,0.33,118400
1973-03-30,0.33,0.33,0.33,0.33,41600
1973-04-02,0.33,0.33,0.33,0.33,6400
1973-04-03,0.33,0.33,0.33,0.33,41600
1973-04-04,0.33,0.33,0.33,0.33,76800
1973-04-05,0.32,0.32,0.32,0.32,44800
1973-04-06,0.32,0.32,0.32,0.32,57600
1973-04-09,0.32,0.32,0.32,0.32,32000
1973-04-10,0.32,0.32,0.32,0.32,115200
1973-04-11,0.32,0.32,0.32,0.32,51200
1973-04-12,0.32,0.32,0.32,0.32,268800
1973-04-13,0.32,0.32,0.32,0.32,19200
1973-04-16,0.32,0.32,0.32,0.32,22400
1973-04-17,0.32,0.32,0.32,0.32,115200
1973-04-18,0.32,0.32,0.32,0.32,57600
1973-04-19,0.32,0.32,0.32,0.32,67200
1973-04-23,0.32,0.32,0.32,0.32,163200
1973-04-24,0.31,0.31,0.31,0.31,140800
1973-04-25,0.31,0.31,0.31,0.31,89600
1973-04-26,0.31,0.31,0.31,0.31,25600
1973-04-27,0.31,0.31,0.31,0.31,28800
1973-04-30,0.31,0.31,0.31,0.31,60800
1973-05-01,0.3,0.3,0.3,0.3,64000
1973-05-02,0.3,0.3,0.3,0.3,48000
1973-05-03,0.0,0.3,0.28,0.28,115200
1973-05-04,0.0,0.3,0.28,0.28,121600
1973-05-07,0.0,0.3,0.28,0.28,38400
1973-05-08,0.0,0.3,0.29,0.29,54400
1973-05-09,0.0,0.3,0.29,0.29,80000
1973-05-10,0.0,0.3,0.29,0.29,80000
1973-05-11,0.0,0.3,0.29,0.29,19200
1973-05-14,0.0,0.3,0.29,0.29,80000
1973-05-15,0.0,0.3,0.28,0.28,60800
1973-05-16,0.0,0.29,0.28,0.28,89600
1973-05-17,0.0,0.29,0.28,0.28,22400
1973-05-18,0.0,0.29,0.27,0.27,150400
1973-05-21,0.0,0.27,0.25,0.25,147200
1973-05-22,0.0,0.27,0.26,0.26,67200
1973-05-23,0.0,0.28,0.26,0.26,32000
1973-05-24,0.0,0.28,0.27,0.27,102400
1973-05-25,0.0,0.29,0.27,0.27,451200
1973-05-29,0.0,0.29,0.27,0.27,35200
1973-05-30,0.0,0.29,0.27,0.27,51200
1973-05-31,0.0,0.29,0.28,0.28,25600
1973-06-01,0.0,0.29,0.28,0.28,44800
1973-06-04,0.0,0.29,0.28,0.28,118400
1973-06-05,0.0,0.29,0.28,0.28,35200
1973-06-06,0.0,0.29,0.27,0.27,44800
1973-06-07,0.0,0.29,0.28,0.28,89600
1973-06-08,0.0,0.29,0.28,0.28,92800
1973-06-11,0.0,0.29,0.28,0.28,57600
1973-06-12,0.0,0.28,0.27,0.27,156800
1973-06-13,0.0,0.28,0.27,0.27,28800
1973-06-14,0.0,0.28,0.27,0.27,54400
1973-06-15,0.0,0.27,0.26,0.26,73600
1973-06-18,0.0,0.26,0.25,0.25,76800
1973-06-19,0.0,0.25,0.24,0.24,92800
1973-06-20,0.0,0.25,0.24,0.24,105600
1973-06-21,0.0,0.25,0.24,0.24,86400
1973-06-22,0.0,0.26,0.25,0.25,48000
1973-06-25,0.0,0.26,0.25,0.25,19200
1973-06-26,0.0,0.26,0.25,0.25,89600
1973-06-27,0.0,0.27,0.26,0.26,92800
1973-06-28,0.0,0.26,0.25,0.25,64000
1973-06-29,0.0,0.26,0.25,0.25,38400
1973-07-02,0.0,0.26,0.25,0.25,6400
1973-07-03,0.0,0.26,0.25,0.25,32000
1973-07-05,0.0,0.26,0.25,0.25,192000
1973-07-06,0.0,0.26,0.25,0.25,38400
1973-07-09,0.0,0.26,0.25,0.25,3200
1973-07-10,0.0,0.26,0.25,0.25,28800
1973-07-11,0.0,0.26,0.25,0.25,60800
1973-07-12,0.0,0.27,0.26,0.26,252800
1973-07-13,0.0,0.28,0.27,0.27,105600
1973-07-16,0.0,0.28,0.27,0.27,67200
1973-07-17,0.0,0.27,0.26,0.26,54400
1973-07-18,0.0,0.27,0.26,0.26,51200
1973-07-19,0.0,0.28,0.27,0.27,41600
1973-07-20,0.0,0.28,0.27,0.27,12800
1973-07-23,0.0,0.27,0.26,0.26,41600
1973-07-24,0.0,0.27,0.26,0.26,9600
1973-07-25,0.0,0.27,0.26,0.26,140800
1973-07-26,0.0,0.27,0.26,0.26,54400
1973-07-27,0.0,0.27,0.26,0.26,227200
1973-07-30,0.0,0.27,0.26,0.26,73600
1973-07-31,0.0,0.27,0.26,0.26,70400
1973-08-01,0.0,0.27,0.26,0.26,867200
1973-08-02,0.0,0.27,0.26,0.26,70400
1973-08-03,0.0,0.27,0.26,0.26,54400
1973-08-06,0.0,0.27,0.26,0.26,28800
1973-08-07,0.0,0.27,0.27,0.27,99200
1973-08-08,0.0,0.27,0.27,0.27,16000
1973-08-09,0.0,0.27,0.27,0.27,16000
1973-08-10,0.0,0.27,0.27,0.27,60800
1973-08-13,0.0,0.27,0.26,0.26,64000
1973-08-14,0.0,0.27,0.26,0.26,32000
1973-08-15,0.0,0.27,0.26,0.26,54400
1973-08-16,0.0,0.27,0.26,0.26,28800
1973-08-17,0.0,0.27,0.26,0.26,249600
1973-08-20,0.0,0.27,0.26,0.26,38400
1973-08-21,0.0,0.27,0.26,0.26,83200
1973-08-22,0.0,0.27,0.26,0.26,57600
1973-08-23,0.0,0.27,0.26,0.26,16000
1973-08-24,0.0,0.27,0.26,0.26,134400
1973-08-27,0.0,0.27,0.26,0.26,22400
1973-08-28,0.0,0.27,0.26,0.26,12800
1973-08-29,0.0,0.27,0.26,0.26,54400
1973-08-30,0.0,0.27,0.26,0.26,169600
1973-08-31,0.0,0.28,0.27,0.27,67200
1973-09-04,0.0,0.28,0.27,0.27,48000
1973-09-05,0.0,0.28,0.27,0.27,22400
1973-09-06,0.0,0.28,0.27,0.27,25600
1973-09-07,0.0,0.27,0.27,0.27,32000
1973-09-10,0.0,0.27,0.26,0.26,76800
1973-09-11,0.0,0.27,0.26,0.26,9600
1973-09-12,0.0,0.27,0.26,0.26,121600
1973-09-13,0.0,0.27,0.26,0.26,6400
1973-09-14,0.26,0.26,0.26,0.26,0
1973-09-17,0.0,0.26,0.26,0.26,51200
1973-09-18,0.0,0.26,0.26,0.26,51200
1973-09-19,0.0,0.26,0.25,0.25,35200
1973-09-20,0.0,0.26,0.26,0.26,172800
1973-09-21,0.0,0.27,0.26,0.26,60800
1973-09-24,0.0,0.27,0.26,0.26,144000
1973-09-25,0.0,0.27,0.26,0.26,48000
1973-09-26,0.0,0.26,0.26,0.26,99200
1973-09-27,0.0,0.26,0.26,0.26,83200
1973-09-28,0.0,0.26,0.26,0.26,118400
1973-10-01,0.0,0.26,0.25,0.25,108800
1973-10-02,0.0,0.26,0.25,0.25,25600
1973-10-03,0.0,0.26,0.25,0.25,99200
1973-10-04,0.0,0.26,0.25,0.25,102400
1973-10-05,0.0,0.26,0.25,0.25,83200
1973-10-08,0.0,0.26,0.25,0.25,9600
1973-10-09,0.0,0.26,0.25,0.25,16000
1973-10-10,0.0,0.25,0.24,0.24,57600
1973-10-11,0.0,0.25,0.24,0.24,44800
1973-10-12,0.0,0.25,0.24,0.24,76800
1973-10-15,0.0,0.25,0.24,0.24,51200
1973-10-16,0.0,0.24,0.24,0.24,35200
1973-10-17,0.0,0.25,0.24,0.24,44800
1973-10-18,0.0,0.24,0.24,0.24,67200
1973-10-19,0.0,0.24,0.24,0.24,160000
1973-10-22,0.0,0.24,0.24,0.24,51200
1973-10-23,0.0,0.24,0.24,0.24,9600
1973-10-24,0.0,0.24,0.24,0.24,73600
1973-10-25,0.0,0.26,0.25,0.25,80000
1973-10-26,0.0,0.26,0.26,0.26,76800
1973-10-29,0.0,0.27,0.27,0.27,233600
1973-10-30,0.0,0.27,0.27,0.27,92800
1973-10-31,0.0,0.27,0.26,0.26,265600
1973-11-01,0.0,0.27,0.26,0.26,51200
1973-11-02,0.0,0.27,0.26,0.26,64000
1973-11-05,0.0,0.26,0.25,0.25,76800
1973-11-06,0.0,0.26,0.25,0.25,19200
1973-11-07,0.0,0.26,0.25,0.25,64000
