Date,Open,High,Low,Close,Volume
2004-11-05,11.4,15.75,11.4,15.64,8150300
2004-11-08,15.32,16.88,14.75,16.72,1113400
2004-11-09,16.76,17.52,15.49,16.6,521600
2004-11-10,16.41,18.99,16.11,18.02,709500
2004-11-11,18.51,21.83,18.21,18.78,1757100
2004-11-12,19.8,20.12,18.78,19.13,580900
2004-11-15,19.36,20.65,18.41,19.32,638900
2004-11-16,19.84,20.09,18.73,19.85,457500
2004-11-17,19.49,20.79,19.49,19.67,442500
2004-11-18,19.5,19.66,18.34,18.63,273900
2004-11-19,18.6,19.45,17.43,19.22,597300
2004-11-22,18.89,20.56,18.85,19.87,290400
2004-11-23,20.43,20.43,18.46,18.95,436800
2004-11-24,19.22,19.28,18.11,18.82,182600
2004-11-26,18.91,19.0,18.69,18.78,61100
2004-11-29,19.4,19.45,17.62,18.09,317800
2004-11-30,18.27,18.56,17.44,17.52,282900
2004-12-01,17.78,17.97,17.21,17.92,317000
2004-12-02,17.88,20.09,17.88,19.35,486600
2004-12-03,19.36,20.45,18.85,19.17,222000
2004-12-06,19.37,19.73,18.28,18.33,147000
2004-12-07,18.77,18.78,16.58,17.38,414200
2004-12-08,17.35,17.6,16.72,17.35,82500
2004-12-09,17.39,18.24,16.85,17.88,142900
2004-12-10,18.06,18.63,17.93,18.25,209100
2004-12-13,18.03,18.21,17.21,17.35,66500
2004-12-14,17.35,17.79,16.05,16.35,319600
2004-12-15,16.32,16.43,15.24,15.39,511400
2004-12-16,15.23,15.42,14.01,14.39,339100
2004-12-17,14.52,15.16,14.06,14.24,485700
2004-12-20,14.53,15.07,14.17,14.41,134400
2004-12-21,14.35,15.61,14.35,15.17,123500
2004-12-22,15.33,15.33,14.98,15.15,50100
2004-12-23,15.19,15.49,15.07,15.37,106800
2004-12-27,15.37,15.48,14.59,15.18,58400
2004-12-28,15.24,15.24,14.75,15.12,48200
2004-12-29,14.98,15.38,14.8,14.99,86500
2004-12-30,15.15,15.36,15.03,15.36,27600
2004-12-31,15.32,15.32,14.94,15.21,47500
2005-01-03,14.98,15.33,14.25,14.26,87400
2005-01-04,14.44,14.55,13.68,13.91,178100
2005-01-05,13.79,14.67,13.67,13.95,121500
2005-01-06,13.86,14.06,13.52,13.66,44000
2005-01-07,13.64,14.47,13.61,13.86,55000
2005-01-10,13.86,14.31,13.47,13.86,39300
2005-01-11,13.86,14.31,13.76,14.23,128500
2005-01-12,14.13,14.24,13.78,14.2,45200
2005-01-13,13.86,14.07,13.38,13.48,54100
2005-01-14,13.37,13.71,13.37,13.59,35500
2005-01-18,13.72,13.81,13.36,13.4,64200
2005-01-19,13.5,13.5,13.19,13.35,19400
2005-01-20,13.14,13.3,12.88,13.13,70900
2005-01-21,12.93,13.21,12.17,13.0,111200
2005-01-24,12.65,13.65,12.61,12.61,32900
2005-01-25,12.71,12.96,12.61,12.88,78800
2005-01-26,13.04,13.08,12.65,12.83,33700
2005-01-27,12.74,12.96,12.66,12.71,19100
2005-01-28,12.65,12.88,12.65,12.72,29700
