Date,Open,High,Low,Close,Volume
1994-02-17,17.63,17.89,16.94,17.03,4478600
1994-02-18,17.11,17.29,16.77,17.03,777900
1994-02-22,16.77,16.94,16.6,16.85,361900
1994-02-23,16.85,16.94,16.08,16.08,284500
1994-02-24,15.99,16.08,15.73,15.9,494600
1994-02-25,15.9,16.51,15.9,16.42,102000
1994-02-28,16.51,16.6,16.42,16.51,115200
1994-03-01,16.42,16.6,15.99,16.08,246600
1994-03-02,15.73,15.82,15.64,15.73,355900
1994-03-03,15.73,15.9,15.73,15.82,51500
1994-03-04,15.9,16.16,15.73,15.99,145500
1994-03-07,15.99,16.08,15.9,15.9,102200
1994-03-08,15.9,15.99,15.82,15.9,34700
1994-03-09,15.99,15.99,15.82,15.82,101100
1994-03-10,15.82,15.9,15.3,15.39,220400
1994-03-11,15.3,15.47,15.21,15.47,42100
1994-03-14,15.39,15.56,15.3,15.39,11900
1994-03-15,15.73,15.9,15.56,15.73,128500
1994-03-16,15.73,15.82,15.56,15.73,93800
1994-03-17,15.82,15.82,15.56,15.64,43700
1994-03-18,15.56,15.82,15.56,15.82,125000
1994-03-21,15.73,15.99,15.73,15.99,81100
1994-03-22,15.9,16.34,15.9,16.25,91800
1994-03-23,16.77,17.2,16.77,16.77,332700
1994-03-24,16.85,16.85,16.6,16.6,113300
1994-03-25,16.6,16.77,16.6,16.6,54700
1994-03-28,16.77,16.77,16.42,16.6,67900
1994-03-29,16.51,16.6,15.56,15.56,174400
1994-03-30,15.39,15.39,15.21,15.3,198000
1994-03-31,15.39,15.47,14.87,15.21,201000
1994-04-04,14.95,14.95,14.52,14.87,206600
1994-04-05,14.87,15.73,14.87,15.73,40500
1994-04-06,15.73,15.82,15.56,15.82,31700
1994-04-07,15.82,15.82,15.64,15.82,14500
1994-04-08,15.82,15.82,15.3,15.56,29900
1994-04-11,15.73,15.73,15.39,15.64,28900
1994-04-12,15.56,15.56,15.21,15.3,56200
1994-04-13,15.39,15.47,14.69,15.04,48100
1994-04-14,14.87,14.87,14.69,14.78,81800
1994-04-15,14.78,14.78,14.69,14.78,23400
1994-04-18,14.78,14.78,14.18,14.18,119100
1994-04-19,14.18,14.18,13.83,13.92,23100
1994-04-20,13.92,13.92,13.48,13.66,72900
1994-04-21,13.57,13.74,13.48,13.66,67100
1994-04-22,13.48,13.66,13.48,13.66,8000
1994-04-25,13.48,13.57,12.62,13.57,130900
1994-04-26,13.57,14.52,13.57,14.35,172800
1994-04-28,14.52,14.61,14.35,14.43,73900
1994-04-29,14.52,15.9,14.52,15.9,166100
1994-05-02,15.73,16.42,15.64,16.42,87800
1994-05-03,16.25,16.42,16.08,16.16,55000
1994-05-04,16.25,16.6,16.16,16.25,81500
1994-05-05,16.08,16.25,16.08,16.16,14200
1994-05-06,15.99,16.08,15.47,15.56,67900
1994-05-09,15.39,15.56,15.04,15.21,65200
1994-05-10,15.21,15.21,15.04,15.13,18000
1994-05-11,15.13,15.13,14.78,14.78,24200
1994-05-12,14.87,14.87,14.69,14.69,18400
1994-05-13,14.69,14.69,14.43,14.43,68700
1994-05-16,14.35,14.35,13.83,13.92,13800
1994-05-17,13.92,13.92,13.74,13.74,18300
1994-05-18,13.74,13.74,13.48,13.66,40900
1994-05-19,13.48,13.57,12.45,13.14,772400
1994-05-20,13.05,13.83,13.05,13.74,58400
1994-05-23,13.83,14.0,13.83,13.92,12600
1994-05-24,14.0,14.0,13.74,13.83,92000
1994-05-25,13.66,13.83,13.66,13.83,36600
1994-05-26,13.92,14.0,13.92,14.0,3700
1994-05-27,14.0,14.0,13.57,13.66,15800
1994-05-31,13.48,13.48,13.4,13.4,3000
1994-06-01,13.31,13.4,13.31,13.4,17900
1994-06-02,13.57,13.83,13.57,13.83,25300
1994-06-03,14.0,14.52,14.0,14.43,60300
1994-06-06,14.35,14.43,14.26,14.35,55400
1994-06-07,14.43,14.52,14.43,14.52,34300
1994-06-08,14.52,14.52,14.43,14.52,3600
1994-06-09,14.52,14.52,14.43,14.43,3600
1994-06-10,14.35,14.61,14.35,14.52,10600
1994-06-13,14.52,14.61,14.43,14.52,9200
1994-06-14,14.52,14.52,14.0,14.18,51500
1994-06-15,14.69,14.95,14.69,14.95,63100
1994-06-16,15.04,15.04,14.95,15.04,11600
1994-06-17,15.21,15.39,15.13,15.39,25400
1994-06-20,15.21,15.21,15.04,15.21,14400
1994-06-21,15.21,15.21,14.87,15.04,30200
1994-06-22,15.21,15.56,15.21,15.56,22600
1994-06-23,15.39,15.39,15.13,15.13,4800
1994-06-24,15.21,15.21,15.04,15.04,7800
1994-06-27,14.87,15.04,14.87,15.04,6400
1994-06-28,14.87,14.87,14.61,14.87,18000
1994-06-29,14.69,14.69,14.52,14.69,15800
1994-06-30,14.87,15.21,14.78,15.21,38000
1994-07-01,15.21,15.21,14.87,14.87,13700
1994-07-05,14.87,15.13,14.87,15.13,4800
1994-07-06,15.04,15.21,14.95,15.04,39900
1994-07-07,15.04,15.04,15.04,15.04,11100
1994-07-08,15.13,15.21,15.04,15.13,16200
1994-07-11,15.04,15.13,14.95,15.13,37700
1994-07-12,15.21,15.21,15.13,15.21,16100
1994-07-13,15.21,15.21,15.04,15.04,1200
1994-07-14,15.13,15.39,15.13,15.21,28200
1994-07-15,15.3,15.3,15.21,15.3,6000
1994-07-18,15.13,15.21,14.95,14.95,17500
1994-07-19,15.04,15.13,14.95,15.04,4600
1994-07-20,15.04,15.21,15.04,15.21,15800
1994-07-21,15.04,15.04,14.69,14.87,33100
1994-07-22,14.87,14.87,14.69,14.78,5400
1994-07-25,14.95,15.04,14.87,14.95,5600
1994-07-26,14.87,15.21,14.87,15.21,26600
1994-07-27,15.04,15.04,14.87,14.87,10800
1994-07-28,14.95,15.13,14.95,15.13,29400
1994-07-29,15.13,15.3,15.04,15.21,23600
1994-08-01,15.13,15.21,15.13,15.21,36100
1994-08-02,15.04,15.21,15.04,15.21,65500
1994-08-03,15.13,15.13,15.13,15.13,1300
1994-08-04,15.21,15.21,15.04,15.13,4500
1994-08-05,15.13,15.13,15.13,15.13,1200
1994-08-08,15.13,15.13,14.87,14.95,2700
1994-08-09,14.78,14.87,14.69,14.69,1900
1994-08-10,14.61,14.78,14.61,14.78,9400
1994-08-11,14.78,14.78,14.52,14.52,5600
1994-08-12,14.52,14.69,14.52,14.52,16300
1994-08-15,14.61,14.61,14.35,14.35,3000
1994-08-16,14.26,14.26,13.14,13.66,174700
1994-08-17,13.83,14.0,13.74,13.83,43300
1994-08-18,13.66,13.83,13.48,13.57,29200
1994-08-19,13.74,13.83,13.66,13.74,40300
1994-08-22,13.74,13.83,13.66,13.66,1200
1994-08-23,13.83,14.0,13.74,13.92,31100
1994-08-24,14.0,14.09,13.92,14.09,5500
1994-08-25,14.09,14.09,13.92,13.92,40900
1994-08-26,14.08,14.08,13.38,13.47,92900
1994-08-29,13.56,13.91,13.56,13.91,12700
1994-08-30,13.91,13.91,13.73,13.82,4100
1994-08-31,13.91,13.91,13.56,13.56,18700
1994-09-01,13.73,13.73,13.64,13.73,34600
1994-09-02,13.82,13.82,13.73,13.82,44300
1994-09-06,13.91,14.08,13.91,14.08,9100
1994-09-07,14.08,14.08,13.82,13.91,17300
1994-09-08,13.99,14.08,13.91,13.91,10900
1994-09-09,13.91,13.91,13.82,13.82,1700
1994-09-12,13.73,13.82,13.73,13.73,2900
1994-09-13,13.64,13.73,13.56,13.56,51600
1994-09-14,13.73,13.73,13.56,13.56,88500
1994-09-15,13.56,13.82,13.56,13.82,3500
1994-09-16,13.64,13.91,13.64,13.82,29000
1994-09-19,13.82,13.91,13.64,13.82,4100
1994-09-20,13.82,13.82,13.3,13.56,83300
1994-09-21,13.38,13.56,13.38,13.56,16700
1994-09-22,13.64,13.64,13.12,13.21,13200
1994-09-23,13.21,13.38,13.21,13.21,647600
1994-09-26,13.21,13.47,13.04,13.47,19700
1994-09-27,13.56,13.56,13.21,13.21,12300
1994-09-28,13.38,13.47,13.38,13.47,2500
1994-09-29,13.47,13.64,13.47,13.56,86100
1994-09-30,13.56,13.91,13.56,13.91,80500
1994-10-03,13.91,13.99,13.91,13.99,74600
1994-10-04,13.91,14.08,13.91,13.99,20000
1994-10-05,14.08,14.08,13.91,14.08,38900
1994-10-06,13.99,14.43,13.99,14.43,148300
1994-10-07,14.34,14.51,14.34,14.43,1800
1994-10-10,14.6,14.77,14.6,14.77,5600
1994-10-11,14.86,15.21,14.77,15.21,30900
1994-10-12,15.12,15.21,15.04,15.21,1100
1994-10-13,15.3,15.47,15.3,15.3,11900
1994-10-14,15.38,15.56,15.21,15.56,4900
1994-10-17,15.47,15.47,15.3,15.3,1400
1994-10-18,15.12,15.12,14.86,15.04,6700
1994-10-19,14.95,15.04,14.95,15.04,1000
1994-10-20,14.86,14.86,14.43,14.43,33300
1994-10-21,14.51,14.51,14.34,14.34,93300
1994-10-24,14.25,14.43,14.25,14.43,2100
1994-10-25,14.43,14.43,14.08,14.08,13400
1994-10-26,14.17,14.25,14.08,14.08,2300
