Date,Open,High,Low,Close,Volume
1988-01-26,7.5,7.66,7.34,7.5,7244600.0
1988-01-27,7.54,8.07,7.46,8.07,3652400.0
1988-01-28,7.99,8.19,7.91,8.19,2180000.0
1988-01-29,8.11,8.19,7.74,7.99,1335400.0
1988-02-01,7.91,7.99,7.78,7.83,488800.0
1988-02-02,7.83,7.83,7.7,7.83,476800.0
1988-02-03,7.83,8.23,7.83,7.91,1284600.0
1988-02-04,7.91,8.03,7.87,8.03,328000.0
1988-02-05,7.99,8.11,7.99,8.07,403600.0
1988-02-08,7.91,7.91,7.74,7.83,143400.0
1988-02-09,7.91,7.91,7.74,7.74,157000.0
1988-02-10,7.83,8.03,7.83,7.99,456400.0
1988-02-11,8.07,8.19,8.07,8.07,484000.0
1988-02-12,8.15,8.36,8.15,8.31,222600.0
1988-02-16,8.36,8.64,8.36,8.64,838000.0
1988-02-17,8.64,8.76,8.4,8.52,642400.0
1988-02-18,8.48,8.68,8.44,8.64,516000.0
1988-02-19,8.64,9.54,8.64,9.29,1103400.0
1988-02-22,9.21,9.29,9.13,9.25,326600.0
1988-02-23,9.21,9.21,9.01,9.13,245000.0
1988-02-24,9.09,9.09,8.97,9.05,271600.0
1988-02-25,9.05,9.29,9.05,9.17,948000.0
1988-02-26,9.17,9.21,9.13,9.21,256000.0
1988-02-29,9.29,9.9,9.25,9.86,647800.0
1988-03-01,9.9,10.03,9.7,9.7,587200.0
1988-03-02,9.66,9.9,9.66,9.9,192000.0
1988-03-03,9.99,9.99,9.78,9.78,232800.0
1988-03-04,9.7,10.11,9.7,10.11,426000.0
1988-03-07,9.94,10.47,9.94,10.39,463400.0
1988-03-08,10.35,10.47,10.31,10.39,494800.0
1988-03-09,10.43,10.43,10.31,10.35,205400.0
1988-03-10,10.39,10.39,9.5,9.5,414200.0
1988-03-11,9.5,9.62,9.17,9.5,223400.0
1988-03-14,9.58,9.91,9.54,9.87,144800.0
1988-03-15,9.99,10.44,9.99,10.44,673200.0
1988-03-16,10.48,10.57,10.2,10.28,202800.0
1988-03-17,10.4,10.4,10.16,10.32,146600.0
1988-03-18,10.36,10.36,10.12,10.12,166800.0
1988-03-21,10.07,10.07,9.79,9.83,254400.0
1988-03-22,9.83,9.99,9.71,9.75,515000.0
1988-03-23,9.79,9.83,9.75,9.83,27600.0
1988-03-24,9.5,9.5,9.17,9.42,699200.0
1988-03-25,9.5,9.62,9.3,9.3,152800.0
1988-03-28,9.05,9.34,9.05,9.34,137000.0
1988-03-29,9.42,9.91,9.42,9.87,186000.0
1988-03-30,9.87,9.91,9.75,9.79,125000.0
1988-03-31,9.67,9.87,9.67,9.87,294400.0
1988-04-04,9.83,9.83,9.83,9.83,148200.0
1988-04-05,9.79,9.99,9.79,9.91,219600.0
1988-04-06,9.91,10.48,9.91,10.36,125200.0
1988-04-07,10.4,10.48,10.32,10.48,165400.0
1988-04-08,10.44,10.48,10.36,10.48,182400.0
1988-04-11,10.44,10.48,10.28,10.32,85400.0
1988-04-12,10.28,10.28,10.07,10.12,419000.0
1988-04-13,10.07,10.2,10.07,10.12,208000.0
1988-04-14,9.99,9.99,9.67,9.67,167000.0
1988-04-15,9.58,9.67,9.42,9.67,102800.0
1988-04-18,9.67,9.91,9.17,9.42,807000.0
1988-04-19,9.38,9.67,9.38,9.46,442200.0
1988-04-20,9.46,9.58,9.46,9.54,68000.0
1988-04-21,9.58,9.75,9.58,9.67,44800.0
1988-04-22,9.67,9.75,9.67,9.75,1800.0
1988-04-25,9.83,9.99,9.75,9.99,204000.0
1988-04-26,10.12,10.24,10.12,10.24,150000.0
1988-04-27,10.2,10.2,10.03,10.03,86200.0
1988-04-28,9.95,9.95,9.87,9.91,103400.0
1988-04-29,9.83,9.83,9.5,9.67,89800.0
1988-05-02,9.62,9.75,9.62,9.75,142400.0
1988-05-03,9.75,9.83,9.75,9.83,313000.0
1988-05-04,9.87,9.87,9.67,9.67,141600.0
1988-05-05,9.71,9.71,9.5,9.58,369800.0
1988-05-06,9.62,9.62,9.5,9.5,89400.0
1988-05-09,9.58,9.58,9.17,9.26,169200.0
1988-05-10,9.17,9.26,9.17,9.21,215000.0
1988-05-11,9.13,9.13,8.68,8.72,93800.0
1988-05-12,8.76,9.05,8.76,9.05,226400.0
1988-05-13,9.17,9.5,9.17,9.5,119600.0
1988-05-16,9.46,9.58,9.46,9.5,70600.0
1988-05-17,9.62,9.67,9.58,9.62,79200.0
1988-05-18,9.58,9.58,9.34,9.38,29000.0
1988-05-19,9.38,9.42,9.26,9.26,138000.0
1988-05-20,9.34,9.58,9.3,9.5,135400.0
1988-05-23,9.42,9.42,9.26,9.26,144800.0
1988-05-24,9.21,9.3,9.21,9.3,92600.0
1988-05-25,9.3,9.46,9.21,9.34,219000.0
1988-05-26,9.34,9.42,9.34,9.38,217400.0
1988-05-27,9.38,9.42,9.34,9.34,148800.0
1988-05-31,9.26,9.46,9.17,9.46,220400.0
1988-06-01,9.46,9.71,9.46,9.67,366400.0
