Date,Open,High,Low,Close,Volume
2011-06-24,15.54,15.7,14.78,14.94,1675400
2011-06-27,14.72,15.22,14.68,15.1,895200
2011-06-28,15.38,16.04,15.12,15.52,4151800
2011-06-29,15.64,16.43,15.52,16.07,3695200
2011-06-30,16.31,16.85,16.12,16.61,3025600
2011-07-01,16.53,19.02,16.45,16.93,8334200
2011-07-05,16.93,17.25,16.71,16.93,11823000
2011-07-06,16.69,16.95,16.45,16.8,10983000
2011-07-07,16.92,17.35,16.73,16.76,16707600
2011-07-08,16.36,17.09,16.25,16.61,16417000
2011-07-11,16.36,16.36,15.85,16.08,9495200
2011-07-12,15.99,16.44,15.82,16.24,8011200
2011-07-13,16.25,16.54,15.74,16.03,11642800
2011-07-14,16.03,16.05,15.33,15.5,11528400
2011-07-15,15.64,15.83,15.28,15.71,9938400
2011-07-18,15.53,15.88,15.14,15.69,8311600
2011-07-19,15.75,16.02,15.7,15.94,6423000
2011-07-20,15.96,16.02,15.8,15.86,5449000
2011-07-21,15.86,16.14,15.69,16.08,7249200
2011-07-22,16.16,16.37,16.01,16.27,6645600
2011-07-25,16.55,16.89,16.3,16.59,8898600
2011-07-26,16.6,17.54,16.55,17.27,11324200
2011-07-27,17.26,17.37,16.83,16.87,6998400
2011-07-28,17.02,17.22,16.92,17.16,6654600
2011-07-29,16.99,17.89,16.83,17.56,10709600
2011-08-01,18.07,18.2,17.64,18.04,11518400
2011-08-02,17.86,18.01,16.95,16.98,10995600
2011-08-03,17.36,18.21,15.65,16.62,13413800
2011-08-04,16.33,16.33,14.93,15.41,15377800
2011-08-05,15.61,15.73,13.41,14.97,12348600
2011-08-08,14.13,14.44,11.82,12.97,16543000
2011-08-09,13.26,14.6,13.0,14.48,12054200
2011-08-10,14.26,14.78,13.69,14.09,9682600
2011-08-11,14.4,15.48,14.21,14.98,8756400
2011-08-12,15.08,15.69,14.8,15.01,5906800
2011-08-15,15.28,15.99,15.28,15.77,5365400
2011-08-16,15.47,15.9,15.37,15.67,6532400
2011-08-17,15.98,16.11,15.65,15.77,5627600
2011-08-18,15.37,15.53,14.28,14.76,7501400
2011-08-19,14.43,14.79,13.97,14.11,9878600
2011-08-22,14.44,14.52,13.05,13.13,10774000
2011-08-23,13.16,13.99,12.92,13.81,10360000
2011-08-24,13.87,14.53,13.59,14.45,6723400
2011-08-25,14.59,14.88,13.68,13.86,6376000
2011-08-26,13.87,14.82,13.74,14.06,5880400
2011-08-29,14.22,14.66,14.13,14.52,4175000
2011-08-30,14.47,14.67,14.01,14.53,4385200
2011-08-31,14.72,15.1,14.72,14.94,5731000
2011-09-01,15.09,15.41,14.88,14.92,4515400
2011-09-02,14.45,14.92,14.16,14.28,3594200
2011-09-06,13.8,14.28,13.42,14.11,5723400
2011-09-07,14.35,14.89,14.21,14.63,5212200
2011-09-08,14.58,15.38,14.34,15.21,4086600
2011-09-09,14.77,15.24,14.49,14.66,5889000
2011-09-12,14.25,14.87,14.07,14.78,3919200
2011-09-13,14.68,14.77,13.89,14.25,7147000
2011-09-14,14.21,14.24,13.9,14.13,7640600
2011-09-15,14.47,14.9,14.21,14.28,6081400
2011-09-16,14.33,14.38,14.06,14.15,7195400
2011-09-19,13.78,13.94,13.35,13.53,5096200
2011-09-20,13.54,13.8,13.51,13.59,3859200
2011-09-21,13.45,13.9,13.04,13.07,4013000
2011-09-22,12.57,12.66,11.63,11.88,11073600
2011-09-23,11.77,12.23,11.72,11.91,6768000
2011-09-26,12.06,12.24,11.9,12.14,7971000
2011-09-27,12.43,12.83,11.98,12.03,9412400
2011-09-28,12.09,12.36,11.66,11.69,8844400
2011-09-29,11.96,12.04,10.63,11.23,10516800
2011-09-30,11.04,11.26,10.82,10.91,9626800
2011-10-03,10.85,11.21,10.73,10.95,8648200
2011-10-04,10.81,11.62,10.75,11.6,10200000
2011-10-05,11.72,12.82,11.5,12.69,10463800
2011-10-06,12.71,13.45,12.54,13.42,7978400
2011-10-07,13.6,13.7,12.6,12.74,8532800
2011-10-10,13.02,13.5,12.94,13.3,5005200
2011-10-11,13.18,13.55,13.08,13.37,6615000
2011-10-12,13.48,13.76,13.42,13.54,7544200
2011-10-13,13.44,13.67,13.24,13.62,6341200
2011-10-14,13.88,14.6,13.85,14.57,6739600
2011-10-17,14.53,14.71,14.05,14.09,4717600
2011-10-18,14.01,14.74,13.78,14.59,4533600
2011-10-19,14.59,14.94,14.3,14.36,6033800
2011-10-20,14.36,14.78,14.23,14.71,4675400
2011-10-21,14.88,15.19,14.72,15.06,6436200
2011-10-24,15.14,15.51,14.33,14.46,6574200
2011-10-25,13.97,13.97,12.67,13.3,18550600
2011-10-26,13.64,14.09,13.39,14.01,7477000
